popolazione,delta_day
18 t/m 24_10-19 km,0.0
18 t/m 24_20-29 km,0.08
18 t/m 24_30-49 km,0.05714285714285714
18 t/m 24_Less than 10 km,0.025974025974025976
18 t/m 24_more than 50,0.05555555555555555
25 t/m 34_10-19 km,0.07142857142857142
25 t/m 34_20-29 km,0.03571428571428571
25 t/m 34_30-49 km,0.0
25 t/m 34_Less than 10 km,0.02631578947368421
25 t/m 34_more than 50,0.02702702702702703
35 t/m 44_10-19 km,0.05263157894736842
35 t/m 44_20-29 km,0.0
35 t/m 44_30-49 km,0.0625
35 t/m 44_Less than 10 km,0.027777777777777776
35 t/m 44_more than 50,0.0
45 t/m 54_10-19 km,0.057692307692307696
45 t/m 54_20-29 km,0.034482758620689655
45 t/m 54_30-49 km,0.07142857142857142
45 t/m 54_Less than 10 km,0.011764705882352941
45 t/m 54_more than 50,0.046153846153846156
55 t/m 70_10-19 km,0.06493506493506493
55 t/m 70_20-29 km,0.0784313725490196
55 t/m 70_30-49 km,0.07692307692307693
55 t/m 70_Less than 10 km,0.04580152671755725
55 t/m 70_more than 50,0.057692307692307696
