popolazione,delta_day
18 t/m 24_10-19 km,0.0
18 t/m 24_20-29 km,0.037037037037037035
18 t/m 24_30-49 km,0.0
18 t/m 24_Less than 10 km,0.04
18 t/m 24_more than 50,0.15789473684210525
25 t/m 34_10-19 km,0.024390243902439025
25 t/m 34_20-29 km,0.0
25 t/m 34_30-49 km,0.03333333333333333
25 t/m 34_Less than 10 km,0.0
25 t/m 34_more than 50,0.041666666666666664
35 t/m 44_10-19 km,0.06382978723404255
35 t/m 44_20-29 km,0.0
35 t/m 44_30-49 km,0.017543859649122806
35 t/m 44_Less than 10 km,0.04
35 t/m 44_more than 50,0.018867924528301886
45 t/m 54_10-19 km,0.0
45 t/m 54_20-29 km,0.017241379310344827
45 t/m 54_30-49 km,0.04
45 t/m 54_Less than 10 km,0.027777777777777776
45 t/m 54_more than 50,0.06349206349206349
55 t/m 70_10-19 km,0.0379746835443038
55 t/m 70_20-29 km,0.08771929824561403
55 t/m 70_30-49 km,0.0
55 t/m 70_Less than 10 km,0.05185185185185185
55 t/m 70_more than 50,0.0425531914893617
