popolazione,delta_year
18 t/m 24_10.000-19.999,0.05555555555555555
18 t/m 24_20.000-29.999,0.09523809523809523
18 t/m 24_5.000-9.999,0.0
18 t/m 24_less than 4.999,0.017543859649122806
18 t/m 24_more than 30.000,0.0
25 t/m 34_10.000-19.999,0.018867924528301886
25 t/m 34_20.000-29.999,0.0
25 t/m 34_5.000-9.999,0.0
25 t/m 34_less than 4.999,0.0
25 t/m 34_more than 30.000,0.044444444444444446
35 t/m 44_10.000-19.999,0.011627906976744186
35 t/m 44_20.000-29.999,0.0
35 t/m 44_5.000-9.999,0.017857142857142856
35 t/m 44_less than 4.999,0.01282051282051282
35 t/m 44_more than 30.000,0.0196078431372549
45 t/m 54_10.000-19.999,0.0
45 t/m 54_20.000-29.999,0.0
45 t/m 54_5.000-9.999,0.0
45 t/m 54_less than 4.999,0.014492753623188406
45 t/m 54_more than 30.000,0.0
55 t/m 70_10.000-19.999,0.03571428571428571
55 t/m 70_20.000-29.999,0.0
55 t/m 70_5.000-9.999,0.0
55 t/m 70_less than 4.999,0.009259259259259259
55 t/m 70_more than 30.000,0.0
