popolazione,delta_year
18 t/m 24_10.000-19.999,0.05714285714285714
18 t/m 24_20.000-29.999,0.0
18 t/m 24_5.000-9.999,0.0
18 t/m 24_less than 4.999,0.0
18 t/m 24_more than 30.000,0.08333333333333333
25 t/m 34_10.000-19.999,0.02247191011235955
25 t/m 34_20.000-29.999,0.041666666666666664
25 t/m 34_5.000-9.999,0.06818181818181818
25 t/m 34_less than 4.999,0.047619047619047616
25 t/m 34_more than 30.000,0.09090909090909091
35 t/m 44_10.000-19.999,0.015384615384615385
35 t/m 44_20.000-29.999,0.0
35 t/m 44_5.000-9.999,0.02857142857142857
35 t/m 44_less than 4.999,0.0
35 t/m 44_more than 30.000,0.0625
45 t/m 54_10.000-19.999,0.06363636363636363
45 t/m 54_20.000-29.999,0.05714285714285714
45 t/m 54_5.000-9.999,0.017857142857142856
45 t/m 54_less than 4.999,0.0
45 t/m 54_more than 30.000,0.06451612903225806
55 t/m 70_10.000-19.999,0.06707317073170732
55 t/m 70_20.000-29.999,0.0851063829787234
55 t/m 70_5.000-9.999,0.04195804195804196
55 t/m 70_less than 4.999,0.008333333333333333
55 t/m 70_more than 30.000,0.13793103448275862
