popolazione,delta_day
18 t/m 24_10-19 km,0.04878048780487805
18 t/m 24_20-29 km,0.041666666666666664
18 t/m 24_30-49 km,0.047619047619047616
18 t/m 24_Less than 10 km,0.05063291139240506
18 t/m 24_more than 50,0.0625
25 t/m 34_10-19 km,0.02127659574468085
25 t/m 34_20-29 km,0.08823529411764706
25 t/m 34_30-49 km,0.0
25 t/m 34_Less than 10 km,0.08247422680412371
25 t/m 34_more than 50,0.058823529411764705
35 t/m 44_10-19 km,0.06382978723404255
35 t/m 44_20-29 km,0.044444444444444446
35 t/m 44_30-49 km,0.11904761904761904
35 t/m 44_Less than 10 km,0.0375
35 t/m 44_more than 50,0.05128205128205128
45 t/m 54_10-19 km,0.10344827586206896
45 t/m 54_20-29 km,0.09090909090909091
45 t/m 54_30-49 km,0.10416666666666667
45 t/m 54_Less than 10 km,0.04
45 t/m 54_more than 50,0.1111111111111111
55 t/m 70_10-19 km,0.10344827586206896
55 t/m 70_20-29 km,0.17073170731707318
55 t/m 70_30-49 km,0.1276595744680851
55 t/m 70_Less than 10 km,0.06666666666666667
55 t/m 70_more than 50,0.09090909090909091
