popolazione,delta_year
18 t/m 24_10.000-19.999,0.02564102564102564
18 t/m 24_20.000-29.999,0.0
18 t/m 24_5.000-9.999,0.034482758620689655
18 t/m 24_less than 4.999,0.04
18 t/m 24_more than 30.000,0.11764705882352941
25 t/m 34_10.000-19.999,0.060240963855421686
25 t/m 34_20.000-29.999,0.03571428571428571
25 t/m 34_5.000-9.999,0.05714285714285714
25 t/m 34_less than 4.999,0.043478260869565216
25 t/m 34_more than 30.000,0.0
35 t/m 44_10.000-19.999,0.041237113402061855
35 t/m 44_20.000-29.999,0.0967741935483871
35 t/m 44_5.000-9.999,0.0975609756097561
35 t/m 44_less than 4.999,0.05555555555555555
35 t/m 44_more than 30.000,0.05405405405405406
45 t/m 54_10.000-19.999,0.09523809523809523
45 t/m 54_20.000-29.999,0.07692307692307693
45 t/m 54_5.000-9.999,0.05660377358490566
45 t/m 54_less than 4.999,0.02702702702702703
45 t/m 54_more than 30.000,0.14285714285714285
55 t/m 70_10.000-19.999,0.0967741935483871
55 t/m 70_20.000-29.999,0.16
55 t/m 70_5.000-9.999,0.11764705882352941
55 t/m 70_less than 4.999,0.03278688524590164
55 t/m 70_more than 30.000,0.15384615384615385
