popolazione,delta_year
18 t/m 24_10.000-19.999,0.02564102564102564
18 t/m 24_20.000-29.999,0.030303030303030304
18 t/m 24_5.000-9.999,0.0
18 t/m 24_less than 4.999,0.029411764705882353
18 t/m 24_more than 30.000,0.13043478260869565
25 t/m 34_10.000-19.999,0.0
25 t/m 34_20.000-29.999,0.05
25 t/m 34_5.000-9.999,0.0
25 t/m 34_less than 4.999,0.016666666666666666
25 t/m 34_more than 30.000,0.05714285714285714
35 t/m 44_10.000-19.999,0.013157894736842105
35 t/m 44_20.000-29.999,0.024390243902439025
35 t/m 44_5.000-9.999,0.038461538461538464
35 t/m 44_less than 4.999,0.0392156862745098
35 t/m 44_more than 30.000,0.05263157894736842
45 t/m 54_10.000-19.999,0.08333333333333333
45 t/m 54_20.000-29.999,0.015151515151515152
45 t/m 54_5.000-9.999,0.0
45 t/m 54_less than 4.999,0.037037037037037035
45 t/m 54_more than 30.000,0.03125
55 t/m 70_10.000-19.999,0.06962025316455696
55 t/m 70_20.000-29.999,0.0851063829787234
55 t/m 70_5.000-9.999,0.028169014084507043
55 t/m 70_less than 4.999,0.047619047619047616
55 t/m 70_more than 30.000,0.05555555555555555
