popolazione,delta_year
18 t/m 24_10.000-19.999,0.045454545454545456
18 t/m 24_20.000-29.999,0.0
18 t/m 24_5.000-9.999,0.04
18 t/m 24_less than 4.999,0.034482758620689655
18 t/m 24_more than 30.000,0.047619047619047616
25 t/m 34_10.000-19.999,0.021739130434782608
25 t/m 34_20.000-29.999,0.021739130434782608
25 t/m 34_5.000-9.999,0.0
25 t/m 34_less than 4.999,0.022222222222222223
25 t/m 34_more than 30.000,0.057692307692307696
35 t/m 44_10.000-19.999,0.02127659574468085
35 t/m 44_20.000-29.999,0.0
35 t/m 44_5.000-9.999,0.05555555555555555
35 t/m 44_less than 4.999,0.02702702702702703
35 t/m 44_more than 30.000,0.027777777777777776
45 t/m 54_10.000-19.999,0.018018018018018018
45 t/m 54_20.000-29.999,0.07017543859649122
45 t/m 54_5.000-9.999,0.0
45 t/m 54_less than 4.999,0.017543859649122806
45 t/m 54_more than 30.000,0.11538461538461539
55 t/m 70_10.000-19.999,0.028985507246376812
55 t/m 70_20.000-29.999,0.09523809523809523
55 t/m 70_5.000-9.999,0.05504587155963303
55 t/m 70_less than 4.999,0.024691358024691357
55 t/m 70_more than 30.000,0.045454545454545456
