popolazione,delta_day
18 t/m 24_10-19 km,0.034482758620689655
18 t/m 24_20-29 km,0.047619047619047616
18 t/m 24_30-49 km,0.034482758620689655
18 t/m 24_Less than 10 km,0.0
18 t/m 24_more than 50,0.043478260869565216
25 t/m 34_10-19 km,0.0
25 t/m 34_20-29 km,0.0
25 t/m 34_30-49 km,0.0
25 t/m 34_Less than 10 km,0.011494252873563218
25 t/m 34_more than 50,0.04
35 t/m 44_10-19 km,0.016129032258064516
35 t/m 44_20-29 km,0.0
35 t/m 44_30-49 km,0.0
35 t/m 44_Less than 10 km,0.02197802197802198
35 t/m 44_more than 50,0.01694915254237288
45 t/m 54_10-19 km,0.0
45 t/m 54_20-29 km,0.0
45 t/m 54_30-49 km,0.0
45 t/m 54_Less than 10 km,0.0
45 t/m 54_more than 50,0.020833333333333332
55 t/m 70_10-19 km,0.0
55 t/m 70_20-29 km,0.0
55 t/m 70_30-49 km,0.044444444444444446
55 t/m 70_Less than 10 km,0.016
55 t/m 70_more than 50,0.0
