popolazione,delta_day
18 t/m 24_10-19 km,0.07142857142857142
18 t/m 24_20-29 km,0.0
18 t/m 24_30-49 km,0.0
18 t/m 24_Less than 10 km,0.0
18 t/m 24_more than 50,0.05555555555555555
25 t/m 34_10-19 km,0.024390243902439025
25 t/m 34_20-29 km,0.0
25 t/m 34_30-49 km,0.0
25 t/m 34_Less than 10 km,0.05714285714285714
25 t/m 34_more than 50,0.07894736842105263
35 t/m 44_10-19 km,0.05263157894736842
35 t/m 44_20-29 km,0.045454545454545456
35 t/m 44_30-49 km,0.0
35 t/m 44_Less than 10 km,0.015625
35 t/m 44_more than 50,0.01818181818181818
45 t/m 54_10-19 km,0.0784313725490196
45 t/m 54_20-29 km,0.07407407407407407
45 t/m 54_30-49 km,0.023809523809523808
45 t/m 54_Less than 10 km,0.0
45 t/m 54_more than 50,0.06349206349206349
55 t/m 70_10-19 km,0.06741573033707865
55 t/m 70_20-29 km,0.03636363636363636
55 t/m 70_30-49 km,0.06944444444444445
55 t/m 70_Less than 10 km,0.026881720430107527
55 t/m 70_more than 50,0.08571428571428572
