popolazione,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_13,Q18_14,Q18_15,Q18_16,Q18_17,Q18_18,Q18_19,Q18_20,Q18_21,Q18_22,Q18_23,Q20,Q21
18 t/m 24_10-19 km,0.5517241379310345,0.1724137931034483,0.20689655172413793,0.5517241379310345,0.3103448275862069,0.13793103448275862,0.3793103448275862,0.3793103448275862,0.1724137931034483,0.4827586206896552,0.1724137931034483,0.10344827586206896,0.0,0.41379310344827586,0.20689655172413793,0.41379310344827586,0.5172413793103449,0.3448275862068966,0.20689655172413793,0.3103448275862069,0.41379310344827586,0.3103448275862069,0.3793103448275862,0.1724137931034483,0.20689655172413793,0.0,0.034482758620689655,0.27586206896551724,0.5517241379310345,0.5517241379310345,0.13793103448275862,0.3448275862068966,0.41379310344827586,0.4827586206896552,0.1724137931034483,0.13793103448275862,0.0,0.20689655172413793,0.10344827586206896,0.13793103448275862,0.27586206896551724,0.0,0.5172413793103449,0.646551724137931,0.6724137931034483,0.6730769230769231,0.4732142857142857,0.46153846153846156,0.41666666666666663,0.3928571428571429,0.6388888888888888,0.6296296296296297,0.5288461538461539,0.39814814814814814,0.4553571428571429,0.4553571428571429,0.6666666666666666,0.43999999999999995,0.4907407407407407,0.5982142857142857,0.3214285714285714,0.62,0.38888888888888884,0.52,0.55,0.49,0.4137931034482759,0.4051724137931034
18 t/m 24_20-29 km,0.5714285714285714,0.3333333333333333,0.047619047619047616,0.5238095238095238,0.2857142857142857,0.047619047619047616,0.38095238095238093,0.38095238095238093,0.09523809523809523,0.5238095238095238,0.19047619047619047,0.047619047619047616,0.0,0.38095238095238093,0.38095238095238093,0.3333333333333333,0.6190476190476191,0.19047619047619047,0.09523809523809523,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.23809523809523808,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.2857142857142857,0.8095238095238095,0.47619047619047616,0.19047619047619047,0.2857142857142857,0.47619047619047616,0.47619047619047616,0.14285714285714285,0.09523809523809523,0.0,0.3333333333333333,0.23809523809523808,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.575,0.6785714285714286,0.7375,0.6111111111111112,0.32894736842105265,0.38888888888888884,0.4473684210526315,0.375,0.618421052631579,0.6578947368421053,0.6176470588235294,0.3157894736842105,0.48684210526315785,0.4342105263157895,0.5375,0.4625,0.4078947368421053,0.5526315789473685,0.35526315789473684,0.618421052631579,0.26249999999999996,0.484375,0.5,0.41666666666666663,0.5119047619047619,0.44047619047619047
18 t/m 24_30-49 km,0.4827586206896552,0.2413793103448276,0.06896551724137931,0.41379310344827586,0.3103448275862069,0.06896551724137931,0.3448275862068966,0.4827586206896552,0.13793103448275862,0.41379310344827586,0.13793103448275862,0.06896551724137931,0.034482758620689655,0.3103448275862069,0.2413793103448276,0.41379310344827586,0.5172413793103449,0.2413793103448276,0.034482758620689655,0.1724137931034483,0.3448275862068966,0.06896551724137931,0.3103448275862069,0.0,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.20689655172413793,0.6551724137931034,0.4482758620689655,0.2413793103448276,0.1724137931034483,0.3793103448275862,0.4482758620689655,0.10344827586206896,0.20689655172413793,0.034482758620689655,0.27586206896551724,0.10344827586206896,0.13793103448275862,0.20689655172413793,0.0,0.4910714285714286,0.5775862068965517,0.6551724137931034,0.5961538461538461,0.4553571428571429,0.43518518518518523,0.4537037037037037,0.40740740740740744,0.5833333333333334,0.7019230769230769,0.6071428571428571,0.4722222222222222,0.4642857142857143,0.4537037037037037,0.6071428571428571,0.4821428571428571,0.4196428571428571,0.5740740740740741,0.375,0.4807692307692307,0.3571428571428571,0.42708333333333337,0.46153846153846156,0.41666666666666663,0.4655172413793104,0.4137931034482759
18 t/m 24_Less than 10 km,0.5,0.1206896551724138,0.08620689655172414,0.5172413793103449,0.3448275862068966,0.034482758620689655,0.3620689655172414,0.2413793103448276,0.06896551724137931,0.5689655172413793,0.05172413793103448,0.08620689655172414,0.017241379310344827,0.2413793103448276,0.22413793103448276,0.3793103448275862,0.5172413793103449,0.22413793103448276,0.05172413793103448,0.1724137931034483,0.1206896551724138,0.05172413793103448,0.39655172413793105,0.10344827586206896,0.05172413793103448,0.017241379310344827,0.05172413793103448,0.20689655172413793,0.603448275862069,0.4482758620689655,0.08620689655172414,0.1724137931034483,0.27586206896551724,0.41379310344827586,0.1206896551724138,0.10344827586206896,0.0,0.2413793103448276,0.15517241379310345,0.034482758620689655,0.1724137931034483,0.0,0.5046296296296297,0.6272727272727273,0.6971153846153846,0.6611111111111111,0.4722222222222222,0.44270833333333337,0.41666666666666663,0.47596153846153844,0.6367924528301887,0.6530612244897959,0.6086956521739131,0.3915094339622641,0.47058823529411764,0.3970588235294118,0.6519607843137255,0.4534883720930233,0.40306122448979587,0.6117021276595744,0.41666666666666663,0.5348837209302325,0.34183673469387754,0.48913043478260865,0.45744680851063835,0.40816326530612246,0.5086206896551724,0.39655172413793105
18 t/m 24_more than 50,0.391304347826087,0.34782608695652173,0.17391304347826086,0.391304347826087,0.391304347826087,0.30434782608695654,0.2608695652173913,0.30434782608695654,0.30434782608695654,0.6521739130434783,0.17391304347826086,0.21739130434782608,0.043478260869565216,0.391304347826087,0.2608695652173913,0.30434782608695654,0.391304347826087,0.17391304347826086,0.17391304347826086,0.21739130434782608,0.2608695652173913,0.17391304347826086,0.34782608695652173,0.21739130434782608,0.13043478260869565,0.0,0.08695652173913043,0.2608695652173913,0.4782608695652174,0.43478260869565216,0.2608695652173913,0.30434782608695654,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.30434782608695654,0.08695652173913043,0.2608695652173913,0.21739130434782608,0.2608695652173913,0.17391304347826086,0.0,0.5340909090909091,0.6304347826086957,0.6739130434782609,0.5454545454545454,0.5760869565217391,0.5434782608695652,0.4545454545454546,0.42391304347826086,0.4782608695652174,0.6136363636363636,0.5,0.40217391304347827,0.4545454545454546,0.40909090909090906,0.5978260869565217,0.4545454545454546,0.3571428571428571,0.5909090909090909,0.36363636363636365,0.5454545454545454,0.375,0.42391304347826086,0.32894736842105265,0.46590909090909094,0.4347826086956522,0.5
25 t/m 34_10-19 km,0.5208333333333334,0.2708333333333333,0.20833333333333334,0.5625,0.2708333333333333,0.16666666666666666,0.3125,0.2916666666666667,0.041666666666666664,0.4791666666666667,0.14583333333333334,0.08333333333333333,0.0,0.2708333333333333,0.25,0.375,0.5625,0.22916666666666666,0.10416666666666667,0.1875,0.16666666666666666,0.08333333333333333,0.5208333333333334,0.041666666666666664,0.0625,0.0,0.08333333333333333,0.22916666666666666,0.4375,0.4375,0.1875,0.2916666666666667,0.3958333333333333,0.3541666666666667,0.14583333333333334,0.10416666666666667,0.020833333333333332,0.20833333333333334,0.0625,0.10416666666666667,0.3333333333333333,0.0,0.5434782608695652,0.6413043478260869,0.657608695652174,0.6071428571428571,0.42391304347826086,0.4883720930232558,0.43181818181818177,0.4444444444444444,0.5706521739130435,0.6193181818181818,0.5833333333333334,0.42391304347826086,0.4642857142857143,0.4347826086956522,0.5652173913043478,0.4418604651162791,0.3913043478260869,0.5,0.3152173913043478,0.44512195121951215,0.32978723404255317,0.426829268292683,0.40625,0.47560975609756095,0.44791666666666663,0.40625
25 t/m 34_20-29 km,0.5555555555555556,0.37037037037037035,0.14814814814814814,0.5925925925925926,0.2222222222222222,0.07407407407407407,0.3333333333333333,0.2222222222222222,0.07407407407407407,0.6296296296296297,0.18518518518518517,0.037037037037037035,0.037037037037037035,0.2222222222222222,0.37037037037037035,0.5555555555555556,0.4444444444444444,0.4074074074074074,0.14814814814814814,0.25925925925925924,0.2222222222222222,0.1111111111111111,0.5185185185185185,0.14814814814814814,0.14814814814814814,0.037037037037037035,0.037037037037037035,0.2962962962962963,0.5185185185185185,0.48148148148148145,0.18518518518518517,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.2962962962962963,0.0,0.2962962962962963,0.25925925925925924,0.18518518518518517,0.3333333333333333,0.0,0.57,0.6944444444444444,0.7884615384615385,0.6875,0.5185185185185185,0.5833333333333334,0.5104166666666666,0.5384615384615384,0.6730769230769231,0.6666666666666666,0.6153846153846154,0.5185185185185185,0.5092592592592593,0.4903846153846154,0.6574074074074074,0.5217391304347826,0.40384615384615385,0.61,0.34259259259259256,0.59,0.2870370370370371,0.5652173913043478,0.5227272727272727,0.5113636363636364,0.5092592592592593,0.4722222222222222
25 t/m 34_30-49 km,0.43902439024390244,0.2926829268292683,0.0975609756097561,0.6097560975609756,0.17073170731707318,0.12195121951219512,0.43902439024390244,0.34146341463414637,0.12195121951219512,0.5609756097560976,0.24390243902439024,0.0975609756097561,0.0,0.2682926829268293,0.3170731707317073,0.4878048780487805,0.5853658536585366,0.17073170731707318,0.12195121951219512,0.3170731707317073,0.2682926829268293,0.12195121951219512,0.3902439024390244,0.0975609756097561,0.07317073170731707,0.0,0.0,0.3170731707317073,0.3902439024390244,0.5121951219512195,0.2682926829268293,0.34146341463414637,0.24390243902439024,0.43902439024390244,0.12195121951219512,0.2926829268292683,0.04878048780487805,0.3170731707317073,0.1951219512195122,0.2682926829268293,0.2682926829268293,0.04878048780487805,0.5135135135135135,0.5448717948717948,0.5921052631578947,0.5540540540540541,0.3782051282051282,0.35416666666666663,0.36875,0.3780487804878049,0.48124999999999996,0.5878378378378378,0.5405405405405406,0.30487804878048785,0.4097222222222222,0.3717948717948718,0.5592105263157895,0.3787878787878788,0.31756756756756754,0.4797297297297297,0.29729729729729726,0.4117647058823529,0.23717948717948717,0.4140625,0.32638888888888884,0.3529411764705882,0.38414634146341464,0.4390243902439024
25 t/m 34_Less than 10 km,0.6206896551724138,0.26436781609195403,0.06896551724137931,0.6091954022988506,0.2988505747126437,0.08045977011494253,0.40229885057471265,0.3793103448275862,0.034482758620689655,0.5977011494252874,0.19540229885057472,0.011494252873563218,0.04597701149425287,0.3103448275862069,0.19540229885057472,0.41379310344827586,0.5862068965517241,0.19540229885057472,0.10344827586206896,0.28735632183908044,0.2413793103448276,0.06896551724137931,0.4942528735632184,0.22988505747126436,0.08045977011494253,0.022988505747126436,0.04597701149425287,0.22988505747126436,0.5287356321839081,0.39080459770114945,0.10344827586206896,0.14942528735632185,0.4482758620689655,0.4942528735632184,0.13793103448275862,0.1724137931034483,0.04597701149425287,0.3448275862068966,0.10344827586206896,0.12643678160919541,0.19540229885057472,0.011494252873563218,0.5673076923076923,0.7225609756097561,0.708904109589041,0.675,0.44333333333333336,0.49642857142857144,0.45999999999999996,0.452054794520548,0.6428571428571429,0.660958904109589,0.5915492957746479,0.4025974025974026,0.4143835616438356,0.4253246753246753,0.6625,0.45149253731343286,0.4178571428571428,0.5797101449275363,0.34589041095890416,0.5772058823529411,0.3214285714285714,0.5186567164179104,0.4402985074626866,0.4285714285714286,0.5402298850574713,0.3994252873563219
25 t/m 34_more than 50,0.62,0.24,0.16,0.44,0.2,0.06,0.3,0.32,0.06,0.52,0.12,0.06,0.02,0.18,0.2,0.48,0.46,0.12,0.16,0.1,0.26,0.1,0.28,0.08,0.02,0.0,0.1,0.22,0.38,0.26,0.14,0.22,0.38,0.28,0.16,0.14,0.1,0.24,0.12,0.16,0.18,0.08,0.42553191489361697,0.4642857142857143,0.6224489795918368,0.5957446808510638,0.42500000000000004,0.38586956521739135,0.47959183673469385,0.42553191489361697,0.46808510638297873,0.5885416666666666,0.4627659574468085,0.39893617021276595,0.5159574468085106,0.38541666666666663,0.532608695652174,0.4388888888888889,0.32608695652173914,0.5,0.38829787234042556,0.5163043478260869,0.38829787234042556,0.45744680851063835,0.4111111111111111,0.47282608695652173,0.385,0.41500000000000004
35 t/m 44_10-19 km,0.5806451612903226,0.16129032258064516,0.0967741935483871,0.6774193548387096,0.24193548387096775,0.0967741935483871,0.4032258064516129,0.2903225806451613,0.03225806451612903,0.5806451612903226,0.14516129032258066,0.0,0.0,0.2903225806451613,0.11290322580645161,0.5806451612903226,0.6935483870967742,0.0967741935483871,0.06451612903225806,0.27419354838709675,0.1935483870967742,0.04838709677419355,0.532258064516129,0.04838709677419355,0.0,0.0,0.04838709677419355,0.22580645161290322,0.5,0.3064516129032258,0.0967741935483871,0.14516129032258066,0.45161290322580644,0.4032258064516129,0.06451612903225806,0.16129032258064516,0.016129032258064516,0.3870967741935484,0.14516129032258066,0.11290322580645161,0.3064516129032258,0.0,0.5370370370370371,0.7236842105263158,0.7232142857142857,0.6764705882352942,0.5803571428571429,0.5459183673469388,0.5364583333333334,0.4636363636363636,0.6363636363636364,0.6367924528301887,0.6078431372549019,0.40086206896551724,0.4558823529411765,0.43534482758620685,0.6551724137931034,0.4,0.33999999999999997,0.5510204081632653,0.3431372549019608,0.574468085106383,0.24561403508771928,0.4414893617021277,0.4411764705882353,0.4027777777777778,0.5,0.4193548387096774
35 t/m 44_20-29 km,0.673469387755102,0.1836734693877551,0.16326530612244897,0.6326530612244898,0.32653061224489793,0.10204081632653061,0.3469387755102041,0.40816326530612246,0.061224489795918366,0.5510204081632653,0.10204081632653061,0.0,0.04081632653061224,0.24489795918367346,0.20408163265306123,0.5102040816326531,0.42857142857142855,0.30612244897959184,0.061224489795918366,0.22448979591836735,0.22448979591836735,0.061224489795918366,0.42857142857142855,0.10204081632653061,0.04081632653061224,0.0,0.061224489795918366,0.1836734693877551,0.3673469387755102,0.30612244897959184,0.10204081632653061,0.2653061224489796,0.40816326530612246,0.3877551020408163,0.14285714285714285,0.10204081632653061,0.061224489795918366,0.32653061224489793,0.14285714285714285,0.30612244897959184,0.30612244897959184,0.0,0.5348837209302325,0.7897727272727273,0.75,0.6474358974358975,0.47916666666666663,0.4375,0.44375,0.4085365853658537,0.625,0.6395348837209303,0.493421052631579,0.40909090909090906,0.43181818181818177,0.38888888888888884,0.6420454545454546,0.3928571428571429,0.35256410256410253,0.55625,0.2987804878048781,0.5277777777777778,0.20652173913043476,0.44999999999999996,0.39583333333333337,0.3484848484848485,0.4744897959183674,0.4387755102040817
