popolazione,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_13,Q18_14,Q18_15,Q18_16,Q18_17,Q18_18,Q18_19,Q18_20,Q18_21,Q18_22,Q18_23,Q20,Q21
18 t/m 24_10.000-19.999,0.5555555555555556,0.2777777777777778,0.1111111111111111,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.3888888888888889,0.2222222222222222,0.2777777777777778,0.6111111111111112,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.3888888888888889,0.2222222222222222,0.4444444444444444,0.5,0.16666666666666666,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.3888888888888889,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.5,0.5555555555555556,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.2777777777777778,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.1111111111111111,0.05555555555555555,0.3333333333333333,0.0,0.4852941176470589,0.625,0.6944444444444444,0.6029411764705882,0.375,0.4027777777777778,0.3529411764705882,0.3194444444444444,0.5138888888888888,0.640625,0.5,0.375,0.4558823529411765,0.4411764705882353,0.5833333333333334,0.40625,0.3970588235294118,0.578125,0.265625,0.484375,0.32352941176470584,0.5147058823529411,0.421875,0.42647058823529416,0.45833333333333337,0.4305555555555556
18 t/m 24_20.000-29.999,0.6190476190476191,0.2857142857142857,0.0,0.47619047619047616,0.2857142857142857,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.09523809523809523,0.5238095238095238,0.14285714285714285,0.0,0.047619047619047616,0.2857142857142857,0.38095238095238093,0.42857142857142855,0.5714285714285714,0.23809523809523808,0.19047619047619047,0.19047619047619047,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.047619047619047616,0.0,0.0,0.3333333333333333,0.7142857142857143,0.5238095238095238,0.19047619047619047,0.09523809523809523,0.3333333333333333,0.5714285714285714,0.2857142857142857,0.19047619047619047,0.0,0.3333333333333333,0.23809523809523808,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.5375,0.6666666666666666,0.6904761904761905,0.6071428571428571,0.4375,0.4736842105263158,0.4,0.4,0.6375,0.65,0.5394736842105263,0.4,0.5657894736842105,0.4375,0.5875,0.5,0.4,0.5125,0.39473684210526316,0.575,0.32894736842105265,0.55,0.4625,0.48809523809523814,0.47619047619047616,0.5
18 t/m 24_5.000-9.999,0.5238095238095238,0.23809523809523808,0.23809523809523808,0.5238095238095238,0.2857142857142857,0.09523809523809523,0.42857142857142855,0.5238095238095238,0.09523809523809523,0.47619047619047616,0.23809523809523808,0.09523809523809523,0.0,0.47619047619047616,0.14285714285714285,0.3333333333333333,0.5714285714285714,0.38095238095238093,0.19047619047619047,0.19047619047619047,0.2857142857142857,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.0,0.2857142857142857,0.7142857142857143,0.47619047619047616,0.14285714285714285,0.38095238095238093,0.38095238095238093,0.47619047619047616,0.19047619047619047,0.23809523809523808,0.0,0.38095238095238093,0.2857142857142857,0.14285714285714285,0.3333333333333333,0.0,0.5595238095238095,0.5952380952380952,0.631578947368421,0.6029411764705882,0.40476190476190477,0.39473684210526316,0.39473684210526316,0.36904761904761907,0.5375,0.5875,0.5657894736842105,0.36904761904761907,0.3571428571428571,0.34523809523809523,0.6,0.4625,0.4342105263157895,0.5625,0.38095238095238093,0.5526315789473685,0.26315789473684215,0.4411764705882353,0.4473684210526315,0.4375,0.40476190476190477,0.4285714285714286
18 t/m 24_less than 4.999,0.47368421052631576,0.14035087719298245,0.05263157894736842,0.47368421052631576,0.2982456140350877,0.03508771929824561,0.3157894736842105,0.2631578947368421,0.10526315789473684,0.543859649122807,0.07017543859649122,0.10526315789473684,0.017543859649122806,0.24561403508771928,0.24561403508771928,0.3157894736842105,0.49122807017543857,0.15789473684210525,0.05263157894736842,0.15789473684210525,0.15789473684210525,0.08771929824561403,0.2982456140350877,0.08771929824561403,0.10526315789473684,0.03508771929824561,0.07017543859649122,0.19298245614035087,0.5614035087719298,0.45614035087719296,0.08771929824561403,0.12280701754385964,0.2807017543859649,0.3684210526315789,0.07017543859649122,0.10526315789473684,0.0,0.17543859649122806,0.14035087719298245,0.03508771929824561,0.12280701754385964,0.03508771929824561,0.48611111111111116,0.6181818181818182,0.665,0.6684782608695652,0.4716981132075472,0.4277777777777778,0.4387755102040817,0.45499999999999996,0.6298076923076923,0.6277777777777778,0.6166666666666667,0.4,0.4693877551020408,0.42647058823529416,0.645,0.4772727272727273,0.43999999999999995,0.625,0.40865384615384615,0.5952380952380952,0.3970588235294118,0.49431818181818177,0.5,0.453125,0.4736842105263158,0.39473684210526316
18 t/m 24_more than 30.000,0.41379310344827586,0.27586206896551724,0.1724137931034483,0.41379310344827586,0.5517241379310345,0.1724137931034483,0.3103448275862069,0.3793103448275862,0.27586206896551724,0.4482758620689655,0.1724137931034483,0.1724137931034483,0.0,0.3448275862068966,0.3103448275862069,0.4482758620689655,0.4482758620689655,0.2413793103448276,0.13793103448275862,0.27586206896551724,0.41379310344827586,0.1724137931034483,0.41379310344827586,0.3103448275862069,0.10344827586206896,0.0,0.034482758620689655,0.2413793103448276,0.6551724137931034,0.4482758620689655,0.27586206896551724,0.3103448275862069,0.4482758620689655,0.41379310344827586,0.10344827586206896,0.27586206896551724,0.10344827586206896,0.2413793103448276,0.13793103448275862,0.3448275862068966,0.20689655172413793,0.0,0.5535714285714286,0.6637931034482759,0.7413793103448276,0.6538461538461539,0.5258620689655172,0.5086206896551724,0.4642857142857143,0.4051724137931034,0.5892857142857143,0.7142857142857143,0.5892857142857143,0.375,0.4137931034482759,0.4107142857142857,0.6379310344827587,0.4137931034482759,0.3928571428571429,0.5775862068965517,0.31896551724137934,0.5555555555555556,0.4137931034482759,0.35,0.43000000000000005,0.3928571428571429,0.4568965517241379,0.47413793103448276
25 t/m 34_10.000-19.999,0.5660377358490566,0.32075471698113206,0.1320754716981132,0.6226415094339622,0.20754716981132076,0.09433962264150944,0.4339622641509434,0.2830188679245283,0.07547169811320754,0.6415094339622641,0.11320754716981132,0.018867924528301886,0.0,0.20754716981132076,0.22641509433962265,0.5283018867924528,0.4528301886792453,0.20754716981132076,0.22641509433962265,0.20754716981132076,0.24528301886792453,0.1320754716981132,0.4528301886792453,0.07547169811320754,0.03773584905660377,0.018867924528301886,0.05660377358490566,0.22641509433962265,0.5849056603773585,0.4339622641509434,0.1509433962264151,0.18867924528301888,0.3584905660377358,0.49056603773584906,0.07547169811320754,0.09433962264150944,0.0,0.4339622641509434,0.18867924528301888,0.1320754716981132,0.18867924528301888,0.0,0.55,0.6127450980392157,0.6971153846153846,0.65625,0.39903846153846156,0.42553191489361697,0.44499999999999995,0.45999999999999996,0.6,0.66,0.5989583333333334,0.35096153846153844,0.5,0.46634615384615385,0.5969387755102041,0.40555555555555556,0.36764705882352944,0.5561224489795918,0.303921568627451,0.4836956521739131,0.23557692307692307,0.4619565217391305,0.3833333333333333,0.43229166666666663,0.4339622641509434,0.4575471698113207
25 t/m 34_20.000-29.999,0.6666666666666666,0.26666666666666666,0.13333333333333333,0.4,0.13333333333333333,0.16666666666666666,0.3333333333333333,0.26666666666666666,0.1,0.4,0.13333333333333333,0.06666666666666667,0.0,0.23333333333333334,0.3333333333333333,0.5666666666666667,0.5333333333333333,0.1,0.1,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.36666666666666664,0.06666666666666667,0.06666666666666667,0.0,0.0,0.3,0.4666666666666667,0.4,0.26666666666666666,0.26666666666666666,0.43333333333333335,0.4666666666666667,0.1,0.23333333333333334,0.03333333333333333,0.2,0.13333333333333333,0.16666666666666666,0.3,0.06666666666666667,0.4655172413793104,0.5862068965517241,0.6896551724137931,0.5803571428571429,0.43965517241379315,0.4107142857142857,0.4224137931034483,0.44166666666666665,0.5517241379310345,0.5982142857142857,0.4821428571428571,0.3416666666666667,0.4482758620689655,0.3571428571428571,0.5603448275862069,0.41666666666666663,0.39814814814814814,0.5089285714285714,0.4,0.5178571428571429,0.35,0.4107142857142857,0.4553571428571429,0.41666666666666663,0.45833333333333337,0.4083333333333333
25 t/m 34_5.000-9.999,0.5,0.25,0.1,0.5,0.275,0.075,0.35,0.3,0.05,0.475,0.25,0.05,0.025,0.25,0.175,0.425,0.65,0.25,0.05,0.275,0.25,0.125,0.4,0.125,0.025,0.0,0.025,0.15,0.475,0.35,0.125,0.275,0.35,0.325,0.2,0.15,0.025,0.125,0.1,0.175,0.25,0.0,0.5657894736842105,0.5875,0.6597222222222222,0.6013513513513513,0.4375,0.4736842105263158,0.41025641025641024,0.3782051282051282,0.5192307692307693,0.625,0.5961538461538461,0.4375,0.4605263157894737,0.38815789473684215,0.5576923076923077,0.4191176470588235,0.33783783783783783,0.4864864864864865,0.3223684210526315,0.42567567567567566,0.28125,0.3970588235294118,0.3819444444444444,0.3970588235294118,0.38749999999999996,0.4375
25 t/m 34_less than 4.999,0.5714285714285714,0.2261904761904762,0.08333333333333333,0.5952380952380952,0.25,0.09523809523809523,0.35714285714285715,0.35714285714285715,0.023809523809523808,0.5,0.17857142857142858,0.023809523809523808,0.03571428571428571,0.27380952380952384,0.2261904761904762,0.34523809523809523,0.5357142857142857,0.16666666666666666,0.07142857142857142,0.23809523809523808,0.2261904761904762,0.023809523809523808,0.4642857142857143,0.17857142857142858,0.03571428571428571,0.023809523809523808,0.08333333333333333,0.2261904761904762,0.4166666666666667,0.40476190476190477,0.07142857142857142,0.14285714285714285,0.44047619047619047,0.40476190476190477,0.13095238095238096,0.17857142857142858,0.03571428571428571,0.2619047619047619,0.05952380952380952,0.09523809523809523,0.20238095238095238,0.011904761904761904,0.5608108108108109,0.6993670886075949,0.6736111111111112,0.6455223880597015,0.4444444444444444,0.5,0.48263888888888884,0.4642857142857143,0.6216216216216216,0.6413043478260869,0.5785714285714286,0.43666666666666665,0.4401408450704225,0.44932432432432434,0.6461038961038961,0.45895522388059706,0.42028985507246375,0.5661764705882353,0.36267605633802813,0.55859375,0.3547297297297297,0.5078125,0.47580645161290325,0.49122807017543857,0.5059523809523809,0.3839285714285714
25 t/m 34_more than 30.000,0.5111111111111111,0.35555555555555557,0.2222222222222222,0.5777777777777777,0.3333333333333333,0.1111111111111111,0.3111111111111111,0.37777777777777777,0.08888888888888889,0.6666666666666666,0.17777777777777778,0.13333333333333333,0.044444444444444446,0.28888888888888886,0.3111111111111111,0.4888888888888889,0.4888888888888889,0.3333333333333333,0.17777777777777778,0.15555555555555556,0.28888888888888886,0.15555555555555556,0.4444444444444444,0.15555555555555556,0.2222222222222222,0.0,0.044444444444444446,0.35555555555555557,0.37777777777777777,0.4222222222222222,0.28888888888888886,0.4444444444444444,0.37777777777777777,0.4444444444444444,0.28888888888888886,0.28888888888888886,0.15555555555555556,0.35555555555555557,0.24444444444444444,0.26666666666666666,0.3333333333333333,0.08888888888888889,0.47023809523809523,0.5625,0.6337209302325582,0.6071428571428571,0.44886363636363635,0.4358974358974359,0.4476744186046512,0.4534883720930233,0.5170454545454546,0.5892857142857143,0.4883720930232558,0.436046511627907,0.45833333333333337,0.3833333333333333,0.6079545454545454,0.5,0.36046511627906974,0.49404761904761907,0.323170731707317,0.55625,0.36585365853658536,0.5384615384615384,0.3653846153846154,0.4625,0.4555555555555556,0.44999999999999996
