popolazione,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_13,Q18_14,Q18_15,Q18_16,Q18_17,Q18_18,Q18_19,Q18_20,Q18_21,Q18_22,Q18_23,Q20,Q21
18 t/m 24_10-19 km,0.5142857142857142,0.2857142857142857,0.02857142857142857,0.5714285714285714,0.42857142857142855,0.2,0.3142857142857143,0.3142857142857143,0.08571428571428572,0.2571428571428571,0.42857142857142855,0.02857142857142857,0.08571428571428572,0.5428571428571428,0.34285714285714286,0.14285714285714285,0.45714285714285713,0.4857142857142857,0.14285714285714285,0.22857142857142856,0.42857142857142855,0.17142857142857143,0.2,0.2857142857142857,0.11428571428571428,0.0,0.05714285714285714,0.3142857142857143,0.6285714285714286,0.4857142857142857,0.22857142857142856,0.42857142857142855,0.34285714285714286,0.3142857142857143,0.2857142857142857,0.3142857142857143,0.08571428571428572,0.2857142857142857,0.08571428571428572,0.08571428571428572,0.42857142857142855,0.02857142857142857,-0.27987132352941174,-0.0732142857142857,-0.09375,-0.10483870967741934,-0.11964285714285713,-0.12890625,-0.13419117647058823,-0.15625,-0.10294117647058823,-0.10477941176470587,-0.125,-0.16532258064516128,-0.140625,-0.12867647058823528,-0.11213235294117646,-0.13636363636363635,-0.1590909090909091,-0.1310483870967742,-0.162109375,-0.10560344827586207,-0.17424242424242425,-0.15416666666666667,-0.13958333333333334,-0.14919354838709678,-0.1392857142857143,-0.15
18 t/m 24_20-29 km,0.48,0.2,0.08,0.48,0.32,0.2,0.24,0.28,0.12,0.32,0.28,0.04,0.0,0.52,0.44,0.08,0.4,0.32,0.28,0.08,0.16,0.08,0.32,0.2,0.04,0.04,0.0,0.48,0.32,0.32,0.2,0.56,0.28,0.12,0.24,0.24,0.04,0.32,0.2,0.04,0.32,0.0,-0.28125,-0.1278409090909091,-0.11956521739130435,-0.11363636363636365,-0.11979166666666666,-0.13020833333333334,-0.1331521739130435,-0.1171875,-0.13068181818181818,-0.125,-0.13095238095238096,-0.1358695652173913,-0.140625,-0.15217391304347827,-0.1278409090909091,-0.1488095238095238,-0.15773809523809523,-0.13636363636363635,-0.14945652173913043,-0.11607142857142858,-0.14488636363636365,-0.10714285714285715,-0.12797619047619047,-0.11309523809523808,-0.18,-0.135
18 t/m 24_30-49 km,0.37142857142857144,0.37142857142857144,0.08571428571428572,0.4857142857142857,0.22857142857142856,0.2,0.2571428571428571,0.2857142857142857,0.2857142857142857,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.02857142857142857,0.4,0.2,0.2,0.34285714285714286,0.22857142857142856,0.22857142857142856,0.11428571428571428,0.3142857142857143,0.2571428571428571,0.17142857142857143,0.2,0.17142857142857143,0.0,0.0,0.2571428571428571,0.4,0.2571428571428571,0.14285714285714285,0.34285714285714286,0.22857142857142856,0.2571428571428571,0.17142857142857143,0.2857142857142857,0.11428571428571428,0.22857142857142856,0.08571428571428572,0.05714285714285714,0.2571428571428571,0.0,-0.28768382352941174,-0.11948529411764705,-0.10227272727272727,-0.1171875,-0.11491935483870969,-0.14814814814814814,-0.15234375,-0.1431451612903226,-0.130859375,-0.12083333333333332,-0.135,-0.16129032258064516,-0.1350806451612903,-0.18125,-0.10267857142857142,-0.15401785714285715,-0.14870689655172414,-0.125,-0.12723214285714285,-0.11805555555555555,-0.16071428571428573,-0.171875,-0.13221153846153846,-0.1412037037037037,-0.14642857142857144,-0.15892857142857142
18 t/m 24_Less than 10 km,0.4025974025974026,0.2857142857142857,0.0,0.5714285714285714,0.37662337662337664,0.05194805194805195,0.2727272727272727,0.2597402597402597,0.11688311688311688,0.2727272727272727,0.2987012987012987,0.03896103896103896,0.03896103896103896,0.42857142857142855,0.35064935064935066,0.012987012987012988,0.5844155844155844,0.33766233766233766,0.03896103896103896,0.15584415584415584,0.19480519480519481,0.09090909090909091,0.33766233766233766,0.16883116883116883,0.03896103896103896,0.012987012987012988,0.05194805194805195,0.35064935064935066,0.45454545454545453,0.2727272727272727,0.15584415584415584,0.3116883116883117,0.2597402597402597,0.2597402597402597,0.2077922077922078,0.3116883116883117,0.06493506493506493,0.2987012987012987,0.12987012987012986,0.06493506493506493,0.44155844155844154,0.025974025974025976,-0.28290719696969696,-0.08361486486486486,-0.0771484375,-0.09669811320754718,-0.11249999999999999,-0.12254901960784315,-0.13217213114754098,-0.14285714285714285,-0.10416666666666666,-0.07627118644067796,-0.11029411764705882,-0.13958333333333334,-0.13706140350877194,-0.1425438596491228,-0.08811475409836064,-0.14950980392156862,-0.15513392857142858,-0.12719298245614036,-0.15729166666666666,-0.12209302325581395,-0.15625,-0.125,-0.14722222222222223,-0.14030612244897958,-0.12743506493506493,-0.16152597402597402
18 t/m 24_more than 50,0.2222222222222222,0.16666666666666666,0.1111111111111111,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.1111111111111111,0.2777777777777778,0.1111111111111111,0.0,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.2222222222222222,0.16666666666666666,0.0,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.2777777777777778,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,-0.2861328125,-0.13541666666666666,-0.10576923076923078,-0.12083333333333332,-0.0859375,-0.0875,-0.1015625,-0.10546875,-0.1328125,-0.09375,-0.11666666666666667,-0.125,-0.15,-0.1328125,-0.09765625,-0.1171875,-0.125,-0.08984375,-0.125,-0.11249999999999999,-0.125,-0.15833333333333333,-0.125,-0.125,-0.1388888888888889,-0.16666666666666666
25 t/m 34_10-19 km,0.5714285714285714,0.21428571428571427,0.07142857142857142,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.0,0.35714285714285715,0.21428571428571427,0.0,0.03571428571428571,0.39285714285714285,0.21428571428571427,0.32142857142857145,0.5714285714285714,0.10714285714285714,0.17857142857142858,0.10714285714285714,0.14285714285714285,0.03571428571428571,0.35714285714285715,0.14285714285714285,0.0,0.03571428571428571,0.07142857142857142,0.35714285714285715,0.2857142857142857,0.17857142857142858,0.14285714285714285,0.32142857142857145,0.2857142857142857,0.10714285714285714,0.10714285714285714,0.42857142857142855,0.03571428571428571,0.25,0.10714285714285714,0.17857142857142858,0.4642857142857143,0.07142857142857142,-0.284375,-0.125,-0.12019230769230768,-0.13125,-0.14351851851851852,-0.1331521739130435,-0.16346153846153846,-0.17548076923076922,-0.13942307692307693,-0.12,-0.12187500000000001,-0.16145833333333334,-0.15865384615384615,-0.1525,-0.11197916666666666,-0.175,-0.18229166666666666,-0.165,-0.1825,-0.134375,-0.1825,-0.16193181818181818,-0.165625,-0.15476190476190477,-0.14285714285714285,-0.15401785714285715
25 t/m 34_20-29 km,0.5357142857142857,0.32142857142857145,0.03571428571428571,0.6071428571428571,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.4642857142857143,0.14285714285714285,0.32142857142857145,0.35714285714285715,0.07142857142857142,0.0,0.5357142857142857,0.2857142857142857,0.14285714285714285,0.6428571428571429,0.25,0.07142857142857142,0.21428571428571427,0.25,0.10714285714285714,0.25,0.14285714285714285,0.03571428571428571,0.0,0.0,0.39285714285714285,0.39285714285714285,0.2857142857142857,0.17857142857142858,0.4642857142857143,0.2857142857142857,0.10714285714285714,0.10714285714285714,0.32142857142857145,0.17857142857142858,0.2857142857142857,0.17857142857142858,0.10714285714285714,0.39285714285714285,0.03571428571428571,-0.280625,-0.10714285714285715,-0.08035714285714285,-0.09855769230769232,-0.11607142857142858,-0.11057692307692307,-0.13701923076923078,-0.14583333333333334,-0.13839285714285715,-0.10336538461538461,-0.1225,-0.14583333333333334,-0.1412037037037037,-0.14583333333333334,-0.09259259259259259,-0.15104166666666666,-0.145,-0.125,-0.14,-0.11197916666666666,-0.1466346153846154,-0.13020833333333334,-0.1525,-0.15,-0.13169642857142858,-0.14508928571428573
25 t/m 34_30-49 km,0.3333333333333333,0.2222222222222222,0.13333333333333333,0.26666666666666666,0.17777777777777778,0.2,0.2222222222222222,0.35555555555555557,0.15555555555555556,0.3111111111111111,0.3333333333333333,0.17777777777777778,0.0,0.37777777777777777,0.2222222222222222,0.15555555555555556,0.6,0.28888888888888886,0.2222222222222222,0.2,0.2,0.1111111111111111,0.2222222222222222,0.24444444444444444,0.1111111111111111,0.022222222222222223,0.0,0.35555555555555557,0.26666666666666666,0.3111111111111111,0.2,0.4,0.26666666666666666,0.17777777777777778,0.2,0.17777777777777778,0.13333333333333333,0.17777777777777778,0.08888888888888889,0.08888888888888889,0.3111111111111111,0.0,-0.28415697674418605,-0.13517441860465115,-0.11755952380952381,-0.13141025641025642,-0.12042682926829268,-0.1267361111111111,-0.15033783783783783,-0.14583333333333334,-0.14329268292682926,-0.11677631578947367,-0.15104166666666666,-0.12652439024390244,-0.14473684210526316,-0.14967105263157895,-0.10416666666666666,-0.1423611111111111,-0.13344594594594594,-0.11805555555555555,-0.13322368421052633,-0.1392857142857143,-0.14102564102564102,-0.13513513513513514,-0.14285714285714285,-0.13815789473684212,-0.1597222222222222,-0.15138888888888888
25 t/m 34_Less than 10 km,0.4868421052631579,0.15789473684210525,0.013157894736842105,0.5394736842105263,0.39473684210526316,0.07894736842105263,0.25,0.13157894736842105,0.02631578947368421,0.3684210526315789,0.17105263157894737,0.0,0.02631578947368421,0.39473684210526316,0.2631578947368421,0.11842105263157894,0.5263157894736842,0.32894736842105265,0.07894736842105263,0.2236842105263158,0.06578947368421052,0.02631578947368421,0.34210526315789475,0.14473684210526316,0.02631578947368421,0.013157894736842105,0.14473684210526316,0.4605263157894737,0.47368421052631576,0.3026315789473684,0.13157894736842105,0.3684210526315789,0.40789473684210525,0.2894736842105263,0.13157894736842105,0.3026315789473684,0.05263157894736842,0.21052631578947367,0.11842105263157894,0.13157894736842105,0.39473684210526316,0.05263157894736842,-0.283203125,-0.08571428571428572,-0.08114035087719298,-0.09517045454545456,-0.1096311475409836,-0.11666666666666667,-0.14802631578947367,-0.14583333333333334,-0.09479166666666666,-0.08333333333333334,-0.10416666666666666,-0.14458955223880596,-0.12938596491228072,-0.14802631578947367,-0.07944915254237289,-0.15178571428571427,-0.15318627450980393,-0.125,-0.17025862068965517,-0.1233974358974359,-0.15736607142857142,-0.11931818181818182,-0.1556372549019608,-0.13875,-0.11924342105263158,-0.16365131578947367
25 t/m 34_more than 50,0.5135135135135135,0.32432432432432434,0.08108108108108109,0.5135135135135135,0.4594594594594595,0.08108108108108109,0.32432432432432434,0.1891891891891892,0.21621621621621623,0.35135135135135137,0.24324324324324326,0.10810810810810811,0.02702702702702703,0.35135135135135137,0.35135135135135137,0.2972972972972973,0.4594594594594595,0.2972972972972973,0.21621621621621623,0.21621621621621623,0.10810810810810811,0.13513513513513514,0.35135135135135137,0.24324324324324326,0.08108108108108109,0.02702702702702703,0.0,0.40540540540540543,0.2972972972972973,0.2702702702702703,0.16216216216216217,0.35135135135135137,0.43243243243243246,0.2702702702702703,0.21621621621621623,0.5135135135135135,0.13513513513513514,0.21621621621621623,0.21621621621621623,0.2702702702702703,0.32432432432432434,0.0,-0.28794642857142855,-0.11284722222222221,-0.10069444444444445,-0.11458333333333334,-0.1284722222222222,-0.13035714285714287,-0.15073529411764705,-0.1371527777777778,-0.15104166666666666,-0.08928571428571427,-0.12903225806451613,-0.1545138888888889,-0.14189189189189189,-0.15178571428571427,-0.09966216216216217,-0.14642857142857144,-0.15357142857142858,-0.130859375,-0.16477272727272727,-0.1310483870967742,-0.18382352941176472,-0.1310483870967742,-0.1640625,-0.14204545454545456,-0.15033783783783783,-0.16047297297297297
