popolazione,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_13,Q18_14,Q18_15,Q18_16,Q18_17,Q18_18,Q18_19,Q18_20,Q18_21,Q18_22,Q18_23,Q20,Q21
18 t/m 24_10-19 km,0.3548387096774194,0.22580645161290322,0.1935483870967742,0.5483870967741935,0.3225806451612903,0.06451612903225806,0.3225806451612903,0.25806451612903225,0.12903225806451613,0.3548387096774194,0.41935483870967744,0.0,0.0,0.16129032258064516,0.25806451612903225,0.4838709677419355,0.5161290322580645,0.2903225806451613,0.03225806451612903,0.0967741935483871,0.16129032258064516,0.16129032258064516,0.2903225806451613,0.1935483870967742,0.12903225806451613,0.0,0.12903225806451613,0.3225806451612903,0.5161290322580645,0.22580645161290322,0.06451612903225806,0.3225806451612903,0.3225806451612903,0.3225806451612903,0.12903225806451613,0.3225806451612903,0.03225806451612903,0.0967741935483871,0.16129032258064516,0.2903225806451613,0.4838709677419355,0.0,0.5344827586206896,0.5916666666666667,0.6209677419354839,0.4051724137931034,0.5166666666666667,0.4083333333333333,0.30833333333333335,0.3629032258064516,0.4916666666666667,0.4722222222222222,0.43518518518518523,0.3666666666666667,0.44166666666666665,0.34259259259259256,0.6388888888888888,0.3666666666666667,0.3793103448275862,0.575,0.3145161290322581,0.4807692307692307,0.2946428571428571,0.43333333333333335,0.3879310344827587,0.2931034482758621,0.3790322580645161,0.4354838709677419
18 t/m 24_20-29 km,0.37037037037037035,0.18518518518518517,0.14814814814814814,0.4444444444444444,0.14814814814814814,0.037037037037037035,0.25925925925925924,0.3333333333333333,0.18518518518518517,0.37037037037037035,0.25925925925925924,0.14814814814814814,0.037037037037037035,0.2222222222222222,0.1111111111111111,0.37037037037037035,0.6296296296296297,0.2222222222222222,0.07407407407407407,0.2222222222222222,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0,0.07407407407407407,0.18518518518518517,0.3333333333333333,0.25925925925925924,0.2962962962962963,0.2962962962962963,0.2222222222222222,0.18518518518518517,0.14814814814814814,0.18518518518518517,0.07407407407407407,0.037037037037037035,0.1111111111111111,0.18518518518518517,0.2222222222222222,0.037037037037037035,0.43518518518518523,0.40740740740740744,0.4903846153846154,0.51,0.5,0.4807692307692307,0.37037037037037035,0.3942307692307693,0.40740740740740744,0.5673076923076923,0.4807692307692307,0.33999999999999997,0.4,0.34615384615384615,0.5,0.4814814814814815,0.39,0.42000000000000004,0.38888888888888884,0.44565217391304346,0.40625,0.3522727272727273,0.41666666666666663,0.35,0.35185185185185186,0.42592592592592593
18 t/m 24_30-49 km,0.3902439024390244,0.21951219512195122,0.2926829268292683,0.4634146341463415,0.21951219512195122,0.17073170731707318,0.2926829268292683,0.36585365853658536,0.12195121951219512,0.2926829268292683,0.43902439024390244,0.12195121951219512,0.024390243902439025,0.21951219512195122,0.1951219512195122,0.4878048780487805,0.6341463414634146,0.17073170731707318,0.14634146341463414,0.21951219512195122,0.17073170731707318,0.17073170731707318,0.2682926829268293,0.2926829268292683,0.12195121951219512,0.0,0.024390243902439025,0.24390243902439024,0.2682926829268293,0.43902439024390244,0.2926829268292683,0.3902439024390244,0.34146341463414637,0.17073170731707318,0.14634146341463414,0.2926829268292683,0.17073170731707318,0.17073170731707318,0.0975609756097561,0.21951219512195122,0.2682926829268293,0.024390243902439025,0.4,0.3780487804878049,0.5853658536585366,0.3910256410256411,0.54375,0.4375,0.4085365853658537,0.3780487804878049,0.36585365853658536,0.4551282051282052,0.3375,0.375,0.36875,0.35624999999999996,0.46341463414634143,0.3780487804878049,0.33974358974358976,0.4390243902439024,0.2987804878048781,0.4125,0.375,0.4358974358974359,0.3653846153846154,0.41463414634146345,0.3719512195121951,0.4024390243902439
18 t/m 24_Less than 10 km,0.52,0.4,0.16,0.56,0.28,0.0,0.28,0.4,0.04,0.32,0.24,0.08,0.0,0.4,0.28,0.44,0.56,0.36,0.08,0.2,0.16,0.08,0.16,0.24,0.08,0.04,0.08,0.2,0.28,0.36,0.24,0.44,0.28,0.24,0.2,0.52,0.04,0.16,0.16,0.36,0.28,0.0,0.4565217391304348,0.61,0.5625,0.44318181818181823,0.48958333333333337,0.44318181818181823,0.41666666666666663,0.43181818181818177,0.5454545454545454,0.6818181818181818,0.5357142857142857,0.42708333333333337,0.43181818181818177,0.375,0.532608695652174,0.42105263157894735,0.32894736842105265,0.46590909090909094,0.2954545454545454,0.5147058823529411,0.42500000000000004,0.42500000000000004,0.421875,0.48863636363636365,0.49,0.4
18 t/m 24_more than 50,0.3157894736842105,0.2631578947368421,0.42105263157894735,0.5263157894736842,0.3684210526315789,0.21052631578947367,0.6842105263157895,0.3157894736842105,0.10526315789473684,0.21052631578947367,0.3684210526315789,0.21052631578947367,0.0,0.10526315789473684,0.21052631578947367,0.42105263157894735,0.47368421052631576,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.21052631578947367,0.10526315789473684,0.3157894736842105,0.21052631578947367,0.21052631578947367,0.0,0.10526315789473684,0.15789473684210525,0.3684210526315789,0.3684210526315789,0.2631578947368421,0.3157894736842105,0.42105263157894735,0.3684210526315789,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.10526315789473684,0.2631578947368421,0.42105263157894735,0.0,0.45833333333333337,0.381578947368421,0.48684210526315785,0.4722222222222222,0.4342105263157895,0.4078947368421053,0.39473684210526316,0.3055555555555556,0.381578947368421,0.381578947368421,0.42647058823529416,0.3194444444444444,0.368421052631579,0.368421052631579,0.41666666666666663,0.33333333333333337,0.4444444444444444,0.368421052631579,0.3421052631578947,0.368421052631579,0.4027777777777778,0.3472222222222222,0.4117647058823529,0.41666666666666663,0.39473684210526316,0.4473684210526315
25 t/m 34_10-19 km,0.43902439024390244,0.24390243902439024,0.24390243902439024,0.6585365853658537,0.3170731707317073,0.0975609756097561,0.34146341463414637,0.34146341463414637,0.1951219512195122,0.34146341463414637,0.36585365853658536,0.17073170731707318,0.04878048780487805,0.24390243902439024,0.2682926829268293,0.5365853658536586,0.5365853658536586,0.34146341463414637,0.024390243902439025,0.21951219512195122,0.12195121951219512,0.12195121951219512,0.21951219512195122,0.14634146341463414,0.07317073170731707,0.024390243902439025,0.0975609756097561,0.1951219512195122,0.36585365853658536,0.1951219512195122,0.14634146341463414,0.4634146341463415,0.2682926829268293,0.1951219512195122,0.0975609756097561,0.4146341463414634,0.04878048780487805,0.1951219512195122,0.17073170731707318,0.3170731707317073,0.3902439024390244,0.024390243902439025,0.43918918918918914,0.6346153846153846,0.6418918918918919,0.5833333333333334,0.5743243243243243,0.4338235294117647,0.35344827586206895,0.35,0.5202702702702703,0.5625,0.5514705882352942,0.33108108108108103,0.4191176470588235,0.33783783783783783,0.5945945945945946,0.31818181818181823,0.3145161290322581,0.5378787878787878,0.2364864864864865,0.3666666666666667,0.24242424242424243,0.3214285714285714,0.30833333333333335,0.3125,0.44512195121951215,0.35365853658536583
25 t/m 34_20-29 km,0.46,0.32,0.3,0.68,0.36,0.12,0.44,0.42,0.14,0.34,0.36,0.2,0.02,0.18,0.24,0.74,0.6,0.28,0.12,0.34,0.22,0.2,0.28,0.2,0.16,0.02,0.06,0.18,0.44,0.36,0.24,0.42,0.52,0.26,0.18,0.44,0.14,0.22,0.2,0.38,0.26,0.02,0.484375,0.5612244897959183,0.6467391304347826,0.5813953488372093,0.5691489361702128,0.5416666666666666,0.4476744186046512,0.453125,0.5053191489361702,0.6277777777777778,0.5,0.4444444444444444,0.3977272727272727,0.3622448979591837,0.578125,0.36413043478260865,0.4414893617021277,0.5611111111111111,0.35416666666666663,0.525,0.3670212765957447,0.4551282051282052,0.38829787234042556,0.4,0.41000000000000003,0.42000000000000004
25 t/m 34_30-49 km,0.4666666666666667,0.3333333333333333,0.3111111111111111,0.4,0.2,0.18888888888888888,0.2777777777777778,0.34444444444444444,0.16666666666666666,0.28888888888888886,0.3,0.2222222222222222,0.03333333333333333,0.16666666666666666,0.2111111111111111,0.5222222222222223,0.4888888888888889,0.28888888888888886,0.14444444444444443,0.3,0.2,0.15555555555555556,0.2,0.12222222222222222,0.13333333333333333,0.022222222222222223,0.044444444444444446,0.18888888888888888,0.26666666666666666,0.35555555555555557,0.25555555555555554,0.4444444444444444,0.34444444444444444,0.2222222222222222,0.2111111111111111,0.28888888888888886,0.15555555555555556,0.1111111111111111,0.06666666666666667,0.18888888888888888,0.2111111111111111,0.011111111111111112,0.4411764705882353,0.449438202247191,0.5482954545454546,0.5030487804878049,0.49712643678160917,0.5090361445783133,0.35882352941176465,0.39655172413793105,0.4747191011235955,0.47159090909090906,0.44345238095238093,0.3936781609195402,0.37790697674418605,0.3793103448275862,0.44999999999999996,0.361764705882353,0.35,0.4482758620689655,0.3735955056179775,0.45731707317073167,0.3522727272727273,0.4285714285714286,0.3633720930232558,0.37058823529411766,0.34444444444444444,0.4111111111111111
25 t/m 34_Less than 10 km,0.5652173913043478,0.2826086956521739,0.1956521739130435,0.717391304347826,0.34782608695652173,0.13043478260869565,0.5434782608695652,0.2826086956521739,0.13043478260869565,0.5,0.32608695652173914,0.10869565217391304,0.021739130434782608,0.2608695652173913,0.15217391304347827,0.4782608695652174,0.6521739130434783,0.30434782608695654,0.17391304347826086,0.2391304347826087,0.21739130434782608,0.10869565217391304,0.3695652173913043,0.1956521739130435,0.043478260869565216,0.021739130434782608,0.06521739130434782,0.32608695652173914,0.43478260869565216,0.2826086956521739,0.13043478260869565,0.32608695652173914,0.391304347826087,0.2826086956521739,0.15217391304347827,0.5434782608695652,0.043478260869565216,0.2391304347826087,0.10869565217391304,0.2608695652173913,0.5,0.043478260869565216,0.4294871794871795,0.6477272727272727,0.6309523809523809,0.5609756097560976,0.50625,0.4609375,0.4276315789473685,0.4276315789473685,0.5256410256410257,0.6025641025641025,0.5625,0.35119047619047616,0.40625,0.3717948717948718,0.56875,0.4027777777777778,0.41025641025641024,0.5,0.3081395348837209,0.43333333333333335,0.29054054054054057,0.45394736842105265,0.36904761904761907,0.43125,0.5054347826086957,0.27717391304347827
25 t/m 34_more than 50,0.625,0.2916666666666667,0.4791666666666667,0.5,0.3958333333333333,0.08333333333333333,0.3333333333333333,0.3541666666666667,0.125,0.5,0.2916666666666667,0.1875,0.0,0.3333333333333333,0.2916666666666667,0.6666666666666666,0.6041666666666666,0.25,0.10416666666666667,0.2916666666666667,0.1875,0.125,0.375,0.22916666666666666,0.25,0.041666666666666664,0.020833333333333332,0.20833333333333334,0.2916666666666667,0.2916666666666667,0.22916666666666666,0.5625,0.5,0.22916666666666666,0.20833333333333334,0.5625,0.1875,0.20833333333333334,0.125,0.4166666666666667,0.4166666666666667,0.041666666666666664,0.40957446808510634,0.48404255319148937,0.5888888888888889,0.4476744186046512,0.5397727272727273,0.5119047619047619,0.4534883720930233,0.4555555555555556,0.2777777777777778,0.5523255813953488,0.44886363636363635,0.4222222222222223,0.3414634146341463,0.3111111111111111,0.4722222222222222,0.3085106382978723,0.4,0.4347826086956522,0.2222222222222222,0.42261904761904767,0.26086956521739135,0.3522727272727273,0.3222222222222222,0.3351063829787234,0.38541666666666663,0.35416666666666663
