popolazione,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_13,Q18_14,Q18_15,Q18_16,Q18_17,Q18_18,Q18_19,Q18_20,Q18_21,Q18_22,Q18_23,Q20,Q21
18 t/m 24_Less than 10 km,0.5,0.1206896551724138,0.08620689655172414,0.5172413793103449,0.3448275862068966,0.034482758620689655,0.3620689655172414,0.2413793103448276,0.06896551724137931,0.5689655172413793,0.05172413793103448,0.08620689655172414,0.017241379310344827,0.2413793103448276,0.22413793103448276,0.3793103448275862,0.5172413793103449,0.22413793103448276,0.05172413793103448,0.1724137931034483,0.1206896551724138,0.05172413793103448,0.39655172413793105,0.10344827586206896,0.05172413793103448,0.017241379310344827,0.05172413793103448,0.20689655172413793,0.603448275862069,0.4482758620689655,0.08620689655172414,0.1724137931034483,0.27586206896551724,0.41379310344827586,0.1206896551724138,0.10344827586206896,0.0,0.2413793103448276,0.15517241379310345,0.034482758620689655,0.1724137931034483,0.0,0.4870689655172413,0.6206896551724138,0.6767241379310345,0.625,0.47413793103448276,0.4525862068965517,0.4267241379310345,0.47844827586206895,0.625,0.6293103448275862,0.5862068965517241,0.40086206896551724,0.47413793103448276,0.4094827586206896,0.6336206896551724,0.4655172413793104,0.4181034482758621,0.5905172413793104,0.4267241379310345,0.5258620689655172,0.3663793103448276,0.4913793103448276,0.4655172413793104,0.4224137931034483,0.5086206896551724,0.39655172413793105
18 t/m 24_10-19 km,0.5517241379310345,0.1724137931034483,0.20689655172413793,0.5517241379310345,0.3103448275862069,0.13793103448275862,0.3793103448275862,0.3793103448275862,0.1724137931034483,0.4827586206896552,0.1724137931034483,0.10344827586206896,0.0,0.41379310344827586,0.20689655172413793,0.41379310344827586,0.5172413793103449,0.3448275862068966,0.20689655172413793,0.3103448275862069,0.41379310344827586,0.3103448275862069,0.3793103448275862,0.1724137931034483,0.20689655172413793,0.0,0.034482758620689655,0.27586206896551724,0.5517241379310345,0.5517241379310345,0.13793103448275862,0.3448275862068966,0.41379310344827586,0.4827586206896552,0.1724137931034483,0.13793103448275862,0.0,0.20689655172413793,0.10344827586206896,0.13793103448275862,0.27586206896551724,0.0,0.5172413793103449,0.646551724137931,0.6724137931034483,0.6551724137931034,0.47413793103448276,0.4655172413793104,0.4224137931034483,0.39655172413793105,0.6293103448275862,0.6206896551724138,0.5258620689655172,0.4051724137931034,0.4568965517241379,0.4568965517241379,0.6551724137931034,0.4482758620689655,0.4913793103448276,0.5948275862068966,0.3275862068965517,0.603448275862069,0.39655172413793105,0.5172413793103449,0.5431034482758621,0.4913793103448276,0.4137931034482759,0.4051724137931034
18 t/m 24_20-29 km,0.5714285714285714,0.3333333333333333,0.047619047619047616,0.5238095238095238,0.2857142857142857,0.047619047619047616,0.38095238095238093,0.38095238095238093,0.09523809523809523,0.5238095238095238,0.19047619047619047,0.047619047619047616,0.0,0.38095238095238093,0.38095238095238093,0.3333333333333333,0.6190476190476191,0.19047619047619047,0.09523809523809523,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.23809523809523808,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.2857142857142857,0.8095238095238095,0.47619047619047616,0.19047619047619047,0.2857142857142857,0.47619047619047616,0.47619047619047616,0.14285714285714285,0.09523809523809523,0.0,0.3333333333333333,0.23809523809523808,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.5595238095238095,0.6785714285714286,0.7261904761904762,0.5952380952380952,0.34523809523809523,0.40476190476190477,0.45238095238095233,0.38095238095238093,0.6071428571428571,0.6428571428571429,0.5952380952380952,0.33333333333333337,0.48809523809523814,0.44047619047619047,0.5357142857142857,0.4642857142857143,0.41666666666666663,0.5476190476190477,0.36904761904761907,0.6071428571428571,0.27380952380952384,0.48809523809523814,0.5,0.41666666666666663,0.5119047619047619,0.44047619047619047
18 t/m 24_30-49 km,0.4827586206896552,0.2413793103448276,0.06896551724137931,0.41379310344827586,0.3103448275862069,0.06896551724137931,0.3448275862068966,0.4827586206896552,0.13793103448275862,0.41379310344827586,0.13793103448275862,0.06896551724137931,0.034482758620689655,0.3103448275862069,0.2413793103448276,0.41379310344827586,0.5172413793103449,0.2413793103448276,0.034482758620689655,0.1724137931034483,0.3448275862068966,0.06896551724137931,0.3103448275862069,0.0,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.20689655172413793,0.6551724137931034,0.4482758620689655,0.2413793103448276,0.1724137931034483,0.3793103448275862,0.4482758620689655,0.10344827586206896,0.20689655172413793,0.034482758620689655,0.27586206896551724,0.10344827586206896,0.13793103448275862,0.20689655172413793,0.0,0.48275862068965514,0.5775862068965517,0.6551724137931034,0.5862068965517241,0.4568965517241379,0.43965517241379315,0.4568965517241379,0.4137931034482759,0.5775862068965517,0.6810344827586207,0.603448275862069,0.47413793103448276,0.4655172413793104,0.4568965517241379,0.603448275862069,0.48275862068965514,0.4224137931034483,0.5689655172413793,0.3793103448275862,0.48275862068965514,0.3620689655172413,0.43965517241379315,0.4655172413793104,0.4224137931034483,0.4655172413793104,0.4137931034482759
18 t/m 24_more than 50,0.391304347826087,0.34782608695652173,0.17391304347826086,0.391304347826087,0.391304347826087,0.30434782608695654,0.2608695652173913,0.30434782608695654,0.30434782608695654,0.6521739130434783,0.17391304347826086,0.21739130434782608,0.043478260869565216,0.391304347826087,0.2608695652173913,0.30434782608695654,0.391304347826087,0.17391304347826086,0.17391304347826086,0.21739130434782608,0.2608695652173913,0.17391304347826086,0.34782608695652173,0.21739130434782608,0.13043478260869565,0.0,0.08695652173913043,0.2608695652173913,0.4782608695652174,0.43478260869565216,0.2608695652173913,0.30434782608695654,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.30434782608695654,0.08695652173913043,0.2608695652173913,0.21739130434782608,0.2608695652173913,0.17391304347826086,0.0,0.5217391304347826,0.6304347826086957,0.6739130434782609,0.5434782608695652,0.5760869565217391,0.5434782608695652,0.4565217391304348,0.42391304347826086,0.4782608695652174,0.6086956521739131,0.5,0.40217391304347827,0.4565217391304348,0.4130434782608695,0.5978260869565217,0.4565217391304348,0.3695652173913043,0.5869565217391305,0.3695652173913043,0.5434782608695652,0.3804347826086957,0.42391304347826086,0.3586956521739131,0.46739130434782605,0.4347826086956522,0.5
25 t/m 34_Less than 10 km,0.6206896551724138,0.26436781609195403,0.06896551724137931,0.6091954022988506,0.2988505747126437,0.08045977011494253,0.40229885057471265,0.3793103448275862,0.034482758620689655,0.5977011494252874,0.19540229885057472,0.011494252873563218,0.04597701149425287,0.3103448275862069,0.19540229885057472,0.41379310344827586,0.5862068965517241,0.19540229885057472,0.10344827586206896,0.28735632183908044,0.2413793103448276,0.06896551724137931,0.4942528735632184,0.22988505747126436,0.08045977011494253,0.022988505747126436,0.04597701149425287,0.22988505747126436,0.5287356321839081,0.39080459770114945,0.10344827586206896,0.14942528735632185,0.4482758620689655,0.4942528735632184,0.13793103448275862,0.1724137931034483,0.04597701149425287,0.3448275862068966,0.10344827586206896,0.12643678160919541,0.19540229885057472,0.011494252873563218,0.5344827586206896,0.7097701149425287,0.6752873563218391,0.6408045977011494,0.45114942528735635,0.49712643678160917,0.4655172413793104,0.45977011494252873,0.6264367816091954,0.6350574712643678,0.5747126436781609,0.4137931034482759,0.42816091954022983,0.4339080459770115,0.6494252873563219,0.46264367816091956,0.4339080459770115,0.5632183908045977,0.3706896551724138,0.5603448275862069,0.34195402298850575,0.514367816091954,0.45402298850574707,0.4482758620689655,0.5402298850574713,0.3994252873563219
25 t/m 34_10-19 km,0.5208333333333334,0.2708333333333333,0.20833333333333334,0.5625,0.2708333333333333,0.16666666666666666,0.3125,0.2916666666666667,0.041666666666666664,0.4791666666666667,0.14583333333333334,0.08333333333333333,0.0,0.2708333333333333,0.25,0.375,0.5625,0.22916666666666666,0.10416666666666667,0.1875,0.16666666666666666,0.08333333333333333,0.5208333333333334,0.041666666666666664,0.0625,0.0,0.08333333333333333,0.22916666666666666,0.4375,0.4375,0.1875,0.2916666666666667,0.3958333333333333,0.3541666666666667,0.14583333333333334,0.10416666666666667,0.020833333333333332,0.20833333333333334,0.0625,0.10416666666666667,0.3333333333333333,0.0,0.53125,0.6354166666666666,0.6510416666666666,0.59375,0.42708333333333337,0.48958333333333337,0.4375,0.44791666666666663,0.5677083333333334,0.609375,0.578125,0.42708333333333337,0.46875,0.4375,0.5625,0.44791666666666663,0.39583333333333337,0.5,0.32291666666666663,0.453125,0.33333333333333337,0.4375,0.421875,0.47916666666666663,0.44791666666666663,0.40625
25 t/m 34_20-29 km,0.5555555555555556,0.37037037037037035,0.14814814814814814,0.5925925925925926,0.2222222222222222,0.07407407407407407,0.3333333333333333,0.2222222222222222,0.07407407407407407,0.6296296296296297,0.18518518518518517,0.037037037037037035,0.037037037037037035,0.2222222222222222,0.37037037037037035,0.5555555555555556,0.4444444444444444,0.4074074074074074,0.14814814814814814,0.25925925925925924,0.2222222222222222,0.1111111111111111,0.5185185185185185,0.14814814814814814,0.14814814814814814,0.037037037037037035,0.037037037037037035,0.2962962962962963,0.5185185185185185,0.48148148148148145,0.18518518518518517,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.2962962962962963,0.0,0.2962962962962963,0.25925925925925924,0.18518518518518517,0.3333333333333333,0.0,0.5462962962962963,0.6944444444444444,0.7777777777777777,0.6666666666666666,0.5185185185185185,0.5740740740740741,0.5092592592592593,0.5370370370370371,0.6666666666666666,0.6481481481481481,0.6111111111111112,0.5185185185185185,0.5092592592592593,0.4907407407407407,0.6574074074074074,0.5185185185185185,0.40740740740740744,0.6018518518518519,0.34259259259259256,0.5833333333333334,0.2870370370370371,0.5555555555555556,0.5185185185185185,0.5092592592592593,0.5092592592592593,0.4722222222222222
25 t/m 34_30-49 km,0.43902439024390244,0.2926829268292683,0.0975609756097561,0.6097560975609756,0.17073170731707318,0.12195121951219512,0.43902439024390244,0.34146341463414637,0.12195121951219512,0.5609756097560976,0.24390243902439024,0.0975609756097561,0.0,0.2682926829268293,0.3170731707317073,0.4878048780487805,0.5853658536585366,0.17073170731707318,0.12195121951219512,0.3170731707317073,0.2682926829268293,0.12195121951219512,0.3902439024390244,0.0975609756097561,0.07317073170731707,0.0,0.0,0.3170731707317073,0.3902439024390244,0.5121951219512195,0.2682926829268293,0.34146341463414637,0.24390243902439024,0.43902439024390244,0.12195121951219512,0.2926829268292683,0.04878048780487805,0.3170731707317073,0.1951219512195122,0.2682926829268293,0.2682926829268293,0.04878048780487805,0.4878048780487805,0.5426829268292683,0.5853658536585366,0.5487804878048781,0.38414634146341464,0.3719512195121951,0.3719512195121951,0.3780487804878049,0.4817073170731707,0.5792682926829268,0.5365853658536586,0.30487804878048785,0.4207317073170732,0.3780487804878049,0.5548780487804879,0.4024390243902439,0.33536585365853655,0.4817073170731707,0.31707317073170727,0.426829268292683,0.25,0.43292682926829273,0.3475609756097561,0.3780487804878049,0.38414634146341464,0.4390243902439024
25 t/m 34_more than 50,0.62,0.24,0.16,0.44,0.2,0.06,0.3,0.32,0.06,0.52,0.12,0.06,0.02,0.18,0.2,0.48,0.46,0.12,0.16,0.1,0.26,0.1,0.28,0.08,0.02,0.0,0.1,0.22,0.38,0.26,0.14,0.22,0.38,0.28,0.16,0.14,0.1,0.24,0.12,0.16,0.18,0.08,0.41500000000000004,0.46499999999999997,0.62,0.59,0.42500000000000004,0.395,0.48,0.43000000000000005,0.47,0.585,0.46499999999999997,0.405,0.515,0.39,0.53,0.44499999999999995,0.33999999999999997,0.5,0.395,0.515,0.395,0.45999999999999996,0.42000000000000004,0.475,0.385,0.41500000000000004
