popolazione,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_13,Q18_14,Q18_15,Q18_16,Q18_17,Q18_18,Q18_19,Q18_20,Q18_21,Q18_22,Q18_23,Q20,Q21
18 t/m 24_Less than 10 km,0.5106382978723404,0.2978723404255319,0.06382978723404255,0.7446808510638298,0.2978723404255319,0.06382978723404255,0.3404255319148936,0.2127659574468085,0.06382978723404255,0.425531914893617,0.3829787234042553,0.0851063829787234,0.0425531914893617,0.2765957446808511,0.2127659574468085,0.2765957446808511,0.5957446808510638,0.3191489361702128,0.10638297872340426,0.2765957446808511,0.0851063829787234,0.0425531914893617,0.3191489361702128,0.2765957446808511,0.06382978723404255,0.06382978723404255,0.1276595744680851,0.2978723404255319,0.46808510638297873,0.23404255319148937,0.0425531914893617,0.2765957446808511,0.3191489361702128,0.425531914893617,0.1276595744680851,0.23404255319148937,0.02127659574468085,0.3829787234042553,0.0851063829787234,0.1276595744680851,0.5319148936170213,0.02127659574468085,0.3457446808510638,0.7287234042553191,0.6436170212765957,0.5691489361702128,0.5478723404255319,0.5053191489361702,0.4521276595744681,0.4521276595744681,0.6276595744680851,0.648936170212766,0.5478723404255319,0.38829787234042556,0.43617021276595747,0.49468085106382975,0.6914893617021277,0.4627659574468085,0.42553191489361697,0.5425531914893617,0.37234042553191493,0.5319148936170213,0.39893617021276595,0.5,0.4308510638297872,0.4521276595744681,0.5053191489361702,0.42553191489361697
18 t/m 24_10-19 km,0.6785714285714286,0.35714285714285715,0.10714285714285714,0.8214285714285714,0.25,0.07142857142857142,0.32142857142857145,0.2857142857142857,0.03571428571428571,0.35714285714285715,0.39285714285714285,0.07142857142857142,0.03571428571428571,0.35714285714285715,0.25,0.14285714285714285,0.5357142857142857,0.25,0.03571428571428571,0.32142857142857145,0.25,0.03571428571428571,0.32142857142857145,0.25,0.0,0.03571428571428571,0.10714285714285714,0.4642857142857143,0.5357142857142857,0.2857142857142857,0.10714285714285714,0.5,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.17857142857142858,0.03571428571428571,0.39285714285714285,0.10714285714285714,0.10714285714285714,0.35714285714285715,0.0,0.3035714285714286,0.6517857142857143,0.5267857142857143,0.5,0.4910714285714286,0.4464285714285714,0.3571428571428571,0.4732142857142857,0.5446428571428571,0.6607142857142857,0.5535714285714286,0.4196428571428571,0.4553571428571429,0.4375,0.6160714285714286,0.3839285714285714,0.3928571428571429,0.4732142857142857,0.4017857142857143,0.5,0.3571428571428571,0.4107142857142857,0.3928571428571429,0.4107142857142857,0.4642857142857143,0.4464285714285714
18 t/m 24_20-29 km,0.5714285714285714,0.21428571428571427,0.0,0.7142857142857143,0.21428571428571427,0.07142857142857142,0.2857142857142857,0.35714285714285715,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.07142857142857142,0.0,0.2857142857142857,0.35714285714285715,0.14285714285714285,0.5,0.35714285714285715,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.2857142857142857,0.21428571428571427,0.07142857142857142,0.0,0.0,0.35714285714285715,0.5,0.21428571428571427,0.07142857142857142,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.07142857142857142,0.35714285714285715,0.07142857142857142,0.2857142857142857,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.0,0.25,0.6785714285714286,0.625,0.375,0.4821428571428571,0.5,0.3035714285714286,0.375,0.5,0.6428571428571429,0.5,0.375,0.4464285714285714,0.4642857142857143,0.7142857142857143,0.4821428571428571,0.3928571428571429,0.5892857142857143,0.4107142857142857,0.375,0.25,0.3571428571428571,0.3928571428571429,0.4285714285714286,0.4464285714285714,0.4285714285714286
18 t/m 24_30-49 km,0.5,0.2692307692307692,0.038461538461538464,0.8461538461538461,0.07692307692307693,0.15384615384615385,0.2692307692307692,0.3076923076923077,0.0,0.46153846153846156,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.11538461538461539,0.23076923076923078,0.5,0.15384615384615385,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.0,0.19230769230769232,0.11538461538461539,0.07692307692307693,0.0,0.15384615384615385,0.2692307692307692,0.34615384615384615,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.19230769230769232,0.34615384615384615,0.11538461538461539,0.34615384615384615,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.19230769230769232,0.2692307692307692,0.0,0.47115384615384615,0.5961538461538461,0.5288461538461539,0.47115384615384615,0.40384615384615385,0.5192307692307693,0.27884615384615385,0.4326923076923077,0.46153846153846156,0.5769230769230769,0.4423076923076923,0.27884615384615385,0.42307692307692313,0.3076923076923077,0.5480769230769231,0.375,0.3173076923076923,0.5,0.34615384615384615,0.46153846153846156,0.3076923076923077,0.375,0.375,0.41346153846153844,0.4807692307692307,0.45192307692307687
18 t/m 24_more than 50,0.5555555555555556,0.2777777777777778,0.1111111111111111,0.8888888888888888,0.2777777777777778,0.05555555555555555,0.4444444444444444,0.2777777777777778,0.1111111111111111,0.3333333333333333,0.3888888888888889,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.2777777777777778,0.3888888888888889,0.6111111111111112,0.2222222222222222,0.05555555555555555,0.2777777777777778,0.16666666666666666,0.0,0.2777777777777778,0.16666666666666666,0.05555555555555555,0.0,0.05555555555555555,0.2777777777777778,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.2777777777777778,0.1111111111111111,0.05555555555555555,0.3888888888888889,0.1111111111111111,0.16666666666666666,0.3888888888888889,0.0,0.38888888888888884,0.6666666666666666,0.625,0.5416666666666666,0.4305555555555556,0.4722222222222222,0.4305555555555556,0.38888888888888884,0.4305555555555556,0.625,0.48611111111111116,0.375,0.41666666666666663,0.4444444444444444,0.625,0.4027777777777778,0.4027777777777778,0.48611111111111116,0.33333333333333337,0.48611111111111116,0.29166666666666663,0.38888888888888884,0.41666666666666663,0.4444444444444444,0.5138888888888888,0.4305555555555556
25 t/m 34_Less than 10 km,0.5857142857142857,0.2571428571428571,0.04285714285714286,0.6857142857142857,0.15714285714285714,0.07142857142857142,0.42857142857142855,0.24285714285714285,0.014285714285714285,0.38571428571428573,0.14285714285714285,0.0,0.1,0.24285714285714285,0.14285714285714285,0.37142857142857144,0.6857142857142857,0.2,0.1,0.2571428571428571,0.11428571428571428,0.014285714285714285,0.4142857142857143,0.08571428571428572,0.014285714285714285,0.11428571428571428,0.12857142857142856,0.32857142857142857,0.45714285714285713,0.12857142857142856,0.05714285714285714,0.32857142857142857,0.4142857142857143,0.2571428571428571,0.12857142857142856,0.37142857142857144,0.02857142857142857,0.4142857142857143,0.18571428571428572,0.2571428571428571,0.6285714285714286,0.04285714285714286,0.3285714285714286,0.6857142857142857,0.6357142857142857,0.5142857142857142,0.49642857142857144,0.5,0.4107142857142857,0.48571428571428577,0.6285714285714286,0.6535714285714286,0.5607142857142857,0.3821428571428571,0.4285714285714286,0.41428571428571426,0.7035714285714286,0.42500000000000004,0.375,0.5428571428571428,0.4,0.5,0.2964285714285714,0.44999999999999996,0.3857142857142857,0.39642857142857146,0.5392857142857143,0.44285714285714284
25 t/m 34_10-19 km,0.5121951219512195,0.2926829268292683,0.04878048780487805,0.8536585365853658,0.07317073170731707,0.04878048780487805,0.5121951219512195,0.3902439024390244,0.024390243902439025,0.2926829268292683,0.34146341463414637,0.0,0.024390243902439025,0.36585365853658536,0.1951219512195122,0.2682926829268293,0.6585365853658537,0.07317073170731707,0.07317073170731707,0.2926829268292683,0.17073170731707318,0.024390243902439025,0.2926829268292683,0.24390243902439024,0.0,0.0,0.07317073170731707,0.36585365853658536,0.2926829268292683,0.17073170731707318,0.04878048780487805,0.21951219512195122,0.2682926829268293,0.1951219512195122,0.14634146341463414,0.1951219512195122,0.0975609756097561,0.43902439024390244,0.07317073170731707,0.14634146341463414,0.4634146341463415,0.0,0.4085365853658537,0.5487804878048781,0.5426829268292683,0.4817073170731707,0.4390243902439024,0.5060975609756098,0.4024390243902439,0.43292682926829273,0.5853658536585366,0.6097560975609756,0.5609756097560976,0.35365853658536583,0.4024390243902439,0.3780487804878049,0.6097560975609756,0.3719512195121951,0.426829268292683,0.49390243902439024,0.41463414634146345,0.4512195121951219,0.31707317073170727,0.4024390243902439,0.3780487804878049,0.39634146341463417,0.49390243902439024,0.43292682926829273
25 t/m 34_20-29 km,0.4444444444444444,0.25925925925925924,0.18518518518518517,0.6666666666666666,0.18518518518518517,0.037037037037037035,0.48148148148148145,0.25925925925925924,0.0,0.37037037037037035,0.3333333333333333,0.07407407407407407,0.0,0.25925925925925924,0.18518518518518517,0.5185185185185185,0.6296296296296297,0.2222222222222222,0.1111111111111111,0.14814814814814814,0.037037037037037035,0.07407407407407407,0.14814814814814814,0.14814814814814814,0.037037037037037035,0.0,0.1111111111111111,0.4074074074074074,0.37037037037037035,0.18518518518518517,0.07407407407407407,0.2962962962962963,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.5555555555555556,0.07407407407407407,0.3333333333333333,0.7037037037037037,0.0,0.2685185185185185,0.6481481481481481,0.6574074074074074,0.4722222222222222,0.5185185185185185,0.5462962962962963,0.43518518518518523,0.42592592592592593,0.6388888888888888,0.6759259259259259,0.5462962962962963,0.4444444444444444,0.4629629629629629,0.4537037037037037,0.6481481481481481,0.4722222222222222,0.37037037037037035,0.5555555555555556,0.38888888888888884,0.4907407407407407,0.2592592592592593,0.4629629629629629,0.4444444444444444,0.4814814814814815,0.4537037037037037,0.37962962962962965
25 t/m 34_30-49 km,0.43137254901960786,0.2549019607843137,0.058823529411764705,0.5490196078431373,0.13725490196078433,0.0392156862745098,0.47058823529411764,0.2549019607843137,0.058823529411764705,0.17647058823529413,0.21568627450980393,0.13725490196078433,0.0,0.1568627450980392,0.09803921568627451,0.29411764705882354,0.5490196078431373,0.19607843137254902,0.09803921568627451,0.19607843137254902,0.0784313725490196,0.0196078431372549,0.11764705882352941,0.09803921568627451,0.0,0.0,0.11764705882352941,0.17647058823529413,0.2549019607843137,0.09803921568627451,0.13725490196078433,0.29411764705882354,0.23529411764705882,0.11764705882352941,0.0784313725490196,0.19607843137254902,0.0196078431372549,0.1568627450980392,0.0392156862745098,0.11764705882352941,0.27450980392156865,0.0196078431372549,0.38235294117647056,0.5637254901960784,0.5441176470588235,0.4852941176470589,0.4509803921568627,0.42647058823529416,0.3921568627450981,0.43137254901960786,0.4950980392156863,0.5637254901960784,0.4607843137254902,0.38235294117647056,0.41666666666666663,0.3970588235294118,0.5588235294117647,0.4607843137254902,0.3970588235294118,0.4607843137254902,0.3578431372549019,0.47058823529411764,0.3480392156862745,0.4558823529411765,0.4509803921568627,0.4362745098039216,0.4411764705882353,0.446078431372549
25 t/m 34_more than 50,0.5789473684210527,0.34210526315789475,0.18421052631578946,0.631578947368421,0.18421052631578946,0.07894736842105263,0.4473684210526316,0.42105263157894735,0.13157894736842105,0.21052631578947367,0.34210526315789475,0.05263157894736842,0.0,0.15789473684210525,0.18421052631578946,0.3157894736842105,0.5526315789473685,0.21052631578947367,0.15789473684210525,0.3157894736842105,0.21052631578947367,0.18421052631578946,0.21052631578947367,0.18421052631578946,0.07894736842105263,0.0,0.15789473684210525,0.10526315789473684,0.23684210526315788,0.13157894736842105,0.15789473684210525,0.23684210526315788,0.34210526315789475,0.23684210526315788,0.13157894736842105,0.2631578947368421,0.05263157894736842,0.3684210526315789,0.05263157894736842,0.18421052631578946,0.3157894736842105,0.05263157894736842,0.4342105263157895,0.625,0.5789473684210527,0.493421052631579,0.4473684210526315,0.48026315789473684,0.3421052631578947,0.38815789473684215,0.45394736842105265,0.5657894736842105,0.45394736842105265,0.368421052631579,0.381578947368421,0.381578947368421,0.5921052631578947,0.3486842105263158,0.3355263157894737,0.4342105263157895,0.3421052631578947,0.42105263157894735,0.23026315789473684,0.4407894736842105,0.3486842105263158,0.3355263157894737,0.4473684210526315,0.4407894736842105
