population,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_13,Q18_14,Q18_15,Q18_16,Q18_17,Q18_18,Q18_19,Q18_20,Q18_21,Q18_22,Q18_23,Q20,Q21
18 t/m 24_less than 4.999,0.4117647058823529,0.3382352941176471,0.014705882352941176,0.5735294117647058,0.4264705882352941,0.10294117647058823,0.3088235294117647,0.19117647058823528,0.14705882352941177,0.27941176470588236,0.3235294117647059,0.07352941176470588,0.04411764705882353,0.5147058823529411,0.38235294117647056,0.10294117647058823,0.6029411764705882,0.36764705882352944,0.07352941176470588,0.2647058823529412,0.22058823529411764,0.11764705882352941,0.29411764705882354,0.20588235294117646,0.08823529411764706,0.029411764705882353,0.014705882352941176,0.4117647058823529,0.5147058823529411,0.25,0.22058823529411764,0.29411764705882354,0.29411764705882354,0.3088235294117647,0.17647058823529413,0.29411764705882354,0.04411764705882353,0.29411764705882354,0.058823529411764705,0.07352941176470588,0.38235294117647056,0.04411764705882353,0.4595588235294118,0.6948529411764706,0.6691176470588235,0.5808823529411765,0.5147058823529411,0.5147058823529411,0.4595588235294118,0.44485294117647056,0.5625,0.6360294117647058,0.5147058823529411,0.4558823529411765,0.44485294117647056,0.44485294117647056,0.5992647058823529,0.4522058823529411,0.38602941176470584,0.4963235294117647,0.40441176470588236,0.5220588235294118,0.3933823529411765,0.48897058823529416,0.4522058823529411,0.4632352941176471,0.4963235294117647,0.36397058823529416
18 t/m 24_5.000-9.999,0.23529411764705882,0.29411764705882354,0.0,0.47058823529411764,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.23529411764705882,0.23529411764705882,0.058823529411764705,0.0,0.35294117647058826,0.17647058823529413,0.11764705882352941,0.29411764705882354,0.23529411764705882,0.11764705882352941,0.0,0.29411764705882354,0.11764705882352941,0.17647058823529413,0.29411764705882354,0.0,0.0,0.0,0.23529411764705882,0.47058823529411764,0.23529411764705882,0.17647058823529413,0.35294117647058826,0.17647058823529413,0.11764705882352941,0.23529411764705882,0.17647058823529413,0.0,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.23529411764705882,0.0,0.5441176470588235,0.47058823529411764,0.5882352941176471,0.5294117647058824,0.6029411764705882,0.47058823529411764,0.42647058823529416,0.36764705882352944,0.5882352941176471,0.5441176470588235,0.5,0.47058823529411764,0.5147058823529411,0.38235294117647056,0.5735294117647058,0.38235294117647056,0.42647058823529416,0.5147058823529411,0.42647058823529416,0.6029411764705882,0.42647058823529416,0.4852941176470589,0.4852941176470589,0.4852941176470589,0.4558823529411765,0.4558823529411765
18 t/m 24_10.000-19.999,0.46153846153846156,0.358974358974359,0.07692307692307693,0.5641025641025641,0.38461538461538464,0.23076923076923078,0.38461538461538464,0.41025641025641024,0.1282051282051282,0.3076923076923077,0.358974358974359,0.05128205128205128,0.05128205128205128,0.46153846153846156,0.3333333333333333,0.10256410256410256,0.48717948717948717,0.358974358974359,0.1794871794871795,0.07692307692307693,0.3076923076923077,0.1282051282051282,0.3076923076923077,0.23076923076923078,0.05128205128205128,0.0,0.02564102564102564,0.358974358974359,0.48717948717948717,0.3076923076923077,0.10256410256410256,0.4358974358974359,0.4358974358974359,0.3076923076923077,0.23076923076923078,0.46153846153846156,0.10256410256410256,0.23076923076923078,0.2564102564102564,0.20512820512820512,0.5641025641025641,0.0,0.46794871794871795,0.5512820512820513,0.5384615384615384,0.5,0.5192307692307693,0.4551282051282052,0.4423076923076923,0.42307692307692313,0.4358974358974359,0.5769230769230769,0.5256410256410257,0.3205128205128205,0.40384615384615385,0.3910256410256411,0.5576923076923077,0.35256410256410253,0.3717948717948718,0.46794871794871795,0.3653846153846154,0.5256410256410257,0.33333333333333337,0.4358974358974359,0.41025641025641024,0.4487179487179487,0.3653846153846154,0.3782051282051282
18 t/m 24_20.000-29.999,0.42424242424242425,0.15151515151515152,0.09090909090909091,0.36363636363636365,0.30303030303030304,0.12121212121212122,0.21212121212121213,0.21212121212121213,0.12121212121212122,0.18181818181818182,0.2727272727272727,0.12121212121212122,0.0,0.3333333333333333,0.24242424242424243,0.06060606060606061,0.24242424242424243,0.3333333333333333,0.09090909090909091,0.06060606060606061,0.24242424242424243,0.09090909090909091,0.18181818181818182,0.12121212121212122,0.12121212121212122,0.0,0.06060606060606061,0.24242424242424243,0.24242424242424243,0.42424242424242425,0.15151515151515152,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.15151515151515152,0.12121212121212122,0.09090909090909091,0.30303030303030304,0.12121212121212122,0.0,0.21212121212121213,0.0,0.446969696969697,0.5833333333333334,0.6439393939393939,0.6439393939393939,0.5757575757575758,0.5,0.4696969696969697,0.553030303030303,0.5833333333333334,0.5606060606060606,0.5,0.4545454545454546,0.5075757575757576,0.41666666666666663,0.5757575757575758,0.5075757575757576,0.4696969696969697,0.5227272727272727,0.5075757575757576,0.5075757575757576,0.4242424242424242,0.43181818181818177,0.5,0.5227272727272727,0.38636363636363635,0.40909090909090906
18 t/m 24_more than 30.000,0.2608695652173913,0.21739130434782608,0.08695652173913043,0.30434782608695654,0.21739130434782608,0.13043478260869565,0.21739130434782608,0.21739130434782608,0.17391304347826086,0.13043478260869565,0.2608695652173913,0.21739130434782608,0.043478260869565216,0.30434782608695654,0.043478260869565216,0.08695652173913043,0.391304347826087,0.43478260869565216,0.17391304347826086,0.13043478260869565,0.17391304347826086,0.2608695652173913,0.13043478260869565,0.21739130434782608,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.30434782608695654,0.30434782608695654,0.34782608695652173,0.30434782608695654,0.2608695652173913,0.17391304347826086,0.17391304347826086,0.13043478260869565,0.17391304347826086,0.13043478260869565,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.17391304347826086,0.0,0.4130434782608695,0.5652173913043478,0.5652173913043478,0.48913043478260865,0.532608695652174,0.5652173913043478,0.5,0.48913043478260865,0.46739130434782605,0.5434782608695652,0.48913043478260865,0.3913043478260869,0.3913043478260869,0.3804347826086957,0.5434782608695652,0.46739130434782605,0.4565217391304348,0.5108695652173914,0.4565217391304348,0.4782608695652174,0.4347826086956522,0.3804347826086957,0.4565217391304348,0.3586956521739131,0.44565217391304346,0.32608695652173914
25 t/m 34_less than 4.999,0.5166666666666667,0.2,0.0,0.5,0.4,0.15,0.21666666666666667,0.15,0.03333333333333333,0.35,0.18333333333333332,0.0,0.03333333333333333,0.45,0.23333333333333334,0.1,0.5,0.31666666666666665,0.06666666666666667,0.2,0.05,0.05,0.3,0.11666666666666667,0.016666666666666666,0.03333333333333333,0.11666666666666667,0.36666666666666664,0.38333333333333336,0.3333333333333333,0.08333333333333333,0.31666666666666665,0.36666666666666664,0.25,0.11666666666666667,0.31666666666666665,0.06666666666666667,0.2,0.11666666666666667,0.05,0.3333333333333333,0.06666666666666667,0.4291666666666667,0.625,0.5791666666666667,0.5541666666666667,0.5333333333333333,0.525,0.4375,0.42500000000000004,0.5541666666666667,0.5875,0.5291666666666667,0.4458333333333333,0.45833333333333337,0.43333333333333335,0.6541666666666667,0.44166666666666665,0.4291666666666667,0.5166666666666667,0.3833333333333333,0.5083333333333333,0.4208333333333333,0.4833333333333333,0.4208333333333333,0.4666666666666667,0.5458333333333333,0.36250000000000004
25 t/m 34_5.000-9.999,0.6190476190476191,0.23809523809523808,0.047619047619047616,0.6666666666666666,0.23809523809523808,0.19047619047619047,0.3333333333333333,0.2857142857142857,0.09523809523809523,0.5714285714285714,0.23809523809523808,0.09523809523809523,0.0,0.5238095238095238,0.38095238095238093,0.19047619047619047,0.6190476190476191,0.23809523809523808,0.19047619047619047,0.19047619047619047,0.14285714285714285,0.0,0.5238095238095238,0.09523809523809523,0.047619047619047616,0.0,0.09523809523809523,0.6190476190476191,0.47619047619047616,0.19047619047619047,0.09523809523809523,0.3333333333333333,0.42857142857142855,0.14285714285714285,0.09523809523809523,0.3333333333333333,0.047619047619047616,0.2857142857142857,0.19047619047619047,0.19047619047619047,0.5714285714285714,0.09523809523809523,0.45238095238095233,0.5595238095238095,0.6428571428571429,0.5714285714285714,0.5595238095238095,0.48809523809523814,0.38095238095238093,0.38095238095238093,0.5238095238095238,0.6547619047619048,0.5952380952380952,0.47619047619047616,0.48809523809523814,0.4642857142857143,0.6666666666666666,0.4285714285714286,0.41666666666666663,0.5476190476190477,0.34523809523809523,0.5357142857142857,0.40476190476190477,0.4642857142857143,0.45238095238095233,0.5,0.5119047619047619,0.34523809523809523
25 t/m 34_10.000-19.999,0.43137254901960786,0.19607843137254902,0.0196078431372549,0.45098039215686275,0.27450980392156865,0.09803921568627451,0.2549019607843137,0.3137254901960784,0.0392156862745098,0.3137254901960784,0.19607843137254902,0.0392156862745098,0.0,0.3137254901960784,0.23529411764705882,0.09803921568627451,0.5686274509803921,0.21568627450980393,0.17647058823529413,0.1568627450980392,0.17647058823529413,0.0392156862745098,0.2549019607843137,0.0784313725490196,0.0196078431372549,0.0,0.0784313725490196,0.45098039215686275,0.39215686274509803,0.3137254901960784,0.19607843137254902,0.3137254901960784,0.27450980392156865,0.17647058823529413,0.0784313725490196,0.29411764705882354,0.0784313725490196,0.1568627450980392,0.058823529411764705,0.0784313725490196,0.29411764705882354,0.0,0.4117647058823529,0.5,0.5784313725490197,0.5245098039215687,0.5245098039215687,0.5294117647058824,0.4019607843137255,0.37745098039215685,0.4607843137254902,0.553921568627451,0.47549019607843135,0.42647058823529416,0.41666666666666663,0.3921568627450981,0.553921568627451,0.42647058823529416,0.4019607843137255,0.46568627450980393,0.3970588235294118,0.4901960784313726,0.4068627450980392,0.5,0.42647058823529416,0.4362745098039216,0.3921568627450981,0.3529411764705882
25 t/m 34_20.000-29.999,0.45,0.25,0.1,0.475,0.275,0.15,0.275,0.2,0.125,0.225,0.275,0.025,0.0,0.3,0.15,0.275,0.5,0.25,0.125,0.25,0.075,0.1,0.2,0.225,0.025,0.025,0.0,0.25,0.25,0.25,0.15,0.5,0.3,0.225,0.15,0.325,0.1,0.175,0.125,0.2,0.3,0.0,0.48124999999999996,0.525,0.6375,0.49375,0.5125,0.48124999999999996,0.39375000000000004,0.40625,0.45625000000000004,0.56875,0.48750000000000004,0.39375000000000004,0.41874999999999996,0.41874999999999996,0.61875,0.36875,0.375,0.475,0.39375000000000004,0.48124999999999996,0.32499999999999996,0.4375,0.38125,0.41874999999999996,0.38749999999999996,0.38749999999999996
25 t/m 34_more than 30.000,0.45714285714285713,0.3142857142857143,0.14285714285714285,0.4857142857142857,0.2857142857142857,0.08571428571428572,0.2,0.4,0.2857142857142857,0.4,0.4,0.22857142857142856,0.02857142857142857,0.4857142857142857,0.4857142857142857,0.3142857142857143,0.6,0.37142857142857144,0.3142857142857143,0.22857142857142856,0.34285714285714286,0.2,0.42857142857142855,0.42857142857142855,0.17142857142857143,0.02857142857142857,0.0,0.5428571428571428,0.37142857142857144,0.4,0.34285714285714286,0.45714285714285713,0.4857142857142857,0.2857142857142857,0.4,0.45714285714285713,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.3142857142857143,0.4,0.02857142857142857,0.40714285714285714,0.5785714285714286,0.5785714285714286,0.5714285714285714,0.4714285714285714,0.48571428571428577,0.44285714285714284,0.5071428571428571,0.4,0.6214285714285714,0.4571428571428572,0.4357142857142857,0.4642857142857143,0.41428571428571426,0.5785714285714286,0.41428571428571426,0.4357142857142857,0.4714285714285714,0.3928571428571429,0.44285714285714284,0.30000000000000004,0.47857142857142854,0.3571428571428571,0.44999999999999996,0.4285714285714286,0.3928571428571429
