popolazione,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_13,Q18_14,Q18_15,Q18_16,Q18_17,Q18_18,Q18_19,Q18_20,Q18_21,Q18_22,Q18_23,Q20,Q21
18 t/m 24_10.000-19.999,0.36363636363636365,0.22727272727272727,0.1590909090909091,0.5227272727272727,0.3409090909090909,0.11363636363636363,0.3181818181818182,0.4318181818181818,0.11363636363636363,0.3181818181818182,0.3409090909090909,0.09090909090909091,0.022727272727272728,0.1590909090909091,0.11363636363636363,0.5454545454545454,0.6136363636363636,0.3181818181818182,0.11363636363636363,0.22727272727272727,0.1590909090909091,0.06818181818181818,0.18181818181818182,0.22727272727272727,0.06818181818181818,0.0,0.045454545454545456,0.25,0.3181818181818182,0.3181818181818182,0.20454545454545456,0.36363636363636365,0.4318181818181818,0.25,0.13636363636363635,0.3181818181818182,0.09090909090909091,0.06818181818181818,0.11363636363636363,0.29545454545454547,0.36363636363636365,0.0,0.4204545454545454,0.49431818181818177,0.5738636363636364,0.47619047619047616,0.5568181818181818,0.43023255813953487,0.36046511627906974,0.42613636363636365,0.44318181818181823,0.5058139534883721,0.4534883720930233,0.40909090909090906,0.3571428571428571,0.36309523809523814,0.5581395348837209,0.41279069767441856,0.38068181818181823,0.4375,0.3579545454545454,0.44999999999999996,0.3392857142857143,0.43125,0.36904761904761907,0.34302325581395354,0.40909090909090906,0.3920454545454546
18 t/m 24_20.000-29.999,0.55,0.3,0.2,0.4,0.3,0.15,0.25,0.35,0.05,0.3,0.4,0.1,0.0,0.3,0.2,0.5,0.7,0.15,0.1,0.05,0.15,0.2,0.35,0.2,0.1,0.0,0.05,0.3,0.3,0.4,0.15,0.35,0.4,0.1,0.25,0.2,0.05,0.1,0.1,0.35,0.35,0.0,0.475,0.5375,0.5875,0.4473684210526315,0.4342105263157895,0.42500000000000004,0.44999999999999996,0.32499999999999996,0.2894736842105263,0.45833333333333337,0.3055555555555556,0.4444444444444444,0.48684210526315785,0.35526315789473684,0.5131578947368421,0.38749999999999996,0.2763157894736842,0.4375,0.3125,0.48684210526315785,0.39473684210526316,0.4375,0.4,0.42500000000000004,0.38749999999999996,0.4125
18 t/m 24_5.000-9.999,0.36,0.28,0.16,0.52,0.16,0.08,0.32,0.32,0.16,0.28,0.28,0.16,0.0,0.24,0.24,0.4,0.48,0.28,0.12,0.2,0.16,0.12,0.16,0.04,0.12,0.0,0.08,0.16,0.4,0.2,0.32,0.4,0.28,0.28,0.16,0.24,0.04,0.12,0.12,0.24,0.24,0.04,0.42708333333333337,0.38,0.45999999999999996,0.42391304347826086,0.40625,0.3152173913043478,0.25,0.25,0.36,0.44565217391304346,0.3804347826086957,0.28125,0.36458333333333337,0.28125,0.39583333333333337,0.32999999999999996,0.3522727272727273,0.41666666666666663,0.29000000000000004,0.4130434782608695,0.34375,0.34782608695652173,0.3522727272727273,0.32608695652173914,0.31999999999999995,0.44999999999999996
18 t/m 24_less than 4.999,0.4482758620689655,0.20689655172413793,0.20689655172413793,0.5172413793103449,0.20689655172413793,0.0,0.3448275862068966,0.1724137931034483,0.034482758620689655,0.3103448275862069,0.41379310344827586,0.06896551724137931,0.0,0.27586206896551724,0.20689655172413793,0.3448275862068966,0.4827586206896552,0.27586206896551724,0.034482758620689655,0.13793103448275862,0.10344827586206896,0.10344827586206896,0.20689655172413793,0.3103448275862069,0.10344827586206896,0.034482758620689655,0.13793103448275862,0.1724137931034483,0.3793103448275862,0.3448275862068966,0.2413793103448276,0.3448275862068966,0.10344827586206896,0.2413793103448276,0.10344827586206896,0.3448275862068966,0.034482758620689655,0.10344827586206896,0.1724137931034483,0.20689655172413793,0.3448275862068966,0.0,0.4732142857142857,0.4913793103448276,0.5740740740740741,0.41346153846153844,0.5370370370370371,0.4910714285714286,0.37962962962962965,0.47115384615384615,0.5648148148148148,0.5961538461538461,0.45999999999999996,0.3846153846153846,0.4326923076923077,0.3055555555555556,0.5555555555555556,0.45192307692307687,0.3586956521739131,0.5096153846153846,0.2857142857142857,0.4642857142857143,0.44565217391304346,0.41666666666666663,0.475,0.39814814814814814,0.4137931034482759,0.4482758620689655
18 t/m 24_more than 30.000,0.2857142857142857,0.23809523809523808,0.6190476190476191,0.47619047619047616,0.23809523809523808,0.19047619047619047,0.47619047619047616,0.42857142857142855,0.2857142857142857,0.23809523809523808,0.42857142857142855,0.14285714285714285,0.047619047619047616,0.14285714285714285,0.38095238095238093,0.47619047619047616,0.6190476190476191,0.14285714285714285,0.09523809523809523,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.2857142857142857,0.0,0.047619047619047616,0.2857142857142857,0.38095238095238093,0.47619047619047616,0.3333333333333333,0.2857142857142857,0.38095238095238093,0.3333333333333333,0.19047619047619047,0.38095238095238093,0.38095238095238093,0.2857142857142857,0.09523809523809523,0.23809523809523808,0.38095238095238093,0.047619047619047616,0.475,0.3214285714285714,0.5119047619047619,0.36250000000000004,0.5,0.47619047619047616,0.4642857142857143,0.33333333333333337,0.36904761904761907,0.4642857142857143,0.44999999999999996,0.27380952380952384,0.4285714285714286,0.4285714285714286,0.475,0.3571428571428571,0.45238095238095233,0.5,0.3214285714285714,0.41666666666666663,0.3928571428571429,0.38749999999999996,0.4125,0.4642857142857143,0.3571428571428571,0.4285714285714286
25 t/m 34_10.000-19.999,0.5543478260869565,0.2717391304347826,0.30434782608695654,0.5760869565217391,0.30434782608695654,0.11956521739130435,0.391304347826087,0.34782608695652173,0.16304347826086957,0.32608695652173914,0.33695652173913043,0.14130434782608695,0.021739130434782608,0.11956521739130435,0.1956521739130435,0.6304347826086957,0.5869565217391305,0.25,0.09782608695652174,0.2826086956521739,0.16304347826086957,0.15217391304347827,0.31521739130434784,0.10869565217391304,0.09782608695652174,0.03260869565217391,0.05434782608695652,0.18478260869565216,0.40217391304347827,0.2826086956521739,0.2826086956521739,0.4782608695652174,0.4673913043478261,0.2717391304347826,0.10869565217391304,0.43478260869565216,0.18478260869565216,0.21739130434782608,0.13043478260869565,0.33695652173913043,0.358695652173913,0.03260869565217391,0.4454022988505747,0.554945054945055,0.651685393258427,0.584375,0.5747126436781609,0.49687499999999996,0.4464285714285714,0.4205882352941176,0.449438202247191,0.561046511627907,0.5391566265060241,0.3960674157303371,0.37202380952380953,0.35277777777777775,0.5340909090909091,0.351123595505618,0.39488636363636365,0.4911764705882353,0.3027777777777778,0.4664634146341463,0.32065217391304346,0.38953488372093026,0.34659090909090906,0.33806818181818177,0.4130434782608695,0.3804347826086957
25 t/m 34_20.000-29.999,0.5,0.391304347826087,0.32608695652173914,0.43478260869565216,0.1956521739130435,0.08695652173913043,0.5217391304347826,0.34782608695652173,0.15217391304347827,0.32608695652173914,0.30434782608695654,0.2608695652173913,0.021739130434782608,0.2608695652173913,0.2826086956521739,0.6521739130434783,0.5217391304347826,0.2391304347826087,0.08695652173913043,0.2826086956521739,0.2608695652173913,0.10869565217391304,0.2391304347826087,0.2826086956521739,0.2826086956521739,0.0,0.021739130434782608,0.2391304347826087,0.2608695652173913,0.34782608695652173,0.2391304347826087,0.5217391304347826,0.30434782608695654,0.2608695652173913,0.2391304347826087,0.43478260869565216,0.10869565217391304,0.1956521739130435,0.10869565217391304,0.391304347826087,0.30434782608695654,0.0,0.43333333333333335,0.5380434782608695,0.5454545454545454,0.47560975609756095,0.5397727272727273,0.4878048780487805,0.3571428571428571,0.3555555555555555,0.4347826086956522,0.46590909090909094,0.38690476190476186,0.42613636363636365,0.34883720930232553,0.31818181818181823,0.4602272727272727,0.3023255813953488,0.38372093023255816,0.5227272727272727,0.3277777777777777,0.44999999999999996,0.30681818181818177,0.42307692307692313,0.35119047619047616,0.3780487804878049,0.40760869565217395,0.3913043478260869
25 t/m 34_5.000-9.999,0.47619047619047616,0.23809523809523808,0.21428571428571427,0.7857142857142857,0.3333333333333333,0.07142857142857142,0.2857142857142857,0.35714285714285715,0.11904761904761904,0.4523809523809524,0.2857142857142857,0.14285714285714285,0.0,0.21428571428571427,0.16666666666666666,0.5,0.6190476190476191,0.2857142857142857,0.023809523809523808,0.19047619047619047,0.14285714285714285,0.07142857142857142,0.23809523809523808,0.09523809523809523,0.09523809523809523,0.0,0.11904761904761904,0.14285714285714285,0.23809523809523808,0.30952380952380953,0.19047619047619047,0.3333333333333333,0.40476190476190477,0.16666666666666666,0.07142857142857142,0.40476190476190477,0.023809523809523808,0.16666666666666666,0.09523809523809523,0.19047619047619047,0.23809523809523808,0.0,0.48684210526315785,0.5460526315789473,0.6346153846153846,0.6071428571428571,0.5064102564102564,0.5,0.3897058823529411,0.48026315789473684,0.5921052631578947,0.5928571428571429,0.5735294117647058,0.39583333333333337,0.40625,0.4013157894736842,0.581081081081081,0.375,0.3712121212121212,0.5208333333333334,0.33783783783783783,0.4553571428571429,0.29729729729729726,0.4696969696969697,0.3445945945945946,0.3857142857142857,0.42261904761904767,0.3571428571428571
25 t/m 34_less than 4.999,0.4888888888888889,0.3111111111111111,0.28888888888888886,0.6444444444444445,0.3111111111111111,0.15555555555555556,0.4222222222222222,0.2222222222222222,0.13333333333333333,0.4222222222222222,0.3111111111111111,0.13333333333333333,0.08888888888888889,0.28888888888888886,0.2,0.4444444444444444,0.5555555555555556,0.24444444444444444,0.2,0.3111111111111111,0.17777777777777778,0.13333333333333333,0.3111111111111111,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.1111111111111111,0.28888888888888886,0.35555555555555557,0.24444444444444444,0.15555555555555556,0.3333333333333333,0.3333333333333333,0.24444444444444444,0.2222222222222222,0.4666666666666667,0.06666666666666667,0.2,0.17777777777777778,0.3111111111111111,0.4888888888888889,0.06666666666666667,0.4294871794871795,0.5609756097560976,0.55625,0.5178571428571429,0.4807692307692307,0.4696969696969697,0.44999999999999996,0.3986486486486487,0.5208333333333334,0.6041666666666666,0.4609375,0.33974358974358976,0.42307692307692313,0.381578947368421,0.5448717948717948,0.4097222222222222,0.39583333333333337,0.5,0.3597560975609756,0.43333333333333335,0.30147058823529416,0.44285714285714284,0.41874999999999996,0.4375,0.4666666666666667,0.30000000000000004
25 t/m 34_more than 30.000,0.46153846153846156,0.3269230769230769,0.40384615384615385,0.36538461538461536,0.40384615384615385,0.23076923076923078,0.23076923076923078,0.38461538461538464,0.15384615384615385,0.4230769230769231,0.3076923076923077,0.25,0.019230769230769232,0.3269230769230769,0.28846153846153844,0.5576923076923077,0.4807692307692308,0.4230769230769231,0.19230769230769232,0.3076923076923077,0.17307692307692307,0.19230769230769232,0.21153846153846154,0.15384615384615385,0.11538461538461539,0.057692307692307696,0.038461538461538464,0.25,0.36538461538461536,0.38461538461538464,0.11538461538461539,0.38461538461538464,0.4230769230769231,0.21153846153846154,0.2692307692307692,0.3269230769230769,0.15384615384615385,0.057692307692307696,0.057692307692307696,0.19230769230769232,0.21153846153846154,0.038461538461538464,0.40104166666666663,0.43500000000000005,0.5425531914893617,0.4387755102040817,0.47395833333333337,0.5163043478260869,0.3555555555555555,0.41145833333333337,0.33673469387755106,0.5053191489361702,0.4277777777777778,0.38829787234042556,0.38586956521739135,0.3571428571428571,0.45833333333333337,0.32978723404255317,0.33854166666666663,0.41000000000000003,0.30102040816326525,0.4388888888888889,0.33333333333333337,0.36046511627906974,0.3315217391304348,0.36458333333333337,0.34615384615384615,0.3701923076923077
