popolazione,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_13,Q18_14,Q18_15,Q18_16,Q18_17,Q18_18,Q18_19,Q18_20,Q18_21,Q18_22,Q18_23,Q20,Q21
18 t/m 24_less than 4.999,0.47368421052631576,0.14035087719298245,0.05263157894736842,0.47368421052631576,0.2982456140350877,0.03508771929824561,0.3157894736842105,0.2631578947368421,0.10526315789473684,0.543859649122807,0.07017543859649122,0.10526315789473684,0.017543859649122806,0.24561403508771928,0.24561403508771928,0.3157894736842105,0.49122807017543857,0.15789473684210525,0.05263157894736842,0.15789473684210525,0.15789473684210525,0.08771929824561403,0.2982456140350877,0.08771929824561403,0.10526315789473684,0.03508771929824561,0.07017543859649122,0.19298245614035087,0.5614035087719298,0.45614035087719296,0.08771929824561403,0.12280701754385964,0.2807017543859649,0.3684210526315789,0.07017543859649122,0.10526315789473684,0.0,0.17543859649122806,0.14035087719298245,0.03508771929824561,0.12280701754385964,0.03508771929824561,0.4736842105263158,0.6140350877192983,0.6447368421052632,0.6359649122807017,0.4736842105263158,0.4429824561403509,0.4473684210526315,0.4605263157894737,0.618421052631579,0.6008771929824561,0.5921052631578947,0.4122807017543859,0.4736842105263158,0.4342105263157895,0.6271929824561403,0.48245614035087714,0.4473684210526315,0.6008771929824561,0.41666666666666663,0.5701754385964912,0.4078947368421053,0.4956140350877193,0.5,0.4605263157894737,0.4736842105263158,0.39473684210526316
18 t/m 24_5.000-9.999,0.5238095238095238,0.23809523809523808,0.23809523809523808,0.5238095238095238,0.2857142857142857,0.09523809523809523,0.42857142857142855,0.5238095238095238,0.09523809523809523,0.47619047619047616,0.23809523809523808,0.09523809523809523,0.0,0.47619047619047616,0.14285714285714285,0.3333333333333333,0.5714285714285714,0.38095238095238093,0.19047619047619047,0.19047619047619047,0.2857142857142857,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.0,0.2857142857142857,0.7142857142857143,0.47619047619047616,0.14285714285714285,0.38095238095238093,0.38095238095238093,0.47619047619047616,0.19047619047619047,0.23809523809523808,0.0,0.38095238095238093,0.2857142857142857,0.14285714285714285,0.3333333333333333,0.0,0.5595238095238095,0.5952380952380952,0.6190476190476191,0.5833333333333334,0.40476190476190477,0.40476190476190477,0.40476190476190477,0.36904761904761907,0.5357142857142857,0.5833333333333334,0.5595238095238095,0.36904761904761907,0.3571428571428571,0.34523809523809523,0.5952380952380952,0.4642857142857143,0.44047619047619047,0.5595238095238095,0.38095238095238093,0.5476190476190477,0.2857142857142857,0.45238095238095233,0.45238095238095233,0.44047619047619047,0.40476190476190477,0.4285714285714286
18 t/m 24_10.000-19.999,0.5555555555555556,0.2777777777777778,0.1111111111111111,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.3888888888888889,0.2222222222222222,0.2777777777777778,0.6111111111111112,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.3888888888888889,0.2222222222222222,0.4444444444444444,0.5,0.16666666666666666,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.3888888888888889,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.5,0.5555555555555556,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.2777777777777778,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.1111111111111111,0.05555555555555555,0.3333333333333333,0.0,0.4722222222222222,0.625,0.6944444444444444,0.5972222222222222,0.375,0.4027777777777778,0.36111111111111116,0.3194444444444444,0.5138888888888888,0.625,0.5,0.375,0.45833333333333337,0.4444444444444444,0.5833333333333334,0.41666666666666663,0.4027777777777778,0.5694444444444444,0.29166666666666663,0.48611111111111116,0.33333333333333337,0.5138888888888888,0.4305555555555556,0.4305555555555556,0.45833333333333337,0.4305555555555556
18 t/m 24_20.000-29.999,0.6190476190476191,0.2857142857142857,0.0,0.47619047619047616,0.2857142857142857,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.09523809523809523,0.5238095238095238,0.14285714285714285,0.0,0.047619047619047616,0.2857142857142857,0.38095238095238093,0.42857142857142855,0.5714285714285714,0.23809523809523808,0.19047619047619047,0.19047619047619047,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.047619047619047616,0.0,0.0,0.3333333333333333,0.7142857142857143,0.5238095238095238,0.19047619047619047,0.09523809523809523,0.3333333333333333,0.5714285714285714,0.2857142857142857,0.19047619047619047,0.0,0.3333333333333333,0.23809523809523808,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.5238095238095238,0.6666666666666666,0.6904761904761905,0.6071428571428571,0.44047619047619047,0.47619047619047616,0.40476190476190477,0.40476190476190477,0.6309523809523809,0.6428571428571429,0.5357142857142857,0.40476190476190477,0.5595238095238095,0.44047619047619047,0.5833333333333334,0.5,0.40476190476190477,0.5119047619047619,0.40476190476190477,0.5714285714285714,0.34523809523809523,0.5476190476190477,0.4642857142857143,0.48809523809523814,0.47619047619047616,0.5
18 t/m 24_more than 30.000,0.41379310344827586,0.27586206896551724,0.1724137931034483,0.41379310344827586,0.5517241379310345,0.1724137931034483,0.3103448275862069,0.3793103448275862,0.27586206896551724,0.4482758620689655,0.1724137931034483,0.1724137931034483,0.0,0.3448275862068966,0.3103448275862069,0.4482758620689655,0.4482758620689655,0.2413793103448276,0.13793103448275862,0.27586206896551724,0.41379310344827586,0.1724137931034483,0.41379310344827586,0.3103448275862069,0.10344827586206896,0.0,0.034482758620689655,0.2413793103448276,0.6551724137931034,0.4482758620689655,0.27586206896551724,0.3103448275862069,0.4482758620689655,0.41379310344827586,0.10344827586206896,0.27586206896551724,0.10344827586206896,0.2413793103448276,0.13793103448275862,0.3448275862068966,0.20689655172413793,0.0,0.5431034482758621,0.6637931034482759,0.7413793103448276,0.6379310344827587,0.5258620689655172,0.5086206896551724,0.4655172413793104,0.4051724137931034,0.5862068965517241,0.7068965517241379,0.5862068965517241,0.3793103448275862,0.4137931034482759,0.4137931034482759,0.6379310344827587,0.4137931034482759,0.39655172413793105,0.5775862068965517,0.31896551724137934,0.5517241379310345,0.4137931034482759,0.3706896551724138,0.43965517241379315,0.39655172413793105,0.4568965517241379,0.47413793103448276
25 t/m 34_less than 4.999,0.5714285714285714,0.2261904761904762,0.08333333333333333,0.5952380952380952,0.25,0.09523809523809523,0.35714285714285715,0.35714285714285715,0.023809523809523808,0.5,0.17857142857142858,0.023809523809523808,0.03571428571428571,0.27380952380952384,0.2261904761904762,0.34523809523809523,0.5357142857142857,0.16666666666666666,0.07142857142857142,0.23809523809523808,0.2261904761904762,0.023809523809523808,0.4642857142857143,0.17857142857142858,0.03571428571428571,0.023809523809523808,0.08333333333333333,0.2261904761904762,0.4166666666666667,0.40476190476190477,0.07142857142857142,0.14285714285714285,0.44047619047619047,0.40476190476190477,0.13095238095238096,0.17857142857142858,0.03571428571428571,0.2619047619047619,0.05952380952380952,0.09523809523809523,0.20238095238095238,0.011904761904761904,0.5238095238095238,0.6875,0.6488095238095238,0.6160714285714286,0.45238095238095233,0.5,0.48511904761904767,0.47023809523809523,0.6071428571428571,0.6160714285714286,0.5654761904761905,0.44345238095238093,0.44940476190476186,0.4553571428571429,0.6339285714285714,0.46726190476190477,0.43452380952380953,0.5535714285714286,0.3839285714285714,0.5446428571428571,0.37202380952380953,0.5059523809523809,0.4821428571428571,0.49404761904761907,0.5059523809523809,0.3839285714285714
25 t/m 34_5.000-9.999,0.5,0.25,0.1,0.5,0.275,0.075,0.35,0.3,0.05,0.475,0.25,0.05,0.025,0.25,0.175,0.425,0.65,0.25,0.05,0.275,0.25,0.125,0.4,0.125,0.025,0.0,0.025,0.15,0.475,0.35,0.125,0.275,0.35,0.325,0.2,0.15,0.025,0.125,0.1,0.175,0.25,0.0,0.55,0.5875,0.64375,0.59375,0.4375,0.475,0.4125,0.38125,0.51875,0.61875,0.59375,0.4375,0.4625,0.39375000000000004,0.55625,0.43125,0.35,0.48750000000000004,0.33125000000000004,0.43125,0.28125,0.4125,0.39375000000000004,0.4125,0.38749999999999996,0.4375
25 t/m 34_10.000-19.999,0.5660377358490566,0.32075471698113206,0.1320754716981132,0.6226415094339622,0.20754716981132076,0.09433962264150944,0.4339622641509434,0.2830188679245283,0.07547169811320754,0.6415094339622641,0.11320754716981132,0.018867924528301886,0.0,0.20754716981132076,0.22641509433962265,0.5283018867924528,0.4528301886792453,0.20754716981132076,0.22641509433962265,0.20754716981132076,0.24528301886792453,0.1320754716981132,0.4528301886792453,0.07547169811320754,0.03773584905660377,0.018867924528301886,0.05660377358490566,0.22641509433962265,0.5849056603773585,0.4339622641509434,0.1509433962264151,0.18867924528301888,0.3584905660377358,0.49056603773584906,0.07547169811320754,0.09433962264150944,0.0,0.4339622641509434,0.18867924528301888,0.1320754716981132,0.18867924528301888,0.0,0.5330188679245284,0.6084905660377359,0.6933962264150944,0.6415094339622641,0.40094339622641506,0.4339622641509434,0.44811320754716977,0.46226415094339623,0.5943396226415094,0.6509433962264151,0.589622641509434,0.35377358490566035,0.5,0.46698113207547165,0.589622641509434,0.41981132075471694,0.37264150943396224,0.5518867924528302,0.3113207547169812,0.48584905660377353,0.24056603773584906,0.46698113207547165,0.40094339622641506,0.4386792452830188,0.4339622641509434,0.4575471698113207
25 t/m 34_20.000-29.999,0.6666666666666666,0.26666666666666666,0.13333333333333333,0.4,0.13333333333333333,0.16666666666666666,0.3333333333333333,0.26666666666666666,0.1,0.4,0.13333333333333333,0.06666666666666667,0.0,0.23333333333333334,0.3333333333333333,0.5666666666666667,0.5333333333333333,0.1,0.1,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.36666666666666664,0.06666666666666667,0.06666666666666667,0.0,0.0,0.3,0.4666666666666667,0.4,0.26666666666666666,0.26666666666666666,0.43333333333333335,0.4666666666666667,0.1,0.23333333333333334,0.03333333333333333,0.2,0.13333333333333333,0.16666666666666666,0.3,0.06666666666666667,0.45833333333333337,0.5833333333333334,0.6833333333333333,0.575,0.44166666666666665,0.41666666666666663,0.42500000000000004,0.44166666666666665,0.55,0.5916666666666667,0.4833333333333333,0.3416666666666667,0.44999999999999996,0.3666666666666667,0.5583333333333333,0.42500000000000004,0.4083333333333333,0.5083333333333333,0.4,0.5166666666666667,0.35,0.41666666666666663,0.45833333333333337,0.42500000000000004,0.45833333333333337,0.4083333333333333
25 t/m 34_more than 30.000,0.5111111111111111,0.35555555555555557,0.2222222222222222,0.5777777777777777,0.3333333333333333,0.1111111111111111,0.3111111111111111,0.37777777777777777,0.08888888888888889,0.6666666666666666,0.17777777777777778,0.13333333333333333,0.044444444444444446,0.28888888888888886,0.3111111111111111,0.4888888888888889,0.4888888888888889,0.3333333333333333,0.17777777777777778,0.15555555555555556,0.28888888888888886,0.15555555555555556,0.4444444444444444,0.15555555555555556,0.2222222222222222,0.0,0.044444444444444446,0.35555555555555557,0.37777777777777777,0.4222222222222222,0.28888888888888886,0.4444444444444444,0.37777777777777777,0.4444444444444444,0.28888888888888886,0.28888888888888886,0.15555555555555556,0.35555555555555557,0.24444444444444444,0.26666666666666666,0.3333333333333333,0.08888888888888889,0.4555555555555556,0.5611111111111111,0.6277777777777778,0.6,0.44999999999999996,0.4444444444444444,0.44999999999999996,0.4555555555555556,0.5166666666666667,0.5833333333333334,0.48888888888888893,0.4388888888888889,0.46111111111111114,0.3833333333333333,0.6055555555555555,0.5,0.3666666666666667,0.49444444444444446,0.3388888888888889,0.55,0.37777777777777777,0.5333333333333333,0.3833333333333333,0.4666666666666667,0.4555555555555556,0.44999999999999996
