population,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_13,Q18_14,Q18_15,Q18_16,Q18_17,Q18_18,Q18_19,Q18_20,Q18_21,Q18_22,Q18_23,Q20,Q21
18 t/m 24_less than 4.999,0.5405405405405406,0.1891891891891892,0.02702702702702703,0.7567567567567568,0.35135135135135137,0.02702702702702703,0.21621621621621623,0.1891891891891892,0.02702702702702703,0.40540540540540543,0.3783783783783784,0.02702702702702703,0.08108108108108109,0.21621621621621623,0.1891891891891892,0.2702702702702703,0.5405405405405406,0.32432432432432434,0.05405405405405406,0.21621621621621623,0.05405405405405406,0.0,0.2702702702702703,0.2702702702702703,0.0,0.02702702702702703,0.10810810810810811,0.3783783783783784,0.5675675675675675,0.2702702702702703,0.02702702702702703,0.2972972972972973,0.2702702702702703,0.4594594594594595,0.10810810810810811,0.2972972972972973,0.05405405405405406,0.40540540540540543,0.08108108108108109,0.16216216216216217,0.5405405405405406,0.0,0.31756756756756754,0.7027027027027027,0.6283783783783784,0.5540540540540541,0.527027027027027,0.4932432432432432,0.42567567567567566,0.45270270270270274,0.5878378378378378,0.6486486486486487,0.5135135135135135,0.41891891891891897,0.43243243243243246,0.4864864864864865,0.6621621621621622,0.43918918918918914,0.42567567567567566,0.5608108108108109,0.4054054054054054,0.4864864864864865,0.3648648648648649,0.45945945945945943,0.3851351351351351,0.43918918918918914,0.527027027027027,0.41891891891891897
18 t/m 24_5.000-9.999,0.5789473684210527,0.3684210526315789,0.10526315789473684,0.6842105263157895,0.10526315789473684,0.05263157894736842,0.47368421052631576,0.3157894736842105,0.05263157894736842,0.3684210526315789,0.42105263157894735,0.15789473684210525,0.0,0.42105263157894735,0.15789473684210525,0.21052631578947367,0.631578947368421,0.21052631578947367,0.05263157894736842,0.2631578947368421,0.2631578947368421,0.10526315789473684,0.2631578947368421,0.3157894736842105,0.05263157894736842,0.0,0.10526315789473684,0.3684210526315789,0.5789473684210527,0.21052631578947367,0.15789473684210525,0.5263157894736842,0.3684210526315789,0.3684210526315789,0.2631578947368421,0.10526315789473684,0.05263157894736842,0.3157894736842105,0.10526315789473684,0.15789473684210525,0.5263157894736842,0.0,0.2368421052631579,0.6842105263157895,0.5921052631578947,0.5394736842105263,0.4736842105263158,0.48684210526315785,0.381578947368421,0.4342105263157895,0.5789473684210527,0.6447368421052632,0.6052631578947368,0.381578947368421,0.4736842105263158,0.39473684210526316,0.631578947368421,0.35526315789473684,0.35526315789473684,0.4736842105263158,0.4342105263157895,0.4736842105263158,0.2894736842105263,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.42105263157894735,0.42105263157894735
18 t/m 24_10.000-19.999,0.5142857142857142,0.34285714285714286,0.08571428571428572,0.8,0.2,0.2,0.34285714285714286,0.37142857142857144,0.14285714285714285,0.34285714285714286,0.4,0.17142857142857143,0.02857142857142857,0.2571428571428571,0.2571428571428571,0.2857142857142857,0.37142857142857144,0.3142857142857143,0.14285714285714285,0.14285714285714285,0.2,0.05714285714285714,0.2571428571428571,0.2,0.11428571428571428,0.08571428571428572,0.05714285714285714,0.2857142857142857,0.34285714285714286,0.17142857142857143,0.14285714285714285,0.2857142857142857,0.17142857142857143,0.3142857142857143,0.08571428571428572,0.2,0.05714285714285714,0.37142857142857144,0.14285714285714285,0.14285714285714285,0.22857142857142856,0.02857142857142857,0.37857142857142856,0.6071428571428571,0.5642857142857143,0.4714285714285714,0.48571428571428577,0.4928571428571429,0.34285714285714286,0.4214285714285714,0.47857142857142854,0.5928571428571429,0.44999999999999996,0.3285714285714286,0.41428571428571426,0.4,0.5642857142857143,0.41428571428571426,0.4,0.5071428571428571,0.37857142857142856,0.5071428571428571,0.34285714285714286,0.44285714285714284,0.4,0.4357142857142857,0.4571428571428572,0.4285714285714286
18 t/m 24_20.000-29.999,0.4,0.13333333333333333,0.06666666666666667,0.8666666666666667,0.13333333333333333,0.0,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.3333333333333333,0.2,0.06666666666666667,0.0,0.0,0.2,0.3333333333333333,0.6,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.2,0.4,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.2,0.2,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.3333333333333333,0.0,0.13333333333333333,0.2,0.0,0.44999999999999996,0.7,0.7,0.6,0.4833333333333333,0.5833333333333334,0.4,0.5,0.5333333333333333,0.6333333333333333,0.5666666666666667,0.3833333333333333,0.5833333333333334,0.5333333333333333,0.7,0.5833333333333334,0.41666666666666663,0.5666666666666667,0.3833333333333333,0.5666666666666667,0.4,0.41666666666666663,0.4833333333333333,0.43333333333333335,0.4666666666666667,0.41666666666666663
18 t/m 24_more than 30.000,0.8333333333333334,0.16666666666666666,0.08333333333333333,0.9166666666666666,0.3333333333333333,0.0,0.5833333333333334,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.75,0.16666666666666666,0.0,0.5,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.08333333333333333,0.3333333333333333,0.25,0.08333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.0,0.3125,0.6458333333333334,0.5625,0.41666666666666663,0.35416666666666663,0.41666666666666663,0.33333333333333337,0.375,0.4375,0.5416666666666666,0.5,0.33333333333333337,0.33333333333333337,0.375,0.6666666666666666,0.375,0.39583333333333337,0.5208333333333334,0.35416666666666663,0.39583333333333337,0.1875,0.3125,0.27083333333333337,0.35416666666666663,0.5,0.45833333333333337
25 t/m 34_less than 4.999,0.5476190476190477,0.23809523809523808,0.047619047619047616,0.6666666666666666,0.21428571428571427,0.047619047619047616,0.3333333333333333,0.14285714285714285,0.023809523809523808,0.38095238095238093,0.14285714285714285,0.0,0.09523809523809523,0.30952380952380953,0.21428571428571427,0.2619047619047619,0.6666666666666666,0.2619047619047619,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.0,0.35714285714285715,0.07142857142857142,0.0,0.09523809523809523,0.11904761904761904,0.2619047619047619,0.5,0.16666666666666666,0.023809523809523808,0.2857142857142857,0.40476190476190477,0.21428571428571427,0.11904761904761904,0.35714285714285715,0.0,0.38095238095238093,0.16666666666666666,0.16666666666666666,0.5,0.047619047619047616,0.375,0.6488095238095238,0.6309523809523809,0.5535714285714286,0.5059523809523809,0.4642857142857143,0.40476190476190477,0.5059523809523809,0.6130952380952381,0.6190476190476191,0.5119047619047619,0.40476190476190477,0.4464285714285714,0.40476190476190477,0.6607142857142857,0.4107142857142857,0.4107142857142857,0.5476190476190477,0.39880952380952384,0.5,0.34523809523809523,0.4642857142857143,0.4107142857142857,0.43452380952380953,0.5476190476190477,0.47023809523809523
25 t/m 34_5.000-9.999,0.5,0.20454545454545456,0.0,0.7727272727272727,0.06818181818181818,0.06818181818181818,0.5909090909090909,0.29545454545454547,0.045454545454545456,0.2727272727272727,0.1590909090909091,0.045454545454545456,0.022727272727272728,0.20454545454545456,0.13636363636363635,0.3409090909090909,0.6363636363636364,0.06818181818181818,0.06818181818181818,0.3409090909090909,0.13636363636363635,0.045454545454545456,0.2727272727272727,0.11363636363636363,0.022727272727272728,0.06818181818181818,0.20454545454545456,0.29545454545454547,0.20454545454545456,0.06818181818181818,0.11363636363636363,0.22727272727272727,0.3181818181818182,0.18181818181818182,0.18181818181818182,0.20454545454545456,0.045454545454545456,0.4090909090909091,0.09090909090909091,0.11363636363636363,0.45454545454545453,0.06818181818181818,0.34659090909090906,0.5909090909090909,0.5625,0.4602272727272727,0.47159090909090906,0.49431818181818177,0.375,0.44886363636363635,0.625,0.6079545454545454,0.5340909090909091,0.4147727272727273,0.38068181818181823,0.3977272727272727,0.6590909090909091,0.38636363636363635,0.3579545454545454,0.5056818181818182,0.3977272727272727,0.4602272727272727,0.28409090909090906,0.42613636363636365,0.3522727272727273,0.3522727272727273,0.47159090909090906,0.4602272727272727
25 t/m 34_10.000-19.999,0.5842696629213483,0.33707865168539325,0.11235955056179775,0.7078651685393258,0.21348314606741572,0.033707865168539325,0.550561797752809,0.38202247191011235,0.02247191011235955,0.3146067415730337,0.3146067415730337,0.02247191011235955,0.033707865168539325,0.2808988764044944,0.16853932584269662,0.39325842696629215,0.651685393258427,0.21348314606741572,0.06741573033707865,0.29213483146067415,0.10112359550561797,0.033707865168539325,0.24719101123595505,0.16853932584269662,0.011235955056179775,0.02247191011235955,0.0898876404494382,0.29213483146067415,0.33707865168539325,0.1348314606741573,0.06741573033707865,0.2696629213483146,0.33707865168539325,0.19101123595505617,0.11235955056179775,0.2247191011235955,0.06741573033707865,0.4157303370786517,0.0898876404494382,0.2808988764044944,0.5056179775280899,0.033707865168539325,0.3426966292134831,0.6067415730337079,0.6123595505617978,0.4747191011235955,0.452247191011236,0.4971910112359551,0.3876404494382022,0.3960674157303371,0.5561797752808989,0.6235955056179775,0.5168539325842697,0.3651685393258427,0.4410112359550562,0.3848314606741573,0.6292134831460674,0.4213483146067416,0.3735955056179775,0.4943820224719101,0.3848314606741573,0.4691011235955056,0.24719101123595505,0.4241573033707865,0.3904494382022472,0.3876404494382022,0.4887640449438202,0.4269662921348315
25 t/m 34_20.000-29.999,0.3333333333333333,0.25,0.125,0.5,0.08333333333333333,0.0,0.375,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.375,0.08333333333333333,0.0,0.125,0.041666666666666664,0.3333333333333333,0.5416666666666666,0.08333333333333333,0.08333333333333333,0.20833333333333334,0.20833333333333334,0.08333333333333333,0.20833333333333334,0.20833333333333334,0.0,0.0,0.125,0.125,0.25,0.125,0.125,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.125,0.25,0.0,0.25,0.0,0.16666666666666666,0.4583333333333333,0.0,0.4375,0.6354166666666666,0.5625,0.5,0.45833333333333337,0.4375,0.42708333333333337,0.375,0.5104166666666666,0.5833333333333334,0.53125,0.36458333333333337,0.40625,0.44791666666666663,0.6041666666666666,0.45833333333333337,0.375,0.4375,0.33333333333333337,0.47916666666666663,0.33333333333333337,0.44791666666666663,0.40625,0.39583333333333337,0.5,0.40625
25 t/m 34_more than 30.000,0.4090909090909091,0.2727272727272727,0.18181818181818182,0.5454545454545454,0.09090909090909091,0.13636363636363635,0.18181818181818182,0.22727272727272727,0.13636363636363635,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.0,0.045454545454545456,0.13636363636363635,0.18181818181818182,0.5909090909090909,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.045454545454545456,0.18181818181818182,0.13636363636363635,0.18181818181818182,0.13636363636363635,0.0,0.09090909090909091,0.13636363636363635,0.22727272727272727,0.13636363636363635,0.13636363636363635,0.45454545454545453,0.13636363636363635,0.18181818181818182,0.09090909090909091,0.22727272727272727,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.22727272727272727,0.0,0.40909090909090906,0.6136363636363636,0.5795454545454546,0.5113636363636364,0.4772727272727273,0.5,0.43181818181818177,0.5227272727272727,0.4772727272727273,0.5909090909090909,0.46590909090909094,0.40909090909090906,0.34090909090909094,0.40909090909090906,0.5227272727272727,0.3977272727272727,0.36363636363636365,0.4772727272727273,0.3522727272727273,0.43181818181818177,0.2954545454545454,0.48863636363636365,0.4204545454545454,0.43181818181818177,0.375,0.44318181818181823
