popolazione,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_13,Q18_14,Q18_15,Q18_16,Q18_17,Q18_18,Q18_19,Q18_20,Q18_21,Q18_22,Q18_23,Q20,Q21
18 t/m 24_10.000-19.999,0.5142857142857142,0.34285714285714286,0.08571428571428572,0.8,0.2,0.2,0.34285714285714286,0.37142857142857144,0.14285714285714285,0.34285714285714286,0.4,0.17142857142857143,0.02857142857142857,0.2571428571428571,0.2571428571428571,0.2857142857142857,0.37142857142857144,0.3142857142857143,0.14285714285714285,0.14285714285714285,0.2,0.05714285714285714,0.2571428571428571,0.2,0.11428571428571428,0.08571428571428572,0.05714285714285714,0.2857142857142857,0.34285714285714286,0.17142857142857143,0.14285714285714285,0.2857142857142857,0.17142857142857143,0.3142857142857143,0.08571428571428572,0.2,0.05714285714285714,0.37142857142857144,0.14285714285714285,0.14285714285714285,0.22857142857142856,0.02857142857142857,0.3671875,0.6102941176470589,0.575,0.4629629629629629,0.4852941176470589,0.49,0.31034482758620685,0.41129032258064513,0.47580645161290325,0.5984848484848485,0.43000000000000005,0.30000000000000004,0.3928571428571429,0.375,0.575,0.39655172413793105,0.3793103448275862,0.5092592592592593,0.3482142857142857,0.51,0.28846153846153844,0.40476190476190477,0.34782608695652173,0.40625,0.4571428571428572,0.4285714285714286
18 t/m 24_20.000-29.999,0.4,0.13333333333333333,0.06666666666666667,0.8666666666666667,0.13333333333333333,0.0,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.3333333333333333,0.2,0.06666666666666667,0.0,0.0,0.2,0.3333333333333333,0.6,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.2,0.4,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.2,0.2,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.3333333333333333,0.0,0.13333333333333333,0.2,0.0,0.4423076923076923,0.7142857142857143,0.7307692307692307,0.625,0.4807692307692307,0.6041666666666666,0.4,0.5,0.5333333333333333,0.6428571428571429,0.5769230769230769,0.375,0.5961538461538461,0.5333333333333333,0.7142857142857143,0.6041666666666666,0.39583333333333337,0.5714285714285714,0.3653846153846154,0.6,0.3846153846153846,0.375,0.47916666666666663,0.40909090909090906,0.4666666666666667,0.41666666666666663
18 t/m 24_5.000-9.999,0.5789473684210527,0.3684210526315789,0.10526315789473684,0.6842105263157895,0.10526315789473684,0.05263157894736842,0.47368421052631576,0.3157894736842105,0.05263157894736842,0.3684210526315789,0.42105263157894735,0.15789473684210525,0.0,0.42105263157894735,0.15789473684210525,0.21052631578947367,0.631578947368421,0.21052631578947367,0.05263157894736842,0.2631578947368421,0.2631578947368421,0.10526315789473684,0.2631578947368421,0.3157894736842105,0.05263157894736842,0.0,0.10526315789473684,0.3684210526315789,0.5789473684210527,0.21052631578947367,0.15789473684210525,0.5263157894736842,0.3684210526315789,0.3684210526315789,0.2631578947368421,0.10526315789473684,0.05263157894736842,0.3157894736842105,0.10526315789473684,0.15789473684210525,0.5263157894736842,0.0,0.20588235294117646,0.6944444444444444,0.6166666666666667,0.5535714285714286,0.4722222222222222,0.4821428571428571,0.359375,0.42647058823529416,0.5882352941176471,0.6617647058823529,0.6333333333333333,0.359375,0.47058823529411764,0.375,0.6388888888888888,0.3472222222222222,0.3382352941176471,0.47058823529411764,0.42647058823529416,0.4666666666666667,0.23333333333333334,0.41666666666666663,0.41666666666666663,0.4107142857142857,0.42105263157894735,0.42105263157894735
18 t/m 24_less than 4.999,0.5405405405405406,0.1891891891891892,0.02702702702702703,0.7567567567567568,0.35135135135135137,0.02702702702702703,0.21621621621621623,0.1891891891891892,0.02702702702702703,0.40540540540540543,0.3783783783783784,0.02702702702702703,0.08108108108108109,0.21621621621621623,0.1891891891891892,0.2702702702702703,0.5405405405405406,0.32432432432432434,0.05405405405405406,0.21621621621621623,0.05405405405405406,0.0,0.2702702702702703,0.2702702702702703,0.0,0.02702702702702703,0.10810810810810811,0.3783783783783784,0.5675675675675675,0.2702702702702703,0.02702702702702703,0.2972972972972973,0.2702702702702703,0.4594594594594595,0.10810810810810811,0.2972972972972973,0.05405405405405406,0.40540540540540543,0.08108108108108109,0.16216216216216217,0.5405405405405406,0.0,0.2589285714285714,0.7272727272727273,0.6979166666666666,0.6111111111111112,0.5357142857142857,0.4833333333333333,0.36904761904761907,0.42708333333333337,0.625,0.7037037037037037,0.5384615384615384,0.3846153846153846,0.4137931034482759,0.4821428571428571,0.7,0.3977272727272727,0.38541666666666663,0.6071428571428571,0.3653846153846154,0.4666666666666667,0.25,0.3928571428571429,0.25,0.3928571428571429,0.527027027027027,0.41891891891891897
18 t/m 24_more than 30.000,0.8333333333333334,0.16666666666666666,0.08333333333333333,0.9166666666666666,0.3333333333333333,0.0,0.5833333333333334,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.75,0.16666666666666666,0.0,0.5,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.08333333333333333,0.3333333333333333,0.25,0.08333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.0,0.3125,0.6458333333333334,0.5625,0.4,0.35416666666666663,0.4,0.2777777777777778,0.36363636363636365,0.4375,0.5555555555555556,0.5,0.33333333333333337,0.31818181818181823,0.35,0.6818181818181818,0.35,0.38636363636363635,0.5208333333333334,0.34090909090909094,0.375,0.1875,0.25,0.27083333333333337,0.3055555555555556,0.5,0.45833333333333337
25 t/m 34_10.000-19.999,0.5842696629213483,0.33707865168539325,0.11235955056179775,0.7078651685393258,0.21348314606741572,0.033707865168539325,0.550561797752809,0.38202247191011235,0.02247191011235955,0.3146067415730337,0.3146067415730337,0.02247191011235955,0.033707865168539325,0.2808988764044944,0.16853932584269662,0.39325842696629215,0.651685393258427,0.21348314606741572,0.06741573033707865,0.29213483146067415,0.10112359550561797,0.033707865168539325,0.24719101123595505,0.16853932584269662,0.011235955056179775,0.02247191011235955,0.0898876404494382,0.29213483146067415,0.33707865168539325,0.1348314606741573,0.06741573033707865,0.2696629213483146,0.33707865168539325,0.19101123595505617,0.11235955056179775,0.2247191011235955,0.06741573033707865,0.4157303370786517,0.0898876404494382,0.2808988764044944,0.5056179775280899,0.033707865168539325,0.3390804597701149,0.6130952380952381,0.625,0.46590909090909094,0.44940476190476186,0.49615384615384617,0.363013698630137,0.3697183098591549,0.5602409638554217,0.6410256410256411,0.5254237288135594,0.33783783783783783,0.42500000000000004,0.370253164556962,0.6513157894736842,0.4054054054054054,0.3415492957746479,0.4931506849315068,0.35357142857142854,0.4541666666666667,0.2077922077922078,0.3836206896551724,0.34765625,0.34375,0.4887640449438202,0.4269662921348315
25 t/m 34_20.000-29.999,0.3333333333333333,0.25,0.125,0.5,0.08333333333333333,0.0,0.375,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.375,0.08333333333333333,0.0,0.125,0.041666666666666664,0.3333333333333333,0.5416666666666666,0.08333333333333333,0.08333333333333333,0.20833333333333334,0.20833333333333334,0.08333333333333333,0.20833333333333334,0.20833333333333334,0.0,0.0,0.125,0.125,0.25,0.125,0.125,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.125,0.25,0.0,0.25,0.0,0.16666666666666666,0.4583333333333333,0.0,0.4375,0.6413043478260869,0.5681818181818182,0.5,0.45833333333333337,0.42105263157894735,0.41666666666666663,0.375,0.5104166666666666,0.5909090909090909,0.5340909090909091,0.3586956521739131,0.3977272727272727,0.44565217391304346,0.6041666666666666,0.4565217391304348,0.375,0.4375,0.32608695652173914,0.475,0.32608695652173914,0.44047619047619047,0.3977272727272727,0.38636363636363635,0.5,0.40625
25 t/m 34_5.000-9.999,0.5,0.20454545454545456,0.0,0.7727272727272727,0.06818181818181818,0.06818181818181818,0.5909090909090909,0.29545454545454547,0.045454545454545456,0.2727272727272727,0.1590909090909091,0.045454545454545456,0.022727272727272728,0.20454545454545456,0.13636363636363635,0.3409090909090909,0.6363636363636364,0.06818181818181818,0.06818181818181818,0.3409090909090909,0.13636363636363635,0.045454545454545456,0.2727272727272727,0.11363636363636363,0.022727272727272728,0.06818181818181818,0.20454545454545456,0.29545454545454547,0.20454545454545456,0.06818181818181818,0.11363636363636363,0.22727272727272727,0.3181818181818182,0.18181818181818182,0.18181818181818182,0.20454545454545456,0.045454545454545456,0.4090909090909091,0.09090909090909091,0.11363636363636363,0.45454545454545453,0.06818181818181818,0.33125000000000004,0.6052631578947368,0.5833333333333334,0.4326923076923077,0.4652777777777778,0.48809523809523814,0.3035714285714286,0.42741935483870963,0.6375,0.6532258064516129,0.5576923076923077,0.38636363636363635,0.3125,0.36363636363636365,0.6944444444444444,0.34375,0.31060606060606055,0.5080645161290323,0.37142857142857144,0.41666666666666663,0.2121212121212121,0.32894736842105265,0.2833333333333333,0.24,0.47159090909090906,0.4602272727272727
25 t/m 34_less than 4.999,0.5476190476190477,0.23809523809523808,0.047619047619047616,0.6666666666666666,0.21428571428571427,0.047619047619047616,0.3333333333333333,0.14285714285714285,0.023809523809523808,0.38095238095238093,0.14285714285714285,0.0,0.09523809523809523,0.30952380952380953,0.21428571428571427,0.2619047619047619,0.6666666666666666,0.2619047619047619,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.0,0.35714285714285715,0.07142857142857142,0.0,0.09523809523809523,0.11904761904761904,0.2619047619047619,0.5,0.16666666666666666,0.023809523809523808,0.2857142857142857,0.40476190476190477,0.21428571428571427,0.11904761904761904,0.35714285714285715,0.0,0.38095238095238093,0.16666666666666666,0.16666666666666666,0.5,0.047619047619047616,0.34558823529411764,0.6644736842105263,0.6617647058823529,0.59375,0.5071428571428571,0.4444444444444444,0.3666666666666667,0.5086206896551724,0.6439393939393939,0.6923076923076923,0.5263157894736842,0.3571428571428571,0.4196428571428571,0.3709677419354839,0.7410714285714286,0.36111111111111116,0.36111111111111116,0.5740740740740741,0.34259259259259256,0.5,0.25,0.4347826086956522,0.3125,0.375,0.5476190476190477,0.47023809523809523
25 t/m 34_more than 30.000,0.4090909090909091,0.2727272727272727,0.18181818181818182,0.5454545454545454,0.09090909090909091,0.13636363636363635,0.18181818181818182,0.22727272727272727,0.13636363636363635,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.0,0.045454545454545456,0.13636363636363635,0.18181818181818182,0.5909090909090909,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.045454545454545456,0.18181818181818182,0.13636363636363635,0.18181818181818182,0.13636363636363635,0.0,0.09090909090909091,0.13636363636363635,0.22727272727272727,0.13636363636363635,0.13636363636363635,0.45454545454545453,0.13636363636363635,0.18181818181818182,0.09090909090909091,0.22727272727272727,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.22727272727272727,0.0,0.40909090909090906,0.6136363636363636,0.5875,0.5131578947368421,0.4772727272727273,0.5,0.42105263157894735,0.5238095238095238,0.475,0.6,0.45833333333333337,0.40909090909090906,0.34090909090909094,0.39473684210526316,0.5238095238095238,0.381578947368421,0.33333333333333337,0.475,0.34523809523809523,0.41666666666666663,0.2954545454545454,0.48611111111111116,0.4078947368421053,0.42105263157894735,0.375,0.44318181818181823
