popolazione,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_13,Q18_14,Q18_15,Q18_16,Q18_17,Q18_18,Q18_19,Q18_20,Q18_21,Q18_22,Q18_23,Q20,Q21
18 t/m 24_10.000-19.999,0.46153846153846156,0.48717948717948717,0.38461538461538464,0.48717948717948717,0.358974358974359,0.15384615384615385,0.3333333333333333,0.5128205128205128,0.10256410256410256,0.46153846153846156,0.38461538461538464,0.07692307692307693,0.02564102564102564,0.46153846153846156,0.46153846153846156,0.23076923076923078,0.5897435897435898,0.358974358974359,0.1794871794871795,0.15384615384615385,0.3076923076923077,0.1282051282051282,0.4358974358974359,0.358974358974359,0.1282051282051282,0.10256410256410256,0.07692307692307693,0.3076923076923077,0.46153846153846156,0.41025641025641024,0.10256410256410256,0.48717948717948717,0.41025641025641024,0.3076923076923077,0.28205128205128205,0.3333333333333333,0.07692307692307693,0.358974358974359,0.2564102564102564,0.23076923076923078,0.4358974358974359,0.02564102564102564,0.5202702702702703,0.5961538461538461,0.6217948717948718,0.5625,0.6554054054054054,0.6357142857142857,0.45945945945945943,0.48684210526315785,0.6118421052631579,0.6730769230769231,0.48611111111111116,0.46153846153846156,0.5,0.3782051282051282,0.5592105263157895,0.42361111111111116,0.3783783783783784,0.5625,0.44594594594594594,0.6451612903225806,0.5555555555555556,0.5142857142857142,0.44852941176470584,0.41891891891891897,0.47435897435897434,0.4935897435897436
18 t/m 24_20.000-29.999,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.0,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.42857142857142855,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.0,0.3846153846153846,0.4642857142857143,0.40384615384615385,0.42307692307692313,0.5192307692307693,0.46153846153846156,0.21153846153846156,0.3653846153846154,0.3928571428571429,0.3653846153846154,0.4807692307692307,0.5714285714285714,0.3214285714285714,0.25,0.3571428571428571,0.25,0.2692307692307693,0.27083333333333337,0.28846153846153844,0.4107142857142857,0.4464285714285714,0.3125,0.33333333333333337,0.32692307692307687,0.3928571428571429,0.375
18 t/m 24_5.000-9.999,0.41379310344827586,0.3103448275862069,0.3793103448275862,0.4482758620689655,0.2413793103448276,0.13793103448275862,0.3793103448275862,0.27586206896551724,0.1724137931034483,0.4482758620689655,0.27586206896551724,0.1724137931034483,0.034482758620689655,0.41379310344827586,0.4827586206896552,0.3793103448275862,0.5862068965517241,0.3103448275862069,0.034482758620689655,0.2413793103448276,0.20689655172413793,0.13793103448275862,0.20689655172413793,0.2413793103448276,0.10344827586206896,0.10344827586206896,0.06896551724137931,0.41379310344827586,0.4482758620689655,0.3448275862068966,0.3793103448275862,0.3448275862068966,0.4827586206896552,0.3448275862068966,0.1724137931034483,0.3103448275862069,0.034482758620689655,0.41379310344827586,0.3103448275862069,0.1724137931034483,0.3103448275862069,0.0,0.41346153846153844,0.5277777777777778,0.5520833333333334,0.46875,0.5729166666666666,0.47916666666666663,0.36,0.46875,0.4814814814814815,0.6442307692307693,0.51,0.46875,0.45833333333333337,0.38888888888888884,0.5961538461538461,0.4,0.39583333333333337,0.5384615384615384,0.34615384615384615,0.54,0.5543478260869565,0.4565217391304348,0.34782608695652173,0.33653846153846156,0.4137931034482759,0.3706896551724138
18 t/m 24_less than 4.999,0.26,0.32,0.2,0.46,0.28,0.12,0.28,0.28,0.04,0.32,0.24,0.08,0.04,0.32,0.24,0.2,0.52,0.22,0.16,0.3,0.18,0.06,0.26,0.2,0.06,0.04,0.06,0.3,0.48,0.34,0.12,0.34,0.28,0.28,0.18,0.28,0.08,0.3,0.16,0.12,0.26,0.04,0.5053191489361702,0.6542553191489362,0.6890243902439024,0.59375,0.6329787234042553,0.5875,0.49468085106382975,0.5232558139534884,0.6170212765957447,0.6569767441860465,0.5512820512820513,0.47619047619047616,0.5116279069767442,0.40217391304347827,0.627906976744186,0.4602272727272727,0.4305555555555556,0.6341463414634146,0.4,0.6071428571428571,0.5,0.5142857142857142,0.42105263157894735,0.46875,0.475,0.39
18 t/m 24_more than 30.000,0.29411764705882354,0.11764705882352941,0.20588235294117646,0.4117647058823529,0.2647058823529412,0.17647058823529413,0.38235294117647056,0.3235294117647059,0.14705882352941177,0.2647058823529412,0.35294117647058826,0.11764705882352941,0.029411764705882353,0.38235294117647056,0.20588235294117646,0.058823529411764705,0.4117647058823529,0.29411764705882354,0.20588235294117646,0.14705882352941177,0.23529411764705882,0.08823529411764706,0.20588235294117646,0.35294117647058826,0.0,0.058823529411764705,0.058823529411764705,0.29411764705882354,0.38235294117647056,0.20588235294117646,0.2647058823529412,0.5588235294117647,0.29411764705882354,0.23529411764705882,0.11764705882352941,0.3235294117647059,0.058823529411764705,0.11764705882352941,0.08823529411764706,0.11764705882352941,0.35294117647058826,0.029411764705882353,0.5294117647058824,0.5681818181818182,0.6515151515151515,0.515625,0.6015625,0.46875,0.421875,0.4852941176470589,0.4558823529411765,0.5147058823529411,0.4191176470588235,0.484375,0.5075757575757576,0.34558823529411764,0.5147058823529411,0.4411764705882353,0.5367647058823529,0.5303030303030303,0.40909090909090906,0.5227272727272727,0.5227272727272727,0.4354838709677419,0.38636363636363635,0.3828125,0.4338235294117647,0.3970588235294118
25 t/m 34_10.000-19.999,0.3493975903614458,0.30120481927710846,0.3855421686746988,0.42168674698795183,0.24096385542168675,0.10843373493975904,0.46987951807228917,0.2891566265060241,0.10843373493975904,0.3493975903614458,0.3253012048192771,0.04819277108433735,0.0,0.3614457831325301,0.3493975903614458,0.21686746987951808,0.6265060240963856,0.18072289156626506,0.1686746987951807,0.25301204819277107,0.13253012048192772,0.04819277108433735,0.25301204819277107,0.20481927710843373,0.024096385542168676,0.024096385542168676,0.0963855421686747,0.37349397590361444,0.3373493975903614,0.3132530120481928,0.14457831325301204,0.40963855421686746,0.5060240963855421,0.18072289156626506,0.1566265060240964,0.30120481927710846,0.0963855421686747,0.2891566265060241,0.1566265060240964,0.2289156626506024,0.39759036144578314,0.0,0.4810126582278481,0.565625,0.6182432432432432,0.5304054054054054,0.7045454545454546,0.5634328358208955,0.319078947368421,0.49375,0.5316455696202531,0.620253164556962,0.43999999999999995,0.43999999999999995,0.43581081081081086,0.3928571428571429,0.5448717948717948,0.45608108108108103,0.44594594594594594,0.5128205128205128,0.39935064935064934,0.5535714285714286,0.5361842105263158,0.4963235294117647,0.36458333333333337,0.3678571428571429,0.44277108433734935,0.3463855421686747
25 t/m 34_20.000-29.999,0.35714285714285715,0.4642857142857143,0.32142857142857145,0.25,0.10714285714285714,0.21428571428571427,0.35714285714285715,0.25,0.0,0.42857142857142855,0.32142857142857145,0.03571428571428571,0.0,0.35714285714285715,0.21428571428571427,0.17857142857142858,0.5,0.14285714285714285,0.25,0.21428571428571427,0.14285714285714285,0.03571428571428571,0.32142857142857145,0.25,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.6071428571428571,0.25,0.4642857142857143,0.10714285714285714,0.39285714285714285,0.5357142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.17857142857142858,0.2857142857142857,0.17857142857142858,0.07142857142857142,0.35714285714285715,0.03571428571428571,0.4553571428571429,0.5446428571428571,0.6296296296296297,0.5416666666666666,0.5480769230769231,0.5833333333333334,0.3653846153846154,0.4807692307692307,0.5267857142857143,0.5961538461538461,0.4326923076923077,0.42307692307692313,0.3942307692307693,0.37962962962962965,0.5,0.4903846153846154,0.38,0.57,0.3173076923076923,0.61,0.5288461538461539,0.5192307692307693,0.47115384615384615,0.43518518518518523,0.3839285714285714,0.3928571428571429
25 t/m 34_5.000-9.999,0.34285714285714286,0.17142857142857143,0.3142857142857143,0.4857142857142857,0.37142857142857144,0.11428571428571428,0.45714285714285713,0.2571428571428571,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.08571428571428572,0.0,0.42857142857142855,0.2571428571428571,0.11428571428571428,0.5142857142857142,0.2571428571428571,0.11428571428571428,0.2857142857142857,0.2,0.02857142857142857,0.4,0.22857142857142856,0.05714285714285714,0.0,0.08571428571428572,0.37142857142857144,0.4857142857142857,0.22857142857142856,0.14285714285714285,0.5142857142857142,0.4,0.34285714285714286,0.14285714285714285,0.4,0.11428571428571428,0.34285714285714286,0.22857142857142856,0.17142857142857143,0.45714285714285713,0.02857142857142857,0.553030303030303,0.6060606060606061,0.6439393939393939,0.5333333333333333,0.6742424242424242,0.5982142857142857,0.3712121212121212,0.5681818181818182,0.5681818181818182,0.5833333333333334,0.5161290322580645,0.4242424242424242,0.47580645161290325,0.4772727272727273,0.5642857142857143,0.3161764705882353,0.375,0.5757575757575758,0.3515625,0.625,0.53125,0.5086206896551724,0.43103448275862066,0.4453125,0.4214285714285714,0.4285714285714286
25 t/m 34_less than 4.999,0.391304347826087,0.34782608695652173,0.17391304347826086,0.6086956521739131,0.32608695652173914,0.08695652173913043,0.45652173913043476,0.2391304347826087,0.021739130434782608,0.391304347826087,0.32608695652173914,0.043478260869565216,0.021739130434782608,0.5,0.32608695652173914,0.15217391304347827,0.5217391304347826,0.1956521739130435,0.06521739130434782,0.21739130434782608,0.13043478260869565,0.043478260869565216,0.2608695652173913,0.21739130434782608,0.0,0.043478260869565216,0.10869565217391304,0.4782608695652174,0.45652173913043476,0.391304347826087,0.08695652173913043,0.32608695652173914,0.45652173913043476,0.2826086956521739,0.17391304347826086,0.30434782608695654,0.043478260869565216,0.3695652173913043,0.10869565217391304,0.17391304347826086,0.43478260869565216,0.021739130434782608,0.5284090909090909,0.6086956521739131,0.6524390243902439,0.59375,0.6726190476190477,0.5625,0.3857142857142857,0.506578947368421,0.6569767441860465,0.7321428571428571,0.5833333333333334,0.4807692307692307,0.4642857142857143,0.40476190476190477,0.6488095238095238,0.44852941176470584,0.42500000000000004,0.5514705882352942,0.34285714285714286,0.6323529411764706,0.5403225806451613,0.5564516129032258,0.41666666666666663,0.44594594594594594,0.4782608695652174,0.3695652173913043
25 t/m 34_more than 30.000,0.21052631578947367,0.3684210526315789,0.21052631578947367,0.2631578947368421,0.42105263157894735,0.15789473684210525,0.3684210526315789,0.2631578947368421,0.21052631578947367,0.42105263157894735,0.2631578947368421,0.10526315789473684,0.0,0.3157894736842105,0.3684210526315789,0.2631578947368421,0.42105263157894735,0.3684210526315789,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.2631578947368421,0.2631578947368421,0.3157894736842105,0.15789473684210525,0.3157894736842105,0.3157894736842105,0.3684210526315789,0.10526315789473684,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.15789473684210525,0.48611111111111116,0.5277777777777778,0.703125,0.6666666666666666,0.6052631578947368,0.5441176470588235,0.47058823529411764,0.5416666666666666,0.5789473684210527,0.6052631578947368,0.5294117647058824,0.5526315789473685,0.42105263157894735,0.42105263157894735,0.5789473684210527,0.41666666666666663,0.578125,0.47058823529411764,0.5138888888888888,0.625,0.640625,0.5666666666666667,0.3970588235294118,0.42647058823529416,0.42105263157894735,0.4473684210526315
