,18 t/m 24_less than 4.999,18 t/m 24_5.000-9.999,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_more than 30.000,25 t/m 34_less than 4.999,25 t/m 34_5.000-9.999,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_more than 30.000,35 t/m 44_less than 4.999,35 t/m 44_5.000-9.999,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_more than 30.000,45 t/m 54_less than 4.999,45 t/m 54_5.000-9.999,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_more than 30.000,55 t/m 70_less than 4.999,55 t/m 70_5.000-9.999,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_more than 30.000
18 t/m 24_less than 4.999,0.06377069618466893,0.03856029419550789,0.04551914643766719,0.03858838774895356,0.035196340626363516,0.05176090411659253,0.04189506190289833,0.04705667851793963,0.043123562599424424,0.034396320813722576,0.045277524028587576,0.04878239568369631,0.045411252488061014,0.037053289996209784,0.034701359585628914,0.04069445746762444,0.0364036035773012,0.03728668851638308,0.03545552150434728,0.029847440857665882,0.04574989500129874,0.0360670352098573,0.03367823441363576,0.030069181069565805,0.02365472745639831
18 t/m 24_5.000-9.999,0.05058619856694676,0.0836590375476415,0.04316128347171373,0.061577150586624906,0.05543512919395112,0.05255953064229894,0.03225539533533103,0.057187158780808614,0.05535623282093426,0.02798705453887611,0.05178225319285133,0.04675478861729313,0.035163641610480696,0.026123805750947977,0.029876978548122223,0.04803164061072207,0.027151111272289894,0.027995547681687542,0.021492353719174837,0.02668651320794073,0.03880264980478191,0.027991483558104473,0.02562470639025589,0.02656073516996067,0.020197619380259574
18 t/m 24_10.000-19.999,0.04573893529168633,0.033059370989989206,0.06407861250848718,0.03141845519984421,0.028888030845733485,0.04168967433265516,0.040081689869630815,0.04266280784605361,0.0430594148754576,0.039875575515225,0.03846373158883463,0.044297562510511,0.04801550989834189,0.0404671796947736,0.043715858415657845,0.03485353506766926,0.03797026998712825,0.0418584560750893,0.038829542188212725,0.035080470219267766,0.03950587565077003,0.04167105343318658,0.038708238622089705,0.03408983506493968,0.03192031430876499
18 t/m 24_20.000-29.999,0.05067780740204512,0.06164375215708558,0.041063320922889286,0.08374952278820265,0.06179494949084839,0.05690925562563189,0.03130410292659416,0.057591579787803,0.05503776696890499,0.028932684631974757,0.04889683183567519,0.04782398273113634,0.03461081034070408,0.027539524546434713,0.028884394695129673,0.04750557224376097,0.024550032839578014,0.02661708108372698,0.021953970184184726,0.02589334601305885,0.03921168331080264,0.02734008665143942,0.025409266579502654,0.024863423822311333,0.020195250420574497
18 t/m 24_more than 30.000,0.04943725530582782,0.05935402802605174,0.04038153626361673,0.06609196099668285,0.08957318096729619,0.05201453297757487,0.026470206168949746,0.060840038340602184,0.059596918623745304,0.030619523980416206,0.047737766204134856,0.047213700192953886,0.03322833404758503,0.02990713521720465,0.02938536113680745,0.04314456121615184,0.023856647785490275,0.02595697231709335,0.020723454636176638,0.02961491822029877,0.036996367326782714,0.026057130982960086,0.024589785277364728,0.0267669072557882,0.020441776532443844
25 t/m 34_less than 4.999,0.050344436762477476,0.03896811564523272,0.04035396325406392,0.042147454942262935,0.03601782611913889,0.06202557386046639,0.04244280754384629,0.0518428371981998,0.04720902621885019,0.025519278811058418,0.04961555295864071,0.049688078864289484,0.04358344031612048,0.03033632367268573,0.030736578253677767,0.05092847821959636,0.03563552110031919,0.03526977561694204,0.030878605820033222,0.029647670030797654,0.049905886550129834,0.03647918739018033,0.03389708240035984,0.03155217778972163,0.024974320660908666
25 t/m 34_5.000-9.999,0.04299942681070984,0.025235417451698883,0.04094057256649377,0.024464700864957122,0.01934195260148868,0.04478724014042683,0.06545170859554177,0.04137708566445378,0.03377356934348204,0.031235008176284638,0.04508904417340954,0.044894865899351544,0.05170292680837949,0.03624698057671655,0.03675996811953069,0.04245070922119924,0.04833660468380896,0.04828394525190657,0.04176319134293261,0.0321309554239207,0.04879618909533066,0.04291291342566611,0.041316953208051954,0.0378953376271156,0.031812732927142415
25 t/m 34_10.000-19.999,0.045925250234329654,0.04254387817035232,0.04143694756826239,0.0427984529665458,0.04227298367151213,0.05201988529422526,0.039345070743617296,0.06223739694636153,0.04977392791435749,0.027517567077900172,0.048512944102727704,0.049567499371991924,0.04294388493725089,0.032417016250102265,0.03298130372494396,0.04366409532546727,0.034302696267365686,0.03491318999787479,0.02880566738127002,0.0341041508486013,0.04269525605522359,0.03589805683082846,0.03380912907623253,0.03353291778287622,0.025980831459779325
25 t/m 34_20.000-29.999,0.042154868650920684,0.041248478108085844,0.04188989684138841,0.04096686495930831,0.04147630645105613,0.047446973745598094,0.03216697632324758,0.04985454541294176,0.062338201192087224,0.029525356515286646,0.04682625267977153,0.046524750140904736,0.04186469074109635,0.036315957192525346,0.037586503584711675,0.04076347867756528,0.03303286903319535,0.03608538226657915,0.03147305765262468,0.037845150702706526,0.041386354917329574,0.03740100915644507,0.0367907104853099,0.036167217124265696,0.030868147445048507
25 t/m 34_more than 30.000,0.04378146717143686,0.027154624937194793,0.05051185795284617,0.028041798910789048,0.027747248002022613,0.03339620238335349,0.03873647648913477,0.03588873016107101,0.038445044025166845,0.08117073499311256,0.032464812067927055,0.04044682054387069,0.05050501581254897,0.04960642383859273,0.05108641026371732,0.027293902994053838,0.035932349529299024,0.04419426774033912,0.048471258079605097,0.0376038088724261,0.038833343354847276,0.03413028666751918,0.03713365316714553,0.03362715397416352,0.033796308067816375
