,18 t/m 24_less than 4.999,18 t/m 24_5.000-9.999,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_more than 30.000,25 t/m 34_less than 4.999,25 t/m 34_5.000-9.999,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_more than 30.000,35 t/m 44_less than 4.999,35 t/m 44_5.000-9.999,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_more than 30.000,45 t/m 54_less than 4.999,45 t/m 54_5.000-9.999,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_more than 30.000,55 t/m 70_less than 4.999,55 t/m 70_5.000-9.999,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_more than 30.000
18 t/m 24_less than 4.999,0.07393489346052351,0.046623390468423405,0.04648575147700348,0.040025382462139734,0.02925431675928389,0.05636042816197277,0.03839767238050932,0.048559275445538085,0.036781651601339393,0.03254637037226307,0.045243343586859906,0.04523121400472614,0.0397099831449857,0.0412179079200728,0.039951290737712225,0.04166865247263535,0.034928762681898456,0.035206517517951515,0.029879753763940444,0.024949513010250036,0.03458091938317532,0.04156174880923881,0.038089766779607515,0.03485928185530989,0.02395221174263927
18 t/m 24_5.000-9.999,0.049405033079921244,0.0783459937271511,0.046750920268343446,0.028364762049553762,0.029253645889285623,0.04670259772347794,0.04411203183126365,0.05435398993661553,0.03856734219525735,0.03369930817703522,0.03484157450026183,0.04104805153663423,0.04221002790730752,0.03945844140001102,0.04619948909000295,0.03570808216559326,0.035058868353340225,0.03691807958076489,0.03811636128290534,0.0336103518883149,0.02895196399057072,0.03885729538194781,0.03748551591748411,0.03272815371908051,0.029252118407875758
18 t/m 24_10.000-19.999,0.043135685873667014,0.04093923036827311,0.06860666415157116,0.03698424418496823,0.028981978982086175,0.040339878792771094,0.04052153036658304,0.04668391764618485,0.041594368629980755,0.044432228844570536,0.03655389262783873,0.041722531444886496,0.04850494714775694,0.04335041661143914,0.03742143792906175,0.04033789835914611,0.034334046175128606,0.04038357195482877,0.032190998701648064,0.028232222513837023,0.036059274906827886,0.04304598555359649,0.03987055376883827,0.03434458735611222,0.03142790710839758
18 t/m 24_20.000-29.999,0.042767133913738514,0.028601345129242433,0.04258675527267072,0.07899945721980643,0.023039649644597798,0.043451497550134624,0.0398480046803567,0.03905612311781898,0.04261423612132422,0.043431582413187064,0.05216904774881797,0.04315860557470048,0.041062781335520354,0.05000549387058318,0.027149687396797132,0.0482458800871977,0.04239711692056008,0.03864245976935961,0.028790006584166843,0.02241567004047854,0.04485085744677361,0.043054725447399966,0.03939841953188173,0.03420965633831103,0.02005380684457426
18 t/m 24_more than 30.000,0.033913391616280396,0.03200323815665984,0.036206992392075484,0.024996688606362772,0.08570984640203505,0.035422003081189646,0.05233288423796662,0.052007732988347204,0.03643303130531499,0.023946649692434867,0.03436535446433692,0.04577200462822905,0.04542154451417428,0.044059283427547356,0.0304678569260547,0.04126841818620203,0.04368681988777479,0.04552743656301323,0.03880710018331101,0.031222662663694136,0.03680131422235451,0.04529485097331826,0.04004004730854974,0.03540674718316405,0.028886100389609096
25 t/m 34_less than 4.999,0.049227667327923705,0.038495385149429164,0.03797105907340727,0.035519354631233964,0.026688663403276587,0.06457797532588395,0.04446601242168374,0.04860679017051767,0.035372515273319804,0.031058248546279775,0.04663473354185315,0.0498071132552918,0.041624761318969215,0.04381664435077691,0.0390628520816692,0.04518820348356819,0.03962099464877709,0.038280846572019404,0.02908008429108456,0.02724373060036654,0.038570806102298544,0.04498435994148437,0.04016534041813196,0.036661497648293136,0.027274360422460227
25 t/m 34_5.000-9.999,0.03050768851237743,0.03307456377025898,0.034695519277123665,0.029630319093768443,0.03586722772219351,0.04044805254145508,0.05874269350332801,0.048436455345127555,0.03988301430124229,0.027693905406209494,0.04212224384646361,0.04642707328555467,0.04701081552667466,0.04702674792116885,0.03513354254237114,0.044835660838295065,0.04848338176445088,0.045739593569294884,0.03580862474165112,0.030371986350298457,0.041266855898626095,0.04730107151497875,0.042382770011463615,0.038019725464674144,0.029090467250949513
25 t/m 34_10.000-19.999,0.03674298505657819,0.03881202708187299,0.038067353109032476,0.027657741503030762,0.033946022604157605,0.04210796056174528,0.0461285907261487,0.05594376482463213,0.038278463142823724,0.027114921382334647,0.03565519473519955,0.0466346665232729,0.047145769720294425,0.043915930171498765,0.04242305096981653,0.0369957129134042,0.03934990617580122,0.04533670578042312,0.03948767206499514,0.03786880596078769,0.03270703459043575,0.04637130680147802,0.04491601230044977,0.04157787208370772,0.034814529216078555
25 t/m 34_20.000-29.999,0.031975316508189855,0.03163996502839544,0.03896738929322638,0.03467078521568071,0.027321067683039782,0.035205830611795975,0.04363823684822378,0.043978041045190625,0.06427366680058075,0.042368568338061206,0.043452714516429736,0.04099863420709244,0.044221769835349214,0.044373663413506195,0.03019807656581274,0.04760425308076408,0.04508892271080816,0.04687499010336287,0.034723246049346776,0.028394711322831518,0.046060057207879285,0.04604299178592611,0.04242361245059437,0.03817877240988237,0.02732471696802961
25 t/m 34_more than 30.000,0.03514133712998302,0.03433755461837038,0.05170076478535577,0.04388809366013694,0.022303818163184125,0.03839350027438089,0.03763531191698058,0.03869205812185827,0.052623033964933626,0.07982982394190007,0.04432741472096436,0.03902661008680336,0.04328774535608953,0.04082435892633339,0.028682418590839368,0.04871788614602794,0.03980810171855551,0.040747033173080316,0.02799852954881198,0.023683082536218703,0.04498541691253257,0.04335687085019497,0.039764092131264285,0.03434392262812587,0.025901220097074282
35 t/m 44_less than 4.999,0.03933156499880592,0.028583602593264642,0.0342454844651672,0.04244482897725156,0.02577069297482952,0.04641528920725843,0.0460886118420101,0.04096444818827896,0.04345300555807633,0.03568972629641076,0.06427409729874471,0.04603731035966695,0.04252152701753055,0.04503866029501022,0.026903680057498002,0.05357294193696403,0.0499068702688302,0.04356846611270482,0.027069678628836448,0.02267518756467486,0.0519172646461263,0.046134463607840376,0.04116717354832571,0.036513308482096864,0.01971211507379655
35 t/m 44_5.000-9.999,0.03622698732097659,0.031025527888596527,0.03601204412084689,0.03235092651818726,0.031623697167700866,0.04567203605286281,0.04680161902434668,0.04936289388092047,0.03777284863676564,0.028949367805847944,0.04241479605839472,0.0592165942681148,0.0442184359294216,0.04445096030369053,0.03574335281044923,0.04272486813391483,0.04357301304528045,0.04522136932354354,0.03282079988053887,0.03013262648555957,0.03941937461269251,0.0479212483471395,0.0454359046725331,0.04005669787440346,0.03085200983727171
