,18 t/m 24_Less than 10 km,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_more than 50,25 t/m 34_Less than 10 km,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_more than 50,35 t/m 44_Less than 10 km,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_more than 50,45 t/m 54_Less than 10 km,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_more than 50,55 t/m 70_Less than 10 km,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_more than 50
18 t/m 24_Less than 10 km,0.06198239850002987,0.04532130661704845,0.04267701656919025,0.04039962142621907,0.02435547570295932,0.053240513474663895,0.03725195324108814,0.05039705682035988,0.040429106534753505,0.04299589696074515,0.049491310883307146,0.03919178037269571,0.03634148120455341,0.043711846532200685,0.03098279890095237,0.0433687106702222,0.04361470966072988,0.03967828529102282,0.03525399289686811,0.029475406952153484,0.03836570053327689,0.041482136176906076,0.03346167067602694,0.03161750221680507,0.024912321185221735
18 t/m 24_10-19 km,0.05563923523727506,0.07609342069181235,0.04495626793444961,0.045271466793327136,0.019297618768654587,0.0478555218682758,0.033678808388685894,0.05146870102183835,0.04024854336162667,0.043499555419344624,0.03983374529831233,0.04392138986085591,0.03677680318217761,0.04127158705169336,0.037079860764769865,0.03856346920149129,0.038402587131823665,0.036590965546342225,0.034201582668917464,0.03231073838310991,0.035430615638821765,0.03741585636582203,0.03330901494958892,0.032680277428124134,0.024202367042859385
18 t/m 24_20-29 km,0.04949472369796176,0.04246942428194736,0.07188416469839815,0.04555420656088038,0.02779683063274461,0.04634663308305019,0.0413853770871456,0.05034968279797367,0.051748184284941726,0.04624663853643906,0.04354554735539665,0.036681112306539525,0.03988846474387827,0.04315649304281397,0.034245981184332655,0.035515239361344764,0.03594303386300839,0.034513961180348586,0.038421228225995224,0.029609196419685617,0.03392165686294759,0.03744977676864049,0.0292930158799017,0.02844822550034923,0.0260912016433349
18 t/m 24_30-49 km,0.04859700077564261,0.04435861804156334,0.04724934643919626,0.07455908153701835,0.035058761430203145,0.041507807472267844,0.04180925412038798,0.049414154783357346,0.05642555144890007,0.04851022842912718,0.04535857787431689,0.027769678895852058,0.04036466798923641,0.043710924760127175,0.0360080893652874,0.033432386677701674,0.03464178971820037,0.030785702746580865,0.03518406834211449,0.02854820041683359,0.03379140131750681,0.03979986418303717,0.026330989140126247,0.027974886537971224,0.028808967557443554
18 t/m 24_more than 50,0.051941826271302234,0.03352320952717157,0.051115313304748576,0.06215627741473628,0.1321870701287921,0.04886990315629688,0.038946452468498004,0.041347170076423835,0.07326081793774807,0.04372905005958476,0.0536761115209471,0.018575985374180877,0.03172519636429762,0.03955709603677577,0.021073873830098726,0.028349753408131378,0.031354900908795474,0.02875179828515062,0.03149068796322186,0.01911971328464737,0.026269771702818082,0.03379923533745066,0.018398158499204134,0.018910543056366094,0.021870084082612002
25 t/m 34_Less than 10 km,0.05179736731477152,0.037924405189482376,0.038879331437217966,0.03357090687413122,0.022293914478226436,0.060302293359443565,0.03893065336765937,0.04231798997299966,0.03587740051662252,0.043428522110467736,0.050267852841337356,0.04211267110279784,0.03625961958124797,0.04278616999394533,0.030056313991825154,0.047202329426960316,0.04688782420932829,0.04357185097072698,0.03777088924892439,0.0315207187384064,0.043171685894717794,0.043611508490133795,0.03528750983040998,0.03616286739876289,0.028007403659453232
25 t/m 34_10-19 km,0.039604694080715,0.0291659146832259,0.03793845824046718,0.03695199258119618,0.01941533641377916,0.04254258302628607,0.06589705283628093,0.042445261930265515,0.038694543721461395,0.04339108836507869,0.047369412444553394,0.0314956388354035,0.04861297788467304,0.04451473885419183,0.032911006639787986,0.04299226203052811,0.04277395078071264,0.03845793141899883,0.04278786038975417,0.03514142031388867,0.044408295555721886,0.04556327098639992,0.033428159144132163,0.03828856828589226,0.035207580556605486
25 t/m 34_20-29 km,0.04987219062358811,0.04148754611671012,0.04296206587015599,0.04065111574703947,0.019185735908112317,0.04304402257955692,0.039507984486230635,0.061336875371894334,0.043108575730301475,0.041186424544313226,0.04454046077772964,0.037873337076469976,0.04117589564727368,0.04482961412064227,0.03507423994427052,0.04130543483728961,0.041535951643911925,0.03631942477304959,0.0390643218873902,0.03297260541418307,0.03888422280047054,0.04253175718294084,0.03594087041558628,0.03579860963494269,0.02981071686594652
25 t/m 34_30-49 km,0.04723902031267033,0.038307003030851355,0.05213591523840681,0.05480881078422296,0.040138200940020914,0.043088587356360335,0.04252642298641549,0.05089992500181953,0.0724227674745667,0.04493184636474622,0.046396722975226866,0.02960004559690923,0.041809066149368475,0.04708754786031359,0.032476761679449,0.03279032488990596,0.035466641816119145,0.030948334241650454,0.03873610566489665,0.02829419780609423,0.032300766766622004,0.036442042217367875,0.025962444146152844,0.027382686619749394,0.02780781208009363
25 t/m 34_more than 50,0.040920548635173824,0.03372255897556529,0.037951570547760494,0.038380937833270554,0.019514789842202215,0.042483866312718305,0.03884341135403423,0.03961094976514591,0.036598388343509085,0.05899059983934896,0.041334006628448175,0.038226519067138136,0.04062729892647184,0.04858524025610455,0.042696276935394725,0.03937988630365003,0.04081533376549285,0.04068967470673754,0.04157191064050589,0.04115976638636522,0.04231988646118052,0.04395175256759432,0.03737430598717513,0.03842024684574799,0.03583027307326435
35 t/m 44_Less than 10 km,0.04653923301929644,0.030511438028896998,0.035307678690900506,0.03545826836289694,0.02366740879649823,0.048586447771964025,0.041897744938691174,0.042324486682989174,0.03733970076150829,0.04083977445272497,0.058285247155591656,0.035109769562350915,0.039050211673910276,0.04535353328023897,0.030156563956138298,0.048384432780335024,0.04619076248683168,0.04407321612560509,0.04201375759090465,0.03158326026632696,0.045549469486177996,0.04558733711783562,0.035431654815680294,0.037651766184046385,0.033106836011659445
35 t/m 44_10-19 km,0.040784539098093396,0.03723041787609122,0.03291381395685024,0.024023664405830855,0.009064249006747531,0.04504513608866347,0.030828569551516995,0.03982730030479432,0.026362476621212418,0.04179755561769014,0.03885422766432286,0.06450137072056154,0.03799744633920448,0.043628985034657286,0.037956891816944595,0.05028252949849845,0.04630867349871629,0.046377353063642886,0.041766895046960205,0.04430039023976592,0.04850193676276771,0.04177742689478169,0.05044476882338073,0.04594810530648569,0.03347527676181907
35 t/m 44_20-29 km,0.03638727591198223,0.029994537194478765,0.034437323325063045,0.033598209411837235,0.014894661563129704,0.037316827220841994,0.045782713696429236,0.04166167279917639,0.03582701687824137,0.042741566456438146,0.04157957514165147,0.03655954346792061,0.062060503896699544,0.0434204639443281,0.036139419156904995,0.043842441935472806,0.043879200689497494,0.04276261596543376,0.046321664952443685,0.04178106578918297,0.0458570397588106,0.04385560223108129,0.04110496246459616,0.041001020416049146,0.03719307573230927
35 t/m 44_30-49 km,0.03947584592151382,0.030360207253860082,0.033605749492628144,0.032816337937936105,0.016750820899298094,0.03971643451295211,0.0378127713331836,0.04091136995168486,0.03639415399905176,0.04610225967542866,0.04355651802787559,0.03786228638680386,0.03916334985062877,0.05597584653008397,0.041820538040792894,0.04117495614889522,0.04529835929638948,0.04072084085108054,0.046549870388601554,0.042661879739451285,0.04475848978888439,0.046130391287906566,0.040060880381318685,0.04094713190991569,0.039372710393834255
35 t/m 44_more than 50,0.03339270305569712,0.032552945582146144,0.031825533195550024,0.03226256061755027,0.010650124975710658,0.03329670015358558,0.033363720911182886,0.03820022541043792,0.029956902590703625,0.04835111568204819,0.03456388243562965,0.039311625635801865,0.03890139505177179,0.04991007827505409,0.06680351360147009,0.0383888793504058,0.04207509396375415,0.03711991853029651,0.04328351187943744,0.05362255468934473,0.04589578199903288,0.047841929947000914,0.0422336483275971,0.0476416529245648,0.04855400121422575
45 t/m 54_Less than 10 km,0.04063128758204922,0.02942940222483812,0.028690225878107413,0.02603869914388813,0.012454111825116767,0.04545504105805915,0.03788582564788766,0.039105514319518114,0.026291965596307296,0.03876538465256215,0.048205818767791765,0.04526897124649208,0.04102342251266497,0.04271544421448343,0.033370182446343814,0.05807008369767122,0.05018059735650078,0.04924228857574407,0.042771810624634546,0.03843891305177749,0.05183787933428692,0.047763723487755226,0.043673028120130554,0.046066561542169475,0.03662381709321962
45 t/m 54_10-19 km,0.04036535237707821,0.028950596452737475,0.02868307058918131,0.0266528657559976,0.013606943958138157,0.04460364917117693,0.03723552776983546,0.038846031415990634,0.028092416118382042,0.03969032729696993,0.045461172147979706,0.04118485461070161,0.04055902911856653,0.046422223933017676,0.03613016371749947,0.049570981176595606,0.0573646225342847,0.0479029206431544,0.04321778965611294,0.03948684889011773,0.05001154867511887,0.049459798158239636,0.04423293400129966,0.04417012402265814,0.038098207809165466
45 t/m 54_20-29 km,0.03918876251177714,0.029437694486205764,0.029392640822328824,0.025277001492974266,0.013315364761745154,0.04423328690376487,0.03572703379269494,0.0362488593488551,0.02616008760776642,0.04222585358753819,0.046290634389796845,0.04401635199407867,0.04218188655156148,0.04453414295920871,0.0340161173422918,0.05191140804039357,0.051120475505030134,0.0612177032578967,0.04377520245568056,0.04036861022993647,0.04895465982457185,0.04590802403895429,0.04291857082788621,0.04436600141986482,0.037213625847197215
45 t/m 54_30-49 km,0.033674657695983524,0.026611070813626736,0.031644720814725046,0.027938865126000873,0.014104458809763576,0.037084005390786996,0.038443049724833055,0.0377069926695034,0.031666793891659176,0.04172347074789834,0.04267722159904913,0.038337739499130115,0.04419082591569695,0.049235807033291716,0.038360692667689676,0.0436082278629156,0.044604807170085144,0.042336444907814574,0.059205663845526384,0.045404781931109306,0.047822131494046384,0.04759553598438926,0.04466940719490051,0.046488027680728905,0.04486459952884569
45 t/m 54_more than 50,0.030296395645382473,0.02705199551762105,0.02624175775632131,0.024393702286509163,0.009214927662208886,0.03330134805310838,0.03397448250616911,0.03424767935133074,0.02488982256716391,0.04445182751900628,0.03452215104905498,0.04375605299399071,0.04289076064956925,0.048555546731255096,0.05113846963620666,0.042171415466197945,0.043853864381584305,0.04201131716325582,0.04885824588777587,0.06370881565960772,0.05050114659369943,0.04769891279840233,0.05077430060387961,0.051509980316702064,0.049985081203996855
