,18 t/m 24_Less than 10 km,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_more than 50,25 t/m 34_Less than 10 km,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_more than 50,35 t/m 44_Less than 10 km,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_more than 50,45 t/m 54_Less than 10 km,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_more than 50,55 t/m 70_Less than 10 km,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_more than 50
18 t/m 24_Less than 10 km,0.06561522954774336,0.0459498771800637,0.04291160412388127,0.040315574304761875,0.022666106316297563,0.05519138001312893,0.03676084011666646,0.05184970011885001,0.04034905829859026,0.043276651212001346,0.050790633847952106,0.038946842918296275,0.0357401774704233,0.04409761173912506,0.029807007818984665,0.04370391354728143,0.04398611798646008,0.03949746287069431,0.034525696424011015,0.028162407285976118,0.038014059644459086,0.041547096452298475,0.03253539422548145,0.03050282507306667,0.023256731463505133
18 t/m 24_10-19 km,0.05792947346262739,0.0827217814736482,0.045450350565171625,0.04581314303434667,0.017361585042236633,0.0488003372810807,0.03271915972326537,0.053014446349487654,0.04007474689760085,0.04377827024129121,0.039605107263400816,0.044261687869152876,0.036165199362461826,0.04123589358083093,0.036504516129916356,0.03817110386592937,0.037989945558021064,0.03595731775128052,0.033297707687711696,0.031211032603969707,0.03466264550493351,0.0368811590640479,0.03231066006549018,0.03161755081619342,0.022465178805903513
18 t/m 24_20-29 km,0.050748937362965506,0.04263578018152004,0.0775991306398603,0.046177106089473174,0.026320980392433975,0.047092256481950805,0.04139957019399998,0.051747660315461914,0.053386357191608495,0.04697665588644677,0.043867266889635353,0.036088020079000444,0.03969989398767835,0.04342155338569213,0.03337453327039591,0.03478567219036592,0.03526286880858772,0.03367187705629584,0.038042429441836605,0.028282455922420305,0.03301510048336811,0.03694980310764822,0.02793903891408895,0.027023995875999705,0.02449105585126545
18 t/m 24_30-49 km,0.049662002442393306,0.044763726926112656,0.048097874533003196,0.08082691977609606,0.034249204954677946,0.04150485217160779,0.04184802561003738,0.05061334455893789,0.05886238473277356,0.04956110975214527,0.04591378096769729,0.026270135077897404,0.04020661776113589,0.044020715783777836,0.03530648824194325,0.03244709632324046,0.03378605670796867,0.029540440168172317,0.034388537636474856,0.027109810439448878,0.032843884079090495,0.0395670451183167,0.02472702318121124,0.026491150663347705,0.027391772392492
18 t/m 24_more than 50,0.05268520329896397,0.03201001550344238,0.0517322773267831,0.06462653284002806,0.15251634577154533,0.04915424347535767,0.03796564528569619,0.04063983233174738,0.0779191656054664,0.04331430038535945,0.054691515794536794,0.016350337237672114,0.030063690647779393,0.03864374732006668,0.018874566516152026,0.026451389200091498,0.029664709339708443,0.026878670303656458,0.029810940415710786,0.01689602241663842,0.024254417399631054,0.032310106571111635,0.016172344719809856,0.016685842483997487,0.019688137809047292
25 t/m 34_Less than 10 km,0.0535113260566877,0.03753030184738574,0.03860750686385557,0.03266795548817716,0.020503298645684356,0.06361786825729797,0.03866550480618443,0.04251623867769783,0.035233869268882397,0.04378815198081479,0.05171694053813274,0.042281583449869146,0.03566132075549788,0.04305189963222657,0.02880514004400076,0.04814338356894467,0.047778530378687074,0.04395263878884886,0.03735747449893944,0.030407460859359667,0.04349358947432961,0.043998163673629916,0.034575403916369526,0.03555305974592645,0.026581388782569767
25 t/m 34_10-19 km,0.03941960744734012,0.027830036936122498,0.037537945217424144,0.03642926959765441,0.017514829508474234,0.042763780504717845,0.0703609216527804,0.04265247727388264,0.0383904011903763,0.04373567141009841,0.04832681686570866,0.030373310456774324,0.049773107930501125,0.045026750539408134,0.03193126605272637,0.043278519989341784,0.04302852978607751,0.038123381160424415,0.04304445256687909,0.034405065569873765,0.04490425210554018,0.04623558228076149,0.03250284866638174,0.037932391705001844,0.03447878358572858
25 t/m 34_20-29 km,0.051277894439116845,0.04158751199321977,0.043273542615115276,0.040634750323057245,0.01729115898038348,0.043367492450167154,0.03933700836993022,0.06489161570144543,0.04344150935410652,0.04124420214025015,0.04508721026338934,0.037490286259021705,0.041232204353228497,0.045420435611176015,0.03435373786524454,0.04137984499421543,0.0416427314577647,0.035744933013507806,0.038834724987130684,0.03202119476285962,0.03863105348164199,0.04278067129413232,0.035321282587003254,0.03516223339493728,0.028550769307954714
25 t/m 34_30-49 km,0.04808737779713043,0.03788377550451018,0.05379919495699426,0.05694874650357781,0.03995123848784041,0.04330954000758823,0.04266713440898543,0.05235023837429585,0.07819920626544118,0.045423948061969054,0.0471128918030094,0.02825015261360026,0.041849086074805385,0.04791195548064296,0.03139476010701699,0.031739915733503876,0.03470404783910586,0.02971898809647886,0.03836704310578343,0.026836321473247896,0.031201234213868508,0.03579216747642818,0.024334312849498507,0.025854732583558148,0.02631199018111902
25 t/m 34_more than 50,0.04096666521179747,0.032871561665014024,0.037601646283322056,0.03808610949841985,0.017639916734117484,0.04275226439501344,0.038608763801640765,0.03947807221106298,0.03607980250706861,0.062112873024985936,0.04143801066600492,0.03791178936223273,0.0406327557511476,0.0498056127037035,0.042995584472744305,0.039216124854609916,0.0408468239639814,0.04070375232558305,0.041709518488176826,0.041239295717231596,0.042564537309924065,0.0444371412909682,0.0369514997045671,0.03813050009085862,0.035219377965823605
35 t/m 44_Less than 10 km,0.04739442569400512,0.029314304853812347,0.0346124232683235,0.03478045941430679,0.02195593082421718,0.04977393742313641,0.042053771991757125,0.042541525748298274,0.03688805035827303,0.04084750783422171,0.061227747826600516,0.03439173584395278,0.038816952171647885,0.04602281631971736,0.02892663803777361,0.049538506850825816,0.046990811527448405,0.044547302040928244,0.042186303651413834,0.030488924528358802,0.04624913640091819,0.046292891679653975,0.03475075539752968,0.0372390666583116,0.03216807365456792
35 t/m 44_10-19 km,0.04065570717939334,0.03664898960133495,0.0318537166992264,0.022261795580878676,0.007342842903532862,0.04552249366587073,0.029567494378108832,0.039571642985465234,0.024744140140618,0.041806766429681924,0.038473325322530394,0.06849421825019204,0.03750940012424669,0.04389749311628068,0.03746384784296249,0.05159222541220054,0.04697834169202571,0.047057632782212144,0.04177187079801057,0.04466702229177051,0.04951838228536143,0.04178385698295448,0.05178169387368993,0.046562329491539156,0.032472770169912325
35 t/m 44_20-29 km,0.03579837970657198,0.02873308799095784,0.033623568937664224,0.03269285366400609,0.012954994135839214,0.03684084893979338,0.04649160702034758,0.04175988404591418,0.035171828847883585,0.04299381443084305,0.041666254827530856,0.03599129915711044,0.0657220827688346,0.043771761760027166,0.03552103030871373,0.04425615342276626,0.04429837961579659,0.04301790956637158,0.04711489807268517,0.041896092567077846,0.046577504389980165,0.044271270598970555,0.04112547844963594,0.04100716086634786,0.03670185590833017
35 t/m 44_30-49 km,0.03930316061417951,0.029152284304201484,0.032723937878984394,0.03185063759603028,0.014817669429201603,0.03957585133533835,0.037424511985689045,0.04093358354502492,0.03583097375590065,0.046893616608353256,0.043958409030103035,0.03748028334227221,0.03894930996735879,0.058481305538892255,0.041970295125715686,0.04123382323206246,0.04596425308595067,0.04071672603129644,0.047412057205964475,0.042932440377671785,0.04534140046205503,0.04692617939227671,0.03996665366601998,0.04097430284683259,0.03918633364262435
35 t/m 44_more than 50,0.03239205966634337,0.031466725547964376,0.03066783937348447,0.031147509626679386,0.008824404952394262,0.03228610934669502,0.03236007008069092,0.03774941663835001,0.028627251845759486,0.04935908198680503,0.0336879443615332,0.0390016788937259,0.03853887838064786,0.051174051110505867,0.07130579638985442,0.03796163110972374,0.042136359803134626,0.03653699491129521,0.04351616755491893,0.05552735305620452,0.0465169665092235,0.04876801403065487,0.04231709384640098,0.0485357675922673,0.04959483338474288
