,18 t/m 24_less than 4.999,18 t/m 24_5.000-9.999,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_more than 30.000,25 t/m 34_less than 4.999,25 t/m 34_5.000-9.999,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_more than 30.000,35 t/m 44_less than 4.999,35 t/m 44_5.000-9.999,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_more than 30.000,45 t/m 54_less than 4.999,45 t/m 54_5.000-9.999,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_more than 30.000,55 t/m 70_less than 4.999,55 t/m 70_5.000-9.999,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_more than 30.000
18 t/m 24_less than 4.999,0.06246149380524031,0.03865975755336639,0.04528692962571849,0.03868661749554813,0.035436753266414024,0.05119100767784511,0.04184194047970065,0.04674458113226839,0.04301122189116677,0.034668198768033745,0.04505765476039067,0.04837801630794061,0.04518455633119859,0.03721757954228829,0.03496133687073531,0.04069767405631559,0.036595007483868944,0.03744111330101147,0.03568556586829443,0.030281825605748502,0.045505833666197266,0.03627228363743431,0.03397764966121237,0.03049632781110364,0.024259073400958044
18 t/m 24_5.000-9.999,0.05019493553938723,0.08109855968237605,0.04314373925490766,0.060546541976273634,0.054773461435567786,0.05206057355006333,0.032680544169221004,0.05642313764126376,0.054699117861275195,0.028543132824162213,0.051326110272151663,0.04656285008699709,0.035484840297386175,0.02672808556170272,0.030378449342337865,0.04777475505240463,0.02772953098929639,0.028551393142026964,0.02218932282988172,0.02727684974924995,0.03897875149104523,0.02854744044391879,0.02624089493685659,0.02715423529944553,0.02091274657080083
18 t/m 24_10.000-19.999,0.045482519537135495,0.03337249258984403,0.0627312590143483,0.03179096965987245,0.029344539068261895,0.04163447443258152,0.040101669938206914,0.04256077264518913,0.04293800951802003,0.039904988458160144,0.03855647718444583,0.04411465732721635,0.04763894520022218,0.040469392096992504,0.04356203947012551,0.03509756214932274,0.038084614171098694,0.04179520419292216,0.0389060951440162,0.035315460246249285,0.03955208974416085,0.041616740025258614,0.03879017808217911,0.03436378858903679,0.032275061515133215
18 t/m 24_20.000-29.999,0.050294473550637445,0.06062448697389319,0.041152066072928845,0.0812029624580766,0.060766283443466323,0.05617598603857884,0.03176887611697464,0.05681811948632197,0.054412887069332935,0.029469666954663742,0.04860751130070049,0.04758992615929544,0.03496156063295883,0.02811489183566147,0.02942275895811624,0.04728771481345064,0.025196797765049298,0.027216123614280396,0.022649381478038976,0.026509954626605475,0.039380564824166256,0.027920692528078477,0.026037115112367785,0.025503444798815868,0.020915753387539846
18 t/m 24_more than 30.000,0.049133066772868036,0.05849104228940246,0.040511246156417526,0.06480717877039212,0.08660287591229746,0.051572853773071796,0.02708025164925452,0.059886761385286355,0.05871928434744909,0.031114461833084514,0.04752102994979699,0.04702339874932252,0.0336377060161608,0.030423738845380698,0.0299173503052591,0.04315056068409495,0.02452435540812786,0.02657930201548752,0.02144296274088302,0.030140189360525583,0.037266140943653735,0.026677099170759035,0.025242570258819992,0.027369645334405102,0.021164927327799198
25 t/m 34_less than 4.999,0.04987066875099393,0.039062468738301576,0.04038619731219748,0.04209618220899831,0.03623704115481695,0.06085046199630748,0.042377455651306725,0.05128519794190975,0.046904365511135214,0.026087985535819824,0.04918188102942142,0.049250438170098165,0.04346286977274876,0.030764801952682934,0.031151776328675544,0.05042224811065052,0.03587014817659149,0.03551897637081253,0.031289035207349485,0.03009844146973895,0.04945629912291889,0.03667956321776142,0.034199458800724405,0.031939595368707954,0.025556442099330414
25 t/m 34_5.000-9.999,0.0429107237052628,0.025813240426771616,0.04094914539180248,0.025060882819743318,0.020030268443501212,0.04461053035300106,0.06405696944660026,0.04136540877947665,0.03408333343330305,0.031635870061400805,0.04489716414626962,0.044712756522070365,0.051157287108718384,0.036459783890496075,0.03695170361364171,0.04238836600214023,0.04797598257714676,0.04792613755198002,0.04173343343960638,0.03250068178300284,0.04841089776064191,0.04282838696171355,0.041308077986945996,0.03803932015893566,0.03219364763582726
25 t/m 34_10.000-19.999,0.04567581382756438,0.04246307884487637,0.04140882312539081,0.04270535832933773,0.042205194034081135,0.05143935854364195,0.03941289354398132,0.061033375277594976,0.0493192618663508,0.02802566788914859,0.048127009144076374,0.049124181686680035,0.04284373630290084,0.03276576011255044,0.033309461405123565,0.043528695127698275,0.034580973930179275,0.03516765089480771,0.029275404951068583,0.03439007031572204,0.0426071536386814,0.03611309748616217,0.034106308363113964,0.03384053492956299,0.026531136429704352
25 t/m 34_20.000-29.999,0.04207919385683854,0.04121593708493274,0.041826921485355946,0.04094754728885996,0.041433005407438654,0.04710287141308583,0.03251424486747083,0.049379555609547904,0.061107989749024254,0.029962888050862085,0.04651503760249079,0.046229379306902574,0.04180291960474929,0.03650216588145786,0.03771905366677878,0.040753657999302466,0.03334839827511552,0.03628111909492839,0.031845011343557036,0.037966541777476576,0.04134730878139719,0.03754151357877441,0.036957096382541854,0.03635957973174196,0.03126106215936847
25 t/m 34_more than 30.000,0.04366530813825269,0.027688926285290183,0.050045012655793863,0.0285509768602348,0.02826490936164599,0.03372828686081181,0.0388535774439138,0.03612486235106837,0.038574765296355874,0.078671533875484,0.032830652926569684,0.04048792101786551,0.0500385479652345,0.04918917224762943,0.05058772527675757,0.02782434553692634,0.036166732277114394,0.04405784354989982,0.04811515820995352,0.03776940691602039,0.038946227980523836,0.03443494673820305,0.037318939515908825,0.03395068730561661,0.03411353340692516
