,18 t/m 24_less than 4.999,18 t/m 24_5.000-9.999,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_more than 30.000,25 t/m 34_less than 4.999,25 t/m 34_5.000-9.999,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_more than 30.000,35 t/m 44_less than 4.999,35 t/m 44_5.000-9.999,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_more than 30.000,45 t/m 54_less than 4.999,45 t/m 54_5.000-9.999,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_more than 30.000,55 t/m 70_less than 4.999,55 t/m 70_5.000-9.999,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_more than 30.000
18 t/m 24_less than 4.999,0.07085561973744972,0.04616878040372355,0.050851636968793794,0.044153526812230975,0.03261194534468516,0.05058485928617364,0.048164855333508304,0.04399152879150378,0.043022421827511086,0.03896704911492075,0.046143578052116295,0.045139155184974716,0.04129283367356993,0.04773831339811381,0.038258802626030465,0.044244648588917634,0.03257100151473402,0.028299398539090997,0.034218522118476556,0.03427915638696369,0.03679538396786128,0.027329837302127048,0.023752109722234543,0.025338223419057313,0.02522681188523107
18 t/m 24_5.000-9.999,0.04658967127014058,0.07150156452786931,0.051297622868335696,0.044020365388356596,0.03597687716155118,0.04129998284802253,0.04144683034270437,0.043998465395745756,0.045552004951483524,0.046293885326983045,0.03715106132676312,0.04462890894221028,0.03779907986191902,0.04415525715244635,0.04361090195549022,0.03491901671801405,0.02976585176512808,0.029182063292039432,0.03859745774064011,0.04101952057676405,0.03486135650165901,0.028024646032780955,0.02543943512770063,0.031068493779123272,0.031799679146128676
18 t/m 24_10.000-19.999,0.04242697911576392,0.04241243127783908,0.05911687564119327,0.0439435666451173,0.031856283497293934,0.044766263498582974,0.04657318678633243,0.04825922468435794,0.04228427533127799,0.04329757149857515,0.03606066864341857,0.04528641757152396,0.043352032213157816,0.04614110374903268,0.03917159408888666,0.042362206922799184,0.03462473868660026,0.03177255552596958,0.041991430022170734,0.03908799660070302,0.03773850407634986,0.031001942841893435,0.02798935444364579,0.02910371427167647,0.029379082365838003
18 t/m 24_20.000-29.999,0.044052884487423956,0.0435232532788223,0.052549317771288226,0.07069411340237608,0.0341547244054873,0.0450808143738846,0.04193157969643787,0.04535280703824935,0.04521941370614766,0.04735413877818557,0.03337503411842828,0.039945369300093445,0.04379659953137768,0.044265780461608624,0.04143908659738342,0.03862568484418624,0.03289942991011885,0.03178196756820523,0.038284314472909205,0.042339797905008594,0.033394499927635546,0.02834637190830101,0.02564222966817411,0.026896208282828984,0.029054578565437885
18 t/m 24_more than 30.000,0.040440825114194695,0.044210509678072885,0.04734795621817914,0.04245072738458392,0.08786534185171128,0.04624775986330798,0.03685568369182744,0.0508784869003028,0.052928117787753144,0.04917942901658198,0.025945728746088477,0.041398742794114526,0.040507455389273674,0.039266258624886065,0.048544487723328436,0.03136845688543489,0.03405911849866148,0.028027809512949343,0.03951583088267413,0.04454194098476011,0.025388741734569842,0.0251867722000687,0.023892111294992954,0.025071569766786806,0.028880137454895392
25 t/m 34_less than 4.999,0.041733038643285904,0.03376510376853479,0.04426629108973363,0.037277112367847254,0.030768537978523296,0.058456628294016086,0.0434015614894025,0.04557290485461363,0.041298215277543904,0.03782594196897357,0.036416216939377744,0.04537376766898509,0.0475305903170588,0.03799261793900177,0.03904518091524189,0.046730667216082,0.04215135647193446,0.03766872557732911,0.040446545460067915,0.039605997705670866,0.03981440234636866,0.0370199253943341,0.03272459768579932,0.029431439433906425,0.03368263319636723
25 t/m 34_5.000-9.999,0.041630053170875876,0.035499871823041707,0.04824757487034685,0.036325280626645015,0.025688448512198467,0.045469753400536723,0.06124223142996281,0.04758289871599507,0.03675783577989209,0.03673808700948139,0.042580992699165904,0.0467315283909643,0.04566358220309628,0.044896401044940526,0.037095283686797105,0.04837890061335697,0.037588442283630084,0.03511954354195637,0.03957996801629856,0.03605214414302943,0.04286979404099109,0.03416251510017888,0.030519807259410812,0.031556891920465485,0.03202216971674244
25 t/m 34_10.000-19.999,0.03471329887228012,0.03440512325722489,0.045642560585545416,0.03586922997695208,0.03237559194679327,0.04358871670811641,0.04344112089750703,0.0559114986974892,0.04307457366228371,0.038040518662439474,0.03162953801497637,0.04493384297195043,0.048076386619150244,0.041676298950642426,0.04014865980185625,0.040992724032347876,0.043393636274113585,0.03891817565834285,0.044678970166989296,0.04338158965168746,0.0356438499318822,0.03618147667121018,0.03656759537729244,0.03313170012529578,0.033583322485631215
25 t/m 34_20.000-29.999,0.03762853590228592,0.039481052313160306,0.0443265760559009,0.039640437803094425,0.03733065536745994,0.04378186817690581,0.03719595333804506,0.047743760339133565,0.06197217910834631,0.0429813165485492,0.02855678226321266,0.04119295786101313,0.046932629434823424,0.04055111569117987,0.0450342765149688,0.03369321055590367,0.03829655177246005,0.03781276126428646,0.044833070593593004,0.0474526703671691,0.03035548785067942,0.03252891053689283,0.03357010383354915,0.032940719603464036,0.034166416903923
25 t/m 34_more than 30.000,0.03798895162774924,0.04472415845023421,0.05059250174985904,0.046270988864592036,0.03866339351788723,0.04469820473205519,0.04143807982507477,0.04699800105795482,0.047908992430775836,0.06907709903364198,0.02633793707431253,0.03796526762736904,0.03965537595277899,0.04774823000823789,0.05751621271587337,0.033554429868347835,0.031096539299366413,0.03064547456464862,0.041115026986579456,0.041656023385513025,0.032574513504003484,0.02745781719292634,0.02632596699841294,0.028076016421598907,0.029914797110206906
35 t/m 44_less than 4.999,0.04928590650274977,0.03932253093494884,0.04616449448505715,0.03572927867271636,0.022347762777485597,0.047146216667631635,0.05261996538111074,0.04281318104170779,0.03487372071100574,0.02885582180855851,0.07568081187007507,0.04929092895577511,0.04261114159052147,0.0473002034751626,0.030163531605448754,0.051245726297209755,0.03498650126194215,0.03171197890246342,0.03666145124789701,0.035042612657970054,0.047855087164794106,0.032429424671535007,0.02699435055139072,0.029962964290721025,0.028904406474121624
