,18 t/m 24_less than 4.999,18 t/m 24_5.000-9.999,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_more than 30.000,25 t/m 34_less than 4.999,25 t/m 34_5.000-9.999,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_more than 30.000,35 t/m 44_less than 4.999,35 t/m 44_5.000-9.999,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_more than 30.000,45 t/m 54_less than 4.999,45 t/m 54_5.000-9.999,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_more than 30.000,55 t/m 70_less than 4.999,55 t/m 70_5.000-9.999,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_more than 30.000
18 t/m 24_less than 4.999,0.0724560331816849,0.04637926360035767,0.05128881294359135,0.04427269482688012,0.03229111094965529,0.0510085990285781,0.048469553740799316,0.0441035272908975,0.043092074160264074,0.03887000355207488,0.04635289534051575,0.04530249617712696,0.041289273475266175,0.048022571480347,0.0381344632240287,0.044367860695151994,0.032248887540036984,0.02785643529866834,0.03394960841656662,0.03401226655850323,0.036616450591746834,0.026863134069805207,0.02321087312925302,0.02482739946515377,0.02471371126304626
18 t/m 24_5.000-9.999,0.04683471640484084,0.07316756460656224,0.05177398190418264,0.04414778013474027,0.03577995664227793,0.041309951782535666,0.041462945382084365,0.044124904951074954,0.045748782173276485,0.04652506839576834,0.03699702121771132,0.044783609913548954,0.0376693926124102,0.044288688944282596,0.04372016201631125,0.034684874098705305,0.029370876298372706,0.028771159823349244,0.038498431510915525,0.04101781397068815,0.0346252242472365,0.027583645658307416,0.024938686054055664,0.030710807780238835,0.031463953476522664
18 t/m 24_10.000-19.999,0.04250165973695617,0.04248648123112631,0.06004236579942855,0.0440851657999738,0.03153487918766194,0.04494511871805419,0.04683615774613712,0.048603436775990536,0.04235277890474461,0.04341038439511442,0.03588108054909743,0.04548916762573587,0.04346725589031104,0.04638367868363316,0.03911067421043241,0.04243408124627616,0.03439421738669091,0.03144855891719732,0.042047322962287,0.0390237445649433,0.03762154130451471,0.03065453394303015,0.027558471352632244,0.02870217090501765,0.02898507216301283
18 t/m 24_20.000-29.999,0.04417996447360029,0.04362688744860879,0.05308827824558245,0.07230427206616065,0.0338931753300991,0.04525418436489475,0.04196644834281334,0.04553859665339662,0.04539910348947091,0.04763346470649482,0.03308771145991634,0.039898107225416486,0.04391229955989711,0.04440236297136548,0.041453203373423876,0.03852620035117817,0.032596768004173,0.031444431873150235,0.038171635431384146,0.042392057289932346,0.03310781130046728,0.027912409793007596,0.025144763173744967,0.026426756580556533,0.028639106491264697
18 t/m 24_more than 30.000,0.04037267057638432,0.04429964593773115,0.04757868343755539,0.042464630062177024,0.09058974661715574,0.04642777674785673,0.03665201216540875,0.05127932879619307,0.05343266678688255,0.04949702511245429,0.025428991950651608,0.04136917097702778,0.04044195311702416,0.03915213479336485,0.048831626101110366,0.03098698019388198,0.03376009286672046,0.027557797028679432,0.03941134930128,0.044645589756077644,0.024860684618532466,0.024654737495221807,0.023336231178678016,0.02453729694021156,0.028431177441738762
25 t/m 34_less than 4.999,0.041786465774534334,0.03351219598446343,0.04443155724048498,0.03715023647182326,0.030420450504217256,0.059356296945319166,0.043527925845184896,0.04579833881007428,0.0413331048227981,0.03772008423216416,0.036257075473055324,0.04558992533236041,0.04784920717354582,0.03789321148943583,0.03898723769630286,0.047010776704424086,0.042222802708282305,0.03755681171926073,0.0404457023206331,0.039570648974570015,0.03978753763486837,0.03688331973085194,0.03243729475077711,0.029044843174685066,0.033426948485883484
25 t/m 34_5.000-9.999,0.04166895363236695,0.03529877850758059,0.04858940615318057,0.03615400261984397,0.025202110091598673,0.04567928542149036,0.062289970796481284,0.047892424591016274,0.03660250601273348,0.03658202431355791,0.0426607736060104,0.04700026608836805,0.045882111259923766,0.045079530243487376,0.036952547916190286,0.04872716210479363,0.037464349393810825,0.03490498872408982,0.03953396304800403,0.03587090968490469,0.04296217347067632,0.03391487426459817,0.030157042058375966,0.031225098187830824,0.0317047478090858
25 t/m 34_10.000-19.999,0.03449493181519683,0.03417603713989481,0.045873904200135235,0.035692108509291186,0.03207892505169016,0.04372596940760751,0.04357177141958167,0.056670431544320096,0.04318892223641594,0.03794516901347361,0.0313093822026386,0.045132255786216297,0.04842441812938286,0.04172971200870343,0.04013782473731949,0.041017082935335326,0.043522167360963517,0.038857413475580665,0.044865658567979645,0.04350958340628353,0.03545855913032462,0.03601577381679663,0.03641617290172944,0.03285959037683465,0.033326234826304306
25 t/m 34_20.000-29.999,0.03750946467024284,0.03943473793225831,0.04448792358284961,0.03960056111829716,0.037200247230022916,0.04391867726739299,0.03706045222465777,0.04806554464221836,0.06306930148376264,0.04308259635984,0.028142179852852296,0.04121722106141772,0.04721533893727819,0.040548549842567956,0.045227938576469486,0.03343287786522015,0.0382032727559507,0.03770075231504542,0.04501749586213727,0.0477603623833909,0.029990745779081885,0.03223047240073499,0.033305659436153566,0.03265555822105804,0.033922068199098786
25 t/m 34_more than 30.000,0.03785683511213875,0.04487171796576355,0.051019959816876605,0.046489244714028474,0.03855709712759386,0.04484459764942991,0.041443257434910674,0.04725026499997178,0.04820456007812341,0.07056742604522558,0.025850150095710015,0.03783225372924797,0.039587976002661875,0.04803610069060852,0.058311924661263954,0.033265827320868954,0.030731843659578685,0.030267698438271755,0.04110680225182165,0.041670304308505955,0.03225461710898816,0.026995929117218712,0.025837913968058797,0.027629262141108585,0.029516435562023907
35 t/m 44_less than 4.999,0.049636173399241805,0.039232333377648074,0.04636643412920625,0.03550575497767924,0.02177940843556459,0.04739384586495275,0.05313816822853501,0.04286609858346506,0.03462068792491591,0.028422008981641537,0.07758825420520783,0.049641441598911824,0.042655429938279386,0.04755508034416123,0.0297647901812925,0.05169355812552393,0.03473730727858456,0.031357887092220094,0.03647108088551741,0.034795334402347125,0.048136260964512644,0.03209712614767112,0.026514998584359652,0.02955868420369051,0.028471852144869917
35 t/m 44_5.000-9.999,0.03598910985403231,0.03523092328941196,0.04360875823759141,0.03176229399359674,0.026285806056869133,0.04421051850278072,0.043431588681763444,0.04584099623424348,0.037617004821059105,0.03085897262606146,0.03682747397519935,0.057560363286993634,0.04672255618043207,0.03790583530107936,0.03162836138385901,0.047092567650788154,0.04318973655665848,0.04188357652003274,0.04151307093667499,0.04090548164352749,0.0441120497904433,0.04216776076251745,0.038234286695485904,0.03702597858447877,0.038394928434419495
35 t/m 44_10.000-19.999,0.031599079141065994,0.028548398940125782,0.0401435861642091,0.03367704377374729,0.024755107441719205,0.044701251941002794,0.04084482179284642,0.04738268099690635,0.04151230319907215,0.031107904761928613,0.03048527259789886,0.04501060057438492,0.05545130088392782,0.03639293126358628,0.03408155062708797,0.04379746220409126,0.047182234242771036,0.04739981205959894,0.04543451818475326,0.04300410290033338,0.03941483553494606,0.04461431771651487,0.04359157949392192,0.040577886595109657,0.03928941696845015
