,18 t/m 24_Less than 10 km,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_more than 50,25 t/m 34_Less than 10 km,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_more than 50,35 t/m 44_Less than 10 km,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_more than 50,45 t/m 54_Less than 10 km,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_more than 50,55 t/m 70_Less than 10 km,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_more than 50
18 t/m 24_Less than 10 km,0.06197303682889613,0.03540379094221899,0.03800605919934927,0.04487389406251013,0.02802554346389722,0.0463341546806073,0.045584516637435346,0.03162440219436943,0.030929583817340383,0.0378823607588866,0.05192629551469684,0.040774493108773485,0.03915762402842524,0.03641917512676563,0.034924414287986316,0.046177687906313145,0.043634612026345186,0.033038203837124525,0.03357290339541118,0.03358483205751237,0.04740733796937328,0.03648713826839238,0.03926917605584552,0.040052857538279946,0.04293590629324417
18 t/m 24_10-19 km,0.04250235238916989,0.07439880814536459,0.042735588333567144,0.046817460834021996,0.03421157519487821,0.04805663247068569,0.04662242099754725,0.041301081754589075,0.03719961553607541,0.033549782450372746,0.04028683105403219,0.03433941973094533,0.04128390012841583,0.04046504293270367,0.0370868892888712,0.0377504724712624,0.03749018582234065,0.032376195260602425,0.035750483319408756,0.039669083543529125,0.033617835576293956,0.035056139895835677,0.031317646614990674,0.038740069804947194,0.03737448644954894
18 t/m 24_20-29 km,0.0472552338104034,0.044261238589472514,0.07705482775600078,0.05119108578830659,0.028748765678114303,0.051489843266555924,0.04109337959366923,0.03573738747216391,0.03630523160490268,0.034096543455388935,0.04447019352070733,0.0350498202153013,0.03556516677955726,0.034336200808857506,0.04430577358788588,0.03498828719425841,0.04271540117110759,0.030087454164193225,0.031036676965985627,0.04025890760596928,0.03426353663602523,0.03326905043406853,0.038111486125309575,0.03815118206996131,0.03615732570583364
18 t/m 24_30-49 km,0.04946874042862798,0.04299141602597124,0.04538730119137102,0.06831874381554341,0.03261975571497198,0.04619277874860647,0.04697561833367319,0.03218798211107618,0.038302617806056004,0.041986785628295664,0.044659392299824296,0.03744892741918954,0.04027672614647842,0.03434672935505332,0.03410647354403562,0.03777429511771349,0.04054129089266219,0.02943239851135415,0.03386544422905517,0.034556197727007736,0.0379648311226863,0.03406001473570185,0.03462117741545185,0.0410481223977026,0.040866239281890336
18 t/m 24_more than 50,0.04580185796587486,0.046573505017850826,0.037787762736954646,0.048358482343097586,0.10128189785891539,0.041243651676955685,0.050745555098476204,0.03652780824734905,0.05012604126132922,0.047223750521499734,0.036428008299304614,0.031308212352434014,0.04144762057356886,0.039494692233029184,0.032018783136202336,0.03249491035388456,0.037702669466231596,0.025397057163821703,0.031574054444455414,0.03840083729203648,0.031571141830385875,0.027288950391227508,0.024116646264844714,0.02859557095429846,0.036490532515971535
25 t/m 34_Less than 10 km,0.041443571097537046,0.03580519645199874,0.03704080532552916,0.037479425082387184,0.022572724660400913,0.055431764659421096,0.03985383679894767,0.034405944992541654,0.030132808590242338,0.0304556597246623,0.04629674916177582,0.043830672369625116,0.040975180857568926,0.04332662629430837,0.04216316306808974,0.044328737549432444,0.045939263387486745,0.038029673937223674,0.039725551736231934,0.04345028593736893,0.04105165837146727,0.04044977343451676,0.0418953662984246,0.04171511670561557,0.04220044350719586
25 t/m 34_10-19 km,0.04376000802320302,0.03728135259331996,0.0317274247663232,0.04090679459765169,0.029807736189226785,0.04277344702735351,0.059492581887500486,0.03370703737019292,0.03806848443176016,0.039856001725657425,0.04562073065844564,0.03980706039080836,0.042789425077742846,0.043727157035523684,0.035326340325526354,0.04422210056808159,0.0427635279065867,0.029613063538082282,0.04009379013453809,0.03607387885196282,0.04192031471668855,0.03913265312315167,0.03801918772120134,0.041214055117932295,0.04229584622153868
25 t/m 34_20-29 km,0.03785108333113628,0.0411769538761521,0.034401843377710906,0.03494722099638845,0.026751648595744214,0.046039813273278274,0.042025852591908955,0.07417520707195449,0.032333455949047456,0.0273836410515727,0.03627763142853775,0.03677691471484898,0.04114222343084582,0.04986963685255293,0.04443055029033333,0.040023092908651754,0.04312771201674861,0.03837393034328287,0.04352203803720777,0.04306953830381678,0.0363303509833144,0.04226457954915408,0.034819356119300454,0.03625300399641024,0.03663272091010028
25 t/m 34_30-49 km,0.038948378845075696,0.03902029610265515,0.03676947637353881,0.043752882702578925,0.038623325494552295,0.04242276741383179,0.049936817111913716,0.034018209128668014,0.07804014857899344,0.043328665533155515,0.03819824541757941,0.03793419319968176,0.04311794783958416,0.04429764046159117,0.03708068849106762,0.032249209306312615,0.03963284048459499,0.027419967204454256,0.04338226132375082,0.040692660279035675,0.0294639378352616,0.031204995064428857,0.032030870695757066,0.0394702116769803,0.038963363434956544
25 t/m 34_more than 50,0.04635045616961291,0.034193494370454575,0.033552914934980915,0.0466007075426176,0.03535480127117029,0.041660939766293044,0.05079847412320412,0.02799317642392606,0.04209950419907758,0.07582628087827706,0.0412974288428982,0.03901505297172934,0.04727482029977967,0.0386895912063086,0.03241937085510969,0.03800038028954219,0.041922741757452524,0.025881715117362734,0.03709053474542267,0.03812300132639487,0.040061981816388176,0.029172547357268482,0.03370738535489409,0.038093495578124664,0.04481920280170983
