,18 t/m 24_Less than 10 km,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_more than 50,25 t/m 34_Less than 10 km,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_more than 50,35 t/m 44_Less than 10 km,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_more than 50,45 t/m 54_Less than 10 km,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_more than 50,55 t/m 70_Less than 10 km,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_more than 50
18 t/m 24_Less than 10 km,0.06321075078099504,0.035173345542086655,0.03788471267058134,0.04508108626646911,0.02753907166715465,0.04661817683884038,0.045828808538236905,0.031252354261841656,0.03053382263703181,0.03775562578761569,0.05252504434095703,0.040778797369424816,0.03908738027124491,0.0362302218435857,0.0346748721268409,0.046453367562295136,0.043778440346257635,0.03271668239620492,0.0332712658069103,0.03328364281738209,0.04774928058277526,0.036301012075609936,0.03920397172325814,0.04002349278181617,0.04304477296458366
18 t/m 24_10-19 km,0.0425845404078326,0.07652956320637302,0.04282923836163439,0.04712158968112304,0.0339300356765257,0.048428215484707694,0.04691607974971619,0.04132524171785378,0.037038917182683234,0.03324316560325838,0.040263334265157734,0.034062796968278304,0.04130724248603021,0.04044982974808471,0.036921412843055286,0.037613362869499706,0.037341880811164886,0.03202668012492529,0.0355296533160536,0.03961717381870045,0.0333137683176702,0.034807509124725994,0.030931212154791554,0.0386463226937062,0.03722123338644782
18 t/m 24_20-29 km,0.04756672787515524,0.044416194361448995,0.07936522067167917,0.051722573841867465,0.028270403725384998,0.052038658905783075,0.041093613637445105,0.03550387446698801,0.036094732756737,0.033799030891632866,0.044635757015097,0.034789031638585294,0.035324760682710926,0.03404779984087465,0.04446298612990573,0.03472508954734209,0.04279340901443805,0.029650153276342923,0.030630248374093075,0.04022034948541504,0.03397236438570011,0.03294071214054142,0.03797705081632052,0.038018466238231186,0.035940790280280056
18 t/m 24_30-49 km,0.04992301414942703,0.04310107215703986,0.04561915903788383,0.06999989279279369,0.03228149339926698,0.04646714047272508,0.04729195548445757,0.0318342609171863,0.038192526347752796,0.042047140756126845,0.04485344709806629,0.037301765304890135,0.04025590061549956,0.034073045970414106,0.03382354748422218,0.037641150427212146,0.04053279503553922,0.028986815306670036,0.03357332869992572,0.03429063956102741,0.03783995891625487,0.03377531090804581,0.03435815240554811,0.04106348341889384,0.04087300333313054
18 t/m 24_more than 50,0.045971725636601,0.04678294316274538,0.03758670375731248,0.048661859606002354,0.10551943534296,0.04119322895682994,0.05117963674138466,0.036275609496641235,0.050525655759264425,0.047467024498188355,0.03617184865322364,0.03086761581896118,0.041406544754544555,0.039366182349943706,0.031601490624093384,0.03209366239768495,0.03749809120197662,0.024794683126278767,0.03114208584540297,0.038225409726106656,0.031139078112131804,0.026731790856260967,0.02348748511452808,0.02807335566831907,0.036236852792613725
25 t/m 34_Less than 10 km,0.041487323485940614,0.03559756673885563,0.036884758899326464,0.03734217877979979,0.021960612992931814,0.05625369851991723,0.039822660319895516,0.03414242246481263,0.029716282141556704,0.030049713221178193,0.04658738705084958,0.04399254347925003,0.04099653957170537,0.04346301005571106,0.04224182596566078,0.04451607471266123,0.046210824078094064,0.03791636784939186,0.03968846316116857,0.04359289594773881,0.04107665554024819,0.04044632622336686,0.04196096597899029,0.041771971205174084,0.04228093161577467
25 t/m 34_10-19 km,0.043922367566528765,0.03713903417044738,0.03136766776161311,0.040928706673192615,0.029383455302660746,0.04288617487286847,0.06058123522113106,0.033419734440850946,0.0379604069798967,0.039828623953100814,0.045879669518542485,0.0397774198428106,0.04290294786845325,0.04388784611140197,0.03510253654328295,0.04440808606815123,0.0428757624008495,0.029182568219485987,0.040077448360416115,0.03588062291549037,0.04199102741081508,0.039072134438477485,0.03790894221769183,0.041250632448788634,0.042384948693051816
25 t/m 34_20-29 km,0.03771299608316101,0.04118939509259601,0.034122808373425,0.03468938837399612,0.026222947508531436,0.046295896296044664,0.042078874639416335,0.07627799098412162,0.03197789883745692,0.026871913583884667,0.036073251787705436,0.036593215640326276,0.041153022612382545,0.05033564200369906,0.044603059276532485,0.03998175899451746,0.04323466471390533,0.038258587611647014,0.04364863015781344,0.04317360866927064,0.03612813921770331,0.04232916658070355,0.03455651503084437,0.03604761293742476,0.03644301499289046
25 t/m 34_30-49 km,0.03885456078241849,0.038929678872548286,0.03658182574149518,0.04388668587513011,0.03851512169004459,0.04249082523932707,0.05040162164755364,0.03372115584593565,0.08043624237679886,0.043441280870792104,0.03807143169065177,0.037795935942330994,0.04322011475534175,0.04445894934355438,0.036906061206300585,0.031887495477193856,0.03956974837121131,0.026906558880475672,0.04349754227649798,0.0406782862561687,0.02901008716612701,0.0308073133305146,0.03166149850181259,0.039399766103063776,0.03887021175671097
25 t/m 34_more than 50,0.04661398552904767,0.033899918272442583,0.03323529459333471,0.04687751770835717,0.03510630023760286,0.04168835544210112,0.051307717011845146,0.02749317274744066,0.04214794072474689,0.07804148284444624,0.04130759321106277,0.0389205536880244,0.0475877354266744,0.0385806926213808,0.032060670007105045,0.037861433827069316,0.041962678681645944,0.02532593593345413,0.036912861318550955,0.03798935633308118,0.04001469982488446,0.02870708435301783,0.03339550896712289,0.037958573147564595,0.04500293754799637
35 t/m 44_Less than 10 km,0.048731663958594726,0.030854340198287224,0.0329828696427503,0.037578047591232844,0.020103608039334767,0.04856831462265684,0.04441379856220466,0.027734593749407524,0.02775768203193842,0.031041317114521697,0.0586456442689374,0.0466968493853289,0.04114167513993256,0.03873408880128356,0.03595458361978998,0.050055930104019125,0.04723575296318859,0.03476209926497209,0.03777987262197637,0.0349586015499837,0.049982727766333925,0.04146934442559265,0.045333796920239144,0.04438348260890862,0.043099315048584295
35 t/m 44_10-19 km,0.03824811989597222,0.02638868192801547,0.025988351926131997,0.031593565239788554,0.017343520377414556,0.04636546478915116,0.038928270756587315,0.0284425123940883,0.02785864295229686,0.029567875737626797,0.04720830911037439,0.05928797636388018,0.040923312007246075,0.044620807401671576,0.040700175659708064,0.0484770957375603,0.04841706096510211,0.04272925859946423,0.04550258318846936,0.04148519539118799,0.0447133959109958,0.04653771403344924,0.046989558384006716,0.04468404977887489,0.04699850147093585
35 t/m 44_20-29 km,0.037958528605224064,0.03313299718754577,0.02732201681499825,0.03530172491936165,0.02408797474077799,0.04473628054137086,0.043472314566027945,0.033118163580077145,0.032983587898453404,0.03743115944708047,0.04306356332957826,0.04237092076733473,0.061385211160933886,0.045032216528457444,0.03893434954295251,0.04276786218687516,0.04332975477389782,0.0372505091357231,0.04400001026766497,0.04051362084663868,0.04309900872479242,0.04101796911302569,0.04063983784153234,0.04448812964431233,0.04256228783536308
35 t/m 44_30-49 km,0.0346418974011144,0.03194545586207252,0.02592868260472251,0.029419494810867405,0.022548230605513846,0.0466971467489923,0.04378524355289181,0.0398839343389076,0.03340635158954889,0.029879005197826963,0.03991895912228127,0.04548753720540725,0.04433852038380124,0.06043960626728319,0.044063539088225655,0.04314283235053849,0.044734493984303826,0.03756821804812865,0.048355001002403586,0.04609754526611211,0.03769346558383758,0.045380697891683884,0.04059223190234613,0.03987804347482661,0.04417386571636226
35 t/m 44_more than 50,0.0358960516927167,0.031569800635704144,0.03665989028002628,0.03161873879977647,0.019597373618651583,0.04913764790269943,0.03791605446421638,0.03826380581955925,0.030024009304478887,0.026882511716783252,0.04011818385941876,0.04492131064276591,0.04150418897834027,0.047706824731165706,0.0654369068549108,0.03867350307923451,0.044414251557303205,0.036723581077268995,0.04168926409321962,0.0486300592518082,0.03687205538378374,0.04230291185171518,0.04771849092646536,0.04213006194653686,0.04359252153145056
45 t/m 54_Less than 10 km,0.04360323890646253,0.029161202274070836,0.025960057039681603,0.03190494568198963,0.018045932037218368,0.04695245200617166,0.04349270588981952,0.031099624622837947,0.023521289761478305,0.028784854614200592,0.05064216570722671,0.048513483747665,0.041337697606567685,0.042352546021346825,0.03506575921610926,0.05933247926674993,0.050018205210405495,0.04084056855325789,0.041637379636574025,0.03645407419211286,0.05133899044667114,0.04743338860860826,0.04438780604544656,0.04530075574182309,0.04281839716550423
