,18 t/m 24_less than 4.999,18 t/m 24_5.000-9.999,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_more than 30.000,25 t/m 34_less than 4.999,25 t/m 34_5.000-9.999,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_more than 30.000,35 t/m 44_less than 4.999,35 t/m 44_5.000-9.999,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_more than 30.000,45 t/m 54_less than 4.999,45 t/m 54_5.000-9.999,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_more than 30.000,55 t/m 70_less than 4.999,55 t/m 70_5.000-9.999,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_more than 30.000
18 t/m 24_less than 4.999,0.06595035470677907,0.03391336940820904,0.03915452019161102,0.04325395522070985,0.03259500025750551,0.052080332003074055,0.04492842264093692,0.043067629048732466,0.041514687551066444,0.0301218396258208,0.0510934706175549,0.03728721033716595,0.0355962965237756,0.03396215931178956,0.03370482316811939,0.05259136146393036,0.04034442263962415,0.027276945048410117,0.029408353822456525,0.03920698460398802,0.05007254260791198,0.03375283478257392,0.03537840105084527,0.037095727001629,0.03664835636578011
18 t/m 24_5.000-9.999,0.03857036457876917,0.07500667935766597,0.042185890610992795,0.043734226229026764,0.04170069915078295,0.04242584663783182,0.04596532332366526,0.04460782235071543,0.03950697792533816,0.04568354371938748,0.04044752200978997,0.041946900366632234,0.034481751249828226,0.033810255357236633,0.04050945862501288,0.03519785304307418,0.030298950851056418,0.040780630269260786,0.02557479052532406,0.043738848950272136,0.03375653604669085,0.03276654500863997,0.036284193279921474,0.029828635268577687,0.04118975526450675
18 t/m 24_10.000-19.999,0.043752228361702804,0.04144791508330987,0.07369455596813881,0.03667124491603143,0.03449590358342657,0.0425364016774262,0.04632924208835481,0.04634854926099383,0.04623218555468928,0.04413217882733281,0.04347957329811949,0.04070597418466866,0.03784170020242878,0.033596650947595834,0.03777233228240875,0.03725529403560492,0.03943554962921061,0.03398501916862969,0.02438151921938034,0.04012760658414744,0.0362565445349559,0.03317806263410273,0.03596282881786879,0.03245138930289113,0.03792954983658054
18 t/m 24_20.000-29.999,0.0463222066198073,0.04118149008787049,0.035145586573228506,0.07062859203946957,0.036392465061032234,0.04625640303350996,0.04027926868570939,0.04909944173547188,0.04252997857878608,0.03687330101287084,0.040539950357330656,0.03758419676706304,0.03403921645574196,0.03546813710530207,0.04254300882132243,0.040984915127961805,0.03239798697788009,0.03491462136222996,0.030277671366749356,0.0413725640192427,0.03799261453301267,0.03162200901109249,0.034621480538097466,0.03965986724027755,0.04127302688893947
18 t/m 24_more than 30.000,0.04129135346193024,0.04644817585151102,0.039107259602252,0.0430483183138151,0.08354592378044959,0.04367433100794115,0.04680065817822459,0.04153910113575937,0.04262489887921547,0.046868037826604765,0.039816155248459814,0.036660525026965526,0.03573117042977244,0.03636380135754524,0.04495864859459359,0.03679007439023614,0.027794428745871288,0.03827535175876353,0.01875679190095332,0.043349412463361214,0.032008422780694115,0.03204840262229074,0.032892147140957444,0.030796358941908176,0.03881025055992412
25 t/m 34_less than 4.999,0.044257285529895767,0.03169996214826055,0.03234845231291331,0.036704513711094906,0.02929740541751298,0.056043876196556215,0.04287741065860076,0.04038755201004634,0.03867005226884885,0.03128891807989954,0.04818460001847337,0.04047238020300636,0.042426167551344644,0.03961552719352283,0.03903241001428391,0.04742523218207357,0.04396545406902212,0.03727766782619198,0.0304527445809732,0.043665562614248817,0.04380274708532804,0.03941984829263174,0.041783976556566134,0.039004020121785624,0.03989623335691836
25 t/m 34_5.000-9.999,0.042670794079030606,0.03838460442169282,0.03937734930456893,0.03572133795118792,0.035087577460884485,0.04792113269089549,0.06263638560432915,0.04176574802581223,0.043895653353005444,0.036133780714032074,0.04744029165171117,0.04115029385333854,0.042101113571074864,0.032033527452685194,0.036542423150041,0.041415507061332825,0.04296038093640294,0.036432817001637155,0.023534642976042103,0.045856088367780094,0.038473770168189196,0.03896048067866719,0.03875467028006013,0.034394048662384415,0.036355580583214225
25 t/m 34_10.000-19.999,0.0390883185960021,0.0355978890242293,0.037645571966773844,0.04161109714143523,0.029760826675394834,0.04313527058474978,0.039912298260553404,0.05985675397596092,0.03924138769605248,0.035228788216898156,0.04057044891275849,0.04538634272636389,0.04489119187984262,0.03635466624878681,0.04045209274555417,0.04029573060838226,0.039668449747557934,0.03709474276925697,0.029954184085489926,0.044697266514468294,0.03817009153897234,0.037030253995423305,0.04007900899821385,0.04166118417694943,0.04261614291392956
25 t/m 34_20.000-29.999,0.042566345912387935,0.0356168578192619,0.04242196194810843,0.040718929057568784,0.034500058243595505,0.046658237138144515,0.04738889264404436,0.04433155116351568,0.06762102227170262,0.03946996487785483,0.043230961491569096,0.038158668644081024,0.043459109996010284,0.03186780851492727,0.0391922727427186,0.03819008401946386,0.04097293255871553,0.036229061438123565,0.023640648294668425,0.04334925113344325,0.03486070447614285,0.03585888839483677,0.03959201386309758,0.036474673817099734,0.03362909953891764
25 t/m 34_more than 30.000,0.03434114890184542,0.045794182492195086,0.04502673198496147,0.039253820692831606,0.042179552780460816,0.041977139981594996,0.04337476950422346,0.04425221439016938,0.043886957325720226,0.07518833441944228,0.03764021244693686,0.038557155534708315,0.03809125840642522,0.03834345830059803,0.044979903483927414,0.03437686713062164,0.0330887275937403,0.0430358097427513,0.022878800561881123,0.04339502115524989,0.029715541223752057,0.03355626596619465,0.036498172023548665,0.03350298997434555,0.03706496398187418
