,18 t/m 24_less than 4.999,18 t/m 24_5.000-9.999,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_more than 30.000,25 t/m 34_less than 4.999,25 t/m 34_5.000-9.999,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_more than 30.000,35 t/m 44_less than 4.999,35 t/m 44_5.000-9.999,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_more than 30.000,45 t/m 54_less than 4.999,45 t/m 54_5.000-9.999,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_more than 30.000,55 t/m 70_less than 4.999,55 t/m 70_5.000-9.999,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_more than 30.000
18 t/m 24_less than 4.999,0.0663570469281048,0.033831430105389,0.03913228520344756,0.043284871804165966,0.0324996438836223,0.05224236670046741,0.04498253743243856,0.04309601599936739,0.041522404922342736,0.030003208168731366,0.051239807211260625,0.03724258734649506,0.03553245050272772,0.033880729505065085,0.0336207164028249,0.05276162162740218,0.04033706326100869,0.02713482116182212,0.02928348912563255,0.03918539566747182,0.05020290172458342,0.033669225527242615,0.035312152972524664,0.037048876124183484,0.03659635069167784
18 t/m 24_5.000-9.999,0.03854115544855978,0.07559471334190167,0.042202622178179695,0.04377188967041116,0.041711022825162945,0.04244577425789876,0.046034401617214706,0.04465761340378716,0.039489261546709196,0.04574857492081197,0.04044163802194032,0.0419604664510536,0.034405943852801366,0.03372737967141241,0.04050436390722236,0.03512977096411109,0.030182023872442336,0.04077900566255677,0.025420532538997485,0.0437765759703704,0.033673102354930824,0.03267302887047996,0.03622819163422123,0.029707536425694615,0.04119341059112824
18 t/m 24_10.000-19.999,0.04379103634725548,0.0414557784758232,0.07425694254291006,0.03662040047887436,0.034420951999780486,0.042558679457879146,0.0464045310300028,0.04642411872220482,0.046306065927206444,0.044176243621573026,0.0435146354933886,0.04070422556300275,0.03780452898704201,0.03351224943796704,0.03773433741550227,0.03721121254321535,0.039417753843895655,0.033904660932509045,0.024220044067672315,0.0401184872887915,0.0362009715764817,0.03308936867283956,0.03590394417502649,0.03235540730260333,0.03789342409655261
18 t/m 24_20.000-29.999,0.04639962623297682,0.041187863842495516,0.03507934073409639,0.07113206178172929,0.036340183910756226,0.046332864275158724,0.04027400979138131,0.04921840227492537,0.04255421804030808,0.036826554837094225,0.04053802569454116,0.03754578320535912,0.03396106136266889,0.03540544930561669,0.04256742366772523,0.04098873220355958,0.03230303218384581,0.03484585142056396,0.03016262282445662,0.04138143464096335,0.037959067629976244,0.03151948463643029,0.034549535673001466,0.03964677446580888,0.041280595364560725
18 t/m 24_more than 30.000,0.041290011633591216,0.04651712536265494,0.0390786243823225,0.043070030306028594,0.08430502344713162,0.043704485327042186,0.04687469526653201,0.04154095195721202,0.042640967956282534,0.0469430514009203,0.03979620850930384,0.036603208187315626,0.035663509441281105,0.03630314812408816,0.04500648798077267,0.0367342240436513,0.027652185042009995,0.038236734264554775,0.018566509917629075,0.04337517024479541,0.03190256767603524,0.031942928884228734,0.03279487189608547,0.03067925403086335,0.03877802471766724
25 t/m 34_less than 4.999,0.04430856004128454,0.03160056728867481,0.03225543653443409,0.03665857639347201,0.029175909308897928,0.056279709049819174,0.04290957626305966,0.040386717403180186,0.03864761450541457,0.03118556897771594,0.048293281458978335,0.040472637616083794,0.04245220913213617,0.03960486151541124,0.039014448726605304,0.04752247636243861,0.044012639766574595,0.03723844449619483,0.03034156918804366,0.043708572929406934,0.043847664090115555,0.03940672183669884,0.04180141086898226,0.038985706523508135,0.03988911972286881
25 t/m 34_5.000-9.999,0.042698340566054434,0.03835704792095396,0.039362023991416854,0.03566264673766125,0.03502185141928742,0.04802379534398443,0.06298746025498003,0.041781171417625995,0.04394000497228752,0.036079746503535334,0.04753574906478713,0.04115761912207065,0.042120999623326424,0.03193604072356215,0.03649306351811652,0.04142630737091942,0.04299185961539017,0.03638219768295371,0.023370029125466724,0.04592826128973296,0.03844729868370959,0.03893997907595736,0.038731634521747514,0.03432079527681471,0.03630407617765784
25 t/m 34_10.000-19.999,0.03907194733672654,0.03554013464782619,0.03761158090085571,0.04162719027397869,0.029644079872342216,0.04317195299657023,0.03990630324505569,0.06016099128591517,0.039226927019675374,0.03516691117377862,0.040572901515374446,0.04545471330289765,0.04495246454866735,0.036305520016659876,0.04045301586273096,0.04029464002826999,0.03965936066377807,0.03705421326384708,0.0298391676990153,0.044755778696206214,0.0381424242873379,0.03698896593750097,0.04007514048148428,0.04167794247223541,0.04264573247126997
25 t/m 34_20.000-29.999,0.04259107672917724,0.03555582488075799,0.042444751252873544,0.04071930793061579,0.03442680913385021,0.04674057164666493,0.047482018731027566,0.044380528989459433,0.06806489370069628,0.039454497093847476,0.04326471142267748,0.038127118367328704,0.04349598686007742,0.03176765666114889,0.039173351125189514,0.038158912249295976,0.04097659584608457,0.036174919579761655,0.023475878225766515,0.04338462034861383,0.03479134957392568,0.03580056354560766,0.039578072150442914,0.03642333462495019,0.033546649330158516
25 t/m 34_more than 30.000,0.03426345699063013,0.04586027764458797,0.04508190450107019,0.03923252218380694,0.04219571950612965,0.041990627286375176,0.043407014272590874,0.044296536938957076,0.04392622435133239,0.07577929035655125,0.037599454993483196,0.03852734754703467,0.03805585106494124,0.03831107284265743,0.04503441502185295,0.03429955368347472,0.032998074635112715,0.043063450630295146,0.022707938971344377,0.04342754208678749,0.029593116405445513,0.03347038052765707,0.036444185084103374,0.03341655697553983,0.03701748549823851
35 t/m 44_less than 4.999,0.044513683781655385,0.030839719043918693,0.033780913230621,0.03285264163715588,0.02721205523880839,0.049466134297224934,0.04350501716027561,0.03887712875668698,0.036642385583991195,0.028602507992334596,0.05764652063314142,0.03920933627938673,0.041709435655245854,0.03586015720025174,0.037839422099634895,0.049678946502313755,0.04555507591051935,0.03657600945675167,0.032397983765291294,0.04101283145289973,0.04894494791228344,0.04328616958564673,0.04227868022000322,0.041292759016495394,0.04041953758746231
35 t/m 44_5.000-9.999,0.034000135109294644,0.033626117883597824,0.03320704884584245,0.03197596202165223,0.026302289087718964,0.04356497941495887,0.03958439346546893,0.045771146139321796,0.03393428167417358,0.030799695647356636,0.04120446118032713,0.060579801827911846,0.0452443729505952,0.04296030770276996,0.040260955883331416,0.039368763563282776,0.04087773112284571,0.04296692778014331,0.033623257929444615,0.043171173735439064,0.037361080997745426,0.044033023981886646,0.04815818639372583,0.0391935479899117,0.048230357671253374
