,18 t/m 24_Less than 10 km,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_more than 50,25 t/m 34_Less than 10 km,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_more than 50,35 t/m 44_Less than 10 km,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_more than 50,45 t/m 54_Less than 10 km,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_more than 50,55 t/m 70_Less than 10 km,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_more than 50
18 t/m 24_Less than 10 km,0.06929209394302749,0.050525144918882006,0.04206405800069449,0.03705561240155816,0.04729062330679678,0.05086051589707514,0.0448439157520215,0.046408953210862004,0.03509437605942669,0.03797766305249791,0.0413455279255122,0.04063547955477889,0.031338616160027644,0.03629082939015746,0.04643194710578787,0.03724562137886702,0.030783627880935395,0.040135823666502146,0.028714109007929887,0.030279321881793803,0.03352155534950575,0.03861288307070765,0.04145623317396388,0.03323156328703006,0.02856390462365815
18 t/m 24_10-19 km,0.05421960780770448,0.07435882002510638,0.050343752465602104,0.039929798182370135,0.04552626110716562,0.04389482736413968,0.05009651121979727,0.03665837851748032,0.03488381116495637,0.03969855938568187,0.03364458108808472,0.04547242712710127,0.032033232150074344,0.03519398825790405,0.04421427436605163,0.033203372338868956,0.03138537369809813,0.040035213129014556,0.03239749956084573,0.030444033965352967,0.032228351252907454,0.03681619113419228,0.04154570297258472,0.034020499313025705,0.02775493240588928
18 t/m 24_20-29 km,0.0478649831895617,0.053383067119715494,0.07884795403471966,0.04417280108880921,0.045257485827519164,0.039397664828600944,0.04394556529507164,0.03325031526926758,0.040773795955415235,0.044143297874689846,0.03731526990011912,0.047700098866944804,0.030682173039476957,0.034212740470491075,0.04174418043207363,0.03579139147175962,0.03133279024547732,0.03858457628222456,0.02732470298892058,0.025805396915865128,0.03700399508218486,0.036518998207934916,0.043978064186776376,0.03634026336802326,0.024628428058357455
18 t/m 24_30-49 km,0.037539198091083366,0.03769461458381872,0.03932594726382719,0.0701963743706443,0.04420050619173283,0.037364611415024084,0.04278157178203695,0.031051289072304943,0.04435116469143811,0.04327876807530979,0.04353484087635193,0.04001877425674968,0.028526092023741036,0.04057578193384243,0.037754975957048804,0.042278940255378324,0.044070155527711666,0.03472073864150697,0.035416052482003496,0.029245040792917017,0.04700821758948218,0.04139763461512181,0.03896065066017717,0.04200014688505601,0.026707911965691274
18 t/m 24_more than 50,0.043055217541342644,0.03862459428398558,0.036210492411704195,0.039723453345056926,0.0630862096965302,0.0373410872027095,0.04523827265241325,0.038027570345734125,0.038846377516120176,0.044104036981526006,0.03604286770101024,0.0408796652586758,0.035784819226736986,0.04115607892107511,0.04410352970226327,0.03807075255867778,0.03792241545121367,0.04269303189861522,0.03491135709729888,0.03801216907894816,0.03588387973964946,0.03872908081972191,0.040720795968874,0.03853192973769426,0.03230031486242278
25 t/m 34_Less than 10 km,0.04655230478580033,0.03743906273184342,0.031690140492371684,0.033759025418205975,0.037540204603952396,0.06342261024268585,0.04236482912700416,0.04512252025912511,0.03204097192671171,0.03411252685633535,0.043362787480354555,0.03539292824956037,0.03522892658812797,0.04322554243545964,0.048278146890445774,0.03795476272827394,0.03686456924162815,0.04101687470584809,0.03425454448489616,0.037553841699822066,0.03555412636662072,0.047448948127061435,0.043992519233259246,0.03932503335976902,0.036502251964836946
25 t/m 34_10-19 km,0.039114073409208146,0.04071816488526776,0.03368509921082584,0.03683454070277411,0.04333958841200227,0.04037146887571752,0.06043843414907736,0.03777253065830948,0.03645402882042157,0.04045841315985899,0.037126986412197,0.046706410831548806,0.041065247845405564,0.0414754537398035,0.03758237888845245,0.039739126737205685,0.042629790866766416,0.042593044167746064,0.03466966988334703,0.03817065922173825,0.03562763993003238,0.04279704781416783,0.03918153192046845,0.0413770875612946,0.030071581896362873
25 t/m 34_20-29 km,0.04627952553697438,0.03406524936633141,0.029139101052078648,0.03056579974926506,0.04165191312353279,0.04916092515685814,0.04318507607905731,0.06909884859019436,0.03351369662847235,0.03471824727071149,0.040494922315137856,0.036075376241298605,0.033998386369572225,0.04584638655399436,0.04753603247915885,0.035049523594307054,0.0349149360998435,0.04650355712387232,0.03348363182942595,0.04020643162467583,0.03226299915526661,0.04423236241777698,0.04170620568006087,0.03833083771689635,0.037980028245236754
25 t/m 34_30-49 km,0.033188223947808855,0.030741256126371987,0.033886045415172525,0.04140192360397452,0.040350253094736103,0.03310485891517443,0.03952414651270534,0.03178203453996093,0.06552849173610223,0.04708180786582383,0.04730187529644796,0.037808247168979806,0.038257924252550174,0.043100063477521745,0.03560650111297573,0.05081349297077996,0.04469675654986834,0.037569870507649476,0.03381103761673198,0.02974734618487206,0.05067520616668832,0.0413833619220424,0.039304543564705,0.046482703438323676,0.02685202801203258
25 t/m 34_more than 50,0.034339180926624226,0.03344934654798116,0.0350767806803293,0.03862829942232362,0.04380153081702723,0.033698856095057836,0.04194121636045774,0.031479828794688226,0.0450161489576473,0.06265350628355108,0.03505616772129258,0.04410237460077169,0.03621778746123124,0.045146548530556024,0.04099856443953159,0.041783708544646005,0.041199029163353974,0.04392127224791876,0.03594565364874286,0.033862493204116564,0.039701306412753795,0.04011461523804913,0.042012791549239606,0.04536535080479756,0.03448764154731081
