,18 t/m 24_Less than 10 km,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_more than 50,25 t/m 34_Less than 10 km,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_more than 50,35 t/m 44_Less than 10 km,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_more than 50,45 t/m 54_Less than 10 km,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_more than 50,55 t/m 70_Less than 10 km,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_more than 50
18 t/m 24_Less than 10 km,0.06881860716940763,0.050386396052094606,0.04204862428452033,0.03710312254022291,0.047201341378836296,0.05071648339522951,0.04479017934449413,0.0463326715324275,0.03516422478074159,0.03801420552301491,0.0413396174120959,0.04063882243783714,0.031447235671422484,0.03634721315274578,0.046355329089284844,0.03729089526092521,0.030897500992584127,0.040145582811805386,0.028846416587126077,0.03039785712490828,0.03360830365334936,0.03864170195591572,0.04144886577420349,0.03332132512619695,0.028697476948609708
18 t/m 24_10-19 km,0.05402424146368885,0.07378723906093441,0.050210747544624304,0.03994448528069001,0.04546540391700059,0.043856954964085086,0.04996735779694378,0.03671264222878563,0.03495799351574764,0.039716160440769706,0.03373198809389677,0.045412340493851476,0.032136953113758124,0.03526477110289103,0.044171961680889396,0.03329534712513178,0.03149536261735741,0.04004856612953632,0.032497621966132616,0.030562822324906463,0.032330151249448984,0.03686862920526265,0.04153955293396263,0.034103955709980656,0.02789675003972372
18 t/m 24_20-29 km,0.047772937202020076,0.053204878733175844,0.07818726663656658,0.044133894608648895,0.045203364207334965,0.03942155779413122,0.043909803322356715,0.03334394427515852,0.04078031543869315,0.04410480051071985,0.03736427164953045,0.04761050598462628,0.030800743981441614,0.03429635354830413,0.04173808929257064,0.03585782579861117,0.03144529537709405,0.0386184456687142,0.02747166176035066,0.025963488960875046,0.0370566237857665,0.03657721089690295,0.043941853413198985,0.036400513092773513,0.024794354060434107
18 t/m 24_30-49 km,0.03757935497636199,0.037732910741709334,0.03934422202296309,0.06970191969676852,0.04415391295824213,0.03740684868319097,0.04275460835384123,0.031161286685377144,0.04430245259078465,0.043244994009979484,0.043497530474567475,0.04002828090335337,0.028658732449010536,0.040578127558589444,0.03779254721586599,0.04225878658753314,0.044025390240231575,0.03479316969635216,0.035480785919596886,0.029371517273426944,0.04692107846057346,0.041389235483666416,0.038983485531930144,0.04198373738172156,0.02685508410436236
18 t/m 24_more than 50,0.043018985829847735,0.03864661840412951,0.03626155572913571,0.039731609960449034,0.0627208168278457,0.0373787999118329,0.045171146349462385,0.03805696128568724,0.03886563471598968,0.04405313515208347,0.03609587213834532,0.040872809489278045,0.03584079230502467,0.04114557156279517,0.04405263504617628,0.038099614678770016,0.0379530915081369,0.0426617904831521,0.03497720012315833,0.0380417484742346,0.03593871602496632,0.03874980341948504,0.0407160281154789,0.038555105083156994,0.03239395738137794
25 t/m 34_Less than 10 km,0.04646845923640113,0.03747763983058489,0.03179162813990736,0.033839302461973426,0.03757756778521892,0.063054345015142,0.042340382974832884,0.04505952195455141,0.03213898215932134,0.03418901370186666,0.04332464814458211,0.0354552959507096,0.03529313647379716,0.043189303886334976,0.04816838953877572,0.037987113856324056,0.036909974606894096,0.041010444047364,0.03432949534087372,0.037591040938937934,0.03561467385414751,0.04735174075832389,0.04394558724211178,0.03934040740768598,0.036551904693337404
25 t/m 34_10-19 km,0.03912978345720067,0.04071323823538951,0.033764162578653154,0.036878115049822385,0.04329920557761362,0.0403710723040018,0.06012159888116411,0.03780485250961309,0.03650208087962398,0.04045688411332969,0.0371670850238493,0.04661752263597875,0.04105574812044462,0.04146050074642164,0.03761700629852783,0.03974689398721308,0.04259921451012936,0.042562971394820265,0.034738029659727325,0.038198114084300745,0.03568524008554905,0.0427641742099919,0.03919639088293175,0.04136344700925776,0.03018666776444454
25 t/m 34_20-29 km,0.04620319429179078,0.03414482725297648,0.02926654656030534,0.03068041153149645,0.04164021287307206,0.04904131414924362,0.04315265930892201,0.06862629269527849,0.033599116239112076,0.034790760626215216,0.04049837768008821,0.03613270548585856,0.034078678586232626,0.04577636595077584,0.04744110236247493,0.03511839242088207,0.03498529046519828,0.04642394142853446,0.03356936652996257,0.04021360036843496,0.032361229642227506,0.04418539160667742,0.04169378402264544,0.0383614919137629,0.03801494600783159
25 t/m 34_30-49 km,0.03327753052616977,0.030854687958970048,0.03396803869242837,0.041394148341433984,0.040356173502816124,0.03319502662853329,0.039540578854632684,0.03188550044096091,0.0651262274407561,0.04699434911265415,0.04721114521509377,0.03784579980933473,0.03829003690227972,0.043069453835513354,0.03566968177046808,0.05066882832345187,0.04464389320312842,0.037610279110955804,0.03389382592605174,0.02986987164610062,0.050532725665266634,0.04137583138175023,0.039323733177250235,0.04640408350140401,0.02699854903259535
25 t/m 34_more than 50,0.03441249711846841,0.03353220745022066,0.03514195995504761,0.03865157986165492,0.04375636779428112,0.03377907103523664,0.041921620096551176,0.03158272027439558,0.04495374373986643,0.0622982931862264,0.03512157711872935,0.04405298069461963,0.03626998823327845,0.04508226704633481,0.040991522127460656,0.04176622900166783,0.04118934018720593,0.04387442841787291,0.03600099234773984,0.03394095991534315,0.03971108452113178,0.040119092544819525,0.041992230889454446,0.04529791022711814,0.03455933621527464
35 t/m 44_Less than 10 km,0.037801214695562226,0.02876774756319338,0.03007223255680503,0.039270374492822835,0.03621521060460176,0.04323796112827897,0.038902110273925684,0.03713575596304501,0.045617743085268996,0.0354766858595609,0.06292818142770626,0.03578462298923242,0.03489120080087106,0.04033680547262068,0.036252780093832815,0.054251440519991805,0.04571940838726306,0.036923255084074895,0.03276478796284853,0.030755063665057668,0.05290978446805654,0.05062531839444093,0.04184176923500349,0.043983084663672393,0.027535460612262627
35 t/m 44_10-19 km,0.038806334957777265,0.040444550816613634,0.04001604452085667,0.037738930716130256,0.042824290530844904,0.03695162037185791,0.050954912483122394,0.034600098435456646,0.038188197290723626,0.04646934402746525,0.03736961781277376,0.06571543565832362,0.03542727429518597,0.03797428962800217,0.036535650137764976,0.041009270898601936,0.038151233387472616,0.039393514437165156,0.03341028507450544,0.03231878474848033,0.03818776927140721,0.04249504254940717,0.04232853240681522,0.04298801829783011,0.029700957245415698
35 t/m 44_20-29 km,0.031027867266629157,0.02957323040861951,0.02674856599513773,0.027918209814655797,0.038800848622447974,0.03800586005850479,0.04636804408517291,0.03371844488063453,0.039921347455437885,0.03953180046304959,0.03764836004744024,0.03660544380747664,0.06790086833187414,0.04767626483561629,0.03898206227136908,0.04118433729918234,0.04436771792115632,0.04152023358806335,0.040072192022515246,0.04292811814725557,0.03797691327258648,0.04443144297536473,0.04439883131722198,0.047152992216728765,0.035540002895859096
35 t/m 44_30-49 km,0.03063528773453358,0.027721487696057694,0.025443018936612313,0.03376789495188425,0.03805117905942765,0.03972994007179334,0.04000006948751266,0.03869078120187673,0.038359255311717695,0.041974576538420995,0.0371803132111925,0.033518069064602765,0.04072711246264573,0.05800383713779643,0.045382340166450846,0.03806697637078126,0.04408649954875848,0.04187391840090694,0.0437955358863451,0.045456912034628774,0.037118766526710166,0.04474643892379019,0.045694131723130214,0.04635633018558802,0.043619327366835554
