,18 t/m 24_less than 4.999,18 t/m 24_5.000-9.999,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_more than 30.000,25 t/m 34_less than 4.999,25 t/m 34_5.000-9.999,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_more than 30.000,35 t/m 44_less than 4.999,35 t/m 44_5.000-9.999,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_more than 30.000,45 t/m 54_less than 4.999,45 t/m 54_5.000-9.999,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_more than 30.000,55 t/m 70_less than 4.999,55 t/m 70_5.000-9.999,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_more than 30.000
18 t/m 24_less than 4.999,0.07274041134828244,0.046462068351186055,0.04632871431853645,0.040056495770739615,0.02953339185227602,0.055869969184620366,0.038471910399406034,0.04833654086398331,0.03689685534945202,0.032759561490657965,0.045124483916971526,0.04511272256749691,0.039749594941808686,0.04121628514840027,0.03998440652335518,0.041654411864485735,0.03508856103878919,0.03535979760481664,0.03014705621373524,0.025299255108495122,0.0347487961671533,0.04155051276463378,0.038171954688129846,0.03502070140774737,0.02431554111484103
18 t/m 24_5.000-9.999,0.049154464491609456,0.0769555918109044,0.046585289429733834,0.02865974839655514,0.029532525031788683,0.04653847639279946,0.04402682553041261,0.0539349508329201,0.03863689822701408,0.03388699265136079,0.03500315963210844,0.041050859462702365,0.0421801607242915,0.039504503718819896,0.04605100366949212,0.03584918832002467,0.035215372384047955,0.03702963685607955,0.038197595668977694,0.03380002518985564,0.0292363936298539,0.03891926740320235,0.0375828433884588,0.032937201288595556,0.029531025868390914
18 t/m 24_10.000-19.999,0.04306535271647812,0.04093192114236084,0.06761662864022365,0.0370822573274067,0.029256473937753005,0.040349221050210216,0.0405258511530704,0.0465054592549014,0.041568586829349864,0.04432326588305235,0.036662695977315744,0.04169310316050649,0.04826813832399069,0.04327375748348489,0.03750835032457663,0.040347295240842886,0.034496287966839886,0.040391708400233,0.03240113196334921,0.028520395843255514,0.036180310017568586,0.042978286434335426,0.039892767125041736,0.0345065844030869,0.03165416940076583
18 t/m 24_20.000-29.999,0.042734865431229035,0.028901296858376183,0.0425596247430329,0.07760418455405237,0.02342168781087525,0.04339954931457017,0.03989629550951765,0.03912528700029169,0.0425863241505194,0.043380210997494104,0.051842413945016826,0.043115115726511076,0.04107822710957923,0.04975097040073793,0.027474181496355166,0.048048151870514456,0.04237536584017673,0.038722354987414366,0.029086618632752633,0.02280476632441416,0.04475776780046067,0.04301422266244262,0.03945861372032305,0.034396732421359266,0.020465170691983055
18 t/m 24_more than 30.000,0.03410494437988273,0.032235927394288225,0.036345298513903695,0.025352034588023903,0.08400009371127404,0.035578990173505416,0.051997409740215404,0.05168329942181444,0.036565872109284886,0.024316069350041707,0.034546739467402277,0.04564830777330857,0.04530847767494281,0.04398683815667241,0.030731368851051488,0.04127560281383328,0.0436252847856806,0.04541116551014482,0.03888028554988909,0.03147127896898702,0.03692516904344066,0.045185609036372004,0.040080682862768946,0.035564092686335536,0.029179157436936113
25 t/m 34_less than 4.999,0.04897289469993161,0.03855893894371242,0.03804825450146216,0.035657687598960146,0.027006415364343235,0.06376070288525883,0.044361199494027184,0.04837230092866591,0.03551436729354092,0.03129579104672771,0.04646324030867924,0.04953322070233047,0.04160296464506353,0.04373124847104866,0.03911142399266111,0.04506149574944893,0.039654613157229956,0.03835000564625174,0.029356171479571733,0.0275523153766515,0.03863238166129733,0.04486386391300381,0.04018417020968794,0.03677190165882986,0.027582430271614052
25 t/m 34_5.000-9.999,0.03075348173690323,0.03326622201235928,0.03485017179050189,0.029893290567255794,0.03599384403693392,0.040455397802682334,0.05814686322332383,0.048203055271218674,0.03990586503651816,0.027992250564242732,0.04208240527955798,0.04625782536072631,0.046823167767024235,0.046838595217207846,0.03527783800099454,0.04471556320564171,0.04824845632389443,0.04559176161156697,0.03593666825173839,0.03062048199582228,0.041251354058382025,0.047104201939156494,0.04233542552579584,0.03809215558866967,0.029363657831881516
25 t/m 34_10.000-19.999,0.03684236563521757,0.038857763281155026,0.03813274927189561,0.027952463558234348,0.03411286172003066,0.042062137957890794,0.04596168778368065,0.05544312405165154,0.038338325564002254,0.027418968065382233,0.035781522976020476,0.046451836067076875,0.04694670342792159,0.04381688610929427,0.04236810129416074,0.0370887067426964,0.03938120095981774,0.04519442475438591,0.039515235886054656,0.0379393776315034,0.032901785022650995,0.046196783516928595,0.04478666061253502,0.04154726037852018,0.03496106773129253
25 t/m 34_20.000-29.999,0.03219273607072549,0.03186444508447514,0.03901719422034166,0.034828061587510055,0.027627427857246218,0.03535047665239471,0.043556675673810365,0.04388637762176007,0.06346646189852166,0.042324117430638984,0.04337663875391415,0.04099307056823454,0.04412281679172839,0.044270149084397185,0.03045179805435042,0.047400480979081096,0.04496374182973962,0.046694380862260645,0.0348792938839044,0.028682351098257636,0.04590497014398904,0.04588843505084731,0.04237757377980592,0.038249309582280566,0.027631015439784617
25 t/m 34_more than 30.000,0.035303461401915405,0.03451817353433821,0.051384626216284646,0.0438189010872695,0.022691780003253177,0.03847581245194202,0.03773692313628938,0.03876665898357008,0.052275546801630476,0.07838897065596713,0.04424527309745147,0.03909249584077087,0.043236055953032544,0.04084209988806325,0.028977938883624,0.048500068096340734,0.03985332812139139,0.040766889741612834,0.028305992453551386,0.02405486555195626,0.044883661173881366,0.04330317748438138,0.03981049307501375,0.03452439701272616,0.02624240935374258
