,18 t/m 24_Less than 10 km,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_more than 50,25 t/m 34_Less than 10 km,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_more than 50,35 t/m 44_Less than 10 km,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_more than 50,45 t/m 54_Less than 10 km,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_more than 50,55 t/m 70_Less than 10 km,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_more than 50
18 t/m 24_Less than 10 km,0.06745754076526429,0.05019684635672731,0.03652196645437845,0.03797038282019015,0.021128641139307954,0.055756751882647136,0.048470116346003934,0.05095622301233341,0.03936662675409786,0.03434552590753057,0.046254643801299414,0.03733335327942221,0.04316837435037056,0.035892168978672756,0.04015197922042541,0.0469980906372479,0.040223922000937155,0.03891792668207075,0.04367771444228097,0.03071049913088202,0.034447744306042805,0.03531523816522924,0.03625191133377253,0.026789517757544453,0.021696294475320857
18 t/m 24_10-19 km,0.04726675737238371,0.06351991098464918,0.03790169769833528,0.043610674145641154,0.025139168011239204,0.04756777642719703,0.04566570981967542,0.04640798608888694,0.0403216772691151,0.041335551815760624,0.039312407977911336,0.03946334035516408,0.04629197522786248,0.03802204699516127,0.04547361893429751,0.03718005239408249,0.03946841458285529,0.04049160736159886,0.04096232985818764,0.03442339493940873,0.033041828150036104,0.03426821363755447,0.03846119533582146,0.03031656250623502,0.024086102110939672
18 t/m 24_20-29 km,0.03641819649083947,0.040136876172138895,0.06726587346951819,0.03292632668226099,0.03445353784560565,0.03822670091500959,0.041764281058233224,0.04117978379743899,0.05042246970944547,0.0318598060692861,0.04440963702249608,0.042543903900225534,0.039886481940467684,0.046856907845352944,0.03470778077274886,0.038940551445407715,0.03918930137579123,0.03593638363010258,0.042024354085479866,0.04048250320575938,0.03919162957192357,0.040450243123436945,0.035997723252849174,0.03677768206983666,0.02795106454834513
18 t/m 24_30-49 km,0.044119924810494995,0.05381498353460138,0.03836796710949944,0.07838271319407934,0.022773713061573973,0.04557047187828404,0.04610345983376194,0.03901685368593269,0.03928271752294846,0.0434155776485937,0.03607870874310391,0.04323549169011197,0.04741697829879482,0.035645858772116935,0.04063144720410559,0.03462984304030269,0.04127654552734746,0.03975706821629441,0.04097573767848312,0.03453795068059249,0.03079478547351499,0.03314083700755482,0.03516715750112349,0.03024705577734763,0.025616152109435717
18 t/m 24_more than 50,0.03654204294789905,0.0461734984263035,0.059757276955983187,0.03389731610769569,0.11666800224165662,0.032372662295681615,0.0341420424515475,0.04748581527294389,0.056412497146284955,0.030588111354513902,0.04173282130017629,0.03278668048635719,0.03237779792318302,0.04457682696640882,0.02718156826188649,0.03563367576530441,0.03074416131863889,0.02885245460147182,0.03298067101652954,0.03594055520766001,0.03711247365157125,0.03772297655442685,0.027452067149401908,0.03322036887470452,0.027645635721769122
25 t/m 34_Less than 10 km,0.050651790189023646,0.04589134725068144,0.034825701273966295,0.03562796943926794,0.01700413300447255,0.06128128138994199,0.0460507675643085,0.0425647503488493,0.03648011599178614,0.029958953197589462,0.04750220859510624,0.0454124509458233,0.046070349992564937,0.0366559588079662,0.042799449778326545,0.04746212192190515,0.04313636352143542,0.038932978630636474,0.044757500946924184,0.03628783031631362,0.037127652479618314,0.03743196128412491,0.04093978591789444,0.030632400318824717,0.024514176892648277
25 t/m 34_10-19 km,0.04562202674632959,0.04564690631721505,0.039422234846819865,0.037346012904979485,0.018580985900042455,0.047713365681450425,0.06349375576211572,0.04264956555488916,0.03956852803676331,0.03874121181737956,0.043114622791499975,0.04011849364651457,0.046440996627573033,0.038039744793547256,0.04345805778068664,0.04077325957279721,0.04158309274978834,0.04272330825964867,0.0446063733259496,0.037853632580318666,0.034726187020429754,0.03622352677502474,0.03773502514806276,0.029781706718709503,0.024037378641464748
25 t/m 34_20-29 km,0.050490020898526014,0.048833928922677225,0.04091929111652889,0.03327137719734379,0.027205139844293243,0.04642597978771945,0.04489752695284731,0.06684036691999318,0.04350787087569916,0.039351022766813515,0.04491159889638947,0.03495963675569174,0.04486425247003915,0.042234975944301666,0.037384597822282664,0.04419322055010342,0.03880451391373965,0.037099016561512516,0.04082203534125785,0.03323851656256641,0.03371002063683789,0.037871903531819885,0.03587183528279631,0.028014783756402258,0.024276566691817287
25 t/m 34_30-49 km,0.0362468415034482,0.03942767600667054,0.046558802151224335,0.03112817807980571,0.030032814519236208,0.03697437515500334,0.03870716361682687,0.04042978914447484,0.06211156479330315,0.031129073770732204,0.04813767499082471,0.039016109194388714,0.04308155363788859,0.04694902732890388,0.03527613272072606,0.04228577508437272,0.04164409251398634,0.037611032369133185,0.0428437074541528,0.04247877758888584,0.04119826345280341,0.041286543778369746,0.03748207235330221,0.03767428364014337,0.03028867515139309
25 t/m 34_more than 50,0.04056101145200884,0.05184214576536243,0.037732662569538174,0.04412598381082607,0.020886708766257336,0.038946452613771596,0.04860839642984723,0.04690145428542304,0.039926646801796875,0.07966528423151363,0.03816212255829355,0.035926219669693234,0.04991881871331308,0.04068999901699664,0.042068765279114344,0.0352726906505025,0.0405578277528895,0.03884898394521885,0.04023387329307248,0.03666536385298707,0.0315108374548684,0.03570930703574971,0.032139739857975615,0.0292405135800777,0.023858190612902144
