,18 t/m 24_Less than 10 km,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_more than 50,25 t/m 34_Less than 10 km,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_more than 50,35 t/m 44_Less than 10 km,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_more than 50,45 t/m 54_Less than 10 km,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_more than 50,55 t/m 70_Less than 10 km,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_more than 50
18 t/m 24_Less than 10 km,0.06912344369921923,0.05068504420373217,0.036297747103061884,0.0378104269422131,0.020434383593741914,0.056594286383535586,0.048856285814349296,0.0514902894108074,0.039271343903732964,0.03403039135779253,0.046514669961635724,0.03714477301541599,0.04326203508878618,0.035640931225303346,0.04009421389730589,0.047299837153348685,0.040169633817221224,0.038801574498181,0.043798055024501625,0.030259685810758986,0.03413672305240986,0.035039753225194294,0.036016036934161284,0.026217330136699787,0.02101110474689005
18 t/m 24_10-19 km,0.04761414952779586,0.06493540719706924,0.03776275154678162,0.043755436304623516,0.024540133993361635,0.04793253091345564,0.04592246734141695,0.04670640250453228,0.04029786694775588,0.04136226015737492,0.0392396313725397,0.03939780128972421,0.046583839320991374,0.03788864048302584,0.04571969862480027,0.03700830874841305,0.03940311936185861,0.04047617214821661,0.04097028862553097,0.0341331968154144,0.03269651674570629,0.033971679689153,0.038348170547541235,0.02987141622995856,0.02346211356295843
18 t/m 24_20-29 km,0.03621980910339006,0.04011196299133476,0.0689750228367054,0.03258300956598348,0.03417135804297366,0.03811032543993074,0.04182104692895734,0.0412068253359334,0.050966901806930795,0.03147595795760665,0.04460620466460069,0.04264098264592511,0.03984930427856266,0.047190190717613066,0.03443612368938013,0.038857786475892865,0.03911840938974915,0.03571692585636288,0.04209448384073457,0.04047465304141199,0.03912084910202843,0.04044079378875427,0.03578092939537374,0.036595231627840646,0.027434911476023612
18 t/m 24_30-49 km,0.044265028052800755,0.0545286793340912,0.038227321743526575,0.08092347592711527,0.022108459789846213,0.045794051909973606,0.04635648862743358,0.03890630720363523,0.039184666218521465,0.04352347205382801,0.035836504339016736,0.04333396838228353,0.047743957203401514,0.03538528620583903,0.04059821697848269,0.034327232610266434,0.0412751506356382,0.039681543295731,0.04095943198582428,0.03423161372067467,0.030347799472473527,0.03277942203544761,0.034886588817633485,0.029781393805096697,0.02501393965141861
18 t/m 24_more than 50,0.036238156764929065,0.046326051490894644,0.060729584542483464,0.03348990250626869,0.12258290921342933,0.03191036175006101,0.03374377281605108,0.0477092370095021,0.05716618038969634,0.030066281519335623,0.041660403846308224,0.0323389252538548,0.031915676138346255,0.04464579892968125,0.026561227505350667,0.03529307706589925,0.030227327741672066,0.028277858349084348,0.03253982401455604,0.03561222665976554,0.03683224211369114,0.037468565151131346,0.026838783818670556,0.0327881390434989,0.02703748636583831
25 t/m 34_Less than 10 km,0.05118283654381166,0.04614513509448071,0.03454044539573738,0.035376240051210525,0.016273423717344644,0.06251397705107846,0.0463134338999205,0.04264006414524858,0.036265024084023816,0.029491672282458845,0.04784703202917432,0.0456397433858864,0.04633410892244012,0.03644855666370751,0.042886920349631916,0.04780464462418399,0.04324140304680435,0.03882904282993885,0.044948987737414854,0.03606438000972724,0.036941093933158135,0.037259015439714126,0.040932809625250595,0.03018801380318497,0.023891995334467515
25 t/m 34_10-19 km,0.045869918217290105,0.04589617895442181,0.039349202255184554,0.03717653313907102,0.017864735843656377,0.048079809516213816,0.064898234823438,0.042737684218159974,0.03950250983180258,0.03863590038417086,0.04322704031821811,0.0400790966054527,0.046734724886857176,0.03790183816255532,0.043588588429141956,0.04076606958075262,0.041616496678000756,0.04281526226879526,0.04479849473452484,0.0377071904503745,0.03444362437486208,0.036004386072046486,0.037583168276132436,0.029314304010884692,0.02340900796799184
25 t/m 34_20-29 km,0.05102044203323416,0.04926506950536453,0.040918674253692486,0.03292984854374046,0.026657339159920884,0.046718078364222745,0.04510475744844894,0.0684926943070029,0.04364030977028252,0.0392739283084842,0.04511959841358377,0.034686164487495515,0.04506966546060038,0.04230094815576493,0.03721623341531244,0.04436225856824122,0.03870152860785535,0.03691783855262469,0.04081658315605207,0.032895706543496384,0.033385756609096984,0.037725665494765324,0.03563690767864091,0.027490796401274584,0.02365320676080162
25 t/m 34_30-49 km,0.036044644810127,0.03937230525015891,0.046879906253535907,0.030720761450536115,0.02958690957790509,0.036804523074308954,0.038617322447734984,0.040423501292727704,0.06344397029800486,0.03072168943669731,0.04855022550576425,0.03894096350579855,0.04321133280742194,0.04729247406524955,0.03503196508113587,0.042373799053102526,0.041699017535364334,0.037470096381859365,0.042960925252625265,0.04257685703761091,0.04123049620891405,0.04132324995769334,0.03733523355565006,0.037536251237688396,0.029851578922384794
25 t/m 34_more than 50,0.040518106333410436,0.0524240122249867,0.037557326201841115,0.044264602373958135,0.020186329506891122,0.038826642139167096,0.04899657421564604,0.04719192089283089,0.03985311790513395,0.08230146437311359,0.0380062031199129,0.03567202750404734,0.05038415853290093,0.0406533843721721,0.04210071178828511,0.034991120182279345,0.040514767642057546,0.03872464109519849,0.04017511048273041,0.036442879765630085,0.03108424202925869,0.0354459587996268,0.03173584451919566,0.0287374496731011,0.023211404326624316
35 t/m 44_Less than 10 km,0.03940736207865406,0.03538800967920361,0.037871822625870966,0.025933665080145392,0.019902440685739545,0.04482194117518776,0.039006358091828876,0.03857747174951081,0.044813997450177064,0.027043301451164427,0.05856158016869222,0.0436859723605291,0.04360960338786709,0.043779648178056456,0.03336249134413281,0.05197208959040053,0.04394173124506094,0.036034017803974985,0.047624491031552536,0.04318901223996955,0.04716804986537295,0.04559869682912504,0.04020427436092042,0.03777579753964857,0.030726173987214275
35 t/m 44_10-19 km,0.033027073261815365,0.03728963775979936,0.037995581780824836,0.03291180344139617,0.01621412085678281,0.04487079996448019,0.03795620527285845,0.031125029819728978,0.03772368304018311,0.026639003749602902,0.045848693783326684,0.06146073468306308,0.045284824168393766,0.04098835945040403,0.03779599651484176,0.04140225552552357,0.0456311654336787,0.042087333848404594,0.04702334685223159,0.04561451451310272,0.0436871667670999,0.04406562448689056,0.04617994404173214,0.04516869042545219,0.03200841055838254
