,18 t/m 24_less than 4.999,18 t/m 24_5.000-9.999,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_more than 30.000,25 t/m 34_less than 4.999,25 t/m 34_5.000-9.999,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_more than 30.000,35 t/m 44_less than 4.999,35 t/m 44_5.000-9.999,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_more than 30.000,45 t/m 54_less than 4.999,45 t/m 54_5.000-9.999,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_more than 30.000,55 t/m 70_less than 4.999,55 t/m 70_5.000-9.999,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_more than 30.000
18 t/m 24_less than 4.999,0.06028479687679739,0.04056419376674186,0.040343155886449836,0.018753391041229313,0.043356033993853973,0.048865885245813936,0.046718422401112965,0.047089688452206784,0.040899258950671626,0.043125345424403896,0.04434524979641398,0.03586428596730085,0.04291119814053945,0.04259873909538594,0.035656077326009436,0.04656533652940287,0.04187138077670272,0.040156952042784036,0.040195896715174186,0.03535128925908153,0.04244095387574157,0.03428828691244391,0.033777927943089106,0.028412508761623875,0.02556374481902514
18 t/m 24_5.000-9.999,0.045204363225521925,0.0671808213585122,0.04547079019326771,0.01794378868287988,0.038708102560488365,0.04572442783230847,0.04606039313013957,0.051722059687648154,0.0412042468113342,0.03946395453691359,0.03272051603700155,0.041063531499838136,0.0479047168590439,0.04303277299831812,0.04596773218457715,0.032297536123698824,0.04344926183958497,0.04138204796297796,0.04073126569692548,0.03699759121357893,0.03418569317762361,0.03308432044859619,0.03636290656020947,0.030772808343049952,0.021364351035961678
18 t/m 24_10.000-19.999,0.04817759925412895,0.04872706808305783,0.07199180929775527,0.011059327051725113,0.03875487232456555,0.04959813950684039,0.05062953469053903,0.050258044003775315,0.042165451825278644,0.03733825863844484,0.029981658110598185,0.03725979861439847,0.047077756850303056,0.049641752369630664,0.04037336561804101,0.03240407050309072,0.04568432033267479,0.042973906854526026,0.03403123917848353,0.03566585786539026,0.034612411813067366,0.031334043570759765,0.038459496170867136,0.03235946472602429,0.019440752746033765
18 t/m 24_20.000-29.999,0.04122376613944065,0.03539521013266409,0.020357351299836374,0.13251823964791978,0.05033304211617407,0.02645751239244386,0.033778038104275085,0.03840323778098777,0.036980744730641446,0.04737476425466119,0.04756910844623321,0.04184161691293924,0.03692534107356753,0.025345394416832326,0.03247469629606786,0.038724848242921786,0.02672976700676321,0.03385965709166423,0.046356004453367926,0.02777330055536799,0.038178600615817175,0.04428187217925592,0.03236120611695723,0.03597286376566968,0.02878381622753033
18 t/m 24_more than 30.000,0.050530284178092896,0.04048242950786637,0.037822759965362704,0.026686247907869425,0.07026029913702442,0.04255674883043938,0.050217654584058795,0.050152197666639226,0.040139794824368275,0.04220640260220396,0.039973844914567416,0.03945791186071818,0.04387428662189536,0.03803501774482098,0.03796829825867205,0.03964813647794867,0.037624403410588994,0.03799989680673526,0.04014631910132657,0.03293237467521524,0.035992156152741164,0.03408624118023969,0.03477205816497025,0.03217765781342653,0.024256577612208202
25 t/m 34_less than 4.999,0.04947303283719226,0.041540673764578935,0.04204872805846451,0.012185515765197776,0.03696826030149329,0.06103382186706122,0.04814108940434664,0.049399781679808276,0.041140334750638316,0.03429891000777524,0.03986890326196028,0.03821274378264683,0.04716422126949217,0.050040527725198305,0.038058686246885326,0.04291991464168901,0.04793423005014159,0.043055937986081615,0.03884094601217123,0.035376470093210745,0.039189975447870666,0.034685039548866,0.036211983960935855,0.02836441151203682,0.023845860024257207
25 t/m 34_5.000-9.999,0.04820582446649362,0.042648275903856746,0.043746165900297264,0.01585542585600279,0.044459602819096375,0.049064174470917106,0.06220411963593804,0.0500370156759935,0.03937603547573816,0.03468245218811834,0.0376754133208914,0.039688431922615106,0.046306166645848246,0.04605881203167674,0.03962485077051092,0.04020499815681521,0.04609670310230109,0.04010323345960326,0.03783077802219886,0.04005624391163698,0.036178469517548315,0.03319104729331379,0.03612174987572113,0.029875639971931933,0.020708369604934974
25 t/m 34_10.000-19.999,0.043240731404581456,0.04261922204258208,0.03864537358446839,0.016042320894834233,0.03951436345167353,0.04480530931855775,0.04452944349690489,0.055357314843461985,0.04266421566697623,0.0342928769077298,0.03783953172353938,0.04153568309104213,0.049551475894382364,0.04308966757877225,0.04297166173717361,0.03873414351877401,0.04567421158506369,0.043928580869454004,0.042193451263144326,0.03967003652525814,0.038629412844827335,0.03707724710696903,0.03938399309276255,0.032905828866180944,0.0251039026908861
25 t/m 34_20.000-29.999,0.045587272262978144,0.04121284922086105,0.039355881074376084,0.018751497843397937,0.038388498282570516,0.045293222929113156,0.042535232322979455,0.05178747295098681,0.0671948470229133,0.03689677083321355,0.03754955164923679,0.042372907855780656,0.04920263633762524,0.04291382631480588,0.04451439468252004,0.0373508513349595,0.039954394008248004,0.04252131174369154,0.04129770977122802,0.03548389304447401,0.035919827709139165,0.03370269127203641,0.036700360907469774,0.030790911696473335,0.022721186928921645
25 t/m 34_more than 30.000,0.05436290448266094,0.044640922445462444,0.03941384810660827,0.02716747467981561,0.04565057057889901,0.042705874569038516,0.04237098064474573,0.04707678236571814,0.041728258156265574,0.07599374850492004,0.04314571136141757,0.034588009519041306,0.04161404730389826,0.03728102099556256,0.03661738747358152,0.04322337025767265,0.03516909689972184,0.037340093953712565,0.04183123279831983,0.030433323578799375,0.03898116112911595,0.03321202467128688,0.03152384179868797,0.027887432415088217,0.026040881309959206
