,18 t/m 24_less than 4.999,18 t/m 24_5.000-9.999,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_more than 30.000,25 t/m 34_less than 4.999,25 t/m 34_5.000-9.999,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_more than 30.000,35 t/m 44_less than 4.999,35 t/m 44_5.000-9.999,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_more than 30.000,45 t/m 54_less than 4.999,45 t/m 54_5.000-9.999,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_more than 30.000,55 t/m 70_less than 4.999,55 t/m 70_5.000-9.999,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_more than 30.000
18 t/m 24_less than 4.999,0.062036851532160736,0.040537721758064776,0.04030053931406344,0.017701739438621432,0.043541551314218246,0.049511109921305196,0.04717822437904758,0.04758099053063991,0.040897442185003706,0.04329279057572727,0.044609366564735894,0.03551594648554358,0.043061955023437064,0.04272529930492388,0.035294558752219124,0.047012218731015284,0.0419423240569313,0.04010080972592836,0.04014257766391558,0.03497065088179169,0.042555364576476656,0.033842591498751615,0.03330191140971734,0.027656028504101572,0.0246894358716588
18 t/m 24_5.000-9.999,0.04551009398109633,0.06964631511286826,0.04579822302610585,0.016871937612785017,0.03852530895427058,0.04607263702135523,0.046436295685807844,0.052593170568524236,0.04119964131684027,0.03933380820549605,0.032163763480593584,0.04104855507586976,0.04843610634828832,0.043166359813615794,0.0463359771148669,0.031717444884137504,0.043615199671660575,0.0413906012424918,0.0406919529381261,0.03669999718617848,0.033713053335392124,0.03254798315598749,0.03602428689878703,0.030112212248501274,0.02034907512035371
18 t/m 24_10.000-19.999,0.04867491496475849,0.04927136298152081,0.07492799164490402,0.010021239159877229,0.03852973300218777,0.05021792810512195,0.051340301143750294,0.05093584513060798,0.04218281284520112,0.03701925656909169,0.029246996173764313,0.036935720254601595,0.04748255297315966,0.05026535330042249,0.040260462956376475,0.03179221583775896,0.04597486147935204,0.04305202873979247,0.033509864425843056,0.03524150567659941,0.03412484275919742,0.03066614213997259,0.038214443563500865,0.03174521806976046,0.018366406102876806
18 t/m 24_20.000-29.999,0.04101344908486719,0.0348198515758112,0.01922372003470156,0.14373419406165924,0.050821129433937136,0.025473203262392802,0.033114237847016816,0.038007567600976615,0.036497705818714934,0.047620359013422174,0.04783019016879085,0.04167397332275587,0.03643898511053519,0.02432508165021827,0.03174399344232355,0.0383495104604109,0.025754821980057886,0.03320017823900723,0.04652146297469745,0.026836195964067146,0.037768854235456055,0.044289733716803274,0.0316248677147235,0.03543050900722794,0.027886224279425203
18 t/m 24_more than 30.000,0.051320202510637986,0.04044661662806248,0.03759985060315844,0.025853445274814705,0.07311966817115306,0.04267652845060534,0.05097928119496628,0.0509079205280578,0.04007908251027207,0.04229932771463987,0.03990115620157652,0.03934833872866111,0.044097099538238274,0.03782650987536553,0.03775525342812606,0.039552100793642575,0.037388120747066184,0.03778899954117712,0.04008607874919584,0.03240476573751122,0.03564899830867523,0.03362567886180393,0.03435280241003548,0.03160789831943512,0.02333427517312162
25 t/m 34_less than 4.999,0.050134905491641894,0.041555854187311135,0.04210192812147159,0.011132962591235753,0.036664195440778834,0.06281846021039288,0.048686773223444814,0.05005518877960127,0.041125903802633326,0.033828773422344284,0.03976249468629891,0.03799135780965382,0.04762656792920498,0.050752785522225265,0.03782688969297334,0.04303944222484994,0.04846213267597155,0.04318594946523185,0.038662517217479375,0.03497147775133592,0.03903576160358632,0.03423794560934131,0.035859280645556296,0.02758530243623982,0.02289514945919558
25 t/m 34_5.000-9.999,0.048767821882488786,0.04275638121802237,0.04393957337591883,0.014773934927276657,0.04470962342543458,0.04970101080234959,0.06412708755979452,0.050760133014455415,0.039243468711464856,0.034242739988238895,0.0374261687148228,0.03957793748555733,0.046706930759893184,0.046439036388117895,0.03950984818383192,0.04013142825586071,0.04648006695928236,0.0400223475242404,0.03759194516952427,0.039971986724117316,0.03583152633680485,0.03266389035996183,0.03577119951898551,0.029173198395510167,0.019680714318044933
25 t/m 34_10.000-19.999,0.04342489980026137,0.042754940288715716,0.03848881313547489,0.014971491676690764,0.03941905788010105,0.04511457926136014,0.04481633420031321,0.056618074396181356,0.04280341728739467,0.03385345672897092,0.03762754841752332,0.041588666297655216,0.05026642108749696,0.043261993787465765,0.04313476661261211,0.03858377009058868,0.04605485419050133,0.04416720133120925,0.04229639452555488,0.039585865140226904,0.03847174168590878,0.03681408381742685,0.03927940043946338,0.03238514158509888,0.024217086335803398
25 t/m 34_20.000-29.999,0.04593688971061351,0.041220236552682574,0.03922894532521814,0.017693781354092525,0.03819431692417195,0.04561874743547627,0.0426423430315707,0.05267912302763288,0.06968113051997983,0.03660268745657923,0.03729861096261705,0.04246759918842898,0.0498606172443373,0.0430500944740207,0.0447768462511439,0.03708668296369799,0.03987000811198915,0.042627355458527125,0.0413113964316714,0.03509956832011237,0.03556288233757673,0.033210920790525546,0.03639347409463862,0.030139541995375378,0.021746200037320213
25 t/m 34_more than 30.000,0.05548703495143413,0.04490487982704413,0.03928341970534193,0.026342576700459606,0.045996516204049966,0.04281782970051692,0.04245732988429368,0.0475415800965596,0.04176605648737794,0.07951071999437881,0.0432916137582243,0.03414215416431885,0.04164330024007141,0.03700508115308,0.036298110583658234,0.04337530369787172,0.03475855346692387,0.03706805710298145,0.0418767571232817,0.02975804996552513,0.03882045877335313,0.032685626815733344,0.03090473423868619,0.02709303219873934,0.025171223166094644
