,18 t/m 24_Less than 10 km,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_more than 50,25 t/m 34_Less than 10 km,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_more than 50,35 t/m 44_Less than 10 km,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_more than 50,45 t/m 54_Less than 10 km,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_more than 50,55 t/m 70_Less than 10 km,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_more than 50
18 t/m 24_Less than 10 km,0.06934011794630394,0.04184764568977221,0.04235264251340525,0.04275409595712272,0.029782132363659047,0.045853441526794346,0.051170029207934856,0.045911897879134446,0.04602361352894125,0.039770911554697065,0.03910072035941325,0.04105864483618379,0.04840642508753926,0.04884164859804754,0.039360642122779836,0.03698984829379614,0.036370826382981815,0.03241643069129319,0.034890646460495126,0.040192607174283954,0.03105768076966307,0.030546624204145407,0.0339858703734637,0.03409216189064568,0.01788269458750319
18 t/m 24_10-19 km,0.041367390426966494,0.06854435139795018,0.03996043030801254,0.04303581106758477,0.03830050256464544,0.04538158071430872,0.05339083987991344,0.04150832228304624,0.04167041887169165,0.033834141895810126,0.037149759945007764,0.04305744123515217,0.04597412440152698,0.04754641905268037,0.035962518350351885,0.04288583013226114,0.039397115578245365,0.0330503025699445,0.0346698803318654,0.040835324815188805,0.034277445987823583,0.03246839512936961,0.03567922865963196,0.034438206114636424,0.015614218286384453
18 t/m 24_20-29 km,0.04912098755439563,0.04688453769523017,0.08042131183627216,0.05653849721163364,0.03994580077574383,0.03716343999918355,0.05013531330776197,0.038669934726675695,0.06050565931948249,0.031619963268887594,0.03507775753440686,0.03706065380624118,0.046538313068637094,0.0596246401904486,0.04434336344190779,0.03177751183603364,0.03492820917813562,0.026182529240336812,0.028585730874435156,0.04034533288617905,0.02683598286397076,0.02843250731007004,0.02914673008780888,0.028167422222560336,0.011947869763561606
18 t/m 24_30-49 km,0.04280631837098369,0.043588612670992656,0.04880764277424199,0.06942481411998032,0.04650845554378995,0.03735852871747515,0.044875852000069244,0.043687161789090774,0.058042039457305274,0.0425297707485499,0.026711075791521485,0.03865454011579273,0.04978596162036835,0.05529670264470585,0.044287497911681926,0.029028784455461257,0.035112462819806296,0.030482685397422472,0.03677775047680807,0.04305260522014245,0.026405779281981467,0.028133065117196057,0.030534386009988687,0.030717616896655198,0.01738989004798878
18 t/m 24_more than 50,0.034727774731098955,0.04517920074631746,0.04016111122785422,0.054165522181531894,0.08085478791321925,0.039395868029654786,0.04246169628385312,0.04309927237563092,0.05153564039310706,0.03868138728311626,0.026590979447640953,0.04205410561693339,0.0440081963364303,0.051719399354102975,0.04365366966793144,0.03216488658469088,0.0370737856321186,0.02999805410585654,0.037784285476055654,0.04382148203842365,0.029154965799542628,0.029452685831535902,0.03184850136292778,0.031314574756456465,0.019098166823969056
25 t/m 34_Less than 10 km,0.04031416148524894,0.040362514842183776,0.02817182774006675,0.03280539781008234,0.02970401815649343,0.06096355299001989,0.04591891278054242,0.04267004819739896,0.03266462921664147,0.03616554376163932,0.044451131512188984,0.04771036714272322,0.04709942404433112,0.03856100082129932,0.03610471809576785,0.048128272487621034,0.045299361309903224,0.04282554246510107,0.03877247792286452,0.03858040116165682,0.041060770621153174,0.04005248016127598,0.040327026511411734,0.04009090953155654,0.021195509230828018
25 t/m 34_10-19 km,0.042503777255361114,0.04486333138753478,0.03590616467748717,0.03723011858703763,0.03024739901674217,0.0433828185991762,0.057596545745046204,0.04257828465217203,0.04016818115496099,0.03637393295360946,0.040337103407772835,0.04503803521709354,0.047178935899020474,0.04381012215339557,0.03751700921940905,0.0407161776139376,0.041692473191361185,0.037875106312851715,0.03964882533919924,0.04518342270788025,0.03571800997017746,0.035344207442046534,0.038866642351310564,0.03912607019057342,0.02109730495484262
25 t/m 34_20-29 km,0.04186191122546852,0.03828616718724053,0.030400495944923042,0.039784828289080525,0.03370098377276065,0.04425183109816154,0.046737997995551415,0.06322347792010762,0.043008588917118014,0.04381526301299084,0.03571776137257577,0.042190910268361255,0.05080369722290077,0.04360001984020428,0.03964938681396871,0.03673845843607239,0.040243389070042636,0.039007521830581066,0.042063010934837684,0.04573030959351047,0.03205362180306063,0.03329145064416578,0.03396093447945561,0.03673687514104425,0.023141107185816037
25 t/m 34_30-49 km,0.044461881705629716,0.040723762454397114,0.05039837636433991,0.05600407637725373,0.04269663369271793,0.035892124335402245,0.046717267147618306,0.045568896516039764,0.06698718082282447,0.04111506564344845,0.028339355568105417,0.03642895987525323,0.04770430049113388,0.055655276667592686,0.04956262209124384,0.028771074168829035,0.03516901512974422,0.02983930818319891,0.035057865451376305,0.04680207503830983,0.027336191336231313,0.02884486045036851,0.030310981171321978,0.031688467536308836,0.017924381781310464
25 t/m 34_more than 50,0.03693399662198816,0.03178548416257025,0.025318358441101134,0.039447878516138256,0.030806448587716022,0.03820058953372281,0.04066672133788362,0.044626453689107386,0.039523429624314835,0.06439399002647672,0.028204697925655255,0.03966449647296472,0.04603430115065094,0.03845676654045822,0.04551832174815672,0.03326202053197108,0.0396633773836464,0.043107174274656636,0.05126635992006778,0.04877317213308321,0.035576874689707515,0.03709713267228133,0.041382452634866285,0.04409078716963561,0.0361987142111792
