,18 t/m 24_Less than 10 km,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_more than 50,25 t/m 34_Less than 10 km,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_more than 50,35 t/m 44_Less than 10 km,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_more than 50,45 t/m 54_Less than 10 km,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_more than 50,55 t/m 70_Less than 10 km,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_more than 50
18 t/m 24_Less than 10 km,0.07104012068197843,0.04188005015339404,0.04240905128680371,0.04282979642772882,0.029338194499640514,0.04608413644784153,0.051690094762419196,0.04614561656431448,0.046263121021744465,0.03970775449799875,0.0390078347397521,0.04105413971558258,0.048772509125963266,0.04923148031483289,0.03927922059675804,0.036807010537622364,0.03616270041269654,0.032059141322347925,0.03462413182143866,0.04014843720695477,0.03065436149626481,0.030126723555509285,0.03368514849946445,0.03379539905358597,0.017203825257362443
18 t/m 24_10-19 km,0.041380490787837676,0.0701927301586397,0.03990891348463374,0.043128545463975966,0.03817584841208791,0.04559158134351121,0.054044216142286716,0.04152802461172979,0.04169774338960094,0.03353042923631441,0.03697644008929394,0.04315122898010684,0.04621469475579696,0.04786990115118659,0.035740796752642426,0.04297127531288411,0.03932039695360978,0.03271799874001176,0.0343976146616211,0.04082371149445077,0.03399029155734418,0.032115442968674225,0.035446235323011034,0.03415712480060788,0.014928323428140386
18 t/m 24_20-29 km,0.04944830154621038,0.047094943696040385,0.08283168811311553,0.0572881008956458,0.039827780354272216,0.03692963573645919,0.05051730507938008,0.03849761637173052,0.061501206649402264,0.0311862481819783,0.034763721244603196,0.03682276062245254,0.04673108013288785,0.0605644299849843,0.04442726699654796,0.0313488693162645,0.03460864558370975,0.025598136807330148,0.028061884426794973,0.04024472440130495,0.026267053019656837,0.027904504420597383,0.02863843444333512,0.02763232156566928,0.01126334040962647
18 t/m 24_30-49 km,0.04285863289436964,0.0436785961008344,0.049165890250062454,0.07108795060976392,0.04674498095192046,0.03716852154893527,0.045029300834946974,0.04378193926378609,0.058940375257884946,0.042568934762394615,0.0261644721472799,0.03851888534863133,0.0501976245569156,0.056026358978680066,0.04441171245582209,0.028544822591034733,0.03483345064197841,0.030042577532970457,0.03656408751013045,0.043116704464109964,0.02585162127656475,0.027623807519593955,0.03009589964600058,0.030284910963574583,0.016697941891814415
18 t/m 24_more than 50,0.0344341164434892,0.04534775730344559,0.04009118026480182,0.05482747478712778,0.08337949316385998,0.039292156174165184,0.042497531265391165,0.04316550538630103,0.0520450425793687,0.038546785388359706,0.026041319646343174,0.04207075121558855,0.04411855654700333,0.0522392504071744,0.04374670824677169,0.03177957572690171,0.03687203421605432,0.02954287848964448,0.037611804309351814,0.04392270226555148,0.028674603340853467,0.02898108617658573,0.03145254137915453,0.03090098623323665,0.018418159043474557
25 t/m 34_Less than 10 km,0.04029243796772252,0.04034301056263971,0.027691998167753865,0.03247544232787553,0.02926997782262422,0.062112038467679785,0.04617239913319241,0.04275966486095411,0.03232963383615762,0.035964258041944086,0.04462914637293804,0.04805906757568184,0.04741527747493985,0.03846074212314306,0.03590096490570943,0.04849966217794212,0.04552070742026791,0.04292273440039877,0.03868149100444773,0.03848099069457453,0.041073625698460264,0.0400187953965287,0.04030589317555952,0.040058976156009535,0.020561064234854896
25 t/m 34_10-19 km,0.042596281558578926,0.04507390019654631,0.03570357574353817,0.037082351039899916,0.02983819187969559,0.04351857937499411,0.05854206683956472,0.04267442127317528,0.04015010293199907,0.03619044780355124,0.04032680608829799,0.04525759034312792,0.04751126411788664,0.04396722459136034,0.0373814241112855,0.04072346609604799,0.04174583946844111,0.03775487626433003,0.03960704122445414,0.04541048142339823,0.035507819571950885,0.03511905766135681,0.03878978010565765,0.03906075847649251,0.020466651814368915
25 t/m 34_20-29 km,0.04191524875575687,0.03817635178642619,0.029990424528362987,0.03974150277489397,0.0334058759877216,0.044422581760865436,0.04703756964121511,0.06452756625050307,0.043117454171149754,0.043964085978403504,0.0355006670172132,0.042260024948295845,0.05132773042617132,0.04373810962023463,0.03959993815904024,0.0365629621652046,0.04022096023600049,0.03892936182127298,0.04212597731666734,0.04597686933741142,0.031699090472671956,0.03298120077227525,0.03367556264855933,0.036561313272250665,0.02254157015143227
25 t/m 34_30-49 km,0.04459872806901526,0.04068287658836948,0.05084852504344954,0.05678166694744528,0.04274756220260321,0.03564644618030449,0.04696884140127328,0.04576137451230569,0.06848433383464181,0.04109202825378372,0.02783830547296271,0.03620455515079166,0.048007771665258735,0.05641165794138126,0.04996649595392364,0.028282238054056767,0.03489529547084047,0.029382014851361764,0.034779898717401905,0.04705806866528024,0.026807980243659785,0.028358142945182987,0.029868201450270408,0.03129006681280869,0.01723692357162731
25 t/m 34_more than 50,0.03676445448941519,0.031419803678061665,0.024764131817971102,0.03938703393214188,0.030407828260559645,0.038084811562760244,0.040661406254746256,0.044813539997592744,0.03946597452187961,0.06577433845741112,0.02772592067126583,0.039613388858025504,0.04629400416151547,0.03835211218025551,0.04575116304737288,0.03294874472287138,0.03961221931791093,0.04321832960702138,0.051813910102540064,0.04918012034842014,0.03535205921720799,0.03693439888149405,0.04141057607940795,0.044250809465262164,0.03599892036688932
35 t/m 44_Less than 10 km,0.03813405356960746,0.03658455537218234,0.02914704727059544,0.025561174326545182,0.021690449708744928,0.049900812418585176,0.04783993650427141,0.038208153202655845,0.02823035758934829,0.029274824918866533,0.06944881164904056,0.05121239561226286,0.04452983865393092,0.0334961381348209,0.031181523052093457,0.05551245560891536,0.04925484392052248,0.04596201931768067,0.034329689288694364,0.0399451960565589,0.048075277596934356,0.048439133753937116,0.04299663564268294,0.04252444139517601,0.018520235435346515
35 t/m 44_10-19 km,0.03349488036517201,0.035630851410701346,0.025765881067849165,0.03140529537909293,0.029244633394809278,0.044846104374658996,0.044807275893785053,0.03795855131346743,0.030640591546744405,0.034906851136397306,0.04274009059543035,0.057959571430675705,0.04380288322132777,0.0366272664196966,0.0342102455410991,0.044034294850178575,0.04829154826661488,0.046809165584645845,0.0431850526511307,0.04385200997413017,0.044116289215953335,0.04611580489737505,0.04651674756749681,0.04618474254749885,0.026853371354068383
35 t/m 44_20-29 km,0.04032266203247564,0.03866924937120639,0.0331350091295705,0.04147295299568869,0.031077053232536622,0.044835322848772556,0.04766573806772039,0.04671803456095343,0.04117163369462506,0.041337674881781604,0.037658593039694405,0.04438695163409765,0.05873240537220617,0.043425713165369126,0.03752291000499454,0.03810088660042735,0.04250356980539725,0.04028839885652206,0.04108506370828165,0.04381391145232931,0.03489928023019247,0.03540434964973215,0.03720901632947375,0.03807752185401787,0.020486097481933405
35 t/m 44_30-49 km,0.044532363050554497,0.04382348719480353,0.04698482988201361,0.050644576340297454,0.04026004191178714,0.03979041001394649,0.04826113569695202,0.043556328075600115,0.05293149558970899,0.03746876125786653,0.030993202729675876,0.04060840005803853,0.04751226218406111,0.06425938089072483,0.042962514357534495,0.033218214438470256,0.03864206187988238,0.030194741183630424,0.03588143215392183,0.04426503489877926,0.02945122710952197,0.03042051850387035,0.03249705287396149,0.03335139153237747,0.017489136192019385
35 t/m 44_more than 50,0.03632381938897791,0.03345064001407469,0.0352359043131485,0.041042505175985095,0.03446818897936151,0.03797193029910651,0.04194885660664546,0.04031638267782516,0.047931386864010474,0.04569597903842718,0.029496116640281178,0.03877603174603555,0.04197116852089387,0.04392234205161745,0.06569500295116242,0.03293816733821827,0.03958718766146789,0.03702626833782794,0.04359413941580878,0.05089911603230166,0.035511806355664546,0.03789252738071542,0.038954203272853594,0.04166604329064331,0.02768428564694567
45 t/m 54_Less than 10 km,0.033340815342888866,0.03939448882319823,0.024354248342382808,0.025839298275805365,0.024526648394511588,0.05024724930900325,0.04476370706222822,0.03646241661130052,0.026574915915024092,0.03223530220265526,0.05143692305307858,0.04888946016275758,0.041745210501532945,0.033265121080599785,0.032263869794756914,0.0643501200178531,0.04990535123537583,0.04625463518743805,0.03895521365638424,0.04002375619754651,0.052135863613325624,0.04833459924213475,0.0472405084860545,0.04516762488430328,0.02229265260786001
45 t/m 54_10-19 km,0.030045740964200318,0.03306370478223038,0.024661179641665944,0.02892186268765152,0.026101388027864575,0.043257256892611784,0.04208922249902669,0.036790264071533844,0.030074706665164,0.0355466306705672,0.04186102749929966,0.04917809705156546,0.042714308046250156,0.03549355584389489,0.03556706831718388,0.04577448965693288,0.05902360829576924,0.04777217848040608,0.04515418641928219,0.044298636243430486,0.04927730691823348,0.05051544146078891,0.04942276762673943,0.04505929739595322,0.02833607384175394
45 t/m 54_20-29 km,0.027872984045142147,0.02878921794129556,0.01908741491749763,0.026102161191690555,0.021884106929068416,0.04268220713556705,0.039832748191754565,0.037262095081654754,0.026498763498224637,0.04058324401889963,0.040876109406125766,0.04988167228415274,0.04236795392514141,0.02902218092309713,0.03481070978325564,0.044395726735344955,0.049990163967760445,0.06176397959085263,0.05053973319566911,0.044604470441213774,0.04902323806323548,0.05032564060430134,0.05073316247374142,0.05332907537487429,0.03774124028043884
45 t/m 54_30-49 km,0.029606505598671572,0.029767896138764523,0.02057937915505618,0.0312442925049517,0.027401659566115386,0.037830264054260924,0.041097584644846995,0.03965670746142937,0.03084956373648912,0.04785219104650542,0.030027349803963554,0.045260592750282526,0.04249307174306282,0.033919167251249806,0.040309528821343366,0.036772925242647615,0.04647123511479171,0.049706092484956145,0.06074519764273202,0.0501583960796435,0.042645455969276186,0.043467869793403516,0.05053227838974017,0.050341228026204846,0.04126356697961102
45 t/m 54_more than 50,0.03287812522844877,0.03383470874891768,0.028265360979561126,0.0352851246404661,0.030645865525719573,0.03604230460728838,0.04512634360224625,0.041451113502177186,0.03997467618755814,0.043498590981104285,0.03346122445824089,0.044015580069176045,0.04339866093238348,0.040074338745308725,0.04507336629564299,0.03618350005370307,0.04366230828080303,0.04201314643868741,0.04803676827686031,0.05817576340484807,0.0389839747058111,0.04016874930630163,0.04284168846375805,0.04521147028241786,0.03169724628256999
55 t/m 70_Less than 10 km,0.027686113204675074,0.03106963572616613,0.020346431218411253,0.02333271074122919,0.022065388298319145,0.0424287917718991,0.03891610437135644,0.031519180864061545,0.025115756591103093,0.03448511142496482,0.04441507380098572,0.04883680187073507,0.03812519632345237,0.029406291907109774,0.0346827746139424,0.05198291350979532,0.053566665858434726,0.05092606607780804,0.04504371678440254,0.042994948384062426,0.06416133715636806,0.05833594252561722,0.05720727799499431,0.05079533791797111,0.03255443106213506
55 t/m 70_10-19 km,0.02678206756779611,0.028894665518004542,0.021275201943963082,0.02454050156057032,0.021950847722417045,0.040689665412621465,0.03788529666931823,0.032278776699343856,0.0261506471772903,0.035462588771534416,0.044048126236314,0.050248200947437906,0.03806928525396427,0.029896886636611608,0.03642647329731199,0.04743562754306959,0.05404982429826436,0.051457647853341386,0.04519103599960089,0.04360558410664947,0.05741940691495022,0.06315327681165006,0.055941849708092864,0.05365117657734855,0.03349533877253336
55 t/m 70_20-29 km,0.028914886311042973,0.030793899993783604,0.021083342986825265,0.025816540754995863,0.0230029324909655,0.03957122366410363,0.040405080817459915,0.03182411158717991,0.026595278930826596,0.03839206717276279,0.03775342605342843,0.04894078028804133,0.038632882635678205,0.0308385644589281,0.036158358224903854,0.044766373694034974,0.051060847563474746,0.05008911721807434,0.050727521543264875,0.0449067061366113,0.05437065825423998,0.05401664991139892,0.06097990077362541,0.053182157900211545,0.037176690634138
55 t/m 70_30-49 km,0.02898279443544255,0.029646644111442518,0.020323908454718646,0.025954739550446967,0.022578727276060494,0.03929256956256972,0.04064985390122311,0.03451937070688357,0.027835666401891807,0.04098746878438649,0.03730440923142981,0.04854670178176478,0.0394981956378497,0.031620140112657166,0.03863992657047376,0.04276261557284742,0.04650985954220124,0.052603561793014376,0.050489169180886355,0.04734704811178815,0.04823217156738442,0.05175707553801168,0.05313315564192817,0.06092371364309546,0.03986051288960159
55 t/m 70_more than 50,0.022821861363694202,0.0200423495243445,0.012814463494011104,0.02213587439905554,0.020816930806541036,0.031196044980663716,0.032946438981969535,0.03292066574218044,0.023719102454658372,0.05157778863433336,0.025131095187140455,0.0436619756290296,0.03287086842569333,0.02564847531513545,0.03971281895023475,0.03264691269264321,0.04524219325477021,0.05758516665619737,0.06401541253619886,0.05134630236971836,0.04781525037115621,0.04998252774485488,0.05745313676269216,0.06165754733851835,0.09423879638456506
