,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_Less than 10 km,18 t/m 24_more than 50,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_Less than 10 km,25 t/m 34_more than 50,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_Less than 10 km,35 t/m 44_more than 50,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_Less than 10 km,45 t/m 54_more than 50,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_Less than 10 km,55 t/m 70_more than 50
18 t/m 24_10-19 km,1.0,0.6337007668443332,0.607933474607248,0.7309545314642192,0.2532653170303488,0.44161176564643867,0.6821006090861261,0.5554027261097709,0.6156100565970986,0.5734143602562798,0.5615143808981977,0.4491582861941697,0.5169181549428542,0.4907615815675449,0.5019388455880671,0.47071891694558454,0.44498393951111753,0.4062312978803788,0.4744699846531059,0.3989589077079708,0.46319007650222155,0.3973658777996599,0.39567856421667086,0.4253646464115611,0.28831266355128654
18 t/m 24_20-29 km,0.6337007668443332,1.0,0.6501832346778008,0.7430103045834595,0.39105235071737016,0.6300609238256043,0.7437333586664838,0.7260618904579716,0.6985306848690574,0.6737378180283092,0.5286030323586158,0.5637980712451851,0.6141799161525782,0.6271770602548075,0.5010192913406246,0.5218346124266515,0.4891871334830942,0.5553191697007307,0.5268281960800406,0.4112172443141918,0.5420234680756871,0.42207113124691703,0.4103516370174217,0.4850067771027967,0.3688223852883193
18 t/m 24_30-49 km,0.607933474607248,0.6501832346778008,1.0,0.6698444874593155,0.4873245232696655,0.573694352934873,0.6647703399479812,0.7642984144631971,0.5569441798961151,0.64839823788019,0.3603742009928415,0.5283342277601388,0.5656062748366113,0.6034575023298772,0.46417021097888955,0.44892383967556265,0.4050065276601712,0.4505596687079278,0.43809014747444947,0.35258098023008166,0.5129655056236483,0.3443314673118301,0.35598353432829016,0.43631507529151653,0.35917729361952755
18 t/m 24_Less than 10 km,0.7309545314642192,0.7430103045834595,0.6698444874593155,1.0,0.38603980370640345,0.6675955457668115,0.8153090141207988,0.682494308636193,0.8430188279402616,0.7074896855969447,0.6053901349341464,0.5791092717174432,0.703621676585892,0.7773015707306818,0.5260198111012572,0.6995853957274137,0.6188673539734031,0.5322200184401132,0.674922399785333,0.45022939035881354,0.6594092053081083,0.5085551784428027,0.48078928963658674,0.5951816975565597,0.3800890065104031
18 t/m 24_more than 50,0.2532653170303488,0.39105235071737016,0.4873245232696655,0.38603980370640345,1.0,0.34727776407773325,0.29405588161816554,0.565329692147671,0.3676132849641083,0.33655575267291193,0.1253209353110702,0.23231676309343643,0.2983767637822922,0.3963775857273149,0.1549252047862197,0.22327725244506577,0.19851317964966378,0.22728299429253734,0.19703484768125581,0.12774229124218056,0.24849841173107787,0.12619115699009453,0.1317744008605088,0.18616964506789516,0.15389100844517867
25 t/m 34_10-19 km,0.44161176564643867,0.6300609238256043,0.573694352934873,0.6675955457668115,0.34727776407773325,1.0,0.698704636051602,0.62183257061127,0.7157222316201908,0.6660641188098758,0.5087515477588114,0.7405891581112142,0.692452529949109,0.8068203228963966,0.4745506109606464,0.6835566626541011,0.6430682525785131,0.6892279363128646,0.7394039691196553,0.5275127780306181,0.7210991888667226,0.5438978179507863,0.590253495275017,0.71203369603327,0.5317556372494806
25 t/m 34_20-29 km,0.6821006090861261,0.7437333586664838,0.6647703399479812,0.8153090141207988,0.29405588161816554,0.698704636051602,1.0,0.7174230993242391,0.6909601972945982,0.6680890177619997,0.6110246140677466,0.6753189498879228,0.7224403568193523,0.7144584357257423,0.5799241810292151,0.6653505366544319,0.5759054450252803,0.6196384213339253,0.6709373520778359,0.5208014059304378,0.6971023416401597,0.5731825041878099,0.5796425804310205,0.6334235103303332,0.468482005859529
25 t/m 34_30-49 km,0.5554027261097709,0.7260618904579716,0.7642984144631971,0.682494308636193,0.565329692147671,0.62183257061127,0.7174230993242391,1.0,0.616717889527423,0.6213075660469991,0.40992697386108456,0.5756900039873329,0.6523937208579621,0.656001999844468,0.44306896989360983,0.48912759553717317,0.4244110254688949,0.5479257743949462,0.46730639028357257,0.37617562204133165,0.5067437984264971,0.36741589416870357,0.3823334680999788,0.4493672779501794,0.3741511021043308
25 t/m 34_Less than 10 km,0.6156100565970986,0.6985306848690574,0.5569441798961151,0.8430188279402616,0.3676132849641083,0.7157222316201908,0.6909601972945982,0.616717889527423,1.0,0.7387720390590802,0.6738504952026513,0.593166191543808,0.7064475172205253,0.8189638457528362,0.5206882782854221,0.7775419839063815,0.7112297273627854,0.5934677619738018,0.765444655088933,0.5026017328794975,0.7137238159164151,0.5573198013631496,0.5751282499151199,0.6963051570383917,0.4451823198369037
25 t/m 34_more than 50,0.5734143602562798,0.6737378180283092,0.64839823788019,0.7074896855969447,0.33655575267291193,0.6660641188098758,0.6680890177619997,0.6213075660469991,0.7387720390590802,1.0,0.6672345888292947,0.6720615689779198,0.8203229156667846,0.7100162381968153,0.7239592516733355,0.6979693032025274,0.7077983927491434,0.701134738978236,0.6859676209894878,0.6757543235633318,0.7433426549735221,0.6485670559076651,0.6457372416859497,0.7317698372836627,0.5819666352755904
