,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_Less than 10 km,18 t/m 24_more than 50,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_Less than 10 km,25 t/m 34_more than 50,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_Less than 10 km,35 t/m 44_more than 50,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_Less than 10 km,45 t/m 54_more than 50,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_Less than 10 km,55 t/m 70_more than 50
18 t/m 24_10-19 km,1.0,0.5870177914781927,0.5592409300109906,0.6935194169532816,0.20115387888656425,0.3850329589772768,0.6397014139398497,0.503230814788568,0.5674959282810238,0.5223394491202336,0.5097032177700214,0.3927272960742499,0.46275345112922495,0.43552749561470583,0.44713268553397245,0.41482888621770353,0.38846848142130835,0.34925850749191495,0.4186916652288855,0.34196824739202025,0.4070914350245083,0.34037426322027975,0.33868710755629344,0.3685427715591964,0.23402295079929888
18 t/m 24_20-29 km,0.5870177914781927,1.0,0.6048858351277089,0.7068948868956136,0.334067528284297,0.5830823979213469,0.7076982544950557,0.6881017117895805,0.6577310621476632,0.6305522825965744,0.4749916538536671,0.5121247471841205,0.5659567138059706,0.5799670739364325,0.4461762751457949,0.46789712774399783,0.4338963058923682,0.5031424088179577,0.4731298227450582,0.35426939487949144,0.48910364880446905,0.36521271562122065,0.3533987228576827,0.42956957188247674,0.31199881893620657
18 t/m 24_30-49 km,0.5592409300109906,0.6048858351277089,1.0,0.6262993483828796,0.4319677060104348,0.5226372985756053,0.6207627559594647,0.7306020401054031,0.504862133521368,0.6029470794183804,0.3036695550495272,0.4747096061382336,0.5140432582016823,0.5544357512261515,0.40809754047241936,0.3924879289328781,0.3480291833955144,0.394158527917785,0.3814498797460781,0.29601500935536834,0.4586240692850673,0.28794316935831826,0.2993535634874431,0.3796456562969763,0.30249212508240264
18 t/m 24_Less than 10 km,0.6935194169532816,0.7068948868956136,0.6262993483828796,1.0,0.329072509979887,0.6238445725923708,0.7878562348604234,0.6401325982029304,0.8192129956776738,0.6675923990825435,0.5565097976093178,0.5284023427383495,0.6633322250293249,0.7451375799565296,0.47228216268986084,0.6588909055147338,0.5710038908568903,0.4787891728521559,0.6318470963818366,0.3938211473219012,0.6149207189347216,0.4540228435328862,0.4252107415385816,0.5455670275608036,0.3231566419747026
18 t/m 24_more than 50,0.20115387888656425,0.334067528284297,0.4319677060104348,0.329072509979887,1.0,0.29082232720077644,0.23947574559859677,0.51374973616091,0.3108047577881666,0.2803645531652089,0.08845480364366987,0.18186268735341565,0.2435899410536292,0.3393859175166148,0.113310184596776,0.17362660279164102,0.15135503776006887,0.17726954783386342,0.15003964427900016,0.09045376316695576,0.1967397241225519,0.08917247920947939,0.09379656542451918,0.1404234342520538,0.11242740095138673
25 t/m 34_10-19 km,0.3850329589772768,0.5830823979213469,0.5226372985756053,0.6238445725923708,0.29082232720077644,1.0,0.6579223323905835,0.5741999902217987,0.6766726075113092,0.6221737754301956,0.45422757066556435,0.7042057659288412,0.6510527781356046,0.778285769765952,0.41877474908058004,0.641296308655168,0.5971633061903275,0.6475137876514157,0.7028899364764655,0.4738478355023047,0.6826126801845317,0.4910792868728074,0.5402955452505117,0.6726021040789009,0.4783013703379282
25 t/m 34_20-29 km,0.6397014139398497,0.7076982544950557,0.6207627559594647,0.7878562348604234,0.23947574559859677,0.6579223323905835,1.0,0.6785507961557041,0.6494145990912784,0.6243830909223946,0.5625628907229148,0.6322806329207549,0.6840954656106806,0.6752775414810069,0.5292707287529977,0.6213954724442697,0.5249902608387979,0.5718347497429294,0.6274927368205728,0.46681549319877713,0.6561608114194463,0.5220928246935378,0.5289706255498768,0.5867178883879846,0.4125278111368151
25 t/m 34_30-49 km,0.503230814788568,0.6881017117895805,0.7306020401054031,0.6401325982029304,0.51374973616091,0.5741999902217987,0.6785507961557041,1.0,0.5686886658987969,0.5736339202442267,0.3529716875637971,0.5247609297374567,0.6072879692155465,0.6112120163196163,0.38651699983376314,0.4338346395158076,0.3675781240306516,0.49532877163542993,0.4113192120563665,0.3192746725453003,0.45213499391222783,0.31060988469191786,0.32538611764053155,0.39294069187175373,0.3172690574282978
25 t/m 34_Less than 10 km,0.5674959282810238,0.6577310621476632,0.504862133521368,0.8192129956776738,0.3108047577881666,0.6766726075113092,0.6494145990912784,0.5686886658987969,1.0,0.7021884948851962,0.6306754285953136,0.54341024058816,0.6664441831480402,0.7919819881074907,0.46669708492846956,0.7454067114626088,0.6717153488729412,0.543732872104856,0.7318817054562327,0.4478223240021406,0.674466807087962,0.5052597681366293,0.5241630255862513,0.6552846602025709,0.388670724830245
25 t/m 34_more than 50,0.5223394491202336,0.6305522825965744,0.6029470794183804,0.6675923990825435,0.2803645531652089,0.6221737754301956,0.6243830909223946,0.5736339202442267,0.7021884948851962,1.0,0.6234507081672925,0.6287207016660478,0.7935169615972003,0.6703772223393653,0.6857753022331363,0.6571138422785607,0.6679325737302053,0.6605952176085845,0.6439384153120558,0.632756663308704,0.7072641369576744,0.6031304010712606,0.6000585284920076,0.6944228115912395,0.5314481137614726
35 t/m 44_10-19 km,0.5097032177700214,0.4749916538536671,0.3036695550495272,0.5565097976093178,0.08845480364366987,0.45422757066556435,0.5625628907229148,0.3529716875637971,0.6306754285953136,0.6234507081672925,1.0,0.5480041377747946,0.6374100242631263,0.5199453386421814,0.6165801796975905,0.688054351628625,0.6723316720984456,0.575201140399118,0.7430991849252869,0.6739334430444864,0.6049665947702682,0.7398661935526142,0.6717285029842843,0.7130324346293322,0.47239627410618584
35 t/m 44_20-29 km,0.3927272960742499,0.5121247471841205,0.4747096061382336,0.5284023427383495,0.18186268735341565,0.7042057659288412,0.6322806329207549,0.5247609297374567,0.54341024058816,0.6287207016660478,0.5480041377747946,1.0,0.6403172128239946,0.6242077218173857,0.5116506342942333,0.6535500968106073,0.6595976092054538,0.7155807399916542,0.6853259892626398,0.6120691268508627,0.6466491708263762,0.6342846806128447,0.6083586740200231,0.6985829115816583,0.5286262734860016
35 t/m 44_30-49 km,0.46275345112922495,0.5659567138059706,0.5140432582016823,0.6633322250293249,0.2435899410536292,0.6510527781356046,0.6840954656106806,0.6072879692155465,0.6664441831480402,0.7935169615972003,0.6374100242631263,0.6403172128239946,1.0,0.7560043775188847,0.7241672232803613,0.7821376256907081,0.688730830388879,0.7995435560834678,0.7074546755133128,0.715409441269783,0.7959006737860658,0.689362590593692,0.69196846484996,0.7839466946091346,0.6450163351452575
35 t/m 44_Less than 10 km,0.43552749561470583,0.5799670739364325,0.5544357512261515,0.7451375799565296,0.3393859175166148,0.778285769765952,0.6752775414810069,0.6112120163196163,0.7919819881074907,0.6703772223393653,0.5199453386421814,0.6242077218173857,0.7560043775188847,1.0,0.4845215999411444,0.7600514889603717,0.7188567001894383,0.6613296248294459,0.7961196228709703,0.471393301029228,0.7535609112763462,0.5358237872933097,0.58777940354545,0.7382591928580187,0.514118919826028
35 t/m 44_more than 50,0.44713268553397245,0.4461762751457949,0.40809754047241936,0.47228216268986084,0.113310184596776,0.41877474908058004,0.5292707287529977,0.38651699983376314,0.46669708492846956,0.6857753022331363,0.6165801796975905,0.5116506342942333,0.7241672232803613,0.4845215999411444,1.0,0.5992534895790922,0.5331007609879183,0.6183977487022869,0.5730590497649122,0.7876612827049227,0.6845803865340175,0.6594112873878893,0.7147299005195015,0.702755948895841,0.6774789227237334
45 t/m 54_10-19 km,0.41482888621770353,0.46789712774399783,0.3924879289328781,0.6588909055147338,0.17362660279164102,0.641296308655168,0.6213954724442697,0.4338346395158076,0.7454067114626088,0.6571138422785607,0.688054351628625,0.6535500968106073,0.7821376256907081,0.7600514889603717,0.5992534895790922,1.0,0.815175031587906,0.6996797930682116,0.8526375384688364,0.6387991029122325,0.8473199273056751,0.7339651459643085,0.734212477389993,0.8524733915879807,0.6057733502094746
45 t/m 54_20-29 km,0.38846848142130835,0.4338963058923682,0.3480291833955144,0.5710038908568903,0.15135503776006887,0.5971633061903275,0.5249902608387979,0.3675781240306516,0.6717153488729412,0.6679325737302053,0.6723316720984456,0.6595976092054538,0.688730830388879,0.7188567001894383,0.5331007609879183,0.815175031587906,1.0,0.6491144814598736,0.8419017380917092,0.6077400784796834,0.7183391631483188,0.6383864358258209,0.6849567488604587,0.7772745159049517,0.5491358760198021
45 t/m 54_30-49 km,0.34925850749191495,0.5031424088179577,0.394158527917785,0.4787891728521559,0.17726954783386342,0.6475137876514157,0.5718347497429294,0.49532877163542993,0.543732872104856,0.6605952176085845,0.575201140399118,0.7155807399916542,0.7995435560834678,0.6613296248294459,0.6183977487022869,0.6996797930682116,0.6491144814598736,1.0,0.6752164226504572,0.7223786670028118,0.7601447500685449,0.7018369879003986,0.7334663736918305,0.769191714770481,0.7191568556658731
45 t/m 54_Less than 10 km,0.4186916652288855,0.4731298227450582,0.3814498797460781,0.6318470963818366,0.15003964427900016,0.7028899364764655,0.6274927368205728,0.4113192120563665,0.7318817054562327,0.6439384153120558,0.7430991849252869,0.6853259892626398,0.7074546755133128,0.7961196228709703,0.5730590497649122,0.8526375384688364,0.8419017380917092,0.6752164226504572,1.0,0.6166577933329144,0.8053858819322041,0.6985325755886133,0.76081748009991,0.8799034912890212,0.59359839567576
45 t/m 54_more than 50,0.34196824739202025,0.35426939487949144,0.29601500935536834,0.3938211473219012,0.09045376316695576,0.4738478355023047,0.46681549319877713,0.3192746725453003,0.4478223240021406,0.632756663308704,0.6739334430444864,0.6120691268508627,0.715409441269783,0.471393301029228,0.7876612827049227,0.6387991029122325,0.6077400784796834,0.7223786670028118,0.6166577933329144,1.0,0.6873642634179408,0.8005978572204987,0.7765699762852742,0.7807318595977532,0.7294710061156587
55 t/m 70_10-19 km,0.4070914350245083,0.48910364880446905,0.4586240692850673,0.6149207189347216,0.1967397241225519,0.6826126801845317,0.6561608114194463,0.45213499391222783,0.674466807087962,0.7072641369576744,0.6049665947702682,0.6466491708263762,0.7959006737860658,0.7535609112763462,0.6845803865340175,0.8473199273056751,0.7183391631483188,0.7601447500685449,0.8053858819322041,0.6873642634179408,1.0,0.7662730274517043,0.8118065556450162,0.8905354851260727,0.790936474803081
55 t/m 70_20-29 km,0.34037426322027975,0.36521271562122065,0.28794316935831826,0.4540228435328862,0.08917247920947939,0.4910792868728074,0.5220928246935378,0.31060988469191786,0.5052597681366293,0.6031304010712606,0.7398661935526142,0.6342846806128447,0.689362590593692,0.5358237872933097,0.6594112873878893,0.7339651459643085,0.6383864358258209,0.7018369879003986,0.6985325755886133,0.8005978572204987,0.7662730274517043,1.0,0.7854083041541422,0.8380601605725181,0.7160252831303113
55 t/m 70_30-49 km,0.33868710755629344,0.3533987228576827,0.2993535634874431,0.4252107415385816,0.09379656542451918,0.5402955452505117,0.5289706255498768,0.32538611764053155,0.5241630255862513,0.6000585284920076,0.6717285029842843,0.6083586740200231,0.69196846484996,0.58777940354545,0.7147299005195015,0.734212477389993,0.6849567488604587,0.7334663736918305,0.76081748009991,0.7765699762852742,0.8118065556450162,0.7854083041541422,1.0,0.8956510910682293,0.7911857813281258
55 t/m 70_Less than 10 km,0.3685427715591964,0.42956957188247674,0.3796456562969763,0.5455670275608036,0.1404234342520538,0.6726021040789009,0.5867178883879846,0.39294069187175373,0.6552846602025709,0.6944228115912395,0.7130324346293322,0.6985829115816583,0.7839466946091346,0.7382591928580187,0.702755948895841,0.8524733915879807,0.7772745159049517,0.769191714770481,0.8799034912890212,0.7807318595977532,0.8905354851260727,0.8380601605725181,0.8956510910682293,1.0,0.7628258536163827
55 t/m 70_more than 50,0.23402295079929888,0.31199881893620657,0.30249212508240264,0.3231566419747026,0.11242740095138673,0.4783013703379282,0.4125278111368151,0.3172690574282978,0.388670724830245,0.5314481137614726,0.47239627410618584,0.5286262734860016,0.6450163351452575,0.514118919826028,0.6774789227237334,0.6057733502094746,0.5491358760198021,0.7191568556658731,0.59359839567576,0.7294710061156587,0.790936474803081,0.7160252831303113,0.7911857813281258,0.7628258536163827,1.0
