,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_5.000-9.999,18 t/m 24_less than 4.999,18 t/m 24_more than 30.000,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_5.000-9.999,25 t/m 34_less than 4.999,25 t/m 34_more than 30.000,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_5.000-9.999,35 t/m 44_less than 4.999,35 t/m 44_more than 30.000,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_5.000-9.999,45 t/m 54_less than 4.999,45 t/m 54_more than 30.000,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_5.000-9.999,55 t/m 70_less than 4.999,55 t/m 70_more than 30.000
18 t/m 24_10.000-19.999,1.0,0.515307967441391,0.5449676132377155,0.7293243541027777,0.48287872293568074,0.6892444382537438,0.7000170524446083,0.6429848335445171,0.6749586735791284,0.6494693626093868,0.7685039096246976,0.6509477595677657,0.7084252809082482,0.617316938646608,0.7028311801717328,0.667499534138895,0.6308710394514268,0.6169623125037511,0.5482943009297163,0.5541350923398068,0.6227933890758779,0.5517796792516041,0.6606415366335643,0.6093236493086843,0.5310058894447439
18 t/m 24_20.000-29.999,0.515307967441391,1.0,0.752382615756998,0.626820831978598,0.7363168924559844,0.7025063731748065,0.6795145362337484,0.4078457449056387,0.6903768903333587,0.3833146001421903,0.43634304593193474,0.36070093834883055,0.5785814309664055,0.5716369884149004,0.3793368950739956,0.3334500173464903,0.29219367428031356,0.31569126931916824,0.5616131909823849,0.3068484019563271,0.32156595145860495,0.30943898964459726,0.3344099182078187,0.4491590772531081,0.27052783606906633
18 t/m 24_5.000-9.999,0.5449676132377155,0.752382615756998,1.0,0.6321151152481479,0.6639041297076488,0.704611428539213,0.6884512542359442,0.4234892514613115,0.65190775445278,0.3713097874166089,0.4499451178338972,0.34896278677497966,0.5739974853928707,0.6264112743896929,0.39197657098454824,0.3584124191266676,0.29076169544837654,0.3511747296899167,0.5745071940091202,0.3228870692394127,0.33121775254016034,0.33805518770395687,0.3535465221854735,0.4563810459916279,0.272940576312614
18 t/m 24_less than 4.999,0.7293243541027777,0.626820831978598,0.6321151152481479,1.0,0.5682582094497605,0.7531717891392228,0.7031564038337959,0.6815091895725648,0.8252808062773261,0.5694705339797249,0.7267665067763056,0.6094787465651788,0.7740598579023077,0.720113327583895,0.5747318463336807,0.603458397716593,0.5886764414267464,0.5952252104183393,0.6462790076252379,0.45971586141396686,0.552808693280571,0.49280294922992934,0.5802222289390035,0.705503469960326,0.401676923035144
18 t/m 24_more than 30.000,0.48287872293568074,0.7363168924559844,0.6639041297076488,0.5682582094497605,1.0,0.6906969188951712,0.6882487343982955,0.32056623488191527,0.5916461994744242,0.3752714102369637,0.4042222715071873,0.3685477708602993,0.5336040445968369,0.5191089987631157,0.3651028654432232,0.3132365809886784,0.2644294661767951,0.2983169823675524,0.48750646508882406,0.34470960704233405,0.3003003238582107,0.320438327921005,0.31370003982309896,0.40726035260317683,0.2612693399034346
25 t/m 34_10.000-19.999,0.6892444382537438,0.7025063731748065,0.704611428539213,0.7531717891392228,0.6906969188951712,1.0,0.8202825186133518,0.6498316918229508,0.8399717567887576,0.48240261650212646,0.7110551676926086,0.5530901204675316,0.7957304413726798,0.764367833793617,0.5679497240212462,0.5771122575752022,0.4962474265306628,0.5728770204170258,0.6790478025872164,0.5469322774820634,0.5625738292965925,0.5543541909042292,0.5846576451796334,0.6565813094948812,0.45354617411675724
25 t/m 34_20.000-29.999,0.7000170524446083,0.6795145362337484,0.6884512542359442,0.7031564038337959,0.6882487343982955,0.8202825186133518,1.0,0.5459998155298784,0.7818705884395978,0.5121927486450061,0.6988688838026045,0.608950150845004,0.7556461803472266,0.7544395888413313,0.6320634080403527,0.5973241388383578,0.5375488405471228,0.5560275868757162,0.646931048938078,0.6002653507537719,0.6072339114572146,0.5924790775779393,0.6139375203149293,0.651761522515029,0.5271408569620906
25 t/m 34_5.000-9.999,0.6429848335445171,0.4078457449056387,0.4234892514613115,0.6815091895725648,0.32056623488191527,0.6498316918229508,0.5459998155298784,1.0,0.7105268650741708,0.5038439531735213,0.7870828330530174,0.5736316722128261,0.6944965268901074,0.7070473045494134,0.5801261584465855,0.7332384107389557,0.6542613505709349,0.7345198050671171,0.6548440749482777,0.47078912879588003,0.635484231033588,0.5779283421305715,0.6502684310213632,0.7248459521554462,0.5035007744743639
25 t/m 34_less than 4.999,0.6749586735791284,0.6903768903333587,0.65190775445278,0.8252808062773261,0.5916461994744242,0.8399717567887576,0.7818705884395978,0.7105268650741708,1.0,0.4488387362574237,0.7230246908622755,0.5224363719183058,0.8117219449134856,0.8029452603622679,0.5298880896947651,0.5953550807505246,0.5357755147612723,0.6045482294529976,0.8105001985627235,0.473697515624163,0.5717079142961723,0.5283240460588605,0.603179798896666,0.790705092090243,0.4335893258215053
25 t/m 34_more than 30.000,0.6494693626093868,0.3833146001421903,0.3713097874166089,0.5694705339797249,0.3752714102369637,0.48240261650212646,0.5121927486450061,0.5038439531735213,0.4488387362574237,1.0,0.6442900920972011,0.6322546011744256,0.5298153677545715,0.42232790568567274,0.6586250009327491,0.5598580656613558,0.6200133378351849,0.47108020776002857,0.3520423140579351,0.47198372497807944,0.4804660528539139,0.4332725526716125,0.43817269146685967,0.48047474802622486,0.45347159814458854
