,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_5.000-9.999,18 t/m 24_less than 4.999,18 t/m 24_more than 30.000,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_5.000-9.999,25 t/m 34_less than 4.999,25 t/m 34_more than 30.000,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_5.000-9.999,35 t/m 44_less than 4.999,35 t/m 44_more than 30.000,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_5.000-9.999,45 t/m 54_less than 4.999,45 t/m 54_more than 30.000,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_5.000-9.999,55 t/m 70_less than 4.999,55 t/m 70_more than 30.000
18 t/m 24_10.000-19.999,1.0,0.4964117094526324,0.526641838470691,0.716467326869738,0.4634709904485035,0.6749408468962957,0.6860892170671762,0.6271811084487255,0.6601719473646024,0.6338645666607818,0.7571855446892329,0.6353888449397569,0.6947974580040164,0.6007634055261888,0.6890031024621365,0.6524675184396151,0.6147058939836645,0.6003988475903815,0.5300383946515957,0.5360046625454097,0.6063947258984205,0.5335982201198783,0.6453882778576235,0.592549130201383,0.5123997029371476
18 t/m 24_20.000-29.999,0.4964117094526324,1.0,0.7404166198307103,0.610537844213148,0.723725628985224,0.6886667478092701,0.6648799909780931,0.3877462817282802,0.6761123405246414,0.3631524549413517,0.41642098846884906,0.3405593567004128,0.5610142454313912,0.5539036347259723,0.35917279143457215,0.31343958633986546,0.2726225130193998,0.29583281889583274,0.5436485813393905,0.2870862341793727,0.30165119829347686,0.28964716224982534,0.3143928043409113,0.42935167686773157,0.2513144625344745
18 t/m 24_5.000-9.999,0.526641838470691,0.7404166198307103,1.0,0.6159864698206239,0.6487556103397955,0.6908467983341894,0.6741203822503947,0.4034736806648203,0.6363787372875511,0.3511489147068956,0.43014543267094135,0.3288630082813397,0.5563200710867255,0.6101164547127532,0.3718267137813499,0.3382772819011935,0.2712113570934331,0.33106540111005656,0.5568419324428483,0.3029604836167613,0.3112234611993673,0.3180140964382995,0.33342782186854547,0.43664745905418734,0.25368273935444186
18 t/m 24_less than 4.999,0.716467326869738,0.610537844213148,0.6159864698206239,1.0,0.5504457638541266,0.7412370284734261,0.6893398973696656,0.6669418329940121,0.8163987080877473,0.5516863340869076,0.7138132414807724,0.5927084578410617,0.7629693043957247,0.706912208162485,0.5570719493308892,0.586525582119231,0.5713593768767741,0.5780757615600922,0.6305758673074044,0.4400185610864145,0.5346494563803573,0.4735388814347572,0.5626950094359214,0.6917707305993173,0.3815536465513345
18 t/m 24_more than 30.000,0.4634709904485035,0.723725628985224,0.6487556103397955,0.5504457638541266,1.0,0.6764434217778937,0.6739109055156758,0.30066063695715034,0.5744046269325379,0.3551077343419967,0.38410817600082425,0.34839025881868924,0.5150484589107962,0.5002804910058578,0.34495117823450344,0.2934034564519299,0.2453338047967447,0.27866115463938546,0.4681642881235449,0.32463040590885284,0.28061857764365006,0.30053391389577894,0.2938620517243221,0.38715840170256033,0.2422377207869003
25 t/m 34_10.000-19.999,0.6749408468962957,0.6886667478092701,0.6908467983341894,0.7412370284734261,0.6764434217778937,1.0,0.8111764886406315,0.6342381225130577,0.8317581195656542,0.46298828296693456,0.6975223804929858,0.5349369803828206,0.7855506667398445,0.7528814054110515,0.5501301148756292,0.5595095142619675,0.477035905040821,0.5551729832203196,0.6643975848930685,0.5286476246209898,0.5446309383376334,0.5362285371566639,0.5672398007623476,0.6411990138062895,0.43378283144555196
25 t/m 34_20.000-29.999,0.6860892170671762,0.6648799909780931,0.6741203822503947,0.6893398973696656,0.6739109055156758,0.8111764886406315,1.0,0.5276955948270367,0.7711042527379466,0.4932421627355125,0.6849005365701271,0.5921654536920032,0.7438096692167528,0.7425551087287993,0.6159332427402294,0.5802292955498081,0.5190714708758988,0.5379385751847724,0.6312479339075194,0.583247742993449,0.5904026163798505,0.5752588318635825,0.5972898224634112,0.6362279458902782,0.5084607484317175
25 t/m 34_5.000-9.999,0.6271811084487255,0.3877462817282802,0.4034736806648203,0.6669418329940121,0.30066063695715034,0.6342381225130577,0.5276955948270367,1.0,0.6969749410546202,0.48475314140872283,0.776535404834974,0.5559455520911569,0.6803749147598612,0.693369913414226,0.5625965914999178,0.7205296633543267,0.6388059796236923,0.7218598677789543,0.6394070140527168,0.4512221530801366,0.6194551447343207,0.5603453235498436,0.6346884095158434,0.7118207725536168,0.48440436738568354
25 t/m 34_less than 4.999,0.6601719473646024,0.6761123405246414,0.6363787372875511,0.8163987080877473,0.5744046269325379,0.8317581195656542,0.7711042527379466,0.6969749410546202,1.0,0.42902821407142744,0.7099315897262695,0.5036684827733742,0.8022365571026174,0.7930764523985853,0.5112603577401242,0.5782089981858799,0.5172627776504284,0.5876445786020398,0.8009611014948532,0.4541672470503304,0.5539762332369509,0.5096663947359005,0.5862395460452311,0.7803109886440368,0.4136454034903629
25 t/m 34_more than 30.000,0.6338645666607818,0.3631524549413517,0.3511489147068956,0.5516863340869076,0.3551077343419967,0.46298828296693456,0.4932421627355125,0.48475314140872283,0.42902821407142744,1.0,0.6285261050022977,0.6161300569953304,0.5111862387827748,0.40230496641599195,0.6433074733134352,0.5418540197248232,0.6035357066201354,0.4515168597290807,0.33192945339803875,0.45243170271456706,0.4610251464700572,0.4133261787047228,0.41826570785142575,0.46103395995937496,0.4337074862915691
