,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_5.000-9.999,18 t/m 24_less than 4.999,18 t/m 24_more than 30.000,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_5.000-9.999,25 t/m 34_less than 4.999,25 t/m 34_more than 30.000,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_5.000-9.999,35 t/m 44_less than 4.999,35 t/m 44_more than 30.000,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_5.000-9.999,45 t/m 54_less than 4.999,45 t/m 54_more than 30.000,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_5.000-9.999,55 t/m 70_less than 4.999,55 t/m 70_more than 30.000
18 t/m 24_10.000-19.999,1.0,0.7484549063021576,0.7251904907465658,0.72901011543481,0.55577438389533,0.8228865315965868,0.7268690687577445,0.7901477381694453,0.7672930879025619,0.7399885816988382,0.7394520567447019,0.7862330223440199,0.7406865086871579,0.6082993964285192,0.6761803049876632,0.5378278345221713,0.7198582057562678,0.5836744661910638,0.7083431472212014,0.6667609507474365,0.4690191560853066,0.4856991109270284,0.511841869826305,0.5787615028176787,0.4977923632973964
18 t/m 24_20.000-29.999,0.7484549063021576,1.0,0.6265388984134893,0.6335442311494048,0.4999854874408274,0.647014222963571,0.6492106794932586,0.5910042043132385,0.6473561718738805,0.6774943009538926,0.6229360761817002,0.6335033869218613,0.5387021411884627,0.4664170720018541,0.6001194283529858,0.4474487486514804,0.5521718413166544,0.4603766179961621,0.5359518756871098,0.6088961987796744,0.35794094986258246,0.3742785300932148,0.39055888539923544,0.42488872173934705,0.41194529906488364
18 t/m 24_5.000-9.999,0.7251904907465658,0.6265388984134893,1.0,0.6617771756994261,0.5161031241863007,0.6234872330587897,0.6504327558804549,0.585758324116361,0.5951823950547754,0.6638848886279886,0.5443930297000632,0.6243882507467112,0.6179948625009359,0.5136445331497219,0.6226146938650542,0.41979167100461773,0.5533053006729148,0.42844619959955627,0.49407581743721557,0.5896446576846898,0.362906728148271,0.4377645596182269,0.3969652215523813,0.471993576852112,0.45599740819863954
18 t/m 24_less than 4.999,0.72901011543481,0.6335442311494048,0.6617771756994261,1.0,0.47845649834596665,0.6337889875334499,0.6195478463360876,0.6832060779768356,0.7206709571279487,0.5616519684863752,0.5903885612989812,0.6796137927741995,0.6121013251753952,0.6423032558830286,0.5577626697050062,0.40395187336801847,0.5004964871223438,0.4609157217235567,0.6155306042387136,0.4958658048339005,0.3372744891150875,0.35651862576740817,0.38262001635178533,0.4673039900612487,0.3627412000387386
18 t/m 24_more than 30.000,0.55577438389533,0.4999854874408274,0.5161031241863007,0.47845649834596665,1.0,0.5917646756682692,0.614632380715906,0.4298377866332651,0.54206601727267,0.5732424173744822,0.4717935482089635,0.46217579726931013,0.4554438264370597,0.29992234015583136,0.569158636638774,0.32191797170173814,0.4633744766094392,0.3865904988859299,0.3586442084089732,0.5162848347760722,0.2721010298042743,0.28352152399476543,0.2836852523487386,0.26393340890435124,0.33143582318131337
25 t/m 34_10.000-19.999,0.8228865315965868,0.647014222963571,0.6234872330587897,0.6337889875334499,0.5917646756682692,1.0,0.7763524131684407,0.7859831773804339,0.7888061493937847,0.6878194600325276,0.8615951292098755,0.756932061429007,0.783609568994063,0.5766236652782314,0.7284483231255664,0.6860384568202733,0.8036452819692871,0.7652024912671166,0.7343756890442887,0.7712492693297901,0.6416638768567319,0.5771605346470257,0.6254180585445179,0.5811688896065246,0.5883408667752837
25 t/m 34_20.000-29.999,0.7268690687577445,0.6492106794932586,0.6504327558804549,0.6195478463360876,0.614632380715906,0.7763524131684407,1.0,0.6086055117961083,0.7175186037845149,0.705626345611148,0.7641443895347042,0.6622229088831704,0.650829042499929,0.4635577855303379,0.7363751576695667,0.6118342143252554,0.7344672636710037,0.617320716709878,0.5465836057780137,0.7733346401530197,0.539507453665771,0.5279498322307731,0.5188759008324136,0.46002582638295464,0.5555030072627926
25 t/m 34_5.000-9.999,0.7901477381694453,0.5910042043132385,0.585758324116361,0.6832060779768356,0.4298377866332651,0.7859831773804339,0.6086055117961083,1.0,0.7461628892024111,0.6034056123491935,0.750271122888913,0.7338175612672476,0.7470496862236563,0.6986297396528692,0.6176014771596511,0.574329950092824,0.6618579275791481,0.6159698663299773,0.7874978271039585,0.5898915741171454,0.5022456141939127,0.5105413200941541,0.5487191576756364,0.6375006929904923,0.5191398807558835
25 t/m 34_less than 4.999,0.7672930879025619,0.6473561718738805,0.5951823950547754,0.7206709571279487,0.54206601727267,0.7888061493937847,0.7175186037845149,0.7461628892024111,1.0,0.6542467057093944,0.8148425301399553,0.6550593190021203,0.7468637437406613,0.6234684142308796,0.6836896590233064,0.6422674179882192,0.711213798357082,0.7152865754058877,0.7791984710296542,0.6868227503462916,0.5587179158071487,0.49971871208491037,0.6177444457476986,0.6154978714541544,0.5726349084337194
25 t/m 34_more than 30.000,0.7399885816988382,0.6774943009538926,0.6638848886279886,0.5616519684863752,0.5732424173744822,0.6878194600325276,0.705626345611148,0.6034056123491935,0.6542467057093944,1.0,0.5875473479787897,0.6967847765604824,0.5430882618915107,0.3828758681678242,0.8368725095889551,0.4544443266504006,0.6126652407771396,0.45728802797859996,0.48744602130188375,0.6166085244803553,0.3889776477645942,0.41301399561432073,0.4026663160116709,0.4455820451487521,0.442795207317559
35 t/m 44_10.000-19.999,0.7394520567447019,0.6229360761817002,0.5443930297000632,0.5903885612989812,0.4717935482089635,0.8615951292098755,0.7641443895347042,0.750271122888913,0.8148425301399553,0.5875473479787897,1.0,0.6753035966716091,0.8113803416715368,0.568542460117671,0.6376964169758337,0.8583965348805417,0.8377327629825317,0.8547017914451437,0.7981941769793142,0.7889715235240606,0.7925783793277714,0.7372987208779193,0.7999875302209467,0.6837846404270876,0.7141705255074947
35 t/m 44_20.000-29.999,0.7862330223440199,0.6335033869218613,0.6243882507467112,0.6796137927741995,0.46217579726931013,0.756932061429007,0.6622229088831704,0.7338175612672476,0.6550593190021203,0.6967847765604824,0.6753035966716091,1.0,0.64694323887067,0.6219604192466238,0.6950394937083452,0.5007073800599514,0.6458383760024964,0.5261415444245626,0.6368437878235651,0.6348698067443705,0.4452730899676271,0.47890834109533925,0.44127300557962623,0.51447395734341,0.4159745047006759
35 t/m 44_5.000-9.999,0.7406865086871579,0.5387021411884627,0.6179948625009359,0.6121013251753952,0.4554438264370597,0.783609568994063,0.650829042499929,0.7470496862236563,0.7468637437406613,0.5430882618915107,0.8113803416715368,0.64694323887067,1.0,0.6357088088084232,0.5531939414127612,0.7432613387045385,0.7326578637871765,0.7677952945948492,0.8173638338800111,0.7088116532408436,0.6931339189043011,0.6659001321597549,0.7501748718246901,0.7609621099069169,0.6685165964444899
35 t/m 44_less than 4.999,0.6082993964285192,0.4664170720018541,0.5136445331497219,0.6423032558830286,0.29992234015583136,0.5766236652782314,0.4635577855303379,0.6986297396528692,0.6234684142308796,0.3828758681678242,0.568542460117671,0.6219604192466238,0.6357088088084232,1.0,0.4070483345140701,0.4193693271713352,0.49691152173713377,0.4710272704507327,0.6773493018191677,0.4603409522443257,0.36519124597194397,0.3904630749393874,0.4233931199251687,0.5757374141754427,0.3728358410753866
