,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_5.000-9.999,18 t/m 24_less than 4.999,18 t/m 24_more than 30.000,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_5.000-9.999,25 t/m 34_less than 4.999,25 t/m 34_more than 30.000,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_5.000-9.999,35 t/m 44_less than 4.999,35 t/m 44_more than 30.000,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_5.000-9.999,45 t/m 54_less than 4.999,45 t/m 54_more than 30.000,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_5.000-9.999,55 t/m 70_less than 4.999,55 t/m 70_more than 30.000
18 t/m 24_10.000-19.999,1.0,0.7403058850802076,0.7164394965804409,0.7203559947613684,0.5435755945299501,0.8168479396916523,0.71816055100659,0.7831471701502188,0.7596521009317414,0.7316172011182638,0.731066710978556,0.7791209150584498,0.7323333169854522,0.5969811623374642,0.666256896532857,0.5253709896742589,0.7109732782177471,0.5719207469031874,0.6991742237275699,0.6566276525884095,0.45579239530232024,0.47262558658448023,0.4990522285908425,0.5669256247953796,0.48484364899218396
18 t/m 24_20.000-29.999,0.7403058850802076,1.0,0.6155680427719844,0.6227122636226006,0.4870606172281978,0.6364576741909292,0.638700072786305,0.5793760087470968,0.6368067565790775,0.6676005765083569,0.6118949637615811,0.6226706009318372,0.5262573424567424,0.45316842510837035,0.5886522036543171,0.4340574612483872,0.5399194451705772,0.4470793020256905,0.5234693678812937,0.5975890012414393,0.34431259259300173,0.360635777298853,0.3769285993706208,0.41136772278012423,0.3983702674444872
18 t/m 24_5.000-9.999,0.7164394965804409,0.6155680427719844,1.0,0.6515348992283354,0.5033646624408683,0.6124568165785836,0.6399478348485043,0.5740399335037644,0.583627318480103,0.6536885245110405,0.5320279640407922,0.6133753601339806,0.6068587000888662,0.5008763777784205,0.611567353257231,0.40624758285900553,0.5410696738039132,0.4149426927629905,0.48108753944918425,0.5779929143069146,0.3492710756053301,0.42431216578628034,0.38334694095318717,0.45879250752681666,0.44266669301884226
18 t/m 24_less than 4.999,0.7203559947613684,0.6227122636226006,0.6515348992283354,1.0,0.46531370913145004,0.6229619267203733,0.6084413940035608,0.6734425281750518,0.7118063452895391,0.5495425590655664,0.5787496876760561,0.6697681564404534,0.6008537839766456,0.6316491415736787,0.5455938504401164,0.39035114664308906,0.4875772254422189,0.4476226273196192,0.6043476067302589,0.4828964489993285,0.3237048081627392,0.3428928352546383,0.36898037750439977,0.45406274105127375,0.34910574917331566
18 t/m 24_more than 30.000,0.5435755945299501,0.4870606172281978,0.5033646624408683,0.46531370913145004,1.0,0.5801497041724536,0.6034324061629975,0.4163414279439781,0.5296680718354911,0.561316155667288,0.4585907286877665,0.4488926637602571,0.4421090028866944,0.2865817177559129,0.5571668088950814,0.3084226122126903,0.45010094009284213,0.3729547667868794,0.34501466083363075,0.503548585440385,0.2590433361258821,0.2703354044460684,0.27049741831903595,0.2509784964621179,0.3178912353889048
25 t/m 34_10.000-19.999,0.8168479396916523,0.6364576741909292,0.6124568165785836,0.6229619267203733,0.5801497041724536,1.0,0.7689621610160545,0.7788639771092966,0.7817672713447343,0.6781623999157332,0.8567592019731172,0.7490094055010381,0.7764231371071583,0.5647525359298289,0.7197799055200007,0.6763401440053856,0.7970350475790018,0.757504230847818,0.7258589590759399,0.7637172695775375,0.6309966232948789,0.5652982292893851,0.614425260249088,0.5693730706024039,0.5766666544661514
25 t/m 34_20.000-29.999,0.71816055100659,0.638700072786305,0.6399478348485043,0.6084413940035608,0.6034324061629975,0.7689621610160545,1.0,0.5972929358253167,0.7085753935969319,0.696391469768043,0.7564172260976912,0.6519903202470521,0.640352469671348,0.45028572705963427,0.7279100151857284,0.6005816767294816,0.7259528917766923,0.6061717039897564,0.534249840431185,0.7658604068138534,0.5270737985464583,0.5153606917248417,0.5061714646091628,0.4467257763722641,0.5433001484823352
25 t/m 34_5.000-9.999,0.7831471701502188,0.5793760087470968,0.5740399335037644,0.6734425281750518,0.4163414279439781,0.7788639771092966,0.5972929358253167,1.0,0.7379533021353442,0.5919977302660285,0.7421702879910157,0.7252864689120199,0.7388635001563744,0.689226883264993,0.6064578127447291,0.5624213376333884,0.6516174053589029,0.6047951895554531,0.780421674372664,0.5782440984700268,0.4893457009877751,0.49773632834343046,0.5364162303375579,0.6267484877145988,0.5064387134984769
25 t/m 34_less than 4.999,0.7596521009317414,0.6368067565790775,0.583627318480103,0.7118063452895391,0.5296680718354911,0.7817672713447343,0.7085753935969319,0.7379533021353442,1.0,0.6438425153909718,0.8085628040839786,0.6446724404817252,0.7386726475970637,0.6124376322364956,0.6739372152612859,0.63161256655989,0.7021150001899247,0.7062880376987632,0.7718878388924479,0.6771425818257816,0.5465635920242871,0.48679092177497246,0.6066035066805378,0.6043142543871016,0.5606988221196605
25 t/m 34_more than 30.000,0.7316172011182638,0.6676005765083569,0.6536885245110405,0.5495425590655664,0.561316155667288,0.6781623999157332,0.696391469768043,0.5919977302660285,0.6438425153909718,1.0,0.5758595148754856,0.6873380752545836,0.5307047133280084,0.3692364342686295,0.8312604441211261,0.4411021502640613,0.6014282625386613,0.4439669903396269,0.47438982265984975,0.6054459670167183,0.37534500799576437,0.3994428475043354,0.3890620133285324,0.4321783535404013,0.429373551051491
35 t/m 44_10.000-19.999,0.731066710978556,0.6118949637615811,0.5320279640407922,0.5787496876760561,0.4585907286877665,0.8567592019731172,0.7564172260976912,0.7421702879910157,0.8085628040839786,0.5758595148754856,1.0,0.6653604376735185,0.8049977793644413,0.5565408369833899,0.6269481821125111,0.8534586172241084,0.8321472311203881,0.8496466416193563,0.7914252334871014,0.7819373630634004,0.7856474453983741,0.7288574779584303,0.7932706409778395,0.6740343795846797,0.7051444242343748
35 t/m 44_20.000-29.999,0.7791209150584498,0.6226706009318372,0.6133753601339806,0.6697681564404534,0.4488926637602571,0.7490094055010381,0.6519903202470521,0.7252864689120199,0.6446724404817252,0.6873380752545836,0.6653604376735185,1.0,0.636385210155499,0.6109004189546813,0.6855514902595795,0.4877904388689716,0.6352573508241951,0.513528947909983,0.6260782736561833,0.6240644570217454,0.43186737401257413,0.46576975143740684,0.42784181817851064,0.5017157691484057,0.4024146615419364
35 t/m 44_5.000-9.999,0.7323333169854522,0.5262573424567424,0.6068587000888662,0.6008537839766456,0.4421090028866944,0.7764231371071583,0.640352469671348,0.7388635001563744,0.7386726475970637,0.5307047133280084,0.8049977793644413,0.636385210155499,1.0,0.6249203615447593,0.540956663061776,0.7349754707559158,0.7240969813801628,0.7601680989112788,0.8111593576009074,0.6996541438857071,0.6836010135772778,0.6557479077460339,0.7420714789921085,0.7531483626070503,0.6584220314778035
35 t/m 44_less than 4.999,0.5969811623374642,0.45316842510837035,0.5008763777784205,0.6316491415736787,0.2865817177559129,0.5647525359298289,0.45028572705963427,0.689226883264993,0.6124376322364956,0.3692364342686295,0.5565408369833899,0.6109004189546813,0.6249203615447593,1.0,0.39345685649414636,0.4058234308272127,0.4839533345226652,0.4578177761291188,0.6674522969136103,0.4470433578330658,0.3515531004725479,0.37683263938838474,0.4098651041877403,0.5638517604023942,0.35919325799519236
35 t/m 44_more than 30.000,0.666256896532857,0.5886522036543171,0.611567353257231,0.5455938504401164,0.5571668088950814,0.7197799055200007,0.7279100151857284,0.6064578127447291,0.6739372152612859,0.8312604441211261,0.6269481821125111,0.6855514902595795,0.540956663061776,0.39345685649414636,1.0,0.49582128724509206,0.6071936113868931,0.5337082810999914,0.5030314637939743,0.5935909324937954,0.4231044423970431,0.4072036549424711,0.4355969116857153,0.43280904042355195,0.4312900809159984
45 t/m 54_10.000-19.999,0.5253709896742589,0.4340574612483872,0.40624758285900553,0.39035114664308906,0.3084226122126903,0.6763401440053856,0.6005816767294816,0.5624213376333884,0.63161256655989,0.4411021502640613,0.8534586172241084,0.4877904388689716,0.7349754707559158,0.4058234308272127,0.49582128724509206,1.0,0.7683077260467198,0.8209763359022325,0.6969075849119433,0.7390973613000386,0.881736257142994,0.7940232551023829,0.9033442404045469,0.667121117607494,0.7349063776825658
45 t/m 54_20.000-29.999,0.7109732782177471,0.5399194451705772,0.5410696738039132,0.4875772254422189,0.45010094009284213,0.7970350475790018,0.7259528917766923,0.6516174053589029,0.7021150001899247,0.6014282625386613,0.8321472311203881,0.6352573508241951,0.7240969813801628,0.4839533345226652,0.6071936113868931,0.7683077260467198,1.0,0.7240671441600383,0.6806319470330422,0.788365031979482,0.7388823903910909,0.7429570923533161,0.7138073813210221,0.6128753254817705,0.6237540720260016
45 t/m 54_5.000-9.999,0.5719207469031874,0.4470793020256905,0.4149426927629905,0.4476226273196192,0.3729547667868794,0.757504230847818,0.6061717039897564,0.6047951895554531,0.7062880376987632,0.4439669903396269,0.8496466416193563,0.513528947909983,0.7601680989112788,0.4578177761291188,0.5337082810999914,0.8209763359022325,0.7240671441600383,1.0,0.7529559732492237,0.6409105582343094,0.8091085379921589,0.6032769888780114,0.82559122600727,0.6936340189430966,0.5777544224702873
45 t/m 54_less than 4.999,0.6991742237275699,0.5234693678812937,0.48108753944918425,0.6043476067302589,0.34501466083363075,0.7258589590759399,0.534249840431185,0.780421674372664,0.7718878388924479,0.47438982265984975,0.7914252334871014,0.6260782736561833,0.8111593576009074,0.6674522969136103,0.5030314637939743,0.6969075849119433,0.6806319470330422,0.7529559732492237,1.0,0.6032377698642992,0.6347542729897804,0.5612473222582748,0.7277597262658025,0.7738074172354571,0.5260062373885421
