,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_Less than 10 km,18 t/m 24_more than 50,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_Less than 10 km,25 t/m 34_more than 50,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_Less than 10 km,35 t/m 44_more than 50,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_Less than 10 km,45 t/m 54_more than 50,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_Less than 10 km,55 t/m 70_more than 50
18 t/m 24_10-19 km,1.0,0.581133314439068,0.6359445220384167,0.5822900702718942,0.4655280353162578,0.6294998654607232,0.5650277694071676,0.49251749688335594,0.6510999586632015,0.46142906171592457,0.46686063990323007,0.545319323072419,0.5534861656631396,0.537510637530001,0.5088447728566344,0.5074056591872642,0.4299781036425422,0.4703057079900867,0.5062495970062227,0.5398397980492594,0.4651003178947891,0.4215197317684539,0.5113299993865104,0.4515518956709974,0.509230131449473
18 t/m 24_20-29 km,0.581133314439068,1.0,0.6663279599291037,0.6231373340252705,0.37904716997801796,0.5406700219968981,0.4703851067451874,0.47357800341440304,0.6758818940875095,0.45051450504371016,0.46014343837454336,0.46456290571504416,0.4565007684044861,0.5776891378938662,0.5789086879671576,0.5584541346742139,0.387755235718356,0.4074038187274411,0.46074227023827186,0.5276214249705403,0.4292149638325117,0.49915228031988174,0.49160344556996904,0.4478248414744794,0.4779106327874215
18 t/m 24_30-49 km,0.6359445220384167,0.6663279599291037,1.0,0.7279273020855433,0.4901811021563173,0.6971413913148108,0.4800757054377981,0.5633440533946026,0.6742085281239812,0.6233241627887307,0.5468484616013716,0.5774554704873122,0.5132574955784238,0.6444853928618343,0.5046055783502073,0.5895271105124195,0.4199485781308659,0.49237017710039227,0.5461859638135783,0.4997765605015651,0.48944121584734096,0.5016273993880659,0.5862080272242265,0.5454110250265911,0.5973182032343473
18 t/m 24_Less than 10 km,0.5822900702718942,0.6231373340252705,0.7279273020855433,1.0,0.46008805659190743,0.7352231762224677,0.5244430929757077,0.49926392982814255,0.7531880781588243,0.6073076678713308,0.6599466032573323,0.6288900483555234,0.6020534088681979,0.8302603417565028,0.5746420187364916,0.706946872322917,0.5296560192949793,0.5422600968946059,0.738139379424842,0.5439638903842964,0.5888390732659509,0.6335262828933025,0.6407266773480244,0.7559050895042959,0.6965118832730097
18 t/m 24_more than 50,0.4655280353162578,0.37904716997801796,0.4901811021563173,0.46008805659190743,1.0,0.5165105929761279,0.37024673113372036,0.5021970505175536,0.41483076837447047,0.4829319273439147,0.3193728081658104,0.4105666831254205,0.40209125990837175,0.36621184290658504,0.32632581276702566,0.3796387081918499,0.24883487552247227,0.3202783368687886,0.32664819500315745,0.3850350051366192,0.27153466643623253,0.24556859204508955,0.29146673495728537,0.31612517725703565,0.37284095811243473
25 t/m 34_10-19 km,0.6294998654607232,0.5406700219968981,0.6971413913148108,0.7352231762224677,0.5165105929761279,1.0,0.5699227223864912,0.6447766000365261,0.7163445614086867,0.6770871369588085,0.6650919706141384,0.703210790187889,0.7385367214794969,0.7567163326734987,0.5958652214259018,0.7150491705656081,0.48164652964500915,0.6695586400024621,0.7276344861318153,0.5978569300656682,0.6384666403446072,0.6343177833144773,0.6838636975271408,0.689537589469284,0.7111289956764374
25 t/m 34_20-29 km,0.5650277694071676,0.4703851067451874,0.4800757054377981,0.5244430929757077,0.37024673113372036,0.5699227223864912,1.0,0.4241242638188635,0.631802063938922,0.3765729551965852,0.5058988658704431,0.543842371706215,0.6795216097716981,0.4935190873010881,0.6049283787375943,0.5853837606367212,0.5249465952782798,0.5791747536761338,0.5485691971993574,0.5900890757023234,0.5741050420552104,0.4732989865760468,0.4897030690530163,0.4999699880242204,0.5083141354474736
25 t/m 34_30-49 km,0.49251749688335594,0.47357800341440304,0.5633440533946026,0.49926392982814255,0.5021970505175536,0.6447766000365261,0.4241242638188635,1.0,0.5366763119238055,0.5604290663252508,0.4788716875536897,0.547697393281834,0.5630679628636547,0.49236262824530225,0.47144227340536954,0.5061325572743217,0.32761800319645096,0.5541167774932666,0.41038618177542746,0.5003614387682119,0.38433768554303654,0.4127546022656656,0.4993161517726318,0.3735015220528654,0.49363046424453905
25 t/m 34_Less than 10 km,0.6510999586632015,0.6758818940875095,0.6742085281239812,0.7531880781588243,0.41483076837447047,0.7163445614086867,0.631802063938922,0.5366763119238055,1.0,0.540810971842172,0.7912777442314834,0.7359007276698413,0.7909289378314873,0.8334738645516712,0.7653874489360253,0.8307622160254978,0.6830130939709194,0.7159528543817654,0.7999652514095474,0.7815951384024581,0.7301680722597531,0.756995920112699,0.7483512116278479,0.74486460819533,0.7667650217873391
25 t/m 34_more than 50,0.46142906171592457,0.45051450504371016,0.6233241627887307,0.6073076678713308,0.4829319273439147,0.6770871369588085,0.3765729551965852,0.5604290663252508,0.540810971842172,1.0,0.5048756449956164,0.5972398771028596,0.515334488282967,0.5308111702831698,0.4323517821808606,0.5391139769653319,0.3191388823864183,0.4752870420068664,0.4841736093119545,0.483532062384717,0.3661665736309452,0.42900787926714445,0.48365470393860605,0.49934789203316243,0.5756526310782385
35 t/m 44_10-19 km,0.46686063990323007,0.46014343837454336,0.5468484616013716,0.6599466032573323,0.3193728081658104,0.6650919706141384,0.5058988658704431,0.4788716875536897,0.7912777442314834,0.5048756449956164,1.0,0.7005566739802193,0.7648346938226598,0.8055589407309842,0.7009018802564534,0.8218740743795241,0.7209039721033087,0.7766267679407005,0.8323698411750845,0.7029724350225267,0.7900703867306764,0.7995928546961939,0.7574426294401604,0.7691459213205294,0.8002751195292559
35 t/m 44_20-29 km,0.545319323072419,0.46456290571504416,0.5774554704873122,0.6288900483555234,0.4105666831254205,0.703210790187889,0.543842371706215,0.547697393281834,0.7359007276698413,0.5972398771028596,0.7005566739802193,1.0,0.737106224028631,0.7212284768194728,0.6495448171270152,0.7146830041935089,0.6007422261685111,0.7317126378351494,0.7108045963593334,0.6590716614450415,0.6662325184993719,0.6829947794537815,0.7308663401407905,0.7131182419364501,0.6976779055887586
35 t/m 44_30-49 km,0.5534861656631396,0.4565007684044861,0.5132574955784238,0.6020534088681979,0.40209125990837175,0.7385367214794969,0.6795216097716981,0.5630679628636547,0.7909289378314873,0.515334488282967,0.7648346938226598,0.737106224028631,1.0,0.6813098873775367,0.747186560284074,0.756636284070688,0.6321256681896802,0.8042113898929754,0.7278034883440987,0.7774727861270834,0.7585053095234762,0.6896124061571772,0.6739374680731705,0.6484479929113537,0.7491463389369309
35 t/m 44_Less than 10 km,0.537510637530001,0.5776891378938662,0.6444853928618343,0.8302603417565028,0.36621184290658504,0.7567163326734987,0.4935190873010881,0.49236262824530225,0.8334738645516712,0.5308111702831698,0.8055589407309842,0.7212284768194728,0.6813098873775367,1.0,0.636117183217165,0.8172306579742993,0.605336805756804,0.6666385474369306,0.8561484362224189,0.6084662265412286,0.7172036917180105,0.789510258691229,0.7689812399757412,0.8582347087212188,0.7440865685040995
35 t/m 44_more than 50,0.5088447728566344,0.5789086879671576,0.5046055783502073,0.5746420187364916,0.32632581276702566,0.5958652214259018,0.6049283787375943,0.47144227340536954,0.7653874489360253,0.4323517821808606,0.7009018802564534,0.6495448171270152,0.747186560284074,0.636117183217165,1.0,0.6936495169447737,0.5667519576293499,0.6528290015671826,0.6151350187267395,0.7551914572231622,0.6516515613124053,0.7419006255775472,0.6569125611850264,0.5858769058839666,0.6836419830763993
45 t/m 54_10-19 km,0.5074056591872642,0.5584541346742139,0.5895271105124195,0.706946872322917,0.3796387081918499,0.7150491705656081,0.5853837606367212,0.5061325572743217,0.8307622160254978,0.5391139769653319,0.8218740743795241,0.7146830041935089,0.756636284070688,0.8172306579742993,0.6936495169447737,1.0,0.707095667058651,0.7612119622116144,0.8456871298154274,0.6950119473316911,0.79289115983706,0.7882016376079144,0.7828070531943635,0.8211819430594135,0.7877795861876679
45 t/m 54_20-29 km,0.4299781036425422,0.387755235718356,0.4199485781308659,0.5296560192949793,0.24883487552247227,0.48164652964500915,0.5249465952782798,0.32761800319645096,0.6830130939709194,0.3191388823864183,0.7209039721033087,0.6007422261685111,0.6321256681896802,0.605336805756804,0.5667519576293499,0.707095667058651,1.0,0.6642098434100155,0.6969761026464043,0.6130824216380717,0.7656606747435402,0.6898084781672678,0.6470848185709968,0.6746576311653542,0.6410281664585045
45 t/m 54_30-49 km,0.4703057079900867,0.4074038187274411,0.49237017710039227,0.5422600968946059,0.3202783368687886,0.6695586400024621,0.5791747536761338,0.5541167774932666,0.7159528543817654,0.4752870420068664,0.7766267679407005,0.7317126378351494,0.8042113898929754,0.6666385474369306,0.6528290015671826,0.7612119622116144,0.6642098434100155,1.0,0.715195447236823,0.6149881458709583,0.7209258598236578,0.6972987049802768,0.7180692581704463,0.6550679987194653,0.7089269294669127
45 t/m 54_Less than 10 km,0.5062495970062227,0.46074227023827186,0.5461859638135783,0.738139379424842,0.32664819500315745,0.7276344861318153,0.5485691971993574,0.41038618177542746,0.7999652514095474,0.4841736093119545,0.8323698411750845,0.7108045963593334,0.7278034883440987,0.8561484362224189,0.6151350187267395,0.8456871298154274,0.6969761026464043,0.715195447236823,1.0,0.6257064870840945,0.8035458712179888,0.7596761066038806,0.772892680383151,0.867695220355877,0.7340436035221033
45 t/m 54_more than 50,0.5398397980492594,0.5276214249705403,0.4997765605015651,0.5439638903842964,0.3850350051366192,0.5978569300656682,0.5900890757023234,0.5003614387682119,0.7815951384024581,0.483532062384717,0.7029724350225267,0.6590716614450415,0.7774727861270834,0.6084662265412286,0.7551914572231622,0.6950119473316911,0.6130824216380717,0.6149881458709583,0.6257064870840945,1.0,0.6626614693610764,0.6814611799328234,0.6180254180980118,0.579080565197348,0.6900025100008254
55 t/m 70_10-19 km,0.4651003178947891,0.4292149638325117,0.48944121584734096,0.5888390732659509,0.27153466643623253,0.6384666403446072,0.5741050420552104,0.38433768554303654,0.7301680722597531,0.3661665736309452,0.7900703867306764,0.6662325184993719,0.7585053095234762,0.7172036917180105,0.6516515613124053,0.79289115983706,0.7656606747435402,0.7209258598236578,0.8035458712179888,0.6626614693610764,1.0,0.7919205804064287,0.7346672534039624,0.77470041726674,0.7316358133715434
55 t/m 70_20-29 km,0.4215197317684539,0.49915228031988174,0.5016273993880659,0.6335262828933025,0.24556859204508955,0.6343177833144773,0.4732989865760468,0.4127546022656656,0.756995920112699,0.42900787926714445,0.7995928546961939,0.6829947794537815,0.6896124061571772,0.789510258691229,0.7419006255775472,0.7882016376079144,0.6898084781672678,0.6972987049802768,0.7596761066038806,0.6814611799328234,0.7919205804064287,1.0,0.7474101242135623,0.7905055542227812,0.7605744356018175
