,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_Less than 10 km,18 t/m 24_more than 50,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_Less than 10 km,25 t/m 34_more than 50,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_Less than 10 km,35 t/m 44_more than 50,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_Less than 10 km,45 t/m 54_more than 50,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_Less than 10 km,55 t/m 70_more than 50
18 t/m 24_10-19 km,1.0,0.570512362408463,0.626237031987429,0.571686608801964,0.45358794891415327,0.6196762163944659,0.5541716166933868,0.4808051409279162,0.6416744985939863,0.4494590030022606,0.45493056438120283,0.5341969275590728,0.5424711697312862,0.5262894889093772,0.4972949921972523,0.49584081762025695,0.41782035754116414,0.45840211544099124,0.494672758276964,0.5286476993334523,0.4531570460349445,0.4093246904791333,0.49980655651180383,0.4395147543306635,0.4976844074642006
18 t/m 24_20-29 km,0.570512362408463,1.0,0.6571981849261044,0.6132012448780219,0.36675481006747734,0.5294883617241205,0.4584821347641031,0.46170036616395316,0.6669438042329012,0.43847074419852966,0.44816423523051463,0.452615650528633,0.4444963242479419,0.5670165796059227,0.5682543221858413,0.5475065048690693,0.3754701852687247,0.3951594916715157,0.44876731121397573,0.5162808201839261,0.4170536180503955,0.48750378236035674,0.4798825315102882,0.4357642990415351,0.4660685521002256
18 t/m 24_30-49 km,0.626237031987429,0.6571981849261044,1.0,0.7201140571426055,0.4784469869129548,0.6886465523265046,0.4682518979391072,0.5524642182244637,0.6652365246488838,0.6133913434168018,0.5357458567860567,0.5667794366219479,0.5017547655689262,0.6349353225172858,0.4930118347903183,0.5790348691477641,0.4077472436859754,0.4806564378790769,0.5350747666024405,0.48813422746187546,0.47770028944629,0.4900035010026643,0.5756643947449974,0.5342898121988947,0.5869491230938999
18 t/m 24_Less than 10 km,0.571686608801964,0.6132012448780219,0.7201140571426055,1.0,0.4481084622857053,0.7275781649405124,0.5130654435004636,0.48761653246827474,0.7459679970567025,0.5971016284773321,0.6506914365585174,0.6190555257371518,0.5917608998496933,0.8250284408557594,0.5639243938674021,0.6986640972044181,0.5183394743168471,0.5310985511195114,0.730562317716917,0.5328240757264506,0.5783361255526464,0.6237749402155947,0.6311068431015923,0.7487505816119528,0.6880035927093493
18 t/m 24_more than 50,0.45358794891415327,0.36675481006747734,0.4784469869129548,0.4481084622857053,1.0,0.5050433842296461,0.3579538955926971,0.49057887316194815,0.4026103292451603,0.47113273802965505,0.3072219844760617,0.3983319696024939,0.38983267193726173,0.3539211555353896,0.31414029343492583,0.36734663117023136,0.2373461835376832,0.3081227070528804,0.3144611893427816,0.37274694985143036,0.25976745244548466,0.23412555110923555,0.27950778197232934,0.3039923059400708,0.3605475313747369
25 t/m 34_10-19 km,0.6196762163944659,0.5294883617241205,0.6886465523265046,0.7275781649405124,0.5050433842296461,1.0,0.5591364003466587,0.6352319663921038,0.7082694641713847,0.6681735624231766,0.655937742802274,0.6948466541419809,0.7309689491696649,0.749581469530347,0.5854729051124546,0.7069451909665743,0.4698361894441981,0.6604931556776661,0.7198145421148795,0.587496496304908,0.6288052256404216,0.6245807586961463,0.6750893434359022,0.6808815946905324,0.702938108129811
25 t/m 34_20-29 km,0.5541716166933868,0.4584821347641031,0.4682518979391072,0.5130654435004636,0.3579538955926971,0.5591364003466587,1.0,0.41194009466088405,0.6220196490372357,0.3642797527827048,0.49431840530233756,0.5327010010428544,0.6706577805462909,0.48181617587563325,0.5946829878986621,0.5748274659825902,0.5135747702774129,0.5685243686827816,0.537489038802889,0.5796055994790417,0.5633795330194844,0.46141910593078883,0.47796454880654066,0.48832957056092624,0.49675878516537847
25 t/m 34_30-49 km,0.4808051409279162,0.46170036616395316,0.5524642182244637,0.48761653246827474,0.49057887316194815,0.6352319663921038,0.41194009466088405,1.0,0.5254448417685603,0.5495086404324391,0.46703767676022506,0.5366058392355701,0.5521842608534693,0.48064881818438476,0.4595476077836219,0.49455450900189657,0.31542659112800575,0.543110247898631,0.3981508972098645,0.48872490582753675,0.37204896507508933,0.40052702534834883,0.4876692694915559,0.36120804291632375,0.481928607362421
25 t/m 34_Less than 10 km,0.6416744985939863,0.6669438042329012,0.6652365246488838,0.7459679970567025,0.4026103292451603,0.7082694641713847,0.6220196490372357,0.5254448417685603,1.0,0.5296310880960885,0.7850075283902193,0.7282714679976768,0.7846497289692255,0.8283304487530341,0.7584644468974857,0.8255441057746651,0.6742211364318373,0.7078690149551785,0.7939207426235796,0.7750772819254959,0.7224062273273615,0.7498678343660651,0.7410152409384938,0.7374457739924031,0.7598759937951801
25 t/m 34_more than 50,0.4494590030022606,0.43847074419852966,0.6133913434168018,0.5971016284773321,0.47113273802965505,0.6681735624231766,0.3642797527827048,0.5495086404324391,0.5296310880960885,1.0,0.49328466582317443,0.5868695412516024,0.5038543559279122,0.519508405055611,0.4202055278479188,0.527912788460889,0.3069893143619104,0.4634232688040498,0.4723853030172159,0.4717381194500893,0.3538759188951023,0.41684556466851364,0.4718618362795236,0.4877013229062206,0.5649498914510421
