,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_5.000-9.999,18 t/m 24_less than 4.999,18 t/m 24_more than 30.000,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_5.000-9.999,25 t/m 34_less than 4.999,25 t/m 34_more than 30.000,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_5.000-9.999,35 t/m 44_less than 4.999,35 t/m 44_more than 30.000,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_5.000-9.999,45 t/m 54_less than 4.999,45 t/m 54_more than 30.000,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_5.000-9.999,55 t/m 70_less than 4.999,55 t/m 70_more than 30.000
18 t/m 24_10.000-19.999,1.0,0.5097828132492279,0.5745458912246187,0.5983042151411345,0.48010447611178486,0.6400257120417446,0.6348842798694546,0.6384077516839471,0.5869885266173502,0.61087465446878,0.5146948329547306,0.4473129504087474,0.5516768234958209,0.5985476324354091,0.5226768001239959,0.4597326766412195,0.32532826002167964,0.5397763956856518,0.5039753640495692,0.5452482848566861,0.49314408466348236,0.44060982992572545,0.44938455256138726,0.48962461688111786,0.5163392359793766
18 t/m 24_20.000-29.999,0.5097828132492279,1.0,0.596034984101152,0.6612641412509881,0.5251071085340936,0.7020891332714331,0.611519461566902,0.5781112989667966,0.6644959415363513,0.5351109630845112,0.47669159005966205,0.49807438164934925,0.531260502229358,0.5772582855753865,0.6104693172202589,0.48829606795367303,0.42285922333379705,0.45988483301688704,0.5790840666688779,0.5853519742843587,0.4981130305072943,0.5557084910884443,0.44464883454540144,0.5305795674411701,0.5840620343785738
18 t/m 24_5.000-9.999,0.5745458912246187,0.596034984101152,1.0,0.5271411042802535,0.5682012461345362,0.6082793247217462,0.5413628537685017,0.6223669707266871,0.5774050424245765,0.6203408763699203,0.46257024159916477,0.4489358845008104,0.5607905274598041,0.5493760640613389,0.549359049224292,0.5386570711945061,0.3413534888295075,0.4123067295092755,0.4728589488893048,0.5871210804747012,0.4925083823958917,0.4016293600124486,0.43623759681066443,0.45134570197062,0.5523364397155955
18 t/m 24_less than 4.999,0.5983042151411345,0.6612641412509881,0.5271411042802535,1.0,0.5107987510494797,0.6608952000340755,0.6319754594931154,0.6753187912124893,0.7894781321947982,0.46300862116180264,0.5265900507546193,0.5185703355900946,0.5653598168546171,0.7646601693075292,0.5241105156336567,0.41261258588101163,0.4461610754268387,0.5990636729438062,0.7853171929972739,0.5910838794802751,0.5463986458758575,0.555740485245261,0.5015856237910409,0.7329212993871046,0.5554753383711505
18 t/m 24_more than 30.000,0.48010447611178486,0.5251071085340936,0.5682012461345362,0.5107987510494797,1.0,0.511248926045891,0.524684350963943,0.5747720556608056,0.5407599897507224,0.5709441302653041,0.4368938075244013,0.436440108812564,0.4504894293414939,0.49373250519036244,0.5452215232365948,0.46715686460762657,0.23220134699746334,0.34725364638768763,0.45306228495320844,0.5258072083033509,0.4104496870436569,0.3770455230341266,0.3918727740450059,0.39666344999811864,0.4691251634195739
25 t/m 34_10.000-19.999,0.6400257120417446,0.7020891332714331,0.6082793247217462,0.6608952000340755,0.511248926045891,1.0,0.6613705398296673,0.6756520826349217,0.7321713900312953,0.5994889535864921,0.7481240735161968,0.5927486616571513,0.7571407608565399,0.6918192946792578,0.6810795287628499,0.6207272285936033,0.489594819613411,0.6724799095371469,0.6726610151456116,0.7460850658103318,0.6745200359112009,0.6933633427752125,0.616570324606313,0.6442734823260788,0.7099822170218302
25 t/m 34_20.000-29.999,0.6348842798694546,0.611519461566902,0.5413628537685017,0.6319754594931154,0.524684350963943,0.6613705398296673,1.0,0.7081778649682618,0.6898457827143932,0.5944485968616064,0.6280051060674118,0.4632682773870722,0.5576701424486535,0.6405291217172719,0.583066632205325,0.519418081352622,0.3454212644912965,0.5985156577727129,0.5549159163844157,0.6292585382193677,0.5797411946097406,0.5269213121649005,0.5148927560466979,0.4995850700017479,0.49302087768160213
25 t/m 34_5.000-9.999,0.6384077516839471,0.5781112989667966,0.6223669707266871,0.6753187912124893,0.5747720556608056,0.6756520826349217,0.7081778649682618,1.0,0.763456428620823,0.5863161410513958,0.6695042672922383,0.4955323059624229,0.6523935551649988,0.762495841379191,0.5868512237454515,0.57418106555875,0.3653522776448613,0.6886353327924893,0.6482599831551189,0.7247871328486686,0.6173184134654508,0.5484300633441387,0.61582303350947,0.6081430995545585,0.5777280677098939
25 t/m 34_less than 4.999,0.5869885266173502,0.6644959415363513,0.5774050424245765,0.7894781321947982,0.5407599897507224,0.7321713900312953,0.6898457827143932,0.763456428620823,1.0,0.5640770550937578,0.7397676284950613,0.7054316433697438,0.7248381221457597,0.8532036490769414,0.7099837262947181,0.6593562318192919,0.5343613742763877,0.7729035194117725,0.8408403765093589,0.7775446395655969,0.7510713440697061,0.691817720115971,0.6966852571950439,0.7686888508933012,0.7160624998655748
25 t/m 34_more than 30.000,0.61087465446878,0.5351109630845112,0.6203408763699203,0.46300862116180264,0.5709441302653041,0.5994889535864921,0.5944485968616064,0.5863161410513958,0.5640770550937578,1.0,0.4979408398073886,0.5005510278557533,0.5116576779783971,0.5064447346518447,0.6055559518169171,0.5556784470435674,0.303028220580834,0.44129424344761403,0.4542465818424337,0.5755064243017105,0.4871804238888741,0.44184569458655426,0.43920745755305446,0.38962101132822624,0.49035916166473426
