,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_5.000-9.999,18 t/m 24_less than 4.999,18 t/m 24_more than 30.000,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_5.000-9.999,25 t/m 34_less than 4.999,25 t/m 34_more than 30.000,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_5.000-9.999,35 t/m 44_less than 4.999,35 t/m 44_more than 30.000,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_5.000-9.999,45 t/m 54_less than 4.999,45 t/m 54_more than 30.000,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_5.000-9.999,55 t/m 70_less than 4.999,55 t/m 70_more than 30.000
18 t/m 24_10.000-19.999,1.0,0.5065235198638116,0.5715228425083414,0.5953857714762835,0.4767626241877409,0.6373125930425154,0.6321444170927757,0.6356861739015668,0.5840191137898352,0.608015229908304,0.5114508213148675,0.4439002971781149,0.5485619539690479,0.5956303078188567,0.5194585740498835,0.4563442286422785,0.32186910548298414,0.53661730598499,0.5006985865340742,0.542109219820756,0.4898364109050117,0.437185473570139,0.4459757106328351,0.48630739030185,0.5131004404585494
18 t/m 24_20.000-29.999,0.5065235198638116,1.0,0.5931061538510792,0.6586656507933799,0.5218969655381742,0.6997291526140359,0.6086631315701847,0.5751033585684896,0.6619154714597492,0.5319352183463267,0.4733413470349935,0.49478049292487986,0.5280713043576327,0.5742467113768204,0.6076079506939173,0.4849752980094868,0.4194086126474432,0.4564967015840837,0.5760802849033673,0.5823753616585889,0.4948192516908979,0.5526091615864805,0.4412314144689529,0.5273880181362144,0.5810797776557414
18 t/m 24_5.000-9.999,0.5715228425083414,0.5931061538510792,1.0,0.5239378088522312,0.5651518360841424,0.605407510538917,0.5382095154768264,0.6195636698485742,0.5743940925460826,0.6175275324124431,0.45918777613151035,0.4455262093783765,0.5577111846289184,0.5462524523320423,0.5462353731861682,0.5354939503866014,0.3378785657403388,0.4088438589736123,0.4694995607681057,0.5841522527121167,0.4891989653712504,0.39815670467182174,0.4328061299655847,0.44794055206673,0.5492240934632958
18 t/m 24_less than 4.999,0.5953857714762835,0.6586656507933799,0.5239378088522312,1.0,0.5075425814112968,0.6582946619776133,0.6292206423983658,0.6727997604675952,0.7877035898111837,0.45962709477857,0.5233848927563809,0.5153386971477252,0.5622988200689848,0.7627094652905063,0.5208970449990984,0.4091500347816244,0.4427463425491943,0.5961487238209782,0.7835125872432538,0.5881326745478378,0.5432638575702813,0.5526412801850716,0.4983018367757757,0.7307565956673133,0.5523751025496638
18 t/m 24_more than 30.000,0.4767626241877409,0.5218969655381742,0.5651518360841424,0.5075425814112968,1.0,0.5079941467513465,0.521472794165855,0.5717499590409071,0.5376044606480331,0.5679060339493387,0.4334633813162707,0.43300896211314305,0.4470826574173726,0.490426452010455,0.5420823589840467,0.46378441997344505,0.2289960683785428,0.34377473827167837,0.4496604333734095,0.5225994137563469,0.40698492348842574,0.3735607428095573,0.38839354076703414,0.39318716098876927,0.4657571511117452
25 t/m 34_10.000-19.999,0.6373125930425154,0.6997291526140359,0.605407510538917,0.6582946619776133,0.5079941467513465,1.0,0.6587726402431029,0.6731349704183494,0.730001787121156,0.5965759653572752,0.746060265286147,0.5898049360000518,0.7551381958686953,0.6893971216020588,0.6785938795825357,0.6179157948538843,0.4862775131844663,0.6699446012287028,0.6701267418381764,0.7440075521572502,0.6719964136955314,0.6909504274652486,0.6137384592153208,0.641582756915472,0.7076710145465848
25 t/m 34_20.000-29.999,0.6321444170927757,0.6086631315701847,0.5382095154768264,0.6292206423983658,0.521472794165855,0.6587726402431029,1.0,0.7058554373951648,0.6874118249577462,0.59151255454628,0.6252300841646229,0.4598873090996409,0.5545784753302764,0.6378186425589047,0.5800800387438141,0.5161891864244761,0.341943491120013,0.5955981861068674,0.5518135097727134,0.6264898690611441,0.5767402309433631,0.5237172731758528,0.5116493695748321,0.4962954986022773,0.48971286544509396
25 t/m 34_5.000-9.999,0.6356861739015668,0.5751033585684896,0.6195636698485742,0.6727997604675952,0.5717499590409071,0.6731349704183494,0.7058554373951648,1.0,0.7614973746346201,0.5833437648644377,0.6669520204343388,0.49223125116162225,0.6497463819384899,0.7605301371527093,0.5838812051936275,0.571156482810443,0.3618670285523788,0.686194173665135,0.6455905177944099,0.7225696824739414,0.6144902052848892,0.5453028837829148,0.6129875234769674,0.605270637979757,0.5747184932732897
25 t/m 34_less than 4.999,0.5840191137898352,0.6619154714597492,0.5743940925460826,0.7877035898111837,0.5376044606480331,0.730001787121156,0.6874118249577462,0.7614973746346201,1.0,0.5610108721623466,0.7376479911629755,0.7030922157642474,0.7226209997012177,0.8519151746244821,0.7076725332272481,0.6567471738695789,0.5311829897409027,0.7710104835574081,0.8394539206851205,0.7756844431138565,0.7490274403471534,0.6893955376148743,0.6942923708783421,0.7667662245349159,0.7137894463474602
25 t/m 34_more than 30.000,0.608015229908304,0.5319352183463267,0.6175275324124431,0.45962709477857,0.5679060339493387,0.5965759653572752,0.59151255454628,0.5833437648644377,0.5610108721623466,1.0,0.4946465715423667,0.4972642398883783,0.5084041643732411,0.5031753138584907,0.6026712506484018,0.5525790007008469,0.2996035853583699,0.4378710376954114,0.45084704200385095,0.5724874250566081,0.4838567050644882,0.4384234232717211,0.4357807752795854,0.38614058646784505,0.4870439089629096
35 t/m 44_10.000-19.999,0.5114508213148675,0.4733413470349935,0.45918777613151035,0.5233848927563809,0.4334633813162707,0.746060265286147,0.6252300841646229,0.6669520204343388,0.7376479911629755,0.4946465715423667,1.0,0.6206830959307008,0.7478101821701646,0.728293932737744,0.6944270751969325,0.7054401746659918,0.47919976221232424,0.8156333066719895,0.6369886238514514,0.7408385486616765,0.7778552917970917,0.6454374895439798,0.7453458057273996,0.6167568356494023,0.6638509975985973
35 t/m 44_20.000-29.999,0.4439002971781149,0.49478049292487986,0.4455262093783765,0.5153386971477252,0.43300896211314305,0.5898049360000518,0.4598873090996409,0.49223125116162225,0.7030922157642474,0.4972642398883783,0.6206830959307008,1.0,0.6961732223651412,0.6061137140241007,0.7477160866668326,0.6449861473468633,0.5736791409265936,0.6069476054011433,0.688255210570634,0.6800921251536153,0.7428583640017665,0.6185830131137268,0.6375146886751508,0.5929608674046083,0.705933899310985
35 t/m 44_5.000-9.999,0.5485619539690479,0.5280713043576327,0.5577111846289184,0.5622988200689848,0.4470826574173726,0.7551381958686953,0.5545784753302764,0.6497463819384899,0.7226209997012177,0.5084041643732411,0.7478101821701646,0.6961732223651412,1.0,0.6896942323043779,0.6706829611974198,0.7147347941154846,0.5509644513896788,0.6824492786499126,0.6548762780520774,0.7191960328145743,0.7924183613196537,0.6472966051678932,0.730224470883242,0.6345815739709617,0.7951395466612843
35 t/m 44_less than 4.999,0.5956303078188567,0.5742467113768204,0.5462524523320423,0.7627094652905063,0.490426452010455,0.6893971216020588,0.6378186425589047,0.7605301371527093,0.8519151746244821,0.5031753138584907,0.728293932737744,0.6061137140241007,0.6896942323043779,1.0,0.663686392939814,0.6400959511978358,0.55083657546713,0.7954995606542484,0.8432040890588697,0.7121048187720662,0.7361768621482766,0.7118343875000592,0.7537240204548047,0.8469433672674397,0.7052772445151212
35 t/m 44_more than 30.000,0.5194585740498835,0.6076079506939173,0.5462353731861682,0.5208970449990984,0.5420823589840467,0.6785938795825357,0.5800800387438141,0.5838812051936275,0.7076725332272481,0.6026712506484018,0.6944270751969325,0.7477160866668326,0.6706829611974198,0.663686392939814,1.0,0.7390275811204382,0.5174825813863323,0.6185496379723827,0.6442854240197248,0.6962245311024772,0.7578756675210226,0.6518185682923414,0.6954156052357685,0.5684612299944248,0.7312069530530749
45 t/m 54_10.000-19.999,0.4563442286422785,0.4849752980094868,0.5354939503866014,0.4091500347816244,0.46378441997344505,0.6179157948538843,0.5161891864244761,0.571156482810443,0.6567471738695789,0.5525790007008469,0.7054401746659918,0.6449861473468633,0.7147347941154846,0.6400959511978358,0.7390275811204382,1.0,0.5158577020828358,0.6470848452155429,0.5371348247588191,0.7191967196712472,0.778008344041962,0.6338018649175687,0.7284557950415235,0.497886965427578,0.6926667590284691
45 t/m 54_20.000-29.999,0.32186910548298414,0.4194086126474432,0.3378785657403388,0.4427463425491943,0.2289960683785428,0.4862775131844663,0.341943491120013,0.3618670285523788,0.5311829897409027,0.2996035853583699,0.47919976221232424,0.5736791409265936,0.5509644513896788,0.55083657546713,0.5174825813863323,0.5158577020828358,1.0,0.5592514853303778,0.5608111187342791,0.5162789846776973,0.6145279514620865,0.6359173762320176,0.6028957178839,0.5107330277582778,0.5591026669187873
45 t/m 54_5.000-9.999,0.53661730598499,0.4564967015840837,0.4088438589736123,0.5961487238209782,0.34377473827167837,0.6699446012287028,0.5955981861068674,0.686194173665135,0.7710104835574081,0.4378710376954114,0.8156333066719895,0.6069476054011433,0.6824492786499126,0.7954995606542484,0.6185496379723827,0.6470848452155429,0.5592514853303778,1.0,0.720612380866201,0.7217047325212084,0.7751069847777698,0.7186063038592063,0.7993591366873276,0.7303520943291173,0.6448625706507207
45 t/m 54_less than 4.999,0.5006985865340742,0.5760802849033673,0.4694995607681057,0.7835125872432538,0.4496604333734095,0.6701267418381764,0.5518135097727134,0.6455905177944099,0.8394539206851205,0.45084704200385095,0.6369886238514514,0.688255210570634,0.6548762780520774,0.8432040890588697,0.6442854240197248,0.5371348247588191,0.5608111187342791,0.720612380866201,1.0,0.6834598514746998,0.6865941737866881,0.7441853797478584,0.6784899966388538,0.8955033967030258,0.7162128580863657
45 t/m 54_more than 30.000,0.542109219820756,0.5823753616585889,0.5841522527121167,0.5881326745478378,0.5225994137563469,0.7440075521572502,0.6264898690611441,0.7225696824739414,0.7756844431138565,0.5724874250566081,0.7408385486616765,0.6800921251536153,0.7191960328145743,0.7121048187720662,0.6962245311024772,0.7191967196712472,0.5162789846776973,0.7217047325212084,0.6834598514746998,1.0,0.7410559915982334,0.6954849573503648,0.671428114323322,0.6183980702069156,0.7040995289089625
55 t/m 70_10.000-19.999,0.4898364109050117,0.4948192516908979,0.4891989653712504,0.5432638575702813,0.40698492348842574,0.6719964136955314,0.5767402309433631,0.6144902052848892,0.7490274403471534,0.4838567050644882,0.7778552917970917,0.7428583640017665,0.7924183613196537,0.7361768621482766,0.7578756675210226,0.778008344041962,0.6145279514620865,0.7751069847777698,0.6865941737866881,0.7410559915982334,1.0,0.7296693962583881,0.8216285137616911,0.6715245241776479,0.7942921426048306
55 t/m 70_20.000-29.999,0.437185473570139,0.5526091615864805,0.39815670467182174,0.5526412801850716,0.3735607428095573,0.6909504274652486,0.5237172731758528,0.5453028837829148,0.6893955376148743,0.4384234232717211,0.6454374895439798,0.6185830131137268,0.6472966051678932,0.7118343875000592,0.6518185682923414,0.6338018649175687,0.6359173762320176,0.7186063038592063,0.7441853797478584,0.6954849573503648,0.7296693962583881,1.0,0.7120631079118539,0.6946543724875597,0.7217171659132008
