,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_Less than 10 km,18 t/m 24_more than 50,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_Less than 10 km,25 t/m 34_more than 50,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_Less than 10 km,35 t/m 44_more than 50,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_Less than 10 km,45 t/m 54_more than 50,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_Less than 10 km,55 t/m 70_more than 50
18 t/m 24_10-19 km,1.0,0.686111763341414,0.5376505151262576,0.6969907543195872,0.626011638763272,0.6757258557193179,0.5060880040572499,0.4861312795858028,0.593250039231742,0.5510822184215772,0.6306349684240214,0.45164221619163497,0.49826033040339013,0.46964604245087016,0.6123924324131479,0.4263035141189297,0.5500875491655877,0.4585101722559704,0.4359339024873835,0.4308866174289645,0.5059854070866263,0.5607604761285134,0.473957460606425,0.43433659185686696,0.39841742075152287
18 t/m 24_20-29 km,0.686111763341414,1.0,0.5694902364374064,0.5749539566375126,0.5881009477497068,0.5701938428521407,0.4386702535067002,0.5334276741038445,0.5012072985361777,0.5709772726368251,0.6099034958684529,0.40852915071001455,0.45657503314046705,0.48278829650188376,0.5319310667976989,0.3924241336826624,0.4940023472989373,0.36646491593050673,0.4488007694357998,0.3401363991600988,0.46902014271431264,0.5372421412397395,0.4702978842002111,0.4699369394909101,0.32835989412161176
18 t/m 24_30-49 km,0.5376505151262576,0.5694902364374064,1.0,0.48476326933952263,0.6371777870205437,0.6196540376307046,0.4430039630216412,0.6340283042809756,0.5170130098358829,0.6308734272142504,0.5746343653306869,0.4098942333480036,0.5911488394816994,0.5904113014500592,0.5362468237959302,0.6190362444590675,0.5038227871560704,0.5277254357114819,0.5785903469186499,0.4279252657063797,0.5908840445214358,0.5374964469087513,0.6060084710019649,0.6602455770644524,0.40368345374265524
18 t/m 24_Less than 10 km,0.6969907543195872,0.5749539566375126,0.48476326933952263,1.0,0.6478786850495932,0.6090054739316394,0.6681404453730688,0.4745681026977089,0.7276675343399133,0.5287823432420835,0.5734539633512387,0.46875400665147554,0.5231626824917719,0.5879758840265656,0.6794812242966841,0.42809150653820016,0.5584949843897214,0.4185336257438107,0.48011106470838577,0.45489723955796196,0.5494807000909204,0.6143782213967236,0.4695090570136345,0.4401850561183414,0.433404377376371
18 t/m 24_more than 50,0.626011638763272,0.5881009477497068,0.6371777870205437,0.6478786850495932,1.0,0.714743417432532,0.6113361833744899,0.6309331831977263,0.5790067355142103,0.7084308724636412,0.6529394727626043,0.5764823867467876,0.667387467955342,0.561547196289144,0.7059637776432484,0.5767496477223233,0.6701785476179272,0.5703145867017575,0.5643000578710263,0.612675364439904,0.602997349579382,0.6221051490787612,0.6077550534641547,0.5484089969694187,0.5262190655367829
25 t/m 34_10-19 km,0.6757258557193179,0.5701938428521407,0.6196540376307046,0.6090054739316394,0.714743417432532,1.0,0.6196878111528696,0.6022919815769326,0.6596071682815405,0.6794488806582197,0.7759929068441366,0.6741689907921855,0.6969505775926352,0.6113799090153633,0.6250768490116134,0.6931208413169944,0.7084766752014704,0.5956597134096547,0.6286396617182636,0.6348490439235402,0.7123199948540223,0.6451255421665304,0.6856767583483957,0.5857232599479675,0.5225042864194973
25 t/m 34_20-29 km,0.5060880040572499,0.4386702535067002,0.4430039630216412,0.6681404453730688,0.6113361833744899,0.6196878111528696,1.0,0.49775529110926287,0.6951136576407927,0.5138353158997202,0.5315096489794343,0.5163760412001224,0.6711206520868914,0.579697669176172,0.6970579760792583,0.479608794051433,0.6577166568517266,0.4952503068073868,0.46533812207988534,0.5941177259606298,0.6236635598372336,0.5915864972750914,0.5461005127235561,0.44280940276088354,0.5600846083692155
25 t/m 34_30-49 km,0.4861312795858028,0.5334276741038445,0.6340283042809756,0.4745681026977089,0.6309331831977263,0.6022919815769326,0.49775529110926287,1.0,0.4842597166083526,0.7337550068623497,0.5906342155747261,0.5847486247981729,0.6667888179082205,0.6789097288511207,0.5537233245388821,0.6432008398515484,0.5701979180958117,0.5333549212704178,0.681493750577862,0.4636634799476982,0.610854899257904,0.5668326088683947,0.6844467337604109,0.711947121280665,0.4241764893217693
25 t/m 34_Less than 10 km,0.593250039231742,0.5012072985361777,0.5170130098358829,0.7276675343399133,0.5790067355142103,0.6596071682815405,0.6951136576407927,0.4842597166083526,1.0,0.5391858125626391,0.5646008372478883,0.5650297470991015,0.6849523888299534,0.6938913558420784,0.7565626282553739,0.5835601811601534,0.6436845498450741,0.5547633434960615,0.5897474272438045,0.6038832760043079,0.7568419332665174,0.7122648187728691,0.6303651195231779,0.5544622489871608,0.6023393993966824
25 t/m 34_more than 50,0.5510822184215772,0.5709772726368251,0.6308734272142504,0.5287823432420835,0.7084308724636412,0.6794488806582197,0.5138353158997202,0.7337550068623497,0.5391858125626391,1.0,0.7141728918706476,0.5821459864449696,0.7371659409132392,0.5569417126464101,0.6537528381830878,0.6559632317102401,0.6959679738072239,0.5948682053747774,0.6528767157211488,0.551501775502142,0.6449426273678946,0.6503122552771662,0.7257191638719085,0.637411230610925,0.5642628019123028
35 t/m 44_10-19 km,0.6306349684240214,0.6099034958684529,0.5746343653306869,0.5734539633512387,0.6529394727626043,0.7759929068441366,0.5315096489794343,0.5906342155747261,0.5646008372478883,0.7141728918706476,1.0,0.5437982805853864,0.597804185527146,0.5720747020972166,0.5653470539948987,0.5766374666215429,0.609180455005478,0.5247129156455712,0.6103566990872072,0.5034452403119518,0.6503722628998378,0.6395227787594762,0.656603915865199,0.5787025146086529,0.4703629680951537
35 t/m 44_20-29 km,0.45164221619163497,0.40852915071001455,0.4098942333480036,0.46875400665147554,0.5764823867467876,0.6741689907921855,0.5163760412001224,0.5847486247981729,0.5650297470991015,0.5821459864449696,0.5437982805853864,1.0,0.708719879862946,0.5550737143029221,0.5827195563236142,0.6112146052919577,0.5984062232009878,0.5913224364531741,0.5637992916046572,0.6310307971833601,0.6389798278079962,0.6373052381582726,0.6701027424625289,0.5283859044508501,0.5265724459348978
35 t/m 44_30-49 km,0.49826033040339013,0.45657503314046705,0.5911488394816994,0.5231626824917719,0.667387467955342,0.6969505775926352,0.6711206520868914,0.6667888179082205,0.6849523888299534,0.7371659409132392,0.597804185527146,0.708719879862946,1.0,0.6404752613848718,0.7862043722031278,0.7463240385999839,0.7249751023337084,0.7700947861485195,0.6355812516370716,0.7874494866302035,0.7746312554035606,0.7772791591202575,0.800599968682854,0.6315799077166164,0.7671938107481228
