,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_Less than 10 km,18 t/m 24_more than 50,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_Less than 10 km,25 t/m 34_more than 50,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_Less than 10 km,35 t/m 44_more than 50,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_Less than 10 km,45 t/m 54_more than 50,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_Less than 10 km,55 t/m 70_more than 50
18 t/m 24_10-19 km,1.0,0.6887306342761635,0.5410351898305169,0.6995398490267766,0.6289839526649001,0.6784097233009276,0.5095856607616069,0.4896902088981883,0.5963909122581657,0.55441308406955,0.633582085049801,0.4552873516027907,0.5017829835762544,0.47324936859608296,0.6154369656516997,0.42999515019282153,0.5534225136294981,0.462140197543482,0.4396096088860301,0.4345709434863772,0.5094833993534656,0.5640505208638471,0.4775497309819795,0.43801509024881835,0.4021426075259446
18 t/m 24_20-29 km,0.6887306342761635,1.0,0.5727420171362966,0.5781811020832032,0.5912666824880489,0.5734424805726483,0.4423410397595717,0.5368285715722187,0.5047206854815783,0.5742224005270832,0.6129609000040837,0.41224438031036603,0.4602094216243115,0.4863566909346698,0.5353376330451535,0.3961540023456382,0.49753807831408,0.37020419359779383,0.4524518489808647,0.3438662019068092,0.4726250407536481,0.5406283994176851,0.47389956435554126,0.4735395322080312,0.3320788740907291
18 t/m 24_30-49 km,0.5410351898305169,0.5727420171362966,1.0,0.4883261000673086,0.6400886631185688,0.6226604392613786,0.44666660486501525,0.6369567100662037,0.5204737430395087,0.6338192349665771,0.5778629662164859,0.4136079236190964,0.5942999124194177,0.593565936830589,0.5396369282233925,0.6220459236589696,0.5073278038113602,0.5311477043543036,0.5818008063063902,0.4316143716979193,0.5940363975331421,0.5408817193811937,0.609085812008973,0.6630233370936398,0.40740377440869224
18 t/m 24_Less than 10 km,0.6995398490267766,0.5781811020832032,0.4883261000673086,1.0,0.6507288361113449,0.612067496892792,0.6708707712481561,0.47815877513706395,0.7300107700793713,0.5322006974147543,0.5766879243490578,0.47235957051660626,0.5266016048838288,0.5911422169906813,0.6821417740729798,0.4317803496679589,0.5617947363762721,0.4222365151193268,0.4836868710357116,0.458535344025667,0.5528181563532166,0.617412412627293,0.47311272790582026,0.4438530444897436,0.4370844778268951
18 t/m 24_more than 50,0.6289839526649001,0.5912666824880489,0.6400886631185688,0.6507288361113449,1.0,0.7171749975063768,0.6143861911885186,0.6338786628141286,0.5822152695404484,0.7109047520258309,0.6557602842609062,0.579702546909613,0.6701223585177489,0.5648338484824545,0.70845403557219,0.5799685822467257,0.6728964753813538,0.5735626841858552,0.5675747517503318,0.6157184281183133,0.6060899306080082,0.6250984858670392,0.6108234855586296,0.5517508372881602,0.5296468764541656
25 t/m 34_10-19 km,0.6784097233009276,0.5734424805726483,0.6226604392613786,0.612067496892792,0.7171749975063768,1.0,0.6226940334266887,0.6053881108014808,0.6623887226944439,0.6821096321545704,0.7779857059159946,0.6768624638090294,0.6994999331427512,0.6144296905619534,0.6280542158861085,0.6956949539785364,0.7109502498748375,0.5987887969094741,0.6315976947835928,0.6377728966854425,0.7147678804481515,0.6479914876465086,0.6882983834819862,0.5889003221446821,0.5259455788915036
25 t/m 34_20-29 km,0.5095856607616069,0.4423410397595717,0.44666660486501525,0.6708707712481561,0.6143861911885186,0.6226940334266887,1.0,0.5012795146817306,0.6976749143136362,0.5173070309947567,0.5349178038042329,0.5198389915355095,0.6738328278074182,0.5829030017077395,0.6996066343046222,0.48318597416344483,0.6605094110665898,0.4987822430667848,0.4689520962483621,0.5972543650865885,0.6266485394895188,0.5947354518671728,0.5494517247381288,0.44647241945039395,0.5633775587474924
25 t/m 34_30-49 km,0.4896902088981883,0.5368285715722187,0.6369567100662037,0.47815877513706395,0.6338786628141286,0.6053881108014808,0.5012795146817306,1.0,0.48782397361680513,0.7360558297580674,0.5937877752166991,0.5879303021699241,0.6695273315041292,0.6815738406376347,0.5570432191060902,0.6460777569597433,0.5734465375869168,0.5367560952877546,0.6841417182725085,0.46728148498657734,0.6139073954972177,0.5700961820180445,0.6870761316815783,0.7143975083363078,0.4278713492801756
25 t/m 34_Less than 10 km,0.5963909122581657,0.5047206854815783,0.5204737430395087,0.7300107700793713,0.5822152695404484,0.6623887226944439,0.6976749143136362,0.48782397361680513,1.0,0.5425645061999431,0.5678742163481688,0.5683012485407724,0.6875785940955528,0.6964605046038977,0.758700069443297,0.5867474640238146,0.6465587150405564,0.5580788830052118,0.5929052613283002,0.6069713888172303,0.7589773304439785,0.7147130746451551,0.6333137162253979,0.5577790513444169,0.6054352903569964
25 t/m 34_more than 50,0.55441308406955,0.5742224005270832,0.6338192349665771,0.5322006974147543,0.7109047520258309,0.6821096321545704,0.5173070309947567,0.7360558297580674,0.5425645061999431,1.0,0.7166083180518135,0.5853399078466013,0.7394427770591528,0.5602480666899153,0.6565688973867478,0.6587663247705332,0.6985237015557031,0.5980011722306365,0.6556978934703013,0.5548309068227928,0.6478096180262685,0.6531483473051274,0.728075866525618,0.6403208011450258,0.5675376585340297
