,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_5.000-9.999,18 t/m 24_less than 4.999,18 t/m 24_more than 30.000,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_5.000-9.999,25 t/m 34_less than 4.999,25 t/m 34_more than 30.000,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_5.000-9.999,35 t/m 44_less than 4.999,35 t/m 44_more than 30.000,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_5.000-9.999,45 t/m 54_less than 4.999,45 t/m 54_more than 30.000,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_5.000-9.999,55 t/m 70_less than 4.999,55 t/m 70_more than 30.000
18 t/m 24_10.000-19.999,1.0,0.532857618067896,0.6076172993146066,0.61715931682748,0.45946684617423605,0.6999258052601597,0.6268161471442764,0.5909091086742659,0.5902665374387956,0.6643452552471552,0.7160851034115919,0.6495474914059487,0.623803317861288,0.5312893393860039,0.5666601213996093,0.6001998517956854,0.5047794787558001,0.49923415780402725,0.5781333729101499,0.43591198526537733,0.5908143182216795,0.5298180767346549,0.6277590631109222,0.5213631666638426,0.4843638586865298
18 t/m 24_20.000-29.999,0.532857618067896,1.0,0.3781056368784671,0.5228905879953916,0.3008898860889512,0.4972547724549743,0.5506082425447751,0.4648970427671067,0.5341696375539186,0.5519794307710035,0.5172006445902256,0.6435311492503728,0.5333038165622609,0.6301667630260317,0.35912475684537326,0.46132006308102785,0.3844221032096705,0.4816145044301261,0.5330888156418451,0.3012983639115498,0.4700805383540869,0.4265945274128001,0.5084626561522471,0.4984414291757467,0.2617757496796298
18 t/m 24_5.000-9.999,0.6076172993146066,0.3781056368784671,1.0,0.6395792617473615,0.39729983570008914,0.7058426105852791,0.5130942694041483,0.5621922142692075,0.6109645611447985,0.4526608946486663,0.5621738070821608,0.5287103239933959,0.5439050619337096,0.4718208963982435,0.6047846091642121,0.48435594580348096,0.5121236453502267,0.44498195986664757,0.4579801240823031,0.4439006344790343,0.4873629907725514,0.4352431110701317,0.5091599720341641,0.3820104691029811,0.38930235486173437
18 t/m 24_less than 4.999,0.61715931682748,0.5228905879953916,0.6395792617473615,1.0,0.4221276963791379,0.662899193423129,0.4953355731337466,0.5222557183774692,0.7676048059166538,0.43914814491180765,0.5573324672416912,0.5701944633269967,0.6344243017754685,0.6238507517064208,0.5625504147196366,0.48925692594124554,0.4386738568985825,0.4785915764225401,0.5604736205471315,0.35759860515495867,0.5374845377788785,0.49406555411452474,0.5765423632080838,0.4711302882372428,0.34566750995145323
18 t/m 24_more than 30.000,0.45946684617423605,0.3008898860889512,0.39729983570008914,0.4221276963791379,1.0,0.6338664683711105,0.4462902241942505,0.6470701169538992,0.441736642422041,0.3023437130279151,0.5538854342555426,0.5286562819584139,0.5599439610223028,0.4324058834675473,0.3841523898218857,0.5617262628749814,0.4726074570592614,0.5349263692877058,0.5236518967780771,0.3857708168940672,0.48984876638089525,0.44312123831135913,0.5506798695231518,0.46793969075552805,0.3647415502839495
25 t/m 34_10.000-19.999,0.6999258052601597,0.4972547724549743,0.7058426105852791,0.662899193423129,0.6338664683711105,1.0,0.6975865777654401,0.8194724852831201,0.7566952771004539,0.5055453044242072,0.8510740463528224,0.7883754410808222,0.8392948239868933,0.6471097400911562,0.7676676003543268,0.8134010072709814,0.730535421993498,0.6979380215450971,0.6682026843837084,0.6833810130971464,0.8011039117657808,0.7574056944862616,0.8249326534621862,0.5964821617390162,0.6408414619751784
25 t/m 34_20.000-29.999,0.6268161471442764,0.5506082425447751,0.5130942694041483,0.4953355731337466,0.4462902241942505,0.6975865777654401,1.0,0.6556805218470863,0.5516763807415666,0.6811719394991695,0.6944483403392758,0.7102163469352918,0.6454076615340908,0.6671208978235715,0.4893584760701828,0.7099344767139885,0.5611723285163661,0.6619975603856779,0.6933835332232765,0.45762356341938526,0.6362730805616347,0.5973713802983284,0.689458847364192,0.6812604764684255,0.43914401686371907
25 t/m 34_5.000-9.999,0.5909091086742659,0.4648970427671067,0.5621922142692075,0.5222557183774692,0.6470701169538992,0.8194724852831201,0.6556805218470863,1.0,0.6820362198556038,0.4685738295767834,0.8000741047969117,0.7685482897569853,0.7905107340349508,0.7124967697935314,0.6105247745487801,0.7876214586466368,0.6323173598130049,0.8260772952601457,0.7746067692220244,0.522930114361633,0.7414881987468652,0.6773350859899853,0.8148512863591828,0.7179168125855953,0.5232834336612431
25 t/m 34_less than 4.999,0.5902665374387956,0.5341696375539186,0.6109645611447985,0.7676048059166538,0.441736642422041,0.7566952771004539,0.5516763807415666,0.6820362198556038,1.0,0.48710906294416034,0.6635308270926096,0.6901804247347743,0.7805616094629275,0.7245661651833699,0.6257096320437006,0.6039283614326681,0.49217801989377097,0.6147803931367085,0.6915195287109384,0.44153495334718795,0.6431802567227873,0.5931867990559818,0.7062464196331761,0.596671863593525,0.4432894848157125
25 t/m 34_more than 30.000,0.6643452552471552,0.5519794307710035,0.4526608946486663,0.43914814491180765,0.3023437130279151,0.5055453044242072,0.6811719394991695,0.4685738295767834,0.48710906294416034,1.0,0.5542847595093576,0.5392266673496348,0.5021287932896136,0.5484325105548071,0.38396112745997163,0.5116588598266739,0.37832216174222644,0.48217940933366554,0.5795251573120617,0.3185154351462127,0.49359840356977386,0.44831210687795525,0.5362440414494353,0.5389853564171667,0.343567788954588
