,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_Less than 10 km,18 t/m 24_more than 50,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_Less than 10 km,25 t/m 34_more than 50,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_Less than 10 km,35 t/m 44_more than 50,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_Less than 10 km,45 t/m 54_more than 50,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_Less than 10 km,55 t/m 70_more than 50
18 t/m 24_10-19 km,1.0,0.6077972943778436,0.695858584491425,0.7359045247044977,0.41060999155546074,0.7265813411133076,0.7360059424954064,0.6440668193173819,0.7450991997293644,0.6628496930445849,0.6191810330647589,0.7380582545404812,0.6126745347802905,0.6191690362163272,0.726858899728248,0.6246847519611328,0.6473114017307904,0.652022936673802,0.5914745445437788,0.5413125485859013,0.5399421641628529,0.6039440164122254,0.4804001057204384,0.5111578284009283,0.39209797308771405
18 t/m 24_20-29 km,0.6077972943778436,1.0,0.4993806303396416,0.528479454252478,0.5264524960606546,0.6258420136032821,0.6134695773687376,0.7539845699117981,0.5673984507611286,0.48093467843137055,0.6292737419493377,0.6004303671001737,0.6995306731151332,0.6523046606460922,0.5279870118341246,0.5806519415465624,0.5422583857937769,0.6274008507302179,0.5742726370942396,0.6023224232897234,0.5931228495276947,0.5345338092057289,0.5482803231051835,0.568600089794099,0.42602189125568257
18 t/m 24_30-49 km,0.695858584491425,0.4993806303396416,1.0,0.5594362761803201,0.30527679855185574,0.5963234679939267,0.5124858732244769,0.5094641187426112,0.5785763661144137,0.5687274529771571,0.5457975072421465,0.6134154367315049,0.46415396877574655,0.4608844560096672,0.5333499741124118,0.5269110635521344,0.5166689729019719,0.5264259118963961,0.44688988808213476,0.43960564751226633,0.4205247747515764,0.4531845693108365,0.3844402047261138,0.38354748067792976,0.34010365748503946
18 t/m 24_Less than 10 km,0.7359045247044977,0.528479454252478,0.5594362761803201,1.0,0.30893580919428765,0.715156238283907,0.7527317772915635,0.5651804082000461,0.809355852713761,0.5156122032844875,0.5327124557936774,0.6411487063804823,0.5243336034706713,0.6620919515627128,0.5931701603316284,0.5904426471785708,0.5795381589113217,0.6414475622497718,0.6990990868862726,0.42786218919998154,0.5126710231914514,0.5248853207430737,0.38269428057462873,0.47603095809314494,0.32290278433554226
18 t/m 24_more than 50,0.41060999155546074,0.5264524960606546,0.30527679855185574,0.30893580919428765,1.0,0.30501751496820895,0.4173214657329969,0.4986314297784941,0.2811835153918302,0.277524826779505,0.29131606200484045,0.28907114317923716,0.3932463471808567,0.35682952958574665,0.24776607189621333,0.2699067930054902,0.2565840054108715,0.2900102579071782,0.3034777170864696,0.31969743311776927,0.31998427374228244,0.23986163809184938,0.29234287123414954,0.31391139438953186,0.2474578242629697
25 t/m 34_10-19 km,0.7265813411133076,0.6258420136032821,0.5963234679939267,0.715156238283907,0.30501751496820895,1.0,0.6811363867532865,0.6294505864261968,0.7421541905696549,0.621608227819089,0.6222947231649528,0.738920334161666,0.6072755694729507,0.667589148481955,0.6926461067713809,0.6558335406991491,0.6829008338474297,0.7036454341337752,0.6472154042098072,0.5826804824875056,0.5664335143312199,0.5889185119458978,0.46745867040429434,0.527341864764996,0.38844974038309155
25 t/m 34_20-29 km,0.7360059424954064,0.6134695773687376,0.5124858732244769,0.7527317772915635,0.4173214657329969,0.6811363867532865,1.0,0.6475726373619727,0.6795483983337411,0.6033148509461469,0.5093031610326062,0.6784917350760958,0.6305684709407734,0.6484792261313006,0.5700371893408155,0.5764016774985835,0.5664217575352144,0.6075463973307116,0.6618318920082245,0.48000239307724757,0.5542564623284222,0.526731728812512,0.41245581627928035,0.472273616845779,0.371902457974435
25 t/m 34_30-49 km,0.6440668193173819,0.7539845699117981,0.5094641187426112,0.5651804082000461,0.4986314297784941,0.6294505864261968,0.6475726373619727,1.0,0.5917023721039139,0.507208264980968,0.630590334349674,0.6953124851379131,0.7591994549317899,0.7586863209974897,0.5804648105219141,0.6668788350616344,0.6113604669832369,0.6873751246279116,0.6669319642461397,0.6843448912697218,0.6549245353482614,0.6040199947477121,0.6099110138314244,0.6451545675646158,0.4990613420182619
25 t/m 34_Less than 10 km,0.7450991997293644,0.5673984507611286,0.5785763661144137,0.809355852713761,0.2811835153918302,0.7421541905696549,0.6795483983337411,0.5917023721039139,1.0,0.4885945079203611,0.7414755914022946,0.7502670365896634,0.6011074685802255,0.779763285448026,0.7006044649075673,0.7087706704823491,0.6407136057725236,0.7348180449968145,0.7760882282221538,0.584624751145025,0.6145099094842646,0.6704766084549475,0.5036744259218568,0.6029586484120314,0.41216433702708644
25 t/m 34_more than 50,0.6628496930445849,0.48093467843137055,0.5687274529771571,0.5156122032844875,0.277524826779505,0.621608227819089,0.6033148509461469,0.507208264980968,0.4885945079203611,1.0,0.4454382904888672,0.6371655382217044,0.5186358766939339,0.4737554194270963,0.5410228863115585,0.5102007463145437,0.5016539525356022,0.5088975811194953,0.452227930335235,0.4501011660266229,0.44586380549387966,0.403497910405408,0.3661345711412609,0.37791522898042634,0.3103518085377387
