,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_Less than 10 km,18 t/m 24_more than 50,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_Less than 10 km,25 t/m 34_more than 50,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_Less than 10 km,35 t/m 44_more than 50,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_Less than 10 km,45 t/m 54_more than 50,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_Less than 10 km,55 t/m 70_more than 50
18 t/m 24_10-19 km,1.0,0.59038583966948,0.681284229183789,0.7228485796807492,0.3898198156157203,0.7131598257047371,0.7229540137203266,0.6277366590219117,0.7324108070599146,0.647128269046853,0.6020953071479574,0.725087781504404,0.5954010814587475,0.6020829603705552,0.7134481633030844,0.6077610293845345,0.6310840637105705,0.635946652105044,0.5736184239614825,0.5222620129974976,0.5208627809788916,0.5864251932374173,0.4602746392456064,0.49152120125884485,0.37124403225907315
18 t/m 24_20-29 km,0.59038583966948,1.0,0.47954348489114024,0.5091669392482355,0.5071002875201293,0.6089527269840878,0.5962188411859992,0.741657913093844,0.5489359239535687,0.4608167324100874,0.6124873267323325,0.582814924273495,0.685089857497959,0.6362374733876374,0.5086648108042399,0.5625158285883851,0.5232278814200625,0.6105581528166261,0.5559771269322117,0.5847588561505405,0.5753104186346761,0.5153426043109484,0.5293796527339925,0.5501664008249141,0.40532224206777634
18 t/m 24_30-49 km,0.681284229183789,0.47954348489114024,1.0,0.5407865246758551,0.2848481479608931,0.578596655509912,0.4928728752942834,0.4897976537827608,0.5603879290652636,0.5502968294685159,0.5268428265918859,0.596163151598088,0.44381692009790286,0.44050885213592944,0.5141347262890377,0.5075677944616147,0.4971317367718867,0.5070731858450992,0.4263648479138654,0.41901300005842357,0.39978901747185164,0.43272359312456204,0.3635747090625337,0.36268121486541666,0.31935201329856555
18 t/m 24_Less than 10 km,0.7228485796807492,0.5091669392482355,0.5407865246758551,1.0,0.2884628599813647,0.7012966357430668,0.7403537305464499,0.5466650508727199,0.7994241479455338,0.4960556369081414,0.5134843251914692,0.6247269102944711,0.5049403975954706,0.6463453425816152,0.5753589875066517,0.5725593153379651,0.5613739128137442,0.6250351142687156,0.6846425155479422,0.40717556215804124,0.4930613357910098,0.5055027407771898,0.3618273921530399,0.4558453490389733,0.30228349033903895
18 t/m 24_more than 50,0.3898198156157203,0.5071002875201293,0.2848481479608931,0.2884628599813647,1.0,0.28459209904150756,0.39656661037989227,0.47878208210133305,0.2611110683674537,0.2575166028170105,0.27107990757944406,0.2688694880675182,0.37239489744674675,0.33599762520818394,0.22838613471711833,0.2500412059468152,0.23699765354753544,0.269794049263826,0.2830717728544024,0.29910858255519596,0.299392623434661,0.22068190784350847,0.27209126899986863,0.29338221304668477,0.22808542257288392
25 t/m 34_10-19 km,0.7131598257047371,0.6089527269840878,0.578596655509912,0.7012966357430668,0.28459209904150756,1.0,0.6660384710650471,0.6126695029384956,0.7293473187670643,0.604593586173833,0.6053002900390207,0.725984180204676,0.589849491319391,0.6520264324773061,0.6779558870890815,0.6398809266828389,0.6678646602937605,0.6893556419201645,0.630985009899629,0.5645959369944431,0.5479479403529155,0.5709951861701363,0.4471619744162667,0.5080070154782341,0.3675891936138481
25 t/m 34_20-29 km,0.7229540137203266,0.5962188411859992,0.4928728752942834,0.7403537305464499,0.39656661037989227,0.6660384710650471,1.0,0.6313536206879614,0.6643951512779099,0.5857786364156975,0.4896338778914014,0.6633017941476099,0.6138211599427247,0.632289136973778,0.5516381882812793,0.5581588957752196,0.5479359033553914,0.5901279068645444,0.6460766515046488,0.4598713543591061,0.5354885392301337,0.5073849608885922,0.39167471710199137,0.45203818355604775,0.3510373645814162
25 t/m 34_30-49 km,0.6277366590219117,0.741657913093844,0.4897976537827608,0.5466650508727199,0.47878208210133305,0.6126695029384956,0.6313536206879614,1.0,0.5738522739046521,0.48750257854984913,0.6138436850576108,0.6807183702815077,0.7470880712691733,0.7465536580705577,0.5623239618604351,0.6512922034401923,0.5940496019974975,0.6724967503220637,0.651347119857795,0.6693594536650315,0.638942298697922,0.5865032744232617,0.5925590794212156,0.628858769060955,0.4792189881620641
25 t/m 34_Less than 10 km,0.7324108070599146,0.5489359239535687,0.5603879290652636,0.7994241479455338,0.2611110683674537,0.7293473187670643,0.6643951512779099,0.5738522739046521,1.0,0.4685881667239446,0.7286415197168084,0.7377882554713083,0.5835105492417197,0.7685218798086627,0.6862029196043644,0.6946710248807579,0.6242782148877613,0.721719127498061,0.76468889745524,0.5665900276408078,0.5972889926480083,0.6550115796496516,0.48390849690345256,0.5854126051980458,0.3913817722387306
25 t/m 34_more than 50,0.647128269046853,0.4608167324100874,0.5502968294685159,0.4960556369081414,0.2575166028170105,0.604593586173833,0.5857786364156975,0.48750257854984913,0.4685881667239446,1.0,0.42489921577455353,0.6206199522201266,0.4991349607684158,0.4535394252164309,0.5219662358679996,0.49054721737130996,0.4818542404455789,0.4892212101484732,0.4317568839287994,0.4296081598912721,0.4253288159609534,0.3826773298559136,0.3452778945458574,0.35704691400671795,0.2898623886907821
