,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_5.000-9.999,18 t/m 24_less than 4.999,18 t/m 24_more than 30.000,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_5.000-9.999,25 t/m 34_less than 4.999,25 t/m 34_more than 30.000,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_5.000-9.999,35 t/m 44_less than 4.999,35 t/m 44_more than 30.000,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_5.000-9.999,45 t/m 54_less than 4.999,45 t/m 54_more than 30.000,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_5.000-9.999,55 t/m 70_less than 4.999,55 t/m 70_more than 30.000
18 t/m 24_10.000-19.999,1.0,0.16264900122061152,0.6834869030614339,0.6818872481181442,0.5536954526216198,0.7080195380806805,0.6014338274489335,0.7173185120355856,0.697700330445092,0.5327955660400311,0.6663785179584552,0.6975811415923598,0.5037340950603202,0.4264591162660267,0.5730085379377747,0.6072901844903426,0.4854837001946721,0.6441648646536067,0.46369904980976934,0.5135443180751047,0.5375748399197265,0.4388887875548669,0.42415620399454596,0.4828474497875756,0.2844126143899609
18 t/m 24_20.000-29.999,0.16264900122061152,1.0,0.2809560951361108,0.30309235973729565,0.3892717204413496,0.30030044743959916,0.2881438197116353,0.26162793187256156,0.20444505631593324,0.3512432153221094,0.29064349091661357,0.1972351480693,0.3297936440425849,0.34835349225837314,0.2589835244047704,0.26806953610663303,0.3616750213778365,0.21295728398530642,0.2733983366414545,0.22185080425892884,0.2554599526438737,0.28442834293470654,0.3478830213756059,0.2817025895958076,0.21504112001494677
18 t/m 24_5.000-9.999,0.6834869030614339,0.2809560951361108,1.0,0.6717143479898668,0.5916177077309296,0.7775520144352942,0.6242596252331978,0.693413303802767,0.6842109832088044,0.589178142828988,0.7253213219170905,0.6472210204161797,0.6080143181949978,0.4912490323026688,0.6972149059674145,0.628913471173073,0.6187930164279205,0.6603597644801901,0.4825343868462287,0.5716036202788244,0.5532840925675881,0.46124650738475415,0.49510100795474116,0.5066040026819547,0.3299132863602175
18 t/m 24_less than 4.999,0.6818872481181442,0.30309235973729565,0.6717143479898668,1.0,0.71730283389616,0.7772239740779273,0.6841669775574439,0.7813747847975824,0.8138722510701427,0.7146119441339034,0.7152437875640949,0.712957515910262,0.5660005001804185,0.7274043094556581,0.5939414077807481,0.6631022232540681,0.6593940366192264,0.6995927889553106,0.7741256249695398,0.6011798092916313,0.5549809610998866,0.44691488319512374,0.5355619667461509,0.6840822953709199,0.4314389977283079
18 t/m 24_more than 30.000,0.5536954526216198,0.3892717204413496,0.5916177077309296,0.71730283389616,1.0,0.7246604024850231,0.5851731479957777,0.7207400436593637,0.6057479585697164,0.6119713130921604,0.635942085303718,0.5522491381944032,0.5486513001164899,0.5537712219782173,0.5594843474845967,0.5493759979613896,0.581113507217725,0.5439904378657736,0.5565972169918773,0.48779958735786455,0.49774268267927274,0.4449247526872889,0.4703614249597788,0.493523497316493,0.3588611348051243
25 t/m 34_10.000-19.999,0.7080195380806805,0.30030044743959916,0.7775520144352942,0.7772239740779273,0.7246604024850231,1.0,0.7767261914810034,0.8092334736485678,0.8074278368042528,0.6261871952646847,0.8975932445142587,0.7815055055341075,0.7271153357921661,0.6748192118784158,0.7834237693461201,0.7970242365620873,0.7669647938900774,0.8254507731625587,0.6920483833284644,0.7302657400464133,0.7107608106491932,0.5799973318488411,0.6506902099570628,0.680680378826766,0.46190851807164807
25 t/m 34_20.000-29.999,0.6014338274489335,0.2881438197116353,0.6242596252331978,0.6841669775574439,0.5851731479957777,0.7767261914810034,1.0,0.6463717134963057,0.6807888248290276,0.5576433255903358,0.7405571035450412,0.6490275336990662,0.6201464306172418,0.554039249977717,0.6755182119596493,0.6409533472067519,0.6258100610896291,0.6081303300109531,0.5536802735869205,0.5475760335470405,0.5527936147418098,0.45272011385536604,0.49294682946355867,0.5289705019159057,0.3510338414594373
25 t/m 34_5.000-9.999,0.7173185120355856,0.26162793187256156,0.693413303802767,0.7813747847975824,0.7207400436593637,0.8092334736485678,0.6463717134963057,1.0,0.7956439163649738,0.5675477990361767,0.7531483897542153,0.7483898232696017,0.6232365954225482,0.6161818403999652,0.646327913670395,0.6566998644060542,0.6168404296549345,0.7490617753874126,0.6498649582522492,0.6600889881979405,0.586734510443244,0.47137870766865986,0.5240648932336072,0.5839928924125906,0.3455633517194147
25 t/m 34_less than 4.999,0.697700330445092,0.20444505631593324,0.6842109832088044,0.8138722510701427,0.6057479585697164,0.8074278368042528,0.6807888248290276,0.7956439163649738,1.0,0.5686850521507143,0.7783878280393838,0.8254876888440121,0.6053358200440002,0.661041066758232,0.6257601852106545,0.7084171342509741,0.636216738153403,0.7920833319163181,0.7124018762200436,0.5964344295741583,0.5950236998110805,0.45131291446352645,0.5478650774596358,0.6423056678285869,0.39766941421761776
25 t/m 34_more than 30.000,0.5327955660400311,0.3512432153221094,0.589178142828988,0.7146119441339034,0.6119713130921604,0.6261871952646847,0.5576433255903358,0.5675477990361767,0.5686850521507143,1.0,0.5561012641667376,0.5026659684622414,0.4299766355455456,0.5538511114019505,0.4920448637805893,0.4929764468112569,0.5462235066759623,0.46910333432456514,0.5733929470577367,0.41380144949415804,0.4124952929669635,0.348086395384866,0.40645523730438843,0.48842736384345975,0.3498760870767624
