,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_5.000-9.999,18 t/m 24_less than 4.999,18 t/m 24_more than 30.000,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_5.000-9.999,25 t/m 34_less than 4.999,25 t/m 34_more than 30.000,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_5.000-9.999,35 t/m 44_less than 4.999,35 t/m 44_more than 30.000,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_5.000-9.999,45 t/m 54_less than 4.999,45 t/m 54_more than 30.000,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_5.000-9.999,55 t/m 70_less than 4.999,55 t/m 70_more than 30.000
18 t/m 24_10.000-19.999,1.0,0.14483844319549846,0.6670777764294562,0.6654169525173727,0.5331837062765704,0.6925792871633257,0.5822202796236262,0.7022603738222946,0.6818455485859111,0.5117989989394316,0.649328167263451,0.6817216307469153,0.48215275730916085,0.40387063810062723,0.552990732585521,0.5882534431476544,0.4635905085769906,0.6263254391171337,0.4414920300870314,0.4921484756261357,0.5166844902963303,0.4164051765745947,0.40155083706149325,0.4609128537595811,0.2624698158296191
18 t/m 24_20.000-29.999,0.14483844319549846,1.0,0.2590775976734317,0.28084690240509735,0.3665113311606601,0.27809551475923583,0.2661345651794551,0.24015898663982224,0.18473608063898694,0.328542517711739,0.26859141321105856,0.1778130929288483,0.3072404652855981,0.3256677090128897,0.2375774043908381,0.24645449693538507,0.33893297105604764,0.19292961798417255,0.2516697584693498,0.20151253479040768,0.2341401625446787,0.2624852578208258,0.3251998101124306,0.25980998072015643,0.19493865843454372
18 t/m 24_5.000-9.999,0.6670777764294562,0.2590775976734317,1.0,0.6548608970792154,0.5721162347952449,0.7651590184333169,0.6057560683061816,0.6773892799013359,0.6678296262153648,0.5696067665352478,0.7105984573852397,0.6294871901497482,0.5889996976870728,0.46944961956367376,0.6813408726665405,0.6105614858650344,0.6001143392663811,0.6430907086903673,0.4605949358264412,0.5515484276635293,0.5327622998017666,0.4390082496510338,0.47336670232770545,0.48507565462927765,0.30735904474324743
18 t/m 24_less than 4.999,0.6654169525173727,0.28084690240509735,0.6548608970792154,1.0,0.7022440446630858,0.7648155971903852,0.6677839314258098,0.769161708877207,0.8032386217100232,0.699441756311657,0.7000996966228401,0.6977191716814669,0.5457984557098944,0.7127696769915901,0.5745071327908965,0.6459323727039633,0.6420902259907749,0.6838132740506839,0.7615724323139561,0.5819586771411271,0.534500738820977,0.4245110817230939,0.5146265422929087,0.6676959992777035,0.4088897706976452
18 t/m 24_more than 30.000,0.5331837062765704,0.3665113311606601,0.5721162347952449,0.7022440446630858,1.0,0.709909625601848,0.5654884522824115,0.7058245256900261,0.5866642947643078,0.5930785716625974,0.6178233161282453,0.5317021578257368,0.5280177479524284,0.5332613282873933,0.5391160940892343,0.5287597598438808,0.561315782479416,0.5232470301475654,0.5361569059875304,0.4659435349850289,0.4760541534411791,0.42250028850094695,0.44824348738632863,0.4717622920211852,0.3361283304990706
25 t/m 34_10.000-19.999,0.6925792871633257,0.27809551475923583,0.7651590184333169,0.7648155971903852,0.709909625601848,1.0,0.7642944926540132,0.7983689893692163,0.7964739739609248,0.6077461410185916,0.8914220079353706,0.7692986041807153,0.7124684391134001,0.6580816282598484,0.7713076448357914,0.7855606868952411,0.7540800829329317,0.8154010783817925,0.6759708441623316,0.7157529604389133,0.6954323647111463,0.5601688560867846,0.6330774012636716,0.6641640985508335,0.4396786094523751
25 t/m 34_20.000-29.999,0.5822202796236262,0.2661345651794551,0.6057560683061816,0.6677839314258098,0.5654884522824115,0.7642944926540132,1.0,0.6286084424091722,0.6642766708146853,0.5372290106160775,0.7264887290506711,0.6313565701432688,0.6015108140960225,0.5335359153443539,0.6588068442862216,0.6230039904972952,0.6073567472089854,0.589119258708213,0.5331681561773005,0.5269169071007881,0.5322598694552161,0.43037984417761227,0.4711758725220184,0.5078909387482003,0.32833417355983835
25 t/m 34_5.000-9.999,0.7022603738222946,0.24015898663982224,0.6773892799013359,0.769161708877207,0.7058245256900261,0.7983689893692163,0.6286084424091722,1.0,0.7841134237346027,0.5473859458813989,0.7396366887679534,0.7346660784022918,0.6047000254123153,0.5974206367294007,0.6285631262815409,0.6392995903015197,0.5980999721535729,0.7353678509380105,0.632223249868587,0.642810178216536,0.567093779346061,0.449274911788824,0.5028815307725261,0.5642751447091552,0.32289341341645833
25 t/m 34_less than 4.999,0.6818455485859111,0.18473608063898694,0.6678296262153648,0.8032386217100232,0.5866642947643078,0.7964739739609248,0.6642766708146853,0.7841134237346027,1.0,0.5485529155844916,0.7660340627857213,0.8154398733225069,0.5862396605787987,0.6437965860512387,0.6073052511188163,0.6929930559391329,0.6181071866556453,0.7803808983698082,0.6971406988913914,0.5770729132860676,0.5756209271497893,0.4289568009039369,0.5272128121172673,0.6244024722213037,0.37492867581538175
25 t/m 34_more than 30.000,0.5117989989394316,0.328542517711739,0.5696067665352478,0.699441756311657,0.5930785716625974,0.6077461410185916,0.5372290106160775,0.5473859458813989,0.5485529155844916,1.0,0.5356486735702247,0.4810651801097798,0.40741549664511045,0.5333431718406009,0.4702587421572403,0.4712059896422377,0.525532407592267,0.44696810451909974,0.5533854108618753,0.39113014079600184,0.3898168401229864,0.3254020673563439,0.3837472132373147,0.4665815019986385,0.3271822564450364
