,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_Less than 10 km,18 t/m 24_more than 50,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_Less than 10 km,25 t/m 34_more than 50,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_Less than 10 km,35 t/m 44_more than 50,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_Less than 10 km,45 t/m 54_more than 50,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_Less than 10 km,55 t/m 70_more than 50
18 t/m 24_10-19 km,1.0,0.5943911818637628,0.6394721245046489,0.6149999574828822,0.5718818297809575,0.7696193855092288,0.6171089552489512,0.621245340228183,0.6747761550454537,0.5070107988215263,0.6285231053894941,0.6821158027594618,0.7009775468153634,0.5108050123389187,0.5332380710024456,0.5775710811066347,0.48924409285074444,0.5147557614303282,0.6254237704428904,0.6065128230775989,0.4612505760020507,0.5162242986745234,0.5008181874501062,0.4861323209844963,0.23995285136562883
18 t/m 24_20-29 km,0.5943911818637628,1.0,0.7160576140905788,0.6211243186563437,0.5186827133138552,0.6146778955313151,0.49727256523035274,0.7633398245003183,0.4781395250359875,0.41404565803744287,0.4658043768283532,0.5963561486256965,0.7490887883755515,0.41240859272644,0.5626402139358906,0.4369911346991968,0.33835279532757334,0.36933939217059425,0.39686994039044793,0.51949303614671,0.3461328423960039,0.36339316858314497,0.3523866136915192,0.3269208819914101,0.16207003170441997
18 t/m 24_30-49 km,0.6394721245046489,0.7160576140905788,1.0,0.6325486725146272,0.6856103999330314,0.6347128431986444,0.6402129310120311,0.8442849467753136,0.5514800265748573,0.6279920781933692,0.555783298696721,0.7293035367791231,0.809609265011182,0.35762969245997195,0.6479994464771184,0.5079899199253921,0.4458433053910829,0.5394695170552004,0.41733323849715465,0.6329092822164248,0.39563202781626217,0.43778327057120936,0.4408669608037449,0.3695973619117235,0.2637373804859157
18 t/m 24_Less than 10 km,0.6149999574828822,0.6211243186563437,0.6325486725146272,1.0,0.4465302258998681,0.7161981208787641,0.670927458610141,0.6761859774504031,0.669788399834053,0.5870770101887147,0.582466807446929,0.7094727181747411,0.7085418695980997,0.5353863064051798,0.5743401499124509,0.5169229480031591,0.47842090293524464,0.5067305078020483,0.5323638681570386,0.5932614933443237,0.42777391538365445,0.48384260759693776,0.4900335227986055,0.4318818532248577,0.27205044158487646
18 t/m 24_more than 50,0.5718818297809575,0.5186827133138552,0.6856103999330314,0.4465302258998681,1.0,0.5230498533346337,0.5463147304316203,0.6554731992380641,0.5028361544392704,0.49674681764785383,0.5206814229154482,0.5623063301691134,0.6585194972538748,0.30750055740091525,0.5541580037845484,0.46073410837427403,0.3796260806809713,0.47930267621906086,0.3967718039477981,0.5575805515363428,0.3563349325496306,0.3945506594800462,0.3877144513607782,0.3498725008364892,0.24876212871348966
25 t/m 34_10-19 km,0.7696193855092288,0.6146778955313151,0.6347128431986444,0.7161981208787641,0.5230498533346337,1.0,0.7167044330546586,0.685587245742918,0.7468525672089241,0.6313197560211404,0.790478192221744,0.8010872169334872,0.7416797641058713,0.6802060614326761,0.6552228212918069,0.7255572248239908,0.6753436772689658,0.6954694116416199,0.7110165476054661,0.7856959611779114,0.617817702985962,0.6782134630759726,0.6886583332488115,0.624411951516443,0.38927244613262035
25 t/m 34_20-29 km,0.6171089552489512,0.49727256523035274,0.6402129310120311,0.670927458610141,0.5463147304316203,0.7167044330546586,1.0,0.6911790414748519,0.7093659420365424,0.6975939467818801,0.6546829155696876,0.8126328609760651,0.6941845808687507,0.5465448591081764,0.6223982547436512,0.6133247822221543,0.6156245380094502,0.6521172896772889,0.5728901224188443,0.7292240108733836,0.49772592682977396,0.514996516538657,0.5642652649381311,0.47837585224480783,0.3706642267215402
25 t/m 34_30-49 km,0.621245340228183,0.7633398245003183,0.8442849467753136,0.6761859774504031,0.6554731992380641,0.685587245742918,0.6911790414748519,1.0,0.5509414187646401,0.626165368549102,0.5459584222737329,0.7264055762421544,0.8390265234306993,0.40041206074491476,0.740166647731923,0.524547129334893,0.4557919082662307,0.5327278511827391,0.43255638086213133,0.7083969815668714,0.42011109120875884,0.44864175625460184,0.4712927870715824,0.39723901787466087,0.2815026669945993
25 t/m 34_Less than 10 km,0.6747761550454537,0.4781395250359875,0.5514800265748573,0.669788399834053,0.5028361544392704,0.7468525672089241,0.7093659420365424,0.5509414187646401,1.0,0.6058792406009378,0.7746254350804883,0.780096434484585,0.6413414886349138,0.7003580383103261,0.597666477786064,0.724199145225843,0.7086202460210679,0.6371144749780441,0.775426122198793,0.6462341429660592,0.628688805591339,0.6464724503130712,0.6500328253372103,0.6425689025519014,0.36073974735868175
25 t/m 34_more than 50,0.5070107988215263,0.41404565803744287,0.6279920781933692,0.5870770101887147,0.49674681764785383,0.6313197560211404,0.6975939467818801,0.626165368549102,0.6058792406009378,1.0,0.6208951459054325,0.7217427141106819,0.6164917736379216,0.418762725194195,0.7173906483752047,0.616202896648007,0.6707121328134,0.7940726217198275,0.5175207789652038,0.7658733485778009,0.5662247109730794,0.6342886279536317,0.6768390960892638,0.5368306782245013,0.5707137296911843
