,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_Less than 10 km,18 t/m 24_more than 50,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_Less than 10 km,25 t/m 34_more than 50,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_Less than 10 km,35 t/m 44_more than 50,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_Less than 10 km,45 t/m 54_more than 50,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_Less than 10 km,55 t/m 70_more than 50
18 t/m 24_10-19 km,1.0,0.5787707377215379,0.625001627270821,0.599883727536753,0.5557535041906174,0.7593713129885069,0.6020463884518851,0.6062891208897164,0.6613235569576427,0.4896844508533515,0.6137575047769163,0.6688872205155475,0.6883436659217934,0.4935373362783394,0.5163468949345291,0.5615668143870496,0.4716628175561338,0.4975507350118188,0.6105764480469287,0.5911844896919136,0.443336026841943,0.499042962525894,0.48339925456229826,0.46850980873027115,0.22304527827383158
18 t/m 24_20-29 km,0.5787707377215379,1.0,0.7039185276370309,0.6061649672393702,0.5015415221677939,0.5995535041464471,0.4798024097587279,0.7528595473018636,0.4604158424922744,0.39577102043290385,0.4479381874055908,0.5807821836542025,0.7380917439679708,0.3941262700694278,0.5463166887972047,0.4188586944574442,0.320093642205152,0.35097895998772993,0.37853149423856514,0.5023652102686127,0.3278351478842339,0.34504152315491876,0.3340644098972046,0.3087349427592643,0.147654080268334
18 t/m 24_30-49 km,0.625001627270821,0.7039185276370309,1.0,0.6178904145787563,0.672489944593957,0.6201128504973686,0.6257627583052107,0.8370007348470856,0.5349313627470018,0.6132124185916061,0.5393200622119897,0.717612936080798,0.8009028975538725,0.33929130784891726,0.6337656202090588,0.49067857176160284,0.42778251080570895,0.5226917383394771,0.3990750385498775,0.6182607058634919,0.3772904384163809,0.4196568673348166,0.42276476190265705,0.3512366598707027,0.2463428953196208
18 t/m 24_Less than 10 km,0.599883727536753,0.6061649672393702,0.6178904145787563,1.0,0.42847537260135937,0.7040637241394959,0.6573590732391803,0.6627760836489878,0.6561859690516454,0.5712865572974936,0.5665716444061183,0.6971154873090785,0.6961540616304918,0.5185337965900532,0.5582650685139016,0.49975295871055214,0.4607006650452208,0.48939988395558576,0.5154570862484337,0.5776144816654729,0.4095767075161082,0.46619041161286134,0.4724628725011229,0.4137122593472337,0.25451169739300067
18 t/m 24_more than 50,0.5557535041906174,0.5015415221677939,0.672489944593957,0.42847537260135937,1.0,0.5059814694343578,0.529665842376239,0.641451661859471,0.48544695730617526,0.47926917838884925,0.5035733169395524,0.5459759005233772,0.6445857788614645,0.28948594171693826,0.5376622972398637,0.4428142209301826,0.36126196595050264,0.46159328860092985,0.37843310137195163,0.5411535094203972,0.33800017671603,0.37620648696065223,0.3693574847670914,0.3315594641854742,0.23166102463575922
25 t/m 34_10-19 km,0.7593713129885069,0.5995535041464471,0.6201128504973686,0.7040637241394959,0.5059814694343578,1.0,0.7045869476591318,0.6724660708871516,0.7357757318626024,0.6166285855621718,0.781020845212524,0.7920433163180691,0.7304197191617398,0.666918788496471,0.6411940991056381,0.7137384784466874,0.6619082510737448,0.682659058668785,0.6987101717522544,0.7760547145821063,0.6027732551845737,0.6648652546494034,0.6756329522854742,0.6095381244877615,0.37091785537266897
25 t/m 34_20-29 km,0.6020463884518851,0.4798024097587279,0.6257627583052107,0.6573590732391803,0.529665842376239,0.7045869476591318,1.0,0.6782328273167546,0.6970052004404146,0.6848513885608659,0.6406387174795026,0.8040473994083439,0.6813333947284107,0.5299003822656917,0.6074719352641775,0.5981661981435247,0.6005241609159951,0.6379998710143489,0.5567835684869519,0.7175306793226363,0.4802622479380716,0.49779535903438715,0.5479754925469055,0.4606550622634365,0.3523025063669735
25 t/m 34_30-49 km,0.6062891208897164,0.7528595473018636,0.8370007348470856,0.6627760836489878,0.641451661859471,0.6724660708871516,0.6782328273167546,1.0,0.5343821858005724,0.6113375269632798,0.5293027143170267,0.714615758915888,0.8315216856337571,0.382083701433081,0.7288533723233092,0.5075041451464204,0.4378224563627274,0.5158275578392956,0.4143915142376655,0.696004420038953,0.40186781949435896,0.43060550724327357,0.45348794229412076,0.37890154724573655,0.26381541473948883
25 t/m 34_Less than 10 km,0.6613235569576427,0.4604158424922744,0.5349313627470018,0.6561859690516454,0.48544695730617526,0.7357757318626024,0.6970052004404146,0.5343821858005724,1.0,0.5905353221110713,0.7645644254168157,0.7702418264111635,0.6269223653159475,0.6877041948579251,0.5821236958822128,0.7123341972425121,0.6962350101199625,0.6225795946917971,0.7653951917719316,0.6319508344852991,0.6139275967323992,0.6321958068875061,0.6358563091894981,0.628183666985894,0.3423936225679214
25 t/m 34_more than 50,0.4896844508533515,0.39577102043290385,0.6132124185916061,0.5712865572974936,0.47926917838884925,0.6166285855621718,0.6848513885608659,0.6113375269632798,0.5905353221110713,1.0,0.6059298668145208,0.7097945414073992,0.6014134635229537,0.4005120888804706,0.7052961134721831,0.6011172288843136,0.6571373037334665,0.7847545107593746,0.5003605381303748,0.7554864269183016,0.549975961991611,0.6196771836392082,0.6634490381746615,0.5200044184479088,0.5545602980317516
